"","","","31 Desember 2023","","","",""
"","","","","","","Rasio Biaya",""
"","","","","","","Perolehan",""
"","","","","","","Amortisasi",""
"","","","Tingkat","Harga","","Terhadap",""
"","","","Bunga","Perolehan","Biaya Perolehan","Jumlah",""
"Nilai Nominal","","","per tahun","Rata-rata","Amortisasi","Investasi",""
"(Rp)","Investasi","Jatuh Tempo","(%)","(%)","(Rp)","(%)","Peringkat"
"","","","","","","_________________   _______________",""
"","Instrumen Pasar Uang","","","","","",""
"","145.000.000.000   PT Bank Pembangunan Daerah Jambi","28 Maret 2024","8,00","100,00","145.000.000.000","6,81","-"
"135.000.000.000","PT Bank Riau Kepulauan Riau Syariah","27 Maret 2024","7,75","100,00","135.000.000.000","6,34","-"
"","PT Bank Pembangunan Daerah","","","","","",""
"120.000.000.000","Sulawesi Utara dan Gorontalo","27 Maret 2024","7,75","100,00","120.000.000.000","5,63","-"
"","110.000.000.000   PT Bank Sahabat Sampoerna","18 Maret 2024","7,75","100,00","110.000.000.000","5,16","-"
"90.000.000.000   PT Bank Nagari","","14 Maret 2024","7,75","100,00","90.000.000.000","4,22","-"
"","PT Bank Pembangunan Daerah","","","","","",""
"80.000.000.000","Sulawesi Tengah","15 Maret 2024","7,75","100,00","80.000.000.000","3,76","-"
"","PT Bank Pembangunan Daerah","","","","","",""
"80.000.000.000","Sulawesi Tengah","28 Maret 2024","7,75","100,00","80.000.000.000","3,76","-"
"75.000.000.000","PT Bank Lampung","14 Maret 2024","7,75","100,00","75.000.000.000","3,52","-"
"","73.000.000.000   PT Bank Capital Indonesia Tbk.","27 Juni 2024","8,00","100,00","73.000.000.000","3,43","-"
"","PT Bank Pembangunan Daerah","","","","","",""
"","Sulawesi Selatan &","","","","","",""
"65.000.000.000","Sulawesi Barat","27 Maret 2024","7,75","100,00","65.000.000.000","3,05","-"
