[2025-05-18 10:47:35] [STAGE] [Stage: DOCUMENT PROCESSING JOB: 5 file(s)] STAGE: DOCUMENT PROCESSING JOB: 5 file(s)
[2025-05-18 10:47:35] [INFO] [Stage: DOCUMENT PROCESSING JOB: 5 file(s)] Starting processing of 5 file(s) with max_tokens=1000, overlap_tokens=100
[2025-05-18 10:47:35] [STAGE] [Stage: Processing file 1/5: Bahana Pendapatan Tetap Makara Prima kelas G] STAGE: Processing file 1/5: Bahana Pendapatan Tetap Makara Prima kelas G
[2025-05-18 10:47:35] [TASK] [Stage: Processing file 1/5: Bahana Pendapatan Tetap Makara Prima kelas G | Task: Validating input file] TASK: Validating input file
[2025-05-18 10:47:35] [TASK] [Stage: Processing file 1/5: Bahana Pendapatan Tetap Makara Prima kelas G | Task: Processing file content] TASK: Processing file content
[2025-05-18 10:47:35] [STAGE] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted] STAGE: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted
[2025-05-18 10:47:35] [TASK] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Reading input file] TASK: Reading input file
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Reading input file] Dokumen: Bahana Pendapatan Tetap Makara Prima kelas G.pdf, Total halaman: 125
[2025-05-18 10:47:35] [TASK] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Generating document chunks] TASK: Generating document chunks
[2025-05-18 10:47:35] [TASK] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf] TASK: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf
[2025-05-18 10:47:35] [SUBTASK] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] SUBTASK: Collecting blocks from all pages
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 1/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 2/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 3/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 4/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 5/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 6/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 7/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 8/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 9/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 10/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 11/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 12/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 13/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 14/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 15/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 16/125
