[2025-05-19 14:30:28] [STAGE] [Stage: DOCUMENT PROCESSING JOB: 10 file(s)] STAGE: DOCUMENT PROCESSING JOB: 10 file(s)
[2025-05-19 14:30:28] [INFO] [Stage: DOCUMENT PROCESSING JOB: 10 file(s)] Starting processing of 10 file(s) with max_tokens=1000, overlap_tokens=100
[2025-05-19 14:30:28] [STAGE] [Stage: Processing file 1/10: Mandiri Indeks FTSE Indonesia ESG Kelas A] STAGE: Processing file 1/10: Mandiri Indeks FTSE Indonesia ESG Kelas A
[2025-05-19 14:30:28] [TASK] [Stage: Processing file 1/10: Mandiri Indeks FTSE Indonesia ESG Kelas A | Task: Validating input file] TASK: Validating input file
[2025-05-19 14:30:28] [TASK] [Stage: Processing file 1/10: Mandiri Indeks FTSE Indonesia ESG Kelas A | Task: Processing file content] TASK: Processing file content
[2025-05-19 14:30:28] [STAGE] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted] STAGE: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted
[2025-05-19 14:30:28] [TASK] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Reading input file] TASK: Reading input file
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Reading input file] Dokumen: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf, Total halaman: 94
[2025-05-19 14:30:28] [TASK] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Generating document chunks] TASK: Generating document chunks
[2025-05-19 14:30:28] [TASK] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf] TASK: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf
[2025-05-19 14:30:28] [SUBTASK] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] SUBTASK: Collecting blocks from all pages
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 1/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 2/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 3/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 4/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 5/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 6/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 7/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 8/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 9/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 10/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 11/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 12/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 13/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 14/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 15/94
