[2025-05-19 14:40:48] [STAGE] [Stage: DOCUMENT PROCESSING JOB: 10 file(s)] STAGE: DOCUMENT PROCESSING JOB: 10 file(s)
[2025-05-19 14:40:48] [INFO] [Stage: DOCUMENT PROCESSING JOB: 10 file(s)] Starting processing of 10 file(s) with max_tokens=1000, overlap_tokens=100
[2025-05-19 14:40:48] [STAGE] [Stage: Processing file 1/10: Manulife Obligasi Negara Indonesia II Kelas A] STAGE: Processing file 1/10: Manulife Obligasi Negara Indonesia II Kelas A
[2025-05-19 14:40:48] [TASK] [Stage: Processing file 1/10: Manulife Obligasi Negara Indonesia II Kelas A | Task: Validating input file] TASK: Validating input file
[2025-05-19 14:40:48] [TASK] [Stage: Processing file 1/10: Manulife Obligasi Negara Indonesia II Kelas A | Task: Processing file content] TASK: Processing file content
[2025-05-19 14:40:48] [STAGE] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted] STAGE: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted
[2025-05-19 14:40:48] [TASK] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Reading input file] TASK: Reading input file
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Reading input file] Dokumen: Manulife Obligasi Negara Indonesia II Kelas A.pdf, Total halaman: 139
[2025-05-19 14:40:48] [TASK] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Generating document chunks] TASK: Generating document chunks
[2025-05-19 14:40:48] [TASK] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf] TASK: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf
[2025-05-19 14:40:48] [SUBTASK] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] SUBTASK: Collecting blocks from all pages
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 1/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 2/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 3/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 4/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 5/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 6/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 7/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 8/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 9/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 10/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 11/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 12/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 13/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 14/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 15/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 16/139
