tanggal,data
2007-12-18,13690.0
2008-01-02,13730.0
2008-01-16,13850.0
2008-01-31,13876.0
2008-02-14,13870.0
2008-02-28,13790.0
2008-03-14,13520.0
2008-03-28,13230.0
2008-04-11,12950.0
2008-04-28,12450.0
2008-05-12,12550.0
2008-05-26,12600.0
2008-06-09,12450.0
2008-06-23,12480.0
2008-07-07,12550.0
2008-07-21,13000.0
2008-08-04,13510.0
2008-08-19,13460.0
2008-09-02,13420.0
2008-09-16,12780.0
2008-10-06,12640.0
2008-10-15,12330.0
2008-10-29,10240.0
2008-11-13,12070.0
2008-11-27,11960.0
2008-12-12,13270.0
2008-12-26,13860.0
2009-01-09,13940.0
2009-01-27,13960.0
2009-02-09,13910.0
2009-02-23,13060.0
2009-03-10,13175.8
2009-03-23,14178.3
2009-04-06,14320.0
2009-04-20,14490.0
2009-05-04,14610.0
2009-05-18,14830.0
2009-06-02,15637.2
2009-06-19,14970.0
2009-07-01,15270.0
2009-07-15,15740.0
2009-07-29,15950.0
2009-08-13,15653.1
2009-08-27,15840.0
2009-09-10,15920.0
2009-09-25,16239.999999999998
2009-10-09,16490.0
2009-10-23,16516.6
2009-11-09,16470.0
2009-11-23,16450.0
2009-12-07,16791.0
2009-12-21,16850.0
2010-01-04,16880.0
2010-01-18,17350.0
2010-02-01,17257.7
2010-02-15,17320.0
2010-03-02,17470.0
2010-03-17,17830.0
2010-03-30,17980.0
2010-04-14,18410.0
2010-04-28,18540.0
2010-05-14,18380.0
2010-05-27,18180.0
2010-06-10,18440.0
2010-06-25,19060.0
2010-07-09,19020.0
2010-07-23,19120.0
2010-08-09,19680.0
2010-08-23,19640.0
2010-09-06,19530.0
2010-09-20,19870.0
2010-10-04,20400.0
2010-10-18,20951.2
2010-11-01,20820.0
2010-11-15,20230.0
2010-11-30,20350.0
2010-12-14,20390.0
2010-12-28,20050.0
2011-01-12,19920.0
2011-01-26,19240.0
2011-02-09,19410.0
2011-02-24,19580.0
2011-03-10,20030.0
2011-03-24,20320.0
2011-04-08,20820.0
2011-04-25,20920.0
2011-05-09,21040.0
2011-05-23,21300.4
2011-06-06,21430.0
2011-06-20,21270.0
2011-07-04,21510.0
2011-07-18,21800.0
2011-08-01,22310.0
2011-08-15,22545.3
2011-09-05,22770.0
2011-09-13,23350.0
2011-09-27,22610.0
2011-10-12,23690.0
2011-10-26,23911.4
2011-11-09,24100.7
2011-11-24,23610.0
2011-12-08,24210.0
2011-12-22,24370.0
2012-01-06,24430.0
2012-01-20,25280.0
2012-02-03,25970.0
2012-02-20,26330.0
2012-03-05,25490.0
2012-03-19,25130.0
2012-04-02,25240.0
2012-04-16,25030.0
2012-04-30,25150.0
2012-05-14,24880.0
2012-05-28,24470.0
2012-06-12,24610.0
2012-06-26,24940.0
2012-07-10,25270.0
2012-07-25,25760.0
2012-08-08,25950.0
2012-08-23,25670.0
2012-09-06,25590.0
2012-09-20,25860.0
2012-10-05,26030.0
2012-10-19,26180.0
2012-11-02,26440.0
2012-11-19,26900.0
2012-12-03,27080.0
2012-12-17,27160.0
2013-01-02,27330.0
2013-01-14,27081.0
2013-01-28,27180.0
2013-02-11,27170.0
2013-02-25,27330.0
2013-03-13,27360.0
2013-03-26,27180.0
2013-04-09,26900.0
2013-04-24,27310.0
2013-05-08,27280.0
2013-05-22,27200.0
2013-06-07,26370.0
2013-06-20,25450.0
2013-07-04,24700.0
2013-07-19,23840.0
2013-08-02,24330.0
2013-08-16,23840.0
2013-09-02,23400.0
2013-09-16,24030.0
2013-09-30,23560.0
2013-10-16,24440.0
2013-10-28,25770.0
2013-11-11,24070.0
2013-11-25,23460.0
2013-12-09,23310.0
2013-12-24,23750.0
2014-01-07,23060.0
2014-01-21,23900.0
2014-02-05,23170.0
2014-02-19,24090.0
2014-03-06,24620.0
2014-03-20,24830.0
2014-04-03,25160.0
2014-04-21,25262.9
2014-05-02,25160.0
2014-05-16,25280.0
2014-06-02,25160.0
2014-06-16,25290.0
2014-06-30,25030.7
2014-07-14,25240.0
2014-08-04,25420.0
2014-08-11,25220.0
2014-08-25,25300.5
2014-09-08,25860.0
2014-09-23,25590.0
2014-10-07,25250.0
2014-10-21,25990.0
2014-11-05,26307.0
2014-11-19,26420.0
2014-12-03,26740.0
2014-12-18,26280.0
2015-01-02,26830.0
2015-01-15,27210.0
2015-01-30,28400.0
2015-02-13,27960.0
2015-03-02,28810.0
2015-03-16,28130.0
2015-03-30,28270.0
2015-04-13,28450.0
2015-04-27,27900.0
2015-05-11,27040.0
2015-05-25,27290.0
2015-06-08,26500.0
2015-06-22,26900.0
2015-07-07,27450.0
2015-07-22,27320.0
2015-08-05,26870.0
2015-08-19,26700.0
2015-09-02,26530.0
2015-09-17,25920.0
2015-10-01,25850.0
2015-10-15,27080.0
2015-10-30,26900.0
2015-11-13,27250.0
2015-11-27,27470.0
2015-12-14,27110.0
2015-12-28,27340.0
2016-01-11,27331.7
2016-01-25,27970.0
2016-02-09,28649.9
2016-02-22,28570.0
2016-03-07,29120.0
2016-03-21,29441.7
2016-04-05,29710.0
2016-04-19,30390.0
2016-05-03,30090.0
2016-05-18,30217.0
2016-06-01,30030.0
2016-06-15,30410.0
2016-06-30,30720.0
