period,date,value,offset
1Y,22 Jan 25,"Rp1,472.02",-347
1Y,22 Jan 25,"Rp1,472.02",-342
1Y,22 Jan 25,"Rp1,472.02",-337
1Y,22 Jan 25,"Rp1,472.02",-332
1Y,22 Jan 24,"Rp1,395.49",-327
1Y,25 Jan 24,"Rp1,396.10",-322
1Y,29 Jan 24,"Rp1,396.93",-317
1Y,31 Jan 24,"Rp1,397.28",-312
1Y,5 Feb 24,"Rp1,398.31",-307
1Y,5 Feb 24,"Rp1,398.31",-302
1Y,12 Feb 24,"Rp1,399.73",-297
1Y,12 Feb 24,"Rp1,399.73",-292
1Y,15 Feb 24,"Rp1,400.33",-287
1Y,19 Feb 24,"Rp1,401.14",-282
1Y,19 Feb 24,"Rp1,401.14",-277
1Y,22 Feb 24,"Rp1,401.76",-272
1Y,26 Feb 24,"Rp1,402.48",-267
1Y,29 Feb 24,"Rp1,403.35",-262
1Y,4 Mar 24,"Rp1,403.95",-257
1Y,4 Mar 24,"Rp1,403.95",-252
1Y,7 Mar 24,"Rp1,404.48",-247
1Y,13 Mar 24,"Rp1,405.83",-242
1Y,13 Mar 24,"Rp1,405.83",-237
1Y,18 Mar 24,"Rp1,406.87",-232
1Y,18 Mar 24,"Rp1,406.87",-227
1Y,21 Mar 24,"Rp1,407.50",-222
1Y,25 Mar 24,"Rp1,408.30",-217
1Y,27 Mar 24,"Rp1,408.79",-212
1Y,1 Apr 24,"Rp1,409.77",-207
1Y,1 Apr 24,"Rp1,409.77",-202
1Y,4 Apr 24,"Rp1,410.31",-197
1Y,16 Apr 24,"Rp1,412.54",-192
1Y,16 Apr 24,"Rp1,412.54",-187
1Y,16 Apr 24,"Rp1,412.54",-182
1Y,16 Apr 24,"Rp1,412.54",-177
1Y,18 Apr 24,"Rp1,413.08",-172
1Y,22 Apr 24,"Rp1,413.73",-167
1Y,24 Apr 24,"Rp1,414.09",-162
1Y,29 Apr 24,"Rp1,414.53",-157
1Y,29 Apr 24,"Rp1,414.53",-152
1Y,2 Mei 24,"Rp1,415.27",-147
1Y,6 Mei 24,"Rp1,415.93",-142
1Y,8 Mei 24,"Rp1,416.29",-137
1Y,13 Mei 24,"Rp1,417.49",-132
1Y,13 Mei 24,"Rp1,417.49",-127
1Y,16 Mei 24,"Rp1,418.55",-122
1Y,20 Mei 24,"Rp1,419.63",-117
1Y,22 Mei 24,"Rp1,420.13",-112
1Y,27 Mei 24,"Rp1,421.24",-107
1Y,27 Mei 24,"Rp1,421.24",-102
1Y,30 Mei 24,"Rp1,421.82",-97
1Y,3 Jun 24,"Rp1,422.86",-92
1Y,5 Jun 24,"Rp1,423.22",-87
1Y,10 Jun 24,"Rp1,423.04",-82
1Y,10 Jun 24,"Rp1,423.04",-77
1Y,13 Jun 24,"Rp1,423.72",-72
1Y,19 Jun 24,"Rp1,424.79",-67
1Y,19 Jun 24,"Rp1,424.79",-62
1Y,24 Jun 24,"Rp1,425.85",-57
1Y,24 Jun 24,"Rp1,425.85",-52
1Y,27 Jun 24,"Rp1,426.51",-47
1Y,1 Jul 24,"Rp1,427.52",-42
1Y,3 Jul 24,"Rp1,427.93",-37
1Y,8 Jul 24,"Rp1,429.21",-32
1Y,8 Jul 24,"Rp1,429.21",-27
1Y,11 Jul 24,"Rp1,429.72",-22
1Y,15 Jul 24,"Rp1,430.55",-17
1Y,17 Jul 24,"Rp1,431.02",-12
1Y,22 Jul 24,"Rp1,432.21",-7
1Y,22 Jul 24,"Rp1,432.21",-2
1Y,25 Jul 24,"Rp1,432.75",3
1Y,29 Jul 24,"Rp1,433.77",8
1Y,31 Jul 24,"Rp1,433.99",13
1Y,5 Agt 24,"Rp1,435.10",18
1Y,5 Agt 24,"Rp1,435.10",23
