period,date,value,offset
3M,22 Jan 25,"Rp1,472.02",-347
3M,22 Jan 25,"Rp1,472.02",-342
3M,22 Jan 25,"Rp1,472.02",-337
3M,22 Jan 25,"Rp1,472.02",-332
3M,21 Okt 24,"Rp1,451.91",-327
3M,23 Okt 24,"Rp1,452.35",-322
3M,23 Okt 24,"Rp1,452.35",-317
3M,24 Okt 24,"Rp1,452.61",-312
3M,24 Okt 24,"Rp1,452.61",-307
3M,25 Okt 24,"Rp1,452.73",-302
3M,28 Okt 24,"Rp1,453.27",-297
3M,28 Okt 24,"Rp1,453.27",-292
3M,28 Okt 24,"Rp1,453.27",-287
3M,28 Okt 24,"Rp1,453.27",-282
3M,31 Okt 24,"Rp1,453.63",-277
3M,31 Okt 24,"Rp1,453.63",-272
3M,31 Okt 24,"Rp1,453.63",-267
3M,31 Okt 24,"Rp1,453.63",-262
3M,31 Okt 24,"Rp1,453.63",-257
3M,1 Nov 24,"Rp1,453.96",-252
3M,4 Nov 24,"Rp1,454.72",-247
3M,4 Nov 24,"Rp1,454.72",-242
3M,4 Nov 24,"Rp1,454.72",-237
3M,4 Nov 24,"Rp1,454.72",-232
3M,5 Nov 24,"Rp1,454.87",-227
3M,5 Nov 24,"Rp1,454.87",-222
3M,7 Nov 24,"Rp1,455.31",-217
3M,7 Nov 24,"Rp1,455.31",-212
3M,12 Nov 24,"Rp1,456.39",-207
3M,12 Nov 24,"Rp1,456.39",-202
3M,12 Nov 24,"Rp1,456.39",-197
3M,12 Nov 24,"Rp1,456.39",-192
3M,12 Nov 24,"Rp1,456.39",-187
3M,12 Nov 24,"Rp1,456.39",-182
3M,12 Nov 24,"Rp1,456.39",-177
3M,14 Nov 24,"Rp1,456.54",-172
3M,14 Nov 24,"Rp1,456.54",-167
3M,14 Nov 24,"Rp1,456.54",-162
3M,15 Nov 24,"Rp1,456.70",-157
3M,15 Nov 24,"Rp1,456.70",-152
3M,18 Nov 24,"Rp1,457.54",-147
3M,18 Nov 24,"Rp1,457.54",-142
3M,18 Nov 24,"Rp1,457.54",-137
3M,18 Nov 24,"Rp1,457.54",-132
3M,20 Nov 24,"Rp1,457.88",-127
3M,20 Nov 24,"Rp1,457.88",-122
3M,20 Nov 24,"Rp1,457.88",-117
3M,21 Nov 24,"Rp1,458.29",-112
3M,22 Nov 24,"Rp1,458.49",-107
3M,22 Nov 24,"Rp1,458.49",-102
3M,25 Nov 24,"Rp1,459.06",-97
3M,25 Nov 24,"Rp1,459.06",-92
3M,25 Nov 24,"Rp1,459.06",-87
3M,25 Nov 24,"Rp1,459.06",-82
3M,26 Nov 24,"Rp1,459.30",-77
3M,28 Nov 24,"Rp1,459.72",-72
3M,28 Nov 24,"Rp1,459.72",-67
3M,28 Nov 24,"Rp1,459.72",-62
3M,29 Nov 24,"Rp1,459.94",-57
3M,2 Des 24,"Rp1,460.60",-52
3M,2 Des 24,"Rp1,460.60",-47
3M,2 Des 24,"Rp1,460.60",-42
3M,2 Des 24,"Rp1,460.60",-37
3M,2 Des 24,"Rp1,460.60",-32
3M,4 Des 24,"Rp1,460.80",-27
3M,4 Des 24,"Rp1,460.80",-22
3M,5 Des 24,"Rp1,460.97",-17
3M,5 Des 24,"Rp1,460.97",-12
3M,6 Des 24,"Rp1,461.05",-7
3M,9 Des 24,"Rp1,461.52",-2
3M,9 Des 24,"Rp1,461.52",3
3M,9 Des 24,"Rp1,461.52",8
3M,9 Des 24,"Rp1,461.52",13
3M,10 Des 24,"Rp1,461.71",18
3M,10 Des 24,"Rp1,461.71",23
3M,11 Des 24,"Rp1,461.86",28
3M,12 Des 24,"Rp1,462.04",33
3M,12 Des 24,"Rp1,462.04",38
3M,13 Des 24,"Rp1,462.63",43
3M,17 Des 24,"Rp1,463.29",48
3M,17 Des 24,"Rp1,463.29",53
3M,17 Des 24,"Rp1,463.29",58
3M,17 Des 24,"Rp1,463.29",63
3M,17 Des 24,"Rp1,463.29",68
3M,17 Des 24,"Rp1,463.29",73
3M,18 Des 24,"Rp1,463.40",78
3M,19 Des 24,"Rp1,463.60",83
3M,20 Des 24,"Rp1,463.74",88
3M,20 Des 24,"Rp1,463.74",93
3M,23 Des 24,"Rp1,464.35",98
3M,23 Des 24,"Rp1,464.35",103
3M,23 Des 24,"Rp1,464.35",108
3M,23 Des 24,"Rp1,464.35",113
3M,24 Des 24,"Rp1,464.59",118
3M,24 Des 24,"Rp1,464.59",123
3M,27 Des 24,"Rp1,465.35",128
3M,27 Des 24,"Rp1,465.35",133
3M,27 Des 24,"Rp1,465.35",138
3M,27 Des 24,"Rp1,465.35",143
3M,30 Des 24,"Rp1,466.14",148
3M,30 Des 24,"Rp1,466.14",153
3M,30 Des 24,"Rp1,466.14",158
3M,30 Des 24,"Rp1,466.14",163
3M,2 Jan 25,"Rp1,466.78",168
3M,2 Jan 25,"Rp1,466.78",173
3M,2 Jan 25,"Rp1,466.78",178
3M,2 Jan 25,"Rp1,466.78",183
3M,3 Jan 25,"Rp1,467.08",188
3M,3 Jan 25,"Rp1,467.08",193
3M,6 Jan 25,"Rp1,467.76",198
3M,6 Jan 25,"Rp1,467.76",203
3M,6 Jan 25,"Rp1,467.76",208
3M,6 Jan 25,"Rp1,467.76",213
3M,7 Jan 25,"Rp1,468.03",218
3M,8 Jan 25,"Rp1,468.34",223
3M,8 Jan 25,"Rp1,468.34",228
3M,10 Jan 25,"Rp1,468.66",233
3M,10 Jan 25,"Rp1,468.66",238
3M,13 Jan 25,"Rp1,469.33",243
3M,13 Jan 25,"Rp1,469.33",248
3M,13 Jan 25,"Rp1,469.33",253
3M,13 Jan 25,"Rp1,469.33",258
3M,13 Jan 25,"Rp1,469.33",263
3M,14 Jan 25,"Rp1,469.57",268
3M,15 Jan 25,"Rp1,469.80",273
3M,16 Jan 25,"Rp1,470.11",278
3M,16 Jan 25,"Rp1,470.11",283
3M,17 Jan 25,"Rp1,470.49",288
3M,20 Jan 25,"Rp1,471.31",293
3M,20 Jan 25,"Rp1,471.31",298
3M,20 Jan 25,"Rp1,471.31",303
3M,20 Jan 25,"Rp1,471.31",308
3M,21 Jan 25,"Rp1,471.65",313
3M,21 Jan 25,"Rp1,471.65",318
3M,22 Jan 25,"Rp1,472.02",323
3M,22 Jan 25,"Rp1,472.02",328
3M,22 Jan 25,"Rp1,472.02",333
3M,22 Jan 25,"Rp1,472.02",338
3M,22 Jan 25,"Rp1,472.02",343
