period,date,value,offset
ALL,22 Jan 25,"Rp1,472.02",-347
ALL,22 Jan 25,"Rp1,472.02",-342
ALL,22 Jan 25,"Rp1,472.02",-337
ALL,22 Jan 25,"Rp1,472.02",-332
ALL,13 Apr 17,"Rp1,002.22",-327
ALL,5 Mei 17,"Rp1,005.34",-322
ALL,29 Mei 17,"Rp1,010.26",-317
ALL,19 Jun 17,"Rp1,013.63",-312
ALL,10 Jul 17,"Rp1,017.47",-307
ALL,31 Jul 17,"Rp1,020.89",-302
ALL,22 Agt 17,"Rp1,024.83",-297
ALL,13 Sep 17,"Rp1,028.70",-292
ALL,4 Okt 17,"Rp1,032.62",-287
ALL,26 Okt 17,"Rp1,036.69",-282
ALL,17 Nov 17,"Rp1,040.34",-277
ALL,8 Des 17,"Rp1,044.04",-272
ALL,2 Jan 18,"Rp1,048.28",-267
ALL,22 Jan 18,"Rp1,051.80",-262
ALL,12 Feb 18,"Rp1,056.24",-257
ALL,5 Mar 18,"Rp1,059.56",-252
ALL,27 Mar 18,"Rp1,062.60",-247
ALL,18 Apr 18,"Rp1,065.65",-242
ALL,9 Mei 18,"Rp1,068.76",-237
ALL,31 Mei 18,"Rp1,071.96",-232
ALL,22 Jun 18,"Rp1,075.07",-227
ALL,16 Jul 18,"Rp1,078.42",-222
ALL,6 Agt 18,"Rp1,081.72",-217
ALL,27 Agt 18,"Rp1,085.17",-212
ALL,17 Sep 18,"Rp1,089.12",-207
ALL,9 Okt 18,"Rp1,093.00",-202
ALL,30 Okt 18,"Rp1,096.90",-197
ALL,21 Nov 18,"Rp1,101.09",-192
ALL,13 Des 18,"Rp1,105.09",-187
ALL,3 Jan 19,"Rp1,109.46",-182
ALL,25 Jan 19,"Rp1,114.05",-177
ALL,18 Feb 19,"Rp1,118.85",-172
ALL,11 Mar 19,"Rp1,123.04",-167
ALL,1 Apr 19,"Rp1,127.23",-162
ALL,22 Apr 19,"Rp1,131.34",-157
ALL,14 Mei 19,"Rp1,135.61",-152
ALL,10 Jun 19,"Rp1,140.50",-147
ALL,26 Jun 19,"Rp1,143.58",-142
ALL,18 Jul 19,"Rp1,147.91",-137
ALL,9 Agt 19,"Rp1,152.20",-132
ALL,30 Agt 19,"Rp1,156.42",-127
ALL,23 Sep 19,"Rp1,161.13",-122
ALL,14 Okt 19,"Rp1,165.26",-117
ALL,4 Nov 19,"Rp1,169.29",-112
ALL,25 Nov 19,"Rp1,173.34",-107
ALL,17 Des 19,"Rp1,177.64",-102
ALL,8 Jan 20,"Rp1,181.93",-97
ALL,29 Jan 20,"Rp1,185.97",-92
ALL,20 Feb 20,"Rp1,190.09",-87
ALL,13 Mar 20,"Rp1,194.20",-82
ALL,6 Apr 20,"Rp1,198.63",-77
ALL,27 Apr 20,"Rp1,202.43",-72
ALL,18 Mei 20,"Rp1,206.40",-67
ALL,8 Jun 20,"Rp1,210.29",-62
ALL,29 Jun 20,"Rp1,214.06",-57
ALL,21 Jul 20,"Rp1,218.03",-52
ALL,12 Agt 20,"Rp1,222.63",-47
ALL,3 Sep 20,"Rp1,226.77",-42
ALL,24 Sep 20,"Rp1,230.71",-37
ALL,16 Okt 20,"Rp1,234.57",-32
ALL,9 Nov 20,"Rp1,238.47",-27
ALL,30 Nov 20,"Rp1,242.04",-22
ALL,21 Des 20,"Rp1,245.56",-17
ALL,11 Jan 21,"Rp1,247.70",-12
ALL,2 Feb 21,"Rp1,251.17",-7
ALL,23 Feb 21,"Rp1,254.42",-2
ALL,17 Mar 21,"Rp1,257.59",3
ALL,8 Apr 21,"Rp1,260.39",8
ALL,29 Apr 21,"Rp1,262.85",13
ALL,21 Mei 21,"Rp1,265.31",18
ALL,14 Jun 21,"Rp1,268.01",23
ALL,5 Jul 21,"Rp1,270.24",28
ALL,26 Jul 21,"Rp1,272.48",33
ALL,16 Agt 21,"Rp1,274.53",38
ALL,7 Sep 21,"Rp1,276.69",43
ALL,29 Sep 21,"Rp1,278.99",48
ALL,21 Okt 21,"Rp1,280.92",53
ALL,11 Nov 21,"Rp1,283.06",58
ALL,3 Des 21,"Rp1,285.28",63
ALL,24 Des 21,"Rp1,287.53",68
ALL,17 Jan 22,"Rp1,290.15",73
ALL,7 Feb 22,"Rp1,292.40",78
ALL,1 Mar 22,"Rp1,294.81",83
ALL,21 Mar 22,"Rp1,296.28",88
ALL,12 Apr 22,"Rp1,297.35",93
ALL,9 Mei 22,"Rp1,300.02",98
ALL,25 Mei 22,"Rp1,301.36",103
ALL,16 Jun 22,"Rp1,304.46",108
ALL,8 Jul 22,"Rp1,306.71",113
ALL,1 Agt 22,"Rp1,310.20",118
ALL,22 Agt 22,"Rp1,313.22",123
ALL,12 Sep 22,"Rp1,314.62",128
ALL,3 Okt 22,"Rp1,317.01",133
ALL,24 Okt 22,"Rp1,318.98",138
ALL,15 Nov 22,"Rp1,321.78",143
ALL,7 Des 22,"Rp1,325.44",148
ALL,29 Des 22,"Rp1,328.87",153
ALL,19 Jan 23,"Rp1,332.02",158
ALL,10 Feb 23,"Rp1,334.95",163
ALL,6 Mar 23,"Rp1,339.17",168
ALL,27 Mar 23,"Rp1,342.52",173
ALL,17 Apr 23,"Rp1,347.97",178
ALL,8 Mei 23,"Rp1,351.09",183
ALL,30 Mei 23,"Rp1,354.53",188
ALL,20 Jun 23,"Rp1,358.03",193
ALL,12 Jul 23,"Rp1,361.68",198
ALL,3 Agt 23,"Rp1,365.34",203
ALL,25 Agt 23,"Rp1,367.94",208
ALL,15 Sep 23,"Rp1,370.11",213
ALL,9 Okt 23,"Rp1,374.88",218
ALL,31 Okt 23,"Rp1,378.15",223
ALL,20 Nov 23,"Rp1,382.11",228
ALL,11 Des 23,"Rp1,386.54",233
ALL,2 Jan 24,"Rp1,391.33",238
ALL,24 Jan 24,"Rp1,395.90",243
ALL,15 Feb 24,"Rp1,400.33",248
ALL,7 Mar 24,"Rp1,404.48",253
ALL,1 Apr 24,"Rp1,409.77",258
ALL,19 Apr 24,"Rp1,413.28",263
ALL,13 Mei 24,"Rp1,417.49",268
ALL,3 Jun 24,"Rp1,422.86",273
ALL,24 Jun 24,"Rp1,425.85",278
ALL,15 Jul 24,"Rp1,430.55",283
ALL,6 Agt 24,"Rp1,435.30",288
ALL,28 Agt 24,"Rp1,439.76",293
ALL,19 Sep 24,"Rp1,445.06",298
ALL,10 Okt 24,"Rp1,449.81",303
ALL,1 Nov 24,"Rp1,453.96",308
ALL,25 Nov 24,"Rp1,459.06",313
ALL,17 Des 24,"Rp1,463.29",318
ALL,6 Jan 25,"Rp1,467.76",323
ALL,22 Jan 25,"Rp1,472.02",328
ALL,22 Jan 25,"Rp1,472.02",333
ALL,22 Jan 25,"Rp1,472.02",338
ALL,22 Jan 25,"Rp1,472.02",343
