tanggal,data
2007-12-18,13690.0
2008-01-23,13850.0
2008-02-28,13790.0
2008-04-04,12640.0
2008-05-12,12550.0
2008-06-16,12310.0
2008-07-21,13000.0
2008-08-26,13340.0
2008-10-06,12640.0
2008-11-06,11930.0
2008-12-12,13270.0
2009-01-16,13730.0
2009-02-23,13060.0
2009-03-30,14000.0
2009-05-04,14610.0
2009-06-12,15310.0
2009-07-15,15740.0
2009-08-20,15618.5
2009-09-25,16239.999999999998
2009-11-02,16440.0
2009-12-07,16791.0
2010-01-11,17280.0
2010-02-15,17320.0
2010-03-23,17910.0
2010-04-28,18540.0
2010-06-03,18340.0
2010-07-09,19020.0
2010-08-16,19510.0
2010-09-20,19870.0
2010-10-25,20850.0
2010-11-30,20350.0
2011-01-04,20770.0
2011-02-09,19410.0
2011-03-17,20030.0
2011-04-25,20920.0
2011-05-30,21300.0
2011-07-04,21510.0
2011-08-08,22345.5
2011-09-13,23350.0
2011-10-19,23980.0
2011-11-24,23610.0
2011-12-29,24420.0
2012-02-03,25970.0
2012-03-12,25100.0
2012-04-16,25030.0
2012-05-21,24530.0
2012-06-26,24940.0
2012-08-01,25910.0
2012-09-06,25590.0
2012-10-12,26020.0
2012-11-19,26900.0
2012-12-26,27230.0
2013-01-28,27180.0
2013-03-04,27290.0
2013-04-09,26900.0
2013-05-15,27370.0
2013-06-20,25450.0
2013-07-26,23950.0
2013-09-02,23400.0
2013-10-07,24040.0
2013-11-11,24070.0
2013-12-17,23706.4
2014-01-21,23900.0
2014-02-26,24020.0
2014-04-03,25160.0
2014-05-09,25134.9
2014-06-16,25290.0
2014-07-21,25400.0
2014-08-25,25300.5
2014-09-30,25300.0
2014-11-05,26307.0
2014-12-11,26450.0
2015-01-15,27210.0
2015-02-20,28500.0
2015-03-30,28270.0
2015-05-04,27700.0
2015-06-08,26500.0
2015-07-14,27300.0
2015-08-19,26700.0
2015-09-25,25780.0
2015-10-30,26900.0
2015-12-07,27590.0
2016-01-11,27331.7
2016-02-15,28780.4
2016-03-21,29441.7
2016-04-26,30230.0
2016-06-01,30030.0
2016-07-11,31360.0
2016-08-12,32049.999999999996
2016-09-19,32040.0
2016-10-24,32040.0
2016-11-28,30250.0
2017-01-03,30900.0
2017-02-07,31540.0
2017-03-15,32100.0
2017-04-20,32943.3
2017-05-26,33330.0
2017-07-03,33720.0
2017-08-07,33820.0
2017-09-11,35260.0
2017-10-17,34980.0
2017-11-22,35220.0
2017-12-28,35854.8
2018-02-01,36380.0
2018-03-09,35480.0
2018-04-16,36210.0
2018-05-21,34570.0
2018-06-25,34530.0
2018-07-31,34363.8
2018-09-05,33370.0
2018-10-11,33460.0
2018-11-16,34560.0
2018-12-26,35060.0
2019-01-28,35030.0
2019-03-04,35960.0
2019-04-08,36660.0
2019-05-14,35980.0
2019-06-19,37330.0
2019-07-25,38550.0
2019-08-30,38310.0
2019-10-07,38820.0
2019-11-11,39660.0
2019-12-16,39360.0
2020-01-20,40330.0
2020-01-24,40790.0
2020-02-04,40792.4
2020-02-14,41140.0
2020-02-25,41240.0
2020-03-06,41240.0
2020-03-17,39630.0
2020-03-27,38600.0
2020-04-01,38550.0
2020-04-07,38240.0
2020-04-17,38910.0
2020-04-28,39000.0
2020-05-08,38739.2
2020-05-19,39590.0
2020-05-29,40140.0
2020-06-09,40494.5
2020-06-12,40540.0
2020-06-19,40680.0
2020-06-30,40940.0
2020-07-10,41250.0
2020-07-20,41430.0
2020-07-21,41530.0
