tanggal,data
2018-01-30,1054.68
2018-02-05,1057.88
2018-02-09,1049.17
2018-02-14,1062.12
2018-02-21,1068.02
2018-02-26,1041.95
2018-03-02,1051.01
2018-03-07,1007.74
2018-03-13,1010.84
2018-03-19,990.55
2018-03-23,971.53
2018-03-28,954.39
2018-04-03,974.72
2018-04-09,977.5
2018-04-13,978.22
2018-04-18,989.78
2018-04-23,983.33
2018-04-30,916.82
2018-05-04,880.12
2018-05-09,920.57
2018-05-14,926.59
2018-05-21,868.0
2018-05-25,920.81
2018-05-30,926.79
2018-06-04,925.56
2018-06-20,886.43
2018-06-25,881.48
2018-07-02,866.37
2018-07-06,860.86
2018-07-11,894.57
2018-07-16,894.52
2018-07-23,902.65
2018-07-27,912.69
2018-08-01,919.72
2018-08-06,937.34
2018-08-13,889.59
2018-08-20,892.88
2018-08-23,912.65
2018-08-27,921.92
2018-09-03,908.3
2018-09-07,897.53
2018-09-12,881.37
2018-09-17,884.34
2018-09-24,897.84
2018-09-28,916.42
2018-10-03,896.21
2018-10-08,875.72
2018-10-15,873.61
2018-10-19,890.93
2018-10-24,864.54
2018-10-29,878.19
2018-11-05,921.16
2018-11-09,905.85
2018-11-14,901.2
2018-11-19,932.26
2018-11-26,938.82
2018-11-30,941.43
2018-12-05,955.45
2018-12-10,950.18
2018-12-17,945.37
2018-12-20,958.71
2018-12-26,953.57
2019-01-02,956.6
2019-01-07,973.37
2019-01-10,980.09
2019-01-16,989.25
2019-01-21,997.73
2019-01-28,985.0
2019-01-31,1001.98
2019-02-06,997.35
2019-02-11,985.16
2019-02-18,982.5
2019-02-21,987.17
2019-02-27,984.89
2019-03-04,979.62
2019-03-11,959.2
2019-03-14,966.85
2019-03-20,982.11
2019-03-25,966.54
2019-04-01,977.65
2019-04-04,988.0
2019-04-10,987.88
2019-04-15,976.45
2019-04-22,976.44
2019-04-25,974.17
2019-04-30,988.15
2019-05-06,957.06
2019-05-13,936.91
2019-05-16,894.11
2019-05-21,903.69
2019-05-27,940.99
2019-06-10,982.25
2019-06-11,981.85
2019-06-17,964.94
2019-06-24,979.51
2019-06-27,991.24
2019-07-02,1003.22
2019-07-08,994.69
2019-07-15,1009.15
2019-07-18,1004.58
2019-07-23,1005.47
2019-07-29,986.14
2019-08-05,952.8
2019-08-08,966.06
2019-08-13,951.87
2019-08-19,957.86
2019-08-26,942.12
2019-08-29,956.63
2019-09-03,952.26
2019-09-09,964.43
2019-09-16,956.87
2019-09-19,955.28
2019-09-24,935.84
2019-09-30,940.89
2019-10-07,903.53
2019-10-10,903.65
2019-10-15,929.06
2019-10-21,945.06
2019-10-28,963.32
2019-10-31,953.73
2019-11-05,969.07
2019-11-11,947.64
2019-11-18,941.74
2019-11-21,950.0
2019-11-26,928.77
2019-12-02,949.58
2019-12-09,962.29
2019-12-12,950.06
2019-12-17,975.69
2019-12-23,989.2
2019-12-27,990.35
2020-01-02,979.38
2020-01-07,982.62
2020-01-13,993.08
2020-01-17,996.21
2020-01-23,992.86
2020-01-28,970.81
2020-02-03,928.08
2020-02-05,949.79
2020-02-07,948.52
2020-02-10,940.68
2020-02-13,926.32
2020-02-17,926.18
2020-02-18,926.96
2020-02-20,940.19
2020-02-24,914.56
2020-02-28,860.51
2020-03-03,874.07
2020-03-05,902.05
2020-03-06,870.25
2020-03-10,817.4
2020-03-16,722.54
2020-03-18,649.14
2020-03-20,620.26
2020-03-23,580.22
2020-03-26,646.82
2020-03-30,666.79
2020-03-31,687.0
2020-04-02,685.24
2020-04-06,727.84
2020-04-09,690.04
2020-04-13,682.9
2020-04-16,650.39
2020-04-17,680.96
2020-04-20,669.17
2020-04-21,656.74
2020-04-24,654.67
2020-04-27,660.95
2020-04-28,661.48
2020-05-04,678.81
2020-05-05,679.82
2020-05-06,676.36
2020-05-11,683.38
2020-05-12,670.24
2020-05-13,664.39
