tanggal,data
2013-07-04,1000.77
2013-07-12,1001.97
2013-07-22,1003.47
2013-07-30,1004.51
2013-08-12,1006.63
2013-08-16,1007.27
2013-08-26,1008.85
2013-09-02,1009.96
2013-09-11,1011.39
2013-09-20,1012.81
2013-09-30,1014.47
2013-10-07,1015.73
2013-10-16,1017.34
2013-10-24,1018.78
2013-11-04,1020.84
2013-11-11,1022.19
2013-11-19,1023.73
2013-11-28,1025.43
2013-12-09,1027.69
2013-12-16,1029.13
2013-12-24,1030.08
2014-01-02,1030.19
2014-01-10,1025.83
2014-01-20,1027.86
2014-01-28,1029.48
2014-02-05,1031.06
2014-02-14,1032.79
2014-02-24,1034.78
2014-03-03,1036.22
2014-03-12,1037.96
2014-03-21,1039.77
2014-04-01,1042.09
2014-04-07,1043.42
2014-04-16,1045.4
2014-04-24,1047.17
2014-05-05,1049.5
2014-05-12,1051.08
2014-05-20,1052.87
2014-05-30,1055.11
2014-06-09,1057.33
2014-06-16,1058.89
2014-06-24,1060.63
2014-07-03,1062.66
2014-07-11,1064.49
2014-07-21,1066.78
2014-08-04,1069.97
2014-08-06,1070.42
2014-08-15,1072.6
2014-08-25,1074.9
2014-09-01,1076.51
2014-09-10,1078.28
2014-09-18,1080.08
2014-09-29,1082.57
2014-10-06,1084.2
2014-10-14,1086.09
2014-10-23,1088.25
2014-11-03,1090.9
2014-11-10,1092.52
2014-11-18,1094.37
2014-11-27,1096.54
2014-12-05,1098.42
2014-12-15,1100.69
2014-12-23,1105.86
2015-01-02,1107.88
2015-01-09,1109.54
2015-01-19,1111.91
2015-01-26,1113.91
2015-02-04,1116.29
2015-02-13,1118.35
2015-02-23,1120.56
2015-03-02,1121.94
2015-03-11,1123.67
2015-03-19,1125.3
2015-03-30,1127.73
2015-04-06,1129.35
2015-04-14,1131.19
2015-04-23,1133.04
2015-05-04,1135.44
2015-05-11,1136.74
2015-05-19,1138.2
2015-05-28,1139.87
2015-06-05,1141.39
2015-06-15,1143.48
2015-06-23,1145.19
2015-07-01,1146.83
2015-07-10,1148.91
2015-07-22,1151.1
2015-07-27,1151.74
2015-08-05,1152.95
2015-08-14,1154.67
2015-08-24,1156.35
2015-08-31,1157.4
2015-09-09,1159.17
2015-09-17,1160.73
2015-09-28,1163.04
2015-10-05,1164.52
2015-10-13,1166.22
2015-10-22,1168.16
2015-11-02,1170.52
2015-11-09,1172.02
2015-11-17,1173.7
2015-11-26,1175.66
2015-12-04,1177.37
2015-12-14,1179.53
2015-12-22,1181.31
2015-12-30,1183.11
2016-01-08,1185.16
2016-01-18,1187.45
2016-01-25,1189.04
2016-02-03,1191.07
2016-02-12,1193.1
2016-02-22,1195.31
2016-02-29,1196.84
2016-03-10,1199.03
2016-03-17,1200.58
2016-03-28,1202.92
2016-04-04,1204.4
2016-04-12,1206.06
2016-04-21,1207.88
2016-04-29,1209.51
2016-05-09,1211.55
2016-05-17,1213.2
2016-05-25,1214.68
2016-06-03,1216.48
2016-06-13,1218.52
2016-06-20,1219.91
2016-06-29,1221.72
2016-07-11,1224.17
2016-07-18,1226.06
2016-07-25,1227.47
2016-08-03,1229.3
2016-08-11,1230.46
2016-08-22,1232.63
2016-08-29,1234.07
2016-09-06,1235.62
2016-09-15,1237.41
2016-09-26,1239.64
2016-10-03,1241.07
2016-10-11,1242.69
2016-10-20,1244.48
2016-10-28,1246.1
2016-11-07,1248.13
2016-11-15,1249.75
2016-11-23,1251.36
2016-12-02,1253.21
2016-12-13,1255.49
2016-12-19,1256.75
2016-12-28,1258.66
2017-01-06,1260.53
2017-01-16,1262.56
2017-01-23,1263.99
2017-02-01,1265.94
2017-02-09,1267.58
2017-02-20,1269.72
2017-02-27,1271.11
2017-03-07,1272.73
2017-03-16,1274.63
2017-03-27,1276.93
2017-04-03,1278.34
2017-04-11,1279.97
2017-04-20,1281.76
2017-04-28,1283.37
2017-05-08,1285.38
2017-05-16,1286.96
2017-05-24,1288.48
2017-06-02,1290.23
2017-06-12,1292.18
2017-06-19,1293.52
2017-07-03,1296.66
2017-07-07,1297.44
2017-07-17,1299.39
2017-07-24,1300.74
2017-08-02,1302.51
2017-08-10,1304.06
2017-08-21,1306.14
2017-08-28,1307.44
2017-09-05,1308.67
2017-09-14,1310.42
2017-09-25,1312.53
2017-10-02,1313.87
2017-10-10,1315.44
2017-10-19,1317.24
2017-10-27,1318.78
2017-11-06,1320.73
2017-11-14,1322.3
2017-11-22,1323.83
2017-12-04,1326.13
2017-12-11,1327.51
2017-12-18,1328.81
2017-12-27,1330.54
2018-01-04,1332.07
2018-01-15,1334.15
2018-01-22,1335.51
2018-01-30,1337.02
2018-02-08,1338.68
2018-02-19,1340.59
2018-02-26,1341.56
2018-03-06,1342.99
2018-03-15,1344.59
2018-03-23,1346.21
2018-04-02,1347.93
2018-04-10,1349.3
2018-04-18,1350.62
2018-04-27,1352.11
2018-05-07,1353.82
2018-05-14,1355.0
2018-05-23,1356.48
2018-06-04,1358.57
2018-06-20,1361.01
2018-06-27,1361.01
2018-07-05,1361.01
2018-07-16,1361.76
2018-07-23,1363.04
2018-07-31,1364.49
2018-08-09,1366.15
2018-08-20,1368.05
2018-08-27,1369.34
2018-09-04,1370.79
2018-09-13,1372.46
2018-09-21,1374.03
2018-10-01,1375.95
2018-10-09,1377.47
2018-10-17,1379.15
2018-10-26,1381.05
2018-11-05,1383.14
2018-11-12,1384.6
2018-11-21,1386.54
2018-11-30,1388.49
2018-12-10,1390.68
2018-12-17,1392.11
2019-01-02,1392.14
2019-01-03,1392.39
2019-01-14,1395.04
2019-01-21,1396.72
2019-01-29,1398.64
2019-02-07,1400.79
2019-02-18,1400.89
2019-02-25,1400.89
2019-03-05,1400.89
2019-03-14,1401.59
2019-03-22,1403.42
2019-04-01,1405.7
2019-04-09,1407.52
2019-04-18,1409.61
2019-04-26,1411.47
2019-05-06,1413.79
2019-05-13,1415.23
2019-05-22,1415.48
2019-05-31,1417.56
2019-06-10,1419.89
2019-06-17,1421.54
2019-06-26,1423.67
2019-07-04,1425.57
2019-07-15,1428.12
2019-07-22,1429.7
2019-07-30,1431.46
2019-08-08,1433.75
2019-08-16,1435.42
2019-08-26,1437.5
2019-09-03,1439.27
2019-09-11,1441.3
2019-09-20,1443.3
2019-09-30,1445.62
2019-10-07,1447.29
2019-10-16,1449.4
2019-10-25,1451.43
2019-11-04,1453.67
2019-11-11,1455.27
2019-11-20,1457.43
2019-11-28,1459.36
2019-12-09,1461.87
2019-12-16,1463.46
2019-12-26,1465.68
2020-01-02,1467.28
2020-01-13,1470.13
2020-01-20,1472.58
2020-01-28,1474.43
2020-02-03,1475.68
2020-02-05,1476.63
2020-02-06,1476.92
2020-02-10,1477.79
2020-02-13,1478.55
2020-02-14,1478.8
2020-02-17,1479.52
2020-02-20,1480.74
