tanggal,data
2013-01-03,1000.93
2013-01-14,1002.58
2013-01-21,1003.63
2013-01-30,1004.79
2013-02-08,1005.99
2013-02-18,1007.45
2013-02-26,1008.63
2013-03-07,1009.95
2013-03-18,1011.56
2013-03-25,1012.58
2013-04-03,1013.66
2013-04-12,1015.25
2013-04-22,1016.67
2013-04-30,1017.87
2013-05-10,1019.34
2013-05-20,1020.77
2013-05-28,1021.96
2013-06-07,1023.47
2013-06-17,1024.94
2013-06-24,1026.0
2013-07-03,1027.34
2013-07-12,1028.67
2013-07-22,1030.15
2013-07-30,1031.15
2013-08-12,1033.5
2013-08-19,1034.29
2013-08-26,1035.39
2013-09-04,1036.84
2013-09-13,1038.38
2013-09-23,1040.01
2013-10-01,1041.38
2013-10-10,1042.95
2013-10-21,1044.79
2013-10-28,1046.09
2013-11-06,1047.85
2013-11-15,1049.47
2013-11-25,1051.44
2013-12-03,1053.03
2013-12-12,1054.76
2013-12-23,1057.02
2013-12-30,1058.47
2014-01-08,1060.45
2014-01-17,1062.44
2014-01-27,1064.51
2014-02-04,1066.37
2014-02-13,1068.23
2014-02-24,1070.96
2014-03-04,1073.28
2014-03-13,1075.34
2014-03-24,1077.56
2014-04-01,1079.38
2014-04-10,1081.52
2014-04-21,1084.16
2014-04-28,1085.76
2014-05-06,1087.55
2014-05-16,1089.82
2014-05-26,1091.29
2014-06-02,1092.78
2014-06-11,1094.91
2014-06-20,1097.07
2014-06-30,1099.35
2014-07-08,1101.36
2014-07-17,1103.55
2014-08-04,1107.91
2014-08-13,1109.87
2014-08-22,1112.09
2014-09-01,1114.5
2014-09-09,1116.43
2014-09-18,1118.63
2014-09-29,1121.26
2014-10-06,1123.01
2014-10-15,1125.25
2014-10-24,1127.45
2014-11-03,1129.19
2014-11-12,1131.35
2014-11-21,1133.51
2014-12-01,1135.92
2014-12-09,1137.63
2014-12-18,1139.81
2014-12-29,1142.48
2015-01-05,1144.23
2015-01-14,1146.41
2015-01-23,1148.61
2015-02-02,1151.11
2015-02-10,1153.15
2015-02-20,1155.52
2015-03-02,1157.92
2015-03-09,1159.6
2015-03-18,1161.9
2015-03-27,1163.93
2015-04-06,1166.63
2015-04-14,1168.29
2015-04-23,1170.48
2015-05-04,1173.04
2015-05-11,1174.65
2015-05-20,1176.7
2015-05-29,1178.74
2015-06-08,1180.98
2015-06-16,1182.95
2015-06-25,1184.89
2015-07-06,1187.39
2015-07-13,1189.02
2015-07-22,1191.39
2015-08-03,1194.14
2015-08-10,1195.77
2015-08-19,1197.93
2015-08-28,1199.97
2015-09-07,1202.19
2015-09-15,1203.92
2015-09-25,1206.01
2015-10-05,1209.56
2015-10-12,1211.48
2015-10-21,1213.59
2015-10-30,1215.76
2015-11-09,1218.16
2015-11-17,1220.1
2015-11-26,1222.56
2015-12-07,1225.34
2015-12-14,1226.87
2015-12-23,1229.7
2016-01-04,1232.45
2016-01-11,1234.27
2016-01-19,1236.31
2016-01-28,1238.54
2016-02-09,1241.48
2016-02-15,1242.89
2016-02-24,1244.63
2016-03-04,1247.01
2016-03-14,1249.42
2016-03-22,1251.43
2016-03-31,1253.57
2016-04-11,1256.08
2016-04-19,1257.96
2016-04-28,1260.14
2016-05-09,1262.59
2016-05-16,1264.04
2016-05-25,1265.93
2016-06-03,1267.81
2016-06-13,1270.14
2016-06-21,1271.37
2016-06-30,1273.35
2016-07-11,1276.78
2016-07-18,1278.27
2016-07-27,1280.49
2016-08-05,1282.43
2016-08-15,1284.49
2016-08-23,1286.31
2016-09-01,1288.2
2016-09-13,1290.96
2016-09-19,1292.4
2016-09-28,1294.2
2016-10-07,1296.27
2016-10-17,1298.84
2016-10-25,1300.59
2016-11-03,1302.51
2016-11-14,1305.07
2016-11-21,1306.7
2016-11-30,1308.79
2016-12-09,1310.95
2016-12-19,1313.49
2016-12-27,1315.38
2017-01-23,1323.97
2017-01-24,1324.19
2017-02-06,1326.82
2017-02-13,1328.31
2017-02-20,1329.87
2017-03-01,1332.25
2017-03-10,1334.36
2017-03-21,1336.84
2017-03-29,1338.68
2017-04-10,1341.18
2017-04-20,1343.59
2017-04-27,1345.27
2017-05-03,1346.46
2017-05-12,1348.21
2017-05-22,1350.38
2017-05-30,1352.17
