tanggal,data
2016-08-22,999.89
2016-08-29,998.13
2016-09-05,1002.82
2016-09-13,1000.15
2016-09-19,998.71
2016-09-23,1003.86
2016-09-29,1003.37
2016-10-06,1002.31
2016-10-12,998.03
2016-10-18,999.15
2016-10-24,998.59
2016-10-31,994.4
2016-11-07,989.09
2016-11-14,969.56
2016-11-21,960.94
2016-11-25,946.77
2016-12-01,952.21
2016-12-08,973.39
2016-12-14,970.13
2016-12-20,964.67
2016-12-27,965.28
2017-01-03,965.35
2017-01-09,975.48
2017-01-16,983.75
2017-01-23,988.15
2017-01-27,986.4
2017-02-03,984.96
2017-02-09,988.7
2017-02-16,990.7
2017-02-21,989.2
2017-02-28,990.42
2017-03-06,994.71
2017-03-13,996.63
2017-03-20,1005.19
2017-03-27,1012.25
2017-03-31,1017.44
2017-04-07,1017.0
2017-04-13,1019.67
2017-04-20,1021.56
2017-04-26,1023.53
2017-05-02,1024.75
2017-05-08,1024.77
2017-05-15,1023.96
2017-05-22,1029.78
2017-05-29,1031.08
2017-06-05,1034.74
2017-06-09,1036.5
2017-06-15,1037.55
2017-06-21,1039.61
2017-07-03,1041.64
2017-07-04,1040.75
2017-07-10,1033.28
2017-07-17,1036.24
2017-07-24,1043.18
2017-07-31,1041.97
2017-08-07,1041.89
2017-08-11,1044.67
2017-08-18,1047.75
2017-08-24,1050.37
2017-08-30,1061.67
2017-09-05,1068.57
2017-09-12,1080.38
2017-09-18,1077.54
2017-09-25,1084.48
2017-10-02,1085.3
2017-10-09,1082.56
2017-10-13,1086.25
2017-10-19,1086.14
2017-10-26,1079.93
2017-11-01,1082.14
2017-11-07,1087.65
2017-11-14,1088.24
2017-11-20,1091.47
2017-11-27,1095.67
2017-12-04,1100.17
2017-12-11,1102.79
2017-12-15,1104.55
2017-12-22,1108.59
2017-12-28,1111.64
2018-01-03,1119.98
2018-01-10,1121.58
2018-01-16,1126.96
2018-01-22,1127.47
2018-01-29,1119.88
2018-02-05,1118.3
2018-02-12,1117.29
2018-02-19,1113.89
2018-02-23,1107.88
2018-03-01,1103.5
2018-03-07,1104.64
2018-03-14,1108.6
2018-03-20,1110.62
