tanggal,data
2014-04-14,1003.6
2014-04-21,1008.73
2014-04-30,1003.31
2014-05-08,1011.43
2014-05-16,1053.97
2014-05-26,1036.63
2014-06-02,1018.05
2014-06-09,1012.62
2014-06-17,1026.45
2014-06-25,1009.1
2014-07-03,1017.06
2014-07-11,1058.04
2014-07-21,1081.67
2014-08-04,1071.27
2014-08-05,1068.73
2014-08-13,1076.86
2014-08-21,1082.84
2014-08-29,1059.72
2014-09-08,1082.91
2014-09-15,1066.12
2014-09-22,1079.49
2014-09-30,1057.97
2014-10-08,1024.03
2014-10-16,1022.61
2014-10-24,1049.22
2014-11-03,1054.04
2014-11-10,1022.08
2014-11-18,1063.47
2014-11-26,1082.35
2014-12-04,1101.92
2014-12-12,1096.63
2014-12-22,1084.67
2014-12-29,1093.82
2015-01-05,1104.18
2015-01-13,1100.68
2015-01-21,1101.35
2015-01-29,1117.89
2015-02-06,1137.51
2015-02-16,1133.28
2015-02-23,1158.38
2015-03-03,1163.65
2015-03-11,1141.57
2015-03-19,1152.12
2015-03-27,1135.29
2015-04-06,1167.98
2015-04-13,1150.72
2015-04-20,1144.32
2015-04-28,1107.75
2015-05-06,1090.84
2015-05-15,1104.01
2015-05-22,1129.88
2015-06-01,1113.07
2015-06-08,1058.55
2015-06-16,1017.82
2015-06-24,1042.31
2015-07-02,1041.6
2015-07-10,1026.98
2015-07-22,1040.26
2015-07-27,1005.75
2015-08-03,1006.02
2015-08-11,971.93
2015-08-19,946.83
2015-08-27,945.88
2015-09-04,931.57
2015-09-14,923.66
2015-09-21,917.35
2015-09-29,877.24
2015-10-07,950.17
2015-10-15,960.42
2015-10-23,1012.79
2015-11-02,957.54
2015-11-09,960.68
2015-11-16,950.63
2015-11-24,972.82
2015-12-02,974.83
2015-12-10,965.03
2015-12-21,974.05
2015-12-28,987.9
2016-01-04,1000.01
2016-01-12,1077.1
2016-01-20,1067.21
2016-01-28,1007.04
2016-02-05,1053.13
2016-02-15,1047.18
2016-02-22,1011.21
2016-02-29,1036.5
2016-03-08,1042.93
2016-03-16,1059.19
2016-03-24,1053.33
2016-04-04,1063.48
2016-04-11,1042.8
2016-04-18,1056.36
2016-04-26,1045.37
2016-05-04,1045.99
2016-05-12,1040.56
2016-05-20,1023.37
2016-05-30,1053.83
2016-06-06,1069.14
2016-06-13,1045.99
2016-06-21,1064.07
2016-06-29,1094.74
2016-07-11,1110.64
2016-07-18,1113.71
2016-07-25,1129.8
2016-08-01,1159.35
2016-08-09,1184.33
2016-08-18,1188.27
2016-08-25,1178.06
2016-09-02,1152.19
2016-09-13,1116.67
2016-09-19,1138.95
2016-09-26,1142.79
2016-10-04,1165.02
2016-10-13,1128.93
2016-10-21,1139.38
2016-10-31,1134.71
2016-11-07,1114.36
2016-11-14,1049.34
2016-11-22,1057.12
2016-11-30,1052.27
2016-12-08,1088.99
2016-12-16,1063.61
2016-12-27,1031.17
2017-01-03,1071.05
2017-01-09,1080.82
2017-01-17,1067.26
2017-01-26,1074.51
2017-02-03,1084.71
2017-02-13,1093.72
2017-02-20,1081.31
2017-02-27,1088.44
2017-03-07,1083.08
2017-03-15,1083.87
2017-03-23,1116.04
2017-03-31,1113.42
2017-04-10,1121.57
2017-04-17,1109.57
2017-04-25,1123.15
2017-05-03,1119.75
2017-05-12,1122.63
2017-05-19,1144.73
2017-05-29,1122.42
2017-06-05,1139.49
2017-06-12,1126.33
2017-06-20,1147.99
2017-07-03,1170.59
2017-07-06,1156.92
2017-07-14,1149.69
2017-07-24,1145.45
2017-07-31,1151.02
2017-08-08,1138.68
2017-08-16,1149.57
2017-08-24,1148.0
2017-09-04,1136.96
2017-09-11,1154.42
2017-09-18,1149.14
2017-09-25,1147.61
2017-10-03,1155.14
2017-10-11,1151.43
2017-10-19,1154.51
2017-11-02,1170.94
2017-11-08,1173.93
2017-11-15,1153.16
2017-11-21,1164.79
2017-11-29,1177.06
2017-12-07,1169.54
2017-12-15,1184.61
2017-12-27,1223.78
2018-01-02,1234.43
2018-01-08,1245.22
2018-01-16,1259.81
2018-01-24,1295.99
2018-02-01,1277.94
2018-02-09,1258.63
2018-02-19,1297.09
2018-02-26,1262.32
2018-03-06,1240.37
2018-03-14,1200.36
2018-03-22,1172.57
2018-04-02,1178.01
2018-04-09,1178.06
2018-04-16,1188.29
2018-04-23,1198.42
2018-05-02,1128.1
2018-05-09,1102.18
2018-05-17,1092.37
2018-05-25,1135.83
2018-06-04,1138.98
2018-06-20,1104.01
2018-06-27,1071.1
2018-07-05,1048.41
2018-07-13,1081.47
2018-07-23,1079.54
2018-07-30,1111.18
2018-08-06,1108.78
2018-08-14,1036.68
2018-08-23,1076.03
2018-08-30,1075.41
2018-09-07,1034.37
2018-09-17,1023.36
2018-09-24,1032.53
2018-10-02,1034.19
2018-10-10,1017.41
2018-10-18,1019.03
2018-10-26,1002.59
2018-11-05,1038.22
2018-11-12,1010.0
2018-11-19,1058.72
2018-11-27,1058.39
2018-12-05,1086.33
2018-12-13,1091.76
2018-12-26,1078.04
2019-01-02,1086.57
2019-01-07,1116.58
2019-01-15,1143.31
2019-01-23,1142.26
2019-01-31,1150.79
2019-02-08,1140.32
2019-02-18,1129.43
2019-02-25,1133.28
2019-03-04,1135.62
2019-03-12,1113.45
2019-03-20,1133.7
2019-03-28,1132.1
2019-04-08,1132.93
2019-04-15,1132.23
2019-04-22,1130.18
2019-04-30,1140.8
2019-05-08,1107.29
2019-05-16,1034.85
2019-05-24,1073.57
2019-06-10,1127.57
2019-06-17,1112.41
2019-06-25,1131.24
2019-07-03,1148.68
2019-07-12,1151.68
2019-07-22,1158.16
2019-07-29,1141.11
2019-08-05,1105.82
2019-08-13,1115.35
2019-08-21,1120.14
2019-08-29,1117.06
2019-09-06,1116.05
2019-09-16,1103.94
2019-09-23,1098.63
2019-09-30,1091.48
2019-10-08,1060.7
2019-10-17,1089.28
2019-10-25,1111.19
2019-11-04,1092.22
2019-11-11,1091.48
2019-11-18,1084.94
2019-11-26,1065.75
2019-12-04,1073.91
2019-12-12,1087.9
2019-12-20,1120.99
2019-12-30,1115.41
2020-01-06,1115.94
2020-01-13,1132.11
2020-01-21,1123.9
2020-01-30,1090.87
2020-02-03,1058.36
2020-02-05,1081.05
2020-02-07,1083.49
2020-02-10,1073.79
2020-02-13,1052.6
2020-02-17,1056.26
2020-02-20,1073.8
2020-02-24,1045.01
2020-02-28,981.52
2020-03-02,963.66
2020-03-03,997.87
2020-03-06,991.25
2020-03-10,926.15
2020-03-16,807.4
2020-03-18,725.89
2020-03-23,653.82
2020-03-26,718.73
2020-03-30,736.91
2020-04-02,759.41
2020-04-03,774.06
2020-04-06,814.68
2020-04-09,775.55
2020-04-13,770.93
2020-04-17,766.37
2020-04-20,753.73
2020-04-24,732.45
2020-04-27,738.67
2020-04-28,741.67
2020-05-04,756.36
2020-05-05,759.26
2020-05-06,760.22
2020-05-11,775.2
2020-05-13,756.37
2020-05-14,747.44
2020-05-18,750.88
2020-05-20,758.55
2020-05-26,776.41
2020-05-28,797.73
2020-06-02,835.92
2020-06-04,851.46
2020-06-08,887.4
2020-06-12,847.92
2020-06-15,836.23
2020-06-19,864.57
2020-06-23,854.03
2020-06-29,863.67
2020-06-30,862.95
2020-07-01,864.48
2020-07-06,881.17
2020-07-08,898.69
2020-07-09,891.54
2020-07-13,893.33
2020-07-15,895.75
2020-07-17,895.63
2020-07-20,888.32
2020-07-23,910.02
2020-07-27,906.6
2020-07-30,909.5
2020-08-03,878.72
2020-08-07,908.33
2020-08-10,907.8
2020-08-11,915.88
2020-08-14,930.82
2020-08-18,943.13
2020-08-19,938.74
2020-08-24,939.15
2020-08-25,953.98
2020-08-27,954.72
2020-08-31,925.77
2020-09-02,943.36
2020-09-04,926.83
2020-09-07,926.49
2020-09-09,904.75
2020-09-14,903.81
2020-09-17,872.93
2020-09-21,864.42
2020-09-24,834.56
2020-09-28,845.22
2020-10-02,845.39
2020-10-05,850.85
2020-10-06,859.2
2020-10-09,869.43
2020-10-13,880.68
2020-10-14,890.82
2020-10-19,886.33
2020-10-20,881.45
2020-10-22,880.26
2020-10-26,889.39
2020-11-02,883.21
2020-11-04,876.65
2020-11-09,932.15
2020-11-12,961.18
2020-11-16,967.94
2020-11-19,981.77
2020-11-23,996.51
2020-11-24,1001.56
2020-11-27,1016.77
2020-12-01,1000.82
2020-12-02,1019.24
2020-12-04,1011.76
2020-12-08,1029.85
2020-12-10,1028.06
2020-12-14,1032.41
2020-12-15,1035.29
2020-12-18,1051.21
2020-12-21,1060.38
2020-12-23,1028.29
2020-12-28,1045.42
2020-12-30,1027.83
2021-01-04,1049.7
2021-01-07,1043.29
2021-01-11,1082.58
2021-01-14,1079.04
2021-01-18,1082.53
2021-01-19,1072.96
2021-01-22,1069.67
2021-01-26,1041.96
2021-01-27,1042.9
2021-01-29,989.9
2021-02-02,1014.83
2021-02-04,1022.87
2021-02-08,1034.08
2021-02-10,1026.03
2021-02-15,1033.52
2021-02-17,1016.43
2021-02-22,1017.85
2021-02-24,1016.28
2021-03-01,1033.63
2021-03-04,1014.14
2021-03-08,1008.69
2021-03-09,1000.98
2021-03-12,1025.22
2021-03-15,1018.23
2021-03-17,1015.35
2021-03-19,1031.89
2021-03-23,1010.72
2021-03-25,997.92
2021-03-26,1011.14
2021-03-30,988.25
2021-04-05,969.22
2021-04-07,980.83
2021-04-12,961.97
2021-04-14,986.92
2021-04-19,987.09
2021-04-22,979.33
2021-04-26,979.91
2021-04-29,984.68
2021-05-03,975.57
2021-05-04,980.2
2021-05-06,979.18
2021-05-10,978.92
2021-05-17,955.88
2021-05-18,957.23
2021-05-20,952.4
2021-05-21,945.64
2021-05-25,955.42
2021-05-28,955.36
2021-05-31,976.95
2021-06-02,994.61
2021-06-07,995.09
2021-06-09,992.76
2021-06-14,988.71
2021-06-17,969.41
2021-06-21,951.77
2021-06-22,960.59
