tanggal,data
2024-04-04,998.93
2024-04-05,992.47
2024-04-16,954.76
2024-04-17,953.93
2024-04-18,968.81
2024-04-19,953.33
2024-04-22,951.61
2024-04-23,967.18
2024-04-24,978.44
2024-04-25,964.17
2024-04-26,931.35
2024-04-29,940.64
2024-04-30,950.72
2024-05-02,907.56
2024-05-03,912.48
2024-05-06,917.15
2024-05-07,904.8
2024-05-08,892.4
2024-05-13,895.88
2024-05-15,912.47
2024-05-16,918.57
2024-05-17,935.12
2024-05-20,909.02
2024-05-21,885.04
2024-05-22,889.59
2024-05-27,866.77
2024-05-28,870.31
2024-05-29,850.91
2024-05-30,845.13
2024-05-31,851.3
2024-06-03,872.17
2024-06-04,872.21
2024-06-05,867.68
2024-06-06,881.53
2024-06-07,869.44
2024-06-10,877.85
2024-06-11,860.19
2024-06-12,852.05
2024-06-13,847.52
2024-06-14,833.85
2024-06-19,823.96
2024-06-20,853.9
2024-06-21,877.17
2024-06-24,871.15
2024-06-25,866.84
2024-06-26,860.0
2024-06-27,880.41
2024-06-28,900.34
2024-07-01,904.73
2024-07-02,899.85
2024-07-03,904.55
2024-07-04,912.54
2024-07-05,925.07
2024-07-08,917.85
2024-07-09,933.99
2024-07-10,932.67
2024-07-11,932.79
2024-07-12,939.86
2024-07-15,931.25
2024-07-16,921.83
2024-07-17,922.77
2024-07-18,944.44
2024-07-19,944.98
2024-07-22,950.99
2024-07-23,942.44
2024-07-24,934.33
2024-07-25,937.83
2024-07-26,941.17
2024-07-29,937.92
2024-07-30,927.83
2024-07-31,929.21
2024-08-01,950.14
2024-08-02,943.87
2024-08-05,911.74
2024-08-06,922.74
2024-08-07,931.8
2024-08-08,939.37
2024-08-09,940.96
2024-08-12,944.84
2024-08-13,954.89
2024-08-14,961.81
2024-08-15,960.84
2024-08-16,966.17
2024-08-19,970.1
2024-08-20,983.3
2024-08-21,994.08
2024-08-22,978.12
2024-08-23,987.25
2024-08-26,997.88
2024-08-27,983.53
2024-08-28,992.44
2024-08-29,981.84
2024-08-30,987.73
2024-09-02,990.1
2024-09-03,982.78
2024-09-04,984.62
2024-09-05,988.01
2024-09-06,999.13
2024-09-09,995.71
2024-09-10,1002.47
2024-09-11,1004.1
2024-09-12,1003.29
2024-09-17,1017.34
2024-09-18,1023.96
2024-09-19,1037.58
2024-09-20,1027.31
2024-09-23,1046.4
2024-09-24,1042.37
2024-09-25,1020.61
2024-09-26,999.47
2024-09-27,994.44
2024-09-30,968.92
2024-10-01,988.07
2024-10-02,974.95
2024-10-03,975.4
2024-10-04,968.23
2024-10-07,956.14
2024-10-08,977.06
2024-10-09,969.01
2024-10-10,967.39
2024-10-11,966.44
2024-10-14,970.55
2024-10-15,980.8
2024-10-16,975.76
2024-10-17,993.46
2024-10-18,994.32
2024-10-21,993.35
2024-10-22,977.89
2024-10-23,980.56
2024-10-24,976.23
2024-10-25,977.2
2024-10-28,962.4
2024-10-29,952.66
2024-10-30,944.96
2024-10-31,945.99
2024-11-01,942.97
2024-11-05,957.08
2024-11-06,932.71
2024-11-08,906.64
2024-11-11,903.08
2024-11-12,908.89
2024-11-13,915.61
2024-11-14,907.08
2024-11-15,906.21
2024-11-18,891.5
2024-11-19,886.88
2024-11-20,888.59
2024-11-21,873.44
2024-11-25,914.24
2024-11-26,897.62
2024-11-28,895.77
2024-11-29,880.77
2024-12-02,859.26
2024-12-03,888.37
2024-12-04,900.34
2024-12-05,887.59
2024-12-06,887.73
2024-12-09,908.36
2024-12-10,905.5
2024-12-11,908.81
2024-12-12,884.78
2024-12-13,870.17
2024-12-16,876.02
2024-12-17,856.47
2024-12-18,848.1
2024-12-19,833.44
2024-12-20,830.58
2024-12-23,850.22
2024-12-24,846.18
2024-12-27,851.4
2024-12-30,842.79
2025-01-02,866.11
2025-01-03,858.32
2025-01-06,843.73
2025-01-07,831.2
2025-01-08,843.64
2025-01-09,846.13
2025-01-10,835.75
2025-01-13,819.44
2025-01-14,806.06
2025-01-15,849.21
2025-01-16,857.51
2025-01-17,857.46
2025-01-20,863.99
2025-01-21,868.56
2025-01-22,873.18
2025-01-23,874.72
2025-01-24,857.59
2025-01-30,846.23
