tanggal,data
2018-01-30,1027.29
2018-02-05,1031.14
2018-02-09,1029.34
2018-02-14,1026.83
2018-02-21,1025.32
2018-02-26,1022.88
2018-03-02,1015.99
2018-03-07,1012.65
2018-03-13,1012.24
2018-03-19,1008.78
2018-03-23,1018.0
2018-03-28,1015.95
2018-04-03,1023.74
2018-04-09,1024.32
2018-04-13,1028.4
2018-04-18,1024.08
2018-04-23,1014.33
2018-04-30,1012.84
2018-05-04,1008.94
2018-05-09,992.15
2018-05-14,999.78
2018-05-21,985.26
2018-05-25,988.57
2018-05-30,1000.55
2018-06-04,1008.68
2018-06-20,1001.89
2018-06-25,985.69
2018-07-02,975.62
2018-07-06,982.67
2018-07-11,990.93
2018-07-16,988.62
2018-07-23,980.58
2018-07-27,983.57
2018-08-01,984.83
2018-08-06,983.85
2018-08-13,986.33
2018-08-20,986.7
2018-08-23,987.35
2018-08-27,987.87
2018-09-03,978.13
2018-09-07,965.14
2018-09-12,961.36
2018-09-17,966.28
2018-09-24,974.44
2018-09-28,979.61
2018-10-03,977.27
2018-10-08,971.59
2018-10-15,962.47
2018-10-19,966.1
2018-10-24,969.54
2018-10-29,971.44
2018-11-05,982.26
2018-11-09,990.93
2018-11-14,989.97
2018-11-19,992.35
2018-11-26,997.86
2018-11-30,1002.76
2018-12-05,1000.11
2018-12-10,991.96
2018-12-17,993.31
2018-12-20,1000.13
2018-12-26,1004.52
2019-01-02,1003.31
2019-01-07,1008.6
2019-01-10,1005.49
2019-01-16,1000.49
2019-01-21,1000.24
2019-01-28,1001.51
2019-01-31,1007.94
2019-02-06,1028.77
2019-02-11,1018.34
2019-02-18,1013.02
2019-02-21,1017.81
2019-02-27,1024.96
2019-03-04,1024.27
2019-03-11,1020.59
2019-03-14,1028.53
2019-03-20,1037.93
2019-03-25,1041.61
2019-04-01,1044.16
2019-04-04,1045.13
2019-04-10,1041.79
2019-04-15,1043.26
2019-04-22,1046.17
2019-04-25,1039.72
2019-04-30,1035.15
2019-05-06,1026.34
2019-05-13,1021.73
2019-05-16,1024.24
2019-05-21,1019.71
2019-05-27,1033.82
2019-06-10,1044.44
2019-06-11,1048.15
2019-06-17,1054.65
2019-06-24,1066.24
2019-06-27,1072.3
2019-07-02,1076.69
2019-07-08,1087.94
2019-07-15,1096.7
2019-07-18,1096.96
2019-07-23,1089.05
2019-07-29,1088.03
2019-08-05,1065.95
2019-08-08,1083.86
2019-08-13,1077.96
2019-08-19,1088.75
2019-08-26,1090.3
2019-08-29,1085.01
2019-09-03,1086.79
2019-09-09,1092.36
2019-09-16,1094.99
2019-09-19,1096.95
2019-09-24,1093.58
2019-09-30,1095.49
2019-10-07,1098.92
2019-10-10,1096.89
2019-10-15,1102.42
2019-10-21,1108.54
2019-10-28,1113.74
2019-10-31,1119.01
2019-11-05,1121.29
2019-11-11,1121.7
2019-11-18,1120.18
2019-11-21,1117.78
2019-11-26,1119.34
2019-12-02,1114.73
2019-12-09,1117.87
2019-12-12,1112.27
2019-12-17,1104.96
2019-12-23,1120.01
2019-12-27,1122.48
2020-01-02,1128.52
2020-01-07,1127.86
2020-01-13,1139.57
2020-01-17,1140.14
2020-01-23,1153.0
2020-01-28,1150.07
2020-02-03,1148.76
2020-02-05,1153.84
2020-02-07,1159.53
2020-02-10,1158.88
2020-02-13,1164.03
2020-02-17,1164.83
2020-02-18,1168.06
2020-02-20,1168.2
2020-02-24,1165.27
2020-02-28,1142.19
2020-03-03,1144.46
2020-03-05,1170.97
2020-03-06,1161.33
2020-03-10,1141.32
2020-03-16,1117.93
2020-03-18,1103.34
2020-03-20,1072.68
2020-03-23,1063.77
2020-03-26,1068.18
