tanggal,data
2022-09-05,999.03
2022-09-06,999.13
2022-09-08,1001.18
2022-09-12,1004.06
2022-09-13,1005.11
2022-09-15,1003.16
2022-09-19,1001.74
2022-09-21,1001.56
2022-09-22,999.43
2022-09-26,993.68
2022-09-28,995.35
2022-09-30,997.76
2022-10-03,998.1
2022-10-05,1000.25
2022-10-07,999.11
2022-10-10,997.3
2022-10-12,994.62
2022-10-14,994.48
2022-10-17,992.42
2022-10-18,993.09
2022-10-20,989.78
2022-10-21,984.65
2022-10-24,986.03
2022-10-25,985.49
2022-10-27,989.62
2022-10-31,990.6
2022-11-01,993.33
2022-11-03,994.35
2022-11-07,992.49
2022-11-08,992.84
2022-11-10,994.16
2022-11-14,1000.83
2022-11-16,1003.97
2022-11-17,1003.39
2022-11-21,1002.9
2022-11-23,1009.61
2022-11-25,1013.29
2022-11-28,1013.57
2022-11-30,1017.78
2022-12-02,1025.23
2022-12-05,1024.44
2022-12-07,1022.41
2022-12-09,1023.12
2022-12-12,1022.9
2022-12-13,1022.42
2022-12-14,1024.45
2022-12-16,1019.72
2022-12-19,1019.82
2022-12-20,1020.0
2022-12-22,1019.73
2022-12-23,1019.75
2022-12-26,1020.46
2022-12-27,1020.7
2022-12-29,1021.62
2023-01-02,1021.47
2023-01-03,1020.54
2023-01-05,1020.87
2023-01-09,1023.66
2023-01-11,1024.4
2023-01-12,1028.34
2023-01-16,1025.77
2023-01-18,1025.52
2023-01-20,1025.35
2023-01-24,1025.44
2023-01-25,1025.05
2023-01-27,1024.6
2023-01-30,1025.45
2023-02-01,1026.09
2023-02-03,1027.1
2023-02-06,1024.85
2023-02-07,1024.92
2023-02-08,1026.24
2023-02-10,1025.21
2023-02-13,1024.27
2023-02-14,1025.06
2023-02-16,1025.48
2023-02-17,1025.17
2023-02-20,1025.14
2023-02-21,1023.9
2023-02-23,1021.68
2023-02-27,1020.73
2023-02-28,1020.39
2023-03-02,1019.53
2023-03-06,1022.32
2023-03-07,1021.35
2023-03-09,1020.24
2023-03-13,1023.23
2023-03-15,1025.12
2023-03-16,1023.47
2023-03-20,1024.15
2023-03-24,1024.15
2023-03-27,1025.71
2023-03-29,1024.55
2023-03-31,1026.87
2023-04-03,1027.05
2023-04-04,1027.98
2023-04-05,1028.84
2023-04-10,1039.37
2023-04-11,1042.48
2023-04-13,1042.73
2023-04-14,1042.49
2023-04-17,1042.26
2023-04-18,1042.31
2023-04-26,1046.8
2023-04-27,1047.66
2023-05-02,1047.98
2023-05-04,1050.96
2023-05-08,1050.38
2023-05-10,1052.31
2023-05-11,1054.06
2023-05-15,1055.49
2023-05-17,1058.58
2023-05-19,1056.89
2023-05-22,1057.63
2023-05-24,1058.82
2023-05-26,1059.11
2023-05-29,1060.46
2023-05-31,1061.97
2023-06-05,1062.05
2023-06-06,1062.59
2023-06-07,1063.31
2023-06-09,1064.82
2023-06-12,1065.18
2023-06-13,1067.49
2023-06-15,1066.93
2023-06-16,1067.28
2023-06-19,1065.3
2023-06-20,1063.75
2023-06-22,1064.3
2023-06-26,1064.96
2023-06-27,1066.1
2023-07-03,1067.69
2023-07-05,1066.99
2023-07-06,1066.5
2023-07-10,1062.79
2023-07-12,1066.61
2023-07-14,1067.34
2023-07-17,1067.02
2023-07-20,1067.67
2023-07-21,1067.03
2023-07-24,1067.14
2023-07-26,1066.31
2023-07-28,1065.95
2023-07-31,1066.77
2023-08-01,1067.37
2023-08-02,1066.84
2023-08-04,1065.12
2023-08-07,1066.11
2023-08-08,1066.13
2023-08-10,1067.54
2023-08-11,1065.89
2023-08-14,1064.78
2023-08-15,1064.78
2023-08-18,1061.6
2023-08-21,1059.63
2023-08-22,1057.17
2023-08-24,1058.31
2023-08-28,1058.4
2023-08-29,1059.74
2023-08-31,1063.64
2023-09-04,1066.18
2023-09-06,1062.11
2023-09-07,1061.07
2023-09-11,1061.81
2023-09-13,1060.94
2023-09-15,1060.5
2023-09-18,1059.87
2023-09-20,1058.61
2023-09-22,1059.86
2023-09-25,1059.97
2023-09-26,1057.14
2023-09-27,1056.47
2023-09-29,1055.96
2023-10-02,1054.07
2023-10-03,1051.14
2023-10-05,1047.81
2023-10-06,1048.83
2023-10-09,1049.44
