tanggal,data
2001-04-26,811.38
2001-05-11,860.78
2001-05-28,896.35
2001-06-14,936.26
2001-07-02,949.95
2001-07-19,1045.74
2001-08-06,987.96
2001-08-24,1008.59
2001-09-12,979.8
2001-09-28,873.6
2001-10-16,838.12
2001-11-05,840.23
2001-11-21,883.33
2001-12-10,860.54
2001-12-26,863.09
2002-01-14,951.81
2002-01-31,1068.49
2002-02-18,1104.44
2002-03-13,1122.23
2002-04-24,1376.72
2002-05-02,1376.72
2002-05-20,1359.38
2002-06-04,1363.03
2002-06-24,1350.93
2002-07-10,1231.34
2002-07-29,1169.03
2002-08-15,1128.67
2002-09-02,1118.71
2002-09-19,1020.98
2002-10-07,1002.39
2002-10-25,868.74
2002-11-12,915.75
2002-11-29,970.11
2002-12-17,1004.55
2003-01-06,1010.78
2003-01-22,1019.52
2003-02-10,1010.65
2003-02-26,994.33
2003-03-17,945.01
2003-04-03,989.45
2003-04-21,1125.18
2003-05-08,1198.56
2003-05-26,1221.51
2003-06-13,1298.58
2003-07-01,1315.73
2003-07-21,1355.29
2003-08-05,1250.92
2003-08-25,1340.62
2003-09-10,1454.07
2003-09-29,1526.16
2003-10-16,1643.95
2003-11-03,1589.18
2003-11-20,1510.32
2003-12-08,1629.24
2003-12-29,1714.58
2004-01-12,1847.06
2004-01-30,1866.48
2004-02-17,1909.41
2004-03-08,1969.35
2004-03-24,1841.67
2004-04-12,1940.23
2004-04-28,2111.11
2004-05-17,1656.65
2004-06-04,1728.51
2004-06-21,1715.54
2004-07-08,1919.62
2004-07-26,1932.54
2004-08-13,1896.1
2004-08-31,1906.57
2004-09-21,2103.8
2004-10-05,2223.45
2004-10-25,2154.86
2004-11-10,2350.78
2004-11-29,2482.35
2004-12-16,2458.19
2005-01-03,2595.49
2005-01-20,2666.67
2005-02-07,2728.06
2005-02-25,2884.2
2005-03-14,3035.04
2005-04-01,2909.95
2005-04-19,2835.69
2005-05-09,2882.5
2005-05-25,2831.48
2005-06-13,2982.11
2005-06-29,3120.28
2005-07-18,3150.38
2005-08-04,3340.89
2005-08-22,3032.46
2005-09-08,3098.92
2005-09-26,2982.04
2005-10-14,3212.89
2005-11-01,3135.31
2005-11-21,3110.46
2005-12-06,3313.79
2005-12-27,3469.9
2006-01-11,3731.47
2006-01-30,3651.14
2006-02-15,3689.64
2006-03-06,3778.43
2006-03-23,3881.29
2006-04-11,4125.98
2006-04-28,4415.46
2006-05-15,4250.13
2006-06-02,4078.76
2006-06-20,3933.36
2006-07-10,4154.04
2006-07-26,4129.43
2006-08-14,4443.38
2006-08-30,4455.47
2006-09-18,4568.68
2006-10-05,4762.04
2006-10-30,4936.35
2006-11-09,5166.23
2006-11-27,5384.4
2006-12-15,5525.25
2007-01-02,5659.58
2007-01-19,5472.12
2007-02-06,5386.91
2007-02-26,5617.18
2007-03-14,5574.48
2007-04-02,5893.27
2007-04-18,6275.47
2007-05-07,6590.37
2007-05-24,6858.57
2007-06-11,7000.49
2007-06-29,7304.11
2007-07-16,7783.91
2007-08-03,7879.61
2007-08-23,7475.81
2007-09-10,7833.56
2007-09-26,8433.59
2007-10-18,9549.04
2007-10-31,9703.25
2007-11-19,9748.11
2007-12-06,10460.0
2007-12-26,10110.0
2008-01-14,10480.0
2008-01-28,9713.91
2008-02-15,10100.0
2008-03-04,9792.2
2008-03-24,8469.38
2008-04-08,8021.64
2008-04-28,8099.2
2008-05-14,9002.14
2008-06-02,9098.93
2008-06-18,8881.64
2008-07-07,8628.27
2008-07-24,8206.78
2008-08-11,7712.38
2008-08-29,7863.35
2008-09-15,5810.44
2008-10-06,5506.27
2008-10-21,4755.64
2008-11-10,4483.57
2008-11-26,3970.77
2008-12-15,4691.54
2009-01-06,5007.51
2009-01-19,4684.01
