tanggal,data
2007-03-26,1009.17
2007-04-09,1037.88
2007-04-20,1059.25
2007-05-04,1077.66
2007-06-15,1176.05
2007-06-26,1220.77
2007-07-09,1313.35
2007-07-23,1369.58
2007-08-06,1267.51
2007-08-20,1194.48
2007-09-03,1290.36
2007-09-14,1314.97
2007-09-28,1413.88
2007-10-11,1607.23
2007-10-24,1567.28
2007-11-07,1706.6
2007-11-20,1678.57
2007-12-04,1802.6
2007-12-17,1725.68
2008-01-02,1748.42
2008-01-14,1773.55
2008-01-28,1669.21
2008-02-08,1707.35
2008-02-22,1777.95
2008-03-06,1698.32
2008-03-19,1457.55
2008-04-02,1459.6
2008-04-15,1423.88
2008-04-28,1410.01
2008-05-12,1501.0
2008-05-26,1545.36
2008-06-09,1564.62
2008-06-23,1555.1
2008-07-04,1505.01
2008-07-17,1380.61
2008-07-31,1478.35
2008-08-13,1287.01
2008-08-27,1356.57
2008-09-09,1198.4
2008-09-22,1151.42
2008-10-06,955.44
2008-10-20,823.45
2008-11-03,788.88
2008-11-17,725.5
2008-11-28,732.01
2008-12-11,797.01
2008-12-26,815.04
2009-01-07,874.55
2009-01-21,801.52
2009-02-03,799.45
2009-02-16,814.5
2009-03-02,756.56
2009-03-16,810.1
2009-03-31,874.64
2009-04-13,962.43
2009-04-24,992.58
2009-05-07,1181.7
2009-05-22,1236.74
2009-06-03,1351.22
2009-06-16,1343.34
2009-06-30,1340.08
2009-07-13,1339.19
2009-07-27,1462.84
2009-08-10,1599.62
2009-08-24,1595.87
2009-09-07,1554.34
2009-09-24,1657.11
2009-10-01,1664.08
2009-10-15,1700.42
2009-10-28,1586.16
2009-11-10,1599.9
2009-11-24,1661.21
2009-12-07,1668.45
2009-12-21,1616.54
2010-01-04,1724.62
2010-01-18,1755.7
2010-02-01,1699.03
2010-02-15,1641.78
2010-02-25,1659.52
2010-03-11,1749.96
2010-03-24,1811.88
2010-04-07,1901.55
2010-04-20,1909.7
2010-05-03,1945.14
2010-05-17,1811.55
2010-06-01,1756.16
2010-06-14,1814.24
2010-06-28,1913.99
2010-07-09,1913.7
2010-07-22,1966.2
2010-08-05,1979.41
2010-08-18,2010.78
2010-08-31,1997.54
2010-09-15,2171.18
2010-09-27,2194.95
2010-10-11,2233.22
2010-10-25,2319.37
2010-11-08,2349.9
2010-11-19,2329.09
2010-12-03,2308.36
2010-12-16,2191.46
2010-12-30,2289.67
2011-01-12,2214.33
2011-01-25,2122.53
2011-02-08,2131.11
2011-02-21,2141.14
2011-03-07,2164.27
2011-03-21,2139.86
2011-04-04,2264.76
2011-04-15,2286.67
2011-04-29,2323.83
2011-05-12,2315.99
2011-05-25,2278.67
2011-06-08,2283.85
2011-06-21,2253.53
2011-07-05,2320.96
2011-07-18,2372.73
2011-08-01,2429.19
2011-08-15,2272.42
2011-09-05,2197.12
2011-09-09,2266.06
2011-09-23,1891.83
2011-10-06,1900.13
2011-10-19,2068.66
2011-11-02,2133.42
2011-11-15,2138.7
2011-11-29,2034.84
2011-12-12,2107.06
2011-12-27,2104.65
2012-01-09,2149.45
2012-01-24,2202.77
2012-02-03,2222.75
2012-02-17,2210.16
2012-03-01,2199.94
2012-03-14,2261.85
2012-03-28,2286.76
2012-04-10,2292.35
2012-04-23,2322.27
2012-05-07,2319.78
2012-05-21,2194.86
2012-06-04,2027.55
2012-06-18,2152.46
2012-06-29,2219.12
2012-07-13,2221.15
2012-07-26,2222.07
2012-08-08,2276.17
2012-08-23,2313.35
2012-09-04,2255.51
2012-09-17,2356.51
2012-10-01,2363.41
2012-10-15,2392.11
2012-10-29,2419.72
2012-11-12,2438.72
2012-11-23,2449.35
2012-12-07,2432.62
2012-12-20,2438.82
2013-01-02,2479.01
2013-01-16,2519.27
2013-01-29,2520.66
2013-02-11,2558.61
2013-02-25,2665.21
2013-03-11,2767.38
2013-03-25,2720.52
2013-04-08,2762.52
2013-04-19,2875.88
2013-05-03,2821.47
2013-05-16,2902.7
2013-05-29,2951.42
2013-06-12,2632.52
2013-06-25,2504.79
2013-07-08,2458.53
2013-07-22,2606.57
2013-08-12,2595.52
2013-08-19,2412.8
2013-09-02,2280.45
2013-09-13,2470.72
2013-09-26,2479.1
2013-10-10,2535.63
2013-10-23,2542.99
2013-11-06,2500.57
2013-11-19,2473.13
2013-12-02,2436.88
2013-12-16,2310.01
2013-12-30,2395.3
2014-01-13,2499.21
2014-01-27,2447.17
2014-02-07,2539.33
2014-02-20,2637.12
2014-03-06,2686.26
2014-03-19,2784.31
2014-04-02,2822.94
2014-04-15,2798.08
2014-04-28,2791.02
2014-05-12,2883.81
2014-05-26,2942.56
2014-06-09,2877.36
2014-06-23,2865.22
2014-07-04,2913.72
2014-07-17,3057.41
2014-08-04,3068.98
2014-08-13,3105.5
2014-08-26,3090.59
2014-09-09,3128.93
2014-09-22,3120.15
2014-10-06,2998.13
2014-10-20,3037.1
2014-11-03,3085.44
2014-11-17,3082.69
2014-11-28,3149.85
2014-12-11,3178.88
2014-12-29,3183.23
2015-01-07,3179.61
2015-01-20,3102.04
2015-02-03,3182.86
2015-02-16,3162.82
2015-03-02,3258.72
2015-03-16,3181.93
2015-03-30,3212.62
2015-04-13,3209.04
2015-04-24,3186.03
2015-05-07,2967.9
2015-05-21,3081.34
2015-06-03,2912.5
2015-06-16,2721.01
2015-06-30,2725.09
2015-07-13,2768.86
2015-07-27,2666.11
2015-08-10,2642.85
2015-08-24,2260.98
2015-09-07,2318.42
2015-09-18,2355.25
2015-10-01,2266.94
2015-10-15,2451.82
2015-10-28,2520.12
2015-11-10,2433.08
2015-11-24,2496.17
2015-12-07,2492.93
2015-12-21,2457.97
2016-01-04,2465.55
2016-01-18,2446.81
2016-01-29,2490.55
2016-02-12,2543.9
2016-02-25,2474.35
2016-03-10,2591.32
2016-03-23,2654.51
2016-04-05,2660.07
2016-04-19,2649.11
2016-05-02,2595.7
2016-05-16,2546.25
2016-05-30,2607.26
2016-06-13,2595.04
2016-06-24,2624.81
2016-07-11,2737.94
2016-07-21,2836.11
2016-08-03,2903.36
2016-08-18,2982.16
2016-08-30,2882.6
2016-09-13,2799.83
2016-09-26,2873.53
2016-10-10,2868.07
2016-10-24,2907.51
2016-11-07,2872.91
2016-11-18,2719.24
2016-12-02,2747.73
2016-12-15,2771.29
