tanggal,data
2024-04-05,1000.78
2024-04-16,1000.3
2024-04-17,998.03
2024-04-18,998.26
2024-04-19,997.78
2024-04-22,997.45
2024-04-23,997.15
2024-04-24,998.16
2024-04-25,997.44
2024-04-26,997.88
2024-04-29,998.45
2024-04-30,998.79
2024-05-02,1000.52
2024-05-03,1002.85
2024-05-06,1004.06
2024-05-07,1004.26
2024-05-08,1004.38
2024-05-13,1004.25
2024-05-14,1004.04
2024-05-15,1004.92
2024-05-16,1006.66
2024-05-21,1006.19
2024-05-22,1006.16
2024-05-27,1006.13
2024-05-28,1006.34
2024-05-29,1005.58
2024-05-30,1005.52
2024-05-31,1005.98
2024-06-03,1006.13
2024-06-04,1005.87
2024-06-05,1005.95
2024-06-06,1005.78
2024-06-07,1006.32
2024-06-10,1005.87
2024-06-11,1005.62
2024-06-12,1005.93
2024-06-13,1006.13
2024-06-14,1005.26
2024-06-19,1005.64
2024-06-20,1005.82
2024-06-21,1006.05
2024-06-24,1006.62
2024-06-25,1007.3
2024-06-26,1007.68
2024-06-27,1008.02
2024-06-28,1008.89
2024-07-01,1008.88
2024-07-02,1008.33
2024-07-03,1008.48
2024-07-04,1009.04
2024-07-05,1009.4
2024-07-08,1009.83
2024-07-09,1009.67
2024-07-10,1009.77
2024-07-11,1010.31
2024-07-12,1011.33
2024-07-15,1010.97
2024-07-16,1011.13
2024-07-17,1011.69
2024-07-18,1012.28
2024-07-22,1012.07
2024-07-23,1012.3
2024-07-24,1012.82
2024-07-25,1012.97
2024-07-26,1013.24
2024-07-29,1013.59
2024-07-30,1013.46
2024-07-31,1014.04
2024-08-01,1014.85
2024-08-02,1015.16
2024-08-05,1016.38
2024-08-06,1015.68
2024-08-07,1015.7
2024-08-08,1016.14
2024-08-09,1016.13
2024-08-12,1016.25
2024-08-13,1016.09
2024-08-14,1017.04
2024-08-15,1017.62
2024-08-16,1017.64
2024-08-19,1018.42
2024-08-20,1018.74
2024-08-21,1019.37
2024-08-22,1019.18
2024-08-23,1019.43
2024-08-26,1020.33
2024-08-27,1020.07
2024-08-28,1020.18
2024-08-29,1020.66
2024-08-30,1020.72
2024-09-02,1021.14
2024-09-03,1020.99
2024-09-04,1020.82
2024-09-05,1021.35
2024-09-06,1021.46
2024-09-09,1021.61
2024-09-10,1021.45
2024-09-11,1022.22
2024-09-12,1022.37
2024-09-13,1022.3
2024-09-17,1023.26
2024-09-18,1023.61
2024-09-19,1024.78
2024-09-20,1027.02
2024-09-23,1026.78
2024-09-24,1026.69
2024-09-25,1027.09
2024-09-26,1026.93
2024-09-27,1027.24
2024-09-30,1027.6
2024-10-01,1027.19
2024-10-02,1026.95
2024-10-03,1026.71
2024-10-04,1025.9
2024-10-07,1024.84
2024-10-09,1024.45
2024-10-10,1024.91
2024-10-14,1026.04
2024-10-15,1026.39
2024-10-17,1027.04
2024-10-18,1026.93
2024-10-22,1025.95
2024-10-23,1024.67
2024-10-24,1025.22
2024-10-25,1025.98
2024-10-28,1025.2
2024-10-29,1025.39
2024-10-30,1025.63
2024-10-31,1026.13
2024-11-01,1027.05
2024-11-04,1027.32
2024-11-06,1026.49
2024-11-07,1027.33
2024-11-08,1028.1
2024-11-11,1029.35
2024-11-12,1028.18
2024-11-13,1026.72
2024-11-14,1026.33
2024-11-15,1027.22
2024-11-18,1028.57
2024-11-21,1028.12
2024-11-22,1027.59
2024-11-25,1027.97
2024-11-26,1027.75
2024-11-28,1028.41
2024-11-29,1029.09
2024-12-02,1029.08
2024-12-04,1029.11
2024-12-05,1029.4
2024-12-06,1028.88
2024-12-09,1028.92
2024-12-10,1028.6
2024-12-11,1028.86
2024-12-12,1029.01
2024-12-13,1028.79
2024-12-16,1028.93
2024-12-17,1028.05
2024-12-18,1027.78
2024-12-19,1027.09
2024-12-20,1026.59
2024-12-23,1027.32
2024-12-24,1027.44
2024-12-27,1027.97
2024-12-30,1028.37
2025-01-02,1029.73
2025-01-03,1029.65
2025-01-06,1030.38
2025-01-07,1029.94
2025-01-08,1029.6
2025-01-09,1028.94
2025-01-10,1029.1
2025-01-13,1027.89
2025-01-14,1026.13
2025-01-15,1025.41
2025-01-16,1027.27
2025-01-17,1029.33
2025-01-20,1030.11
2025-01-21,1031.1
2025-01-22,1031.43
2025-01-23,1032.2
2025-01-24,1034.27
2025-01-30,1034.23
