tanggal,data
2012-10-03,1000.22
2012-10-12,1000.33
2012-10-22,1000.65
2012-10-31,1008.32
2012-11-09,1017.03
2012-11-19,1025.94
2012-11-27,1027.47
2012-12-07,1029.12
2012-12-17,1035.11
2012-12-26,1035.9
2013-01-03,1040.07
2013-01-14,1028.04
2013-01-22,1029.51
2013-01-31,1026.36
2013-02-11,1031.27
2013-02-18,1034.34
2013-02-28,1033.57
2013-03-11,1035.68
2013-03-18,1031.41
2013-03-27,1018.75
2013-04-08,1014.91
2013-04-15,1029.15
2013-04-24,1033.08
2013-05-03,1027.69
2013-05-13,1036.7
2013-05-22,1024.8
2013-05-31,1009.41
2013-06-10,989.95
2013-06-18,985.34
2013-06-28,956.84
2013-07-08,930.21
2013-07-16,910.51
2013-07-25,927.4
2013-08-12,940.3
2013-08-13,937.31
2013-08-22,903.29
2013-09-02,908.79
2013-09-09,888.19
2013-09-19,939.92
2013-09-30,909.04
2013-10-07,929.01
2013-10-16,946.26
2013-10-25,990.51
2013-11-04,948.5
2013-11-13,906.43
2013-11-22,897.72
2013-12-02,898.87
2013-12-11,898.87
2013-12-20,915.8
2013-12-30,915.17
2014-01-07,886.6
2014-01-16,911.44
2014-01-27,889.78
2014-02-04,889.85
2014-02-13,904.17
2014-02-24,924.86
2014-03-04,934.16
2014-03-13,936.96
2014-03-24,939.91
2014-04-01,945.13
2014-04-10,947.81
2014-04-21,949.39
2014-04-28,951.32
2014-05-07,949.46
2014-05-16,952.77
2014-05-26,953.76
2014-06-04,955.54
2014-06-13,957.62
2014-06-23,958.48
2014-07-01,957.49
2014-07-11,961.76
2014-07-21,965.8
2014-08-04,965.84
2014-08-07,963.06
2014-08-18,964.18
2014-08-26,966.93
2014-09-04,980.03
2014-09-15,971.19
2014-09-22,976.46
2014-10-02,967.83
2014-10-13,974.73
2014-10-20,996.41
2014-10-29,994.98
2014-11-10,1004.5
2014-11-17,1008.24
2014-11-26,1025.1
2014-12-05,1022.41
2014-12-15,986.96
2014-12-24,1019.95
2015-01-02,1028.72
2015-01-12,1037.44
2015-01-20,1055.57
2015-01-30,1091.07
2015-02-09,1091.77
2015-02-17,1085.69
2015-02-26,1078.66
2015-03-09,1054.87
2015-03-17,1067.24
2015-03-26,1076.29
2015-04-06,1077.33
2015-04-13,1079.44
2015-04-23,1065.89
2015-05-04,1057.72
2015-05-11,1040.25
2015-05-20,1047.9
2015-05-29,1046.3
2015-06-08,1024.31
2015-06-17,1030.2
2015-06-26,1052.83
2015-07-06,1060.27
2015-07-15,1051.64
2015-07-24,1054.46
2015-08-03,1043.21
2015-08-11,1041.84
2015-08-20,1035.91
2015-08-31,1036.03
2015-09-08,1023.91
2015-09-17,1018.51
2015-09-28,1008.67
2015-10-06,1046.72
2015-10-15,1049.53
2015-10-26,1053.54
2015-11-02,1044.11
2015-11-11,1058.3
2015-11-23,1061.16
2015-11-30,1067.65
2015-12-10,1071.41
2015-12-18,1066.96
2015-12-28,1067.53
2016-01-06,1067.93
2016-01-15,1087.78
2016-01-25,1097.36
2016-02-02,1120.79
2016-02-12,1125.31
2016-02-22,1113.42
2016-03-01,1107.97
2016-03-10,1133.9
2016-03-21,1145.82
2016-03-29,1137.54
2016-04-07,1164.76
2016-04-18,1187.1
2016-04-25,1177.0
2016-05-09,1170.97
2016-05-16,1173.35
2016-05-23,1162.46
2016-06-01,1168.26
2016-06-13,1187.02
2016-06-20,1185.68
2016-06-29,1195.97
2016-07-11,1226.1
2016-07-18,1225.39
2016-07-27,1229.95
2016-08-05,1239.39
2016-08-15,1241.59
2016-08-23,1229.92
2016-09-02,1234.05
2016-09-13,1237.67
2016-09-20,1236.94
2016-09-29,1241.63
2016-10-10,1237.29
2016-10-18,1234.87
2016-10-27,1232.4
2016-11-07,1214.86
2016-11-14,1177.33
2016-11-24,1161.47
2016-12-05,1173.53
2016-12-13,1199.21
2016-12-21,1190.22
2016-12-30,1187.84
2017-01-09,1198.04
2017-01-18,1209.57
2017-01-27,1204.44
2017-02-06,1207.17
2017-02-16,1210.84
2017-02-24,1213.41
2017-03-06,1220.51
2017-03-14,1225.71
2017-03-23,1248.64
2017-04-03,1261.97
2017-04-11,1258.58
2017-04-20,1259.67
2017-05-02,1265.01
2017-05-09,1260.72
2017-05-18,1262.77
2017-05-29,1274.65
2017-06-05,1275.76
2017-06-14,1282.13
2017-07-03,1283.31
2017-07-12,1274.12
2017-07-21,1288.62
2017-07-31,1286.68
2017-08-09,1295.29
2017-08-18,1295.71
2017-08-28,1306.93
2017-09-05,1321.37
2017-09-15,1326.56
2017-09-25,1344.63
2017-10-03,1329.08
2017-10-12,1324.85
2017-10-23,1319.18
2017-10-31,1313.77
2017-11-09,1328.61
2017-11-20,1331.18
2017-11-28,1337.76
2017-12-07,1342.05
2017-12-18,1345.88
2017-12-27,1353.76
2018-01-03,1362.16
2018-01-15,1380.01
2018-01-22,1380.32
2018-01-31,1370.82
2018-02-09,1365.9
2018-02-19,1360.07
2018-02-28,1348.37
2018-03-09,1339.88
2018-03-19,1353.95
2018-03-27,1347.49
2018-04-06,1364.21
2018-04-16,1364.89
2018-04-24,1345.23
2018-05-03,1340.67
2018-05-14,1330.14
2018-05-22,1298.9
2018-05-31,1339.45
2018-06-20,1325.69
2018-06-28,1273.25
2018-07-09,1304.78
2018-07-16,1302.22
2018-07-25,1286.8
2018-08-03,1287.22
2018-08-13,1284.5
2018-08-23,1288.55
2018-08-31,1274.84
2018-09-10,1244.85
2018-09-19,1261.94
2018-09-28,1279.73
2018-10-08,1265.83
2018-10-16,1245.38
2018-10-25,1258.23
2018-11-05,1278.49
2018-11-13,1288.63
2018-11-22,1301.75
2018-12-03,1319.48
2018-12-11,1292.97
2018-12-20,1303.23
2019-01-02,1306.73
2019-01-07,1311.11
2019-01-16,1304.69
2019-01-28,1307.0
2019-02-04,1325.48
2019-02-13,1328.92
2019-02-22,1329.68
2019-03-04,1335.42
2019-03-13,1336.31
2019-03-22,1364.5
2019-04-01,1361.7
2019-04-09,1358.48
2019-04-22,1363.15
2019-04-29,1352.76
2019-05-07,1336.26
2019-05-16,1334.67
2019-05-27,1346.47
2019-06-10,1358.52
2019-06-13,1370.01
2019-06-24,1388.81
2019-07-01,1400.73
2019-07-11,1415.44
2019-07-22,1421.64
2019-07-29,1417.06
2019-08-07,1392.13
2019-08-19,1485.29
2019-08-26,1489.38
2019-09-04,1484.99
2019-09-13,1498.65
2019-09-23,1493.24
2019-10-02,1494.85
2019-10-11,1496.34
2019-10-21,1504.25
2019-10-29,1512.96
2019-11-08,1522.94
2019-11-18,1518.05
2019-11-26,1517.47
2019-12-05,1516.76
2019-12-16,1507.67
2019-12-26,1521.76
2020-01-02,1531.95
2020-01-13,1545.85
2020-01-20,1548.9
2020-01-30,1563.37
2020-02-03,1558.03
2020-02-05,1565.36
2020-02-10,1571.65
2020-02-13,1579.25
2020-02-17,1579.37
2020-02-20,1585.49
2020-02-24,1580.92
2020-02-26,1571.23
2020-02-28,1545.15
2020-03-03,1548.56
2020-03-06,1578.46
2020-03-10,1547.67
2020-03-16,1509.66
2020-03-18,1487.76
2020-03-23,1420.93
