tanggal,data
2008-02-18,1000.0
2008-02-29,1000.0
2008-03-13,1000.0
2008-03-25,1000.0
2008-04-07,1000.0
2008-04-21,1000.0
2008-05-02,1000.0
2008-05-15,1000.0
2008-05-28,1000.0
2008-06-09,1000.0
2008-06-23,1000.0
2008-07-07,1000.0
2008-07-17,1000.0
2008-07-31,1000.0
2008-08-12,1000.0
2008-08-25,1000.0
2008-09-08,1000.0
2008-09-19,1000.0
2008-10-06,1000.0
2008-10-14,1000.0
2008-10-27,1000.0
2008-11-10,1000.0
2008-11-21,1000.0
2008-12-04,1000.0
2008-12-17,1000.0
2008-12-30,1000.0
2009-01-12,1000.0
2009-01-27,1000.0
2009-02-05,1000.0
2009-02-18,1000.0
2009-03-03,1000.0
2009-03-16,1000.0
2009-03-31,1000.0
2009-04-13,1000.0
2009-04-22,1000.0
2009-05-05,1000.0
2009-05-18,1000.0
2009-06-01,1000.0
2009-06-12,1000.0
2009-06-25,1000.0
2009-07-10,1000.0
2009-07-21,1000.0
2009-08-03,1000.0
2009-08-20,1000.0
2009-08-27,1000.0
2009-09-09,1000.0
2009-09-24,1000.0
2009-10-05,1000.0
2009-10-19,1000.0
2009-10-30,1000.0
2009-11-12,1000.0
2009-11-24,1000.0
2009-12-07,1000.0
2009-12-21,1000.0
2010-01-04,1000.0
2010-01-14,1000.0
2010-01-27,1000.0
2010-02-08,1000.0
2010-02-22,1000.0
2010-03-08,1000.0
2010-03-18,1000.0
2010-03-31,1000.0
2010-04-13,1000.0
2010-04-26,1000.0
2010-05-10,1000.0
2010-05-21,1000.0
2010-06-02,1000.0
2010-06-15,1000.0
2010-06-28,1000.0
2010-07-12,1000.0
2010-07-23,1000.0
2010-08-05,1000.0
2010-08-18,1000.0
2010-08-30,1000.0
2010-09-16,1000.0
2010-09-27,1000.0
2010-10-07,1000.0
2010-10-20,1000.0
2010-11-02,1000.0
2010-11-15,1000.0
2010-11-29,1000.0
2010-12-10,1000.0
2010-12-22,1000.0
2011-01-05,1000.0
2011-01-17,1000.0
2011-01-31,1000.0
2011-02-11,1000.0
2011-02-24,1000.0
2011-03-09,1000.0
2011-03-21,1000.0
2011-04-04,1000.0
2011-04-18,1000.0
2011-04-28,1000.0
2011-05-11,1000.0
2011-05-24,1000.0
2011-06-06,1000.0
2011-06-20,1000.0
2011-07-01,1000.0
2011-07-13,1000.0
2011-07-26,1000.0
2011-08-08,1000.0
2011-08-22,1000.0
2011-09-05,1000.0
2011-09-15,1000.0
2011-09-28,1000.0
2011-10-10,1000.0
2011-10-24,1000.0
2011-11-07,1000.0
2011-11-17,1000.0
2011-11-30,1000.0
2011-12-13,1000.0
2011-12-27,1000.0
2012-01-09,1000.0
2012-01-20,1000.0
2012-02-01,1000.0
2012-02-14,1000.0
2012-02-27,1000.0
2012-03-12,1000.0
2012-03-26,1000.0
2012-04-05,1000.0
2012-04-17,1000.0
2012-04-30,1000.0
2012-05-14,1000.0
2012-05-28,1000.0
2012-06-07,1000.0
2012-06-20,1000.0
2012-07-03,1000.0
2012-07-16,1000.0
2012-07-30,1000.0
2012-08-10,1000.0
2012-08-23,1000.0
