tanggal,data
2017-09-04,1000.39
2017-09-08,1001.11
2017-09-14,1002.2
2017-09-19,1003.42
2017-09-25,1004.67
2017-10-02,1005.5
2017-10-06,1006.0
2017-10-12,1006.43
2017-10-17,1007.78
2017-10-23,1008.56
2017-10-30,1009.56
2017-11-03,1010.43
2017-11-08,1011.3
2017-11-14,1012.14
2017-11-20,1013.33
2017-11-27,1014.19
2017-12-04,1015.14
2017-12-06,1015.68
2017-12-12,1016.01
2017-12-18,1016.96
2017-12-27,1018.07
2017-12-28,1018.15
2018-01-03,1018.73
2018-01-08,1019.9
2018-01-15,1020.82
2018-01-19,1021.44
2018-01-25,1022.37
2018-01-31,1023.27
2018-02-05,1024.05
2018-02-12,1024.98
2018-02-19,1028.83
2018-02-22,1029.28
2018-02-27,1030.05
2018-03-05,1031.0
2018-03-12,1032.06
2018-03-16,1033.66
2018-03-21,1034.81
2018-03-27,1035.42
2018-04-02,1036.79
2018-04-09,1037.79
2018-04-13,1038.38
2018-04-18,1039.11
2018-04-24,1039.98
2018-04-30,1040.85
2018-05-07,1041.99
2018-05-11,1042.59
2018-05-16,1043.8
2018-05-21,1044.46
2018-05-28,1045.36
2018-06-04,1046.43
2018-06-07,1046.83
2018-06-20,1048.42
2018-06-25,1049.52
2018-06-29,1049.71
2018-07-05,1050.65
2018-07-10,1051.44
2018-07-16,1052.36
2018-07-23,1053.5
2018-07-27,1054.18
2018-08-01,1054.95
2018-08-07,1055.86
2018-08-13,1056.8
2018-08-20,1057.79
2018-08-24,1058.35
2018-08-29,1059.11
2018-09-04,1059.99
2018-09-10,1060.92
2018-09-17,1062.05
2018-09-20,1062.4
2018-09-26,1063.36
2018-10-01,1064.16
2018-10-08,1065.3
2018-10-15,1066.46
2018-10-18,1066.97
2018-10-24,1067.96
2018-10-29,1068.83
2018-11-05,1070.04
2018-11-09,1070.8
2018-11-15,1071.97
2018-11-21,1073.13
2018-11-26,1074.08
2018-12-03,1075.45
2018-12-07,1077.57
2018-12-13,1078.83
2018-12-18,1079.86
2018-12-26,1081.5
2019-01-02,1082.94
2019-01-04,1083.35
2019-01-09,1084.58
2019-01-15,1085.82
2019-01-21,1087.05
2019-01-28,1088.49
2019-01-31,1089.08
2019-02-06,1090.29
2019-02-12,1091.49
2019-02-18,1092.72
2019-02-25,1094.11
2019-02-28,1094.71
2019-03-06,1095.94
2019-03-11,1096.91
2019-03-18,1098.66
2019-03-22,1099.44
2019-03-28,1100.63
2019-04-02,1101.6
2019-04-08,1102.81
2019-04-15,1104.29
2019-04-22,1105.63
2019-04-25,1106.2
2019-04-30,1107.12
2019-05-06,1108.27
2019-05-13,1109.68
2019-05-17,1110.53
2019-05-22,1111.48
2019-05-28,1112.35
2019-06-10,1114.82
2019-06-14,1115.64
2019-06-19,1116.62
2019-06-25,1117.73
2019-07-01,1118.88
2019-07-08,1120.2
2019-07-11,1120.77
2019-07-17,1121.94
2019-07-22,1122.91
2019-07-29,1124.26
2019-08-02,1125.04
2019-08-08,1126.2
2019-08-13,1127.13
2019-08-19,1128.23
2019-08-26,1129.6
2019-08-30,1130.31
2019-09-05,1131.44
2019-09-10,1132.4
2019-09-16,1133.66
2019-09-23,1134.96
2019-09-27,1135.3
2019-10-02,1136.23
2019-10-08,1137.37
2019-10-14,1138.5
2019-10-21,1139.82
2019-10-25,1140.55
2019-10-30,1141.38
2019-11-05,1142.49
2019-11-11,1143.61
2019-11-18,1144.91
2019-11-21,1145.56
2019-11-27,1146.66
2019-12-02,1147.58
2019-12-09,1148.86
2019-12-13,1149.59
2019-12-19,1150.68
2019-12-26,1152.65
2019-12-30,1153.41
2020-01-06,1154.73
2020-01-10,1155.49
2020-01-16,1156.62
2020-01-21,1157.61
2020-01-27,1158.73
2020-02-03,1160.05
2020-02-07,1161.12
2020-02-12,1162.07
2020-02-18,1163.21
2020-02-24,1164.3
2020-03-02,1165.66
2020-03-06,1166.4
2020-03-11,1168.23
2020-03-17,1169.4
2020-03-23,1170.43
2020-03-30,1170.88
2020-04-02,1171.36
2020-04-08,1172.42
2020-04-13,1173.28
2020-04-20,1174.46
2020-04-27,1170.98
2020-04-30,1176.08
2020-05-06,1177.04
2020-05-11,1177.87
2020-05-18,1178.58
2020-05-26,1179.87
2020-05-28,1180.22
2020-06-02,1181.0
2020-06-08,1182.04
2020-06-15,1183.23
2020-06-19,1183.88
2020-06-25,1184.8
2020-06-30,1185.74
2020-07-06,1186.88
2020-07-13,1188.2
2020-07-17,1188.95
2020-07-22,1189.89
2020-07-28,1191.04
2020-08-03,1192.03
2020-08-10,1193.34
2020-08-13,1193.91
2020-08-19,1194.98
2020-08-24,1195.94
2020-08-31,1197.15
2020-09-07,1197.85
2020-09-10,1198.17
2020-09-16,1199.3
2020-09-21,1200.25
2020-09-28,1201.54
2020-10-02,1202.27
2020-10-08,1203.36
2020-10-13,1204.12
2020-10-19,1205.22
2020-10-26,1206.54
2020-11-02,1207.66
2020-11-05,1208.17
2020-11-10,1209.02
2020-11-16,1209.87
2020-11-23,1211.03
2020-11-27,1211.83
2020-12-02,1212.69
2020-12-08,1213.73
2020-12-14,1214.76
2020-12-21,1215.97
2020-12-28,1217.25
2020-12-30,1217.5
2021-01-05,1218.44
2021-01-11,1219.44
2021-01-18,1220.59
2021-01-21,1221.09
2021-01-27,1222.09
2021-02-01,1222.8
2021-02-08,1223.88
2021-02-15,1224.96
2021-02-18,1225.41
2021-02-23,1226.2
2021-03-01,1227.2
2021-03-08,1228.17
2021-03-12,1228.71
2021-03-18,1229.51
2021-03-23,1230.18
2021-03-29,1230.92
2021-04-05,1231.79
2021-04-09,1232.31
2021-04-14,1232.96
2021-04-20,1233.72
2021-04-26,1234.51
2021-05-03,1235.42
2021-05-07,1235.93
2021-05-17,1237.23
2021-05-18,1237.36
2021-05-24,1238.11
2021-05-31,1238.92
2021-06-03,1239.28
2021-06-09,1240.01
2021-06-14,1240.61
2021-06-21,1241.45
2021-06-25,1241.93
2021-07-01,1242.61
2021-07-07,1243.3
2021-07-12,1243.87
2021-07-19,1244.62
2021-07-23,1245.09
2021-07-29,1245.78
2021-08-03,1246.31
2021-08-09,1246.98
2021-08-16,1247.74
2021-08-20,1248.18
2021-08-25,1248.73
2021-08-31,1249.35
2021-09-06,1250.0
2021-09-13,1250.78
2021-09-17,1251.22
2021-09-22,1251.77
2021-09-28,1252.43
2021-10-04,1253.08
2021-10-11,1253.82
2021-10-14,1254.14
2021-10-21,1254.92
2021-10-25,1255.36
2021-11-01,1256.08
2021-11-05,1256.5
2021-11-11,1257.12
2021-11-17,1257.74
2021-11-22,1258.28
2021-11-29,1259.02
2021-12-03,1259.46
2021-12-09,1260.12
2021-12-14,1260.65
2021-12-20,1261.3
2021-12-27,1261.9
2022-01-03,1262.69
2022-01-05,1262.9
2022-01-11,1263.56
2022-01-17,1264.2
2022-01-24,1264.94
2022-01-28,1265.35
2022-01-31,1265.64
2022-02-02,1265.86
2022-02-03,1265.97
2022-02-07,1266.39
2022-02-08,1266.5
2022-02-10,1266.72
2022-02-14,1267.21
2022-02-15,1267.26
2022-02-17,1267.47
2022-02-21,1267.89
2022-02-24,1268.19
2022-03-01,1268.78
2022-03-02,1268.89
2022-03-07,1269.41
2022-03-09,1269.61
2022-03-11,1269.81
2022-03-14,1270.12
2022-03-16,1270.32
2022-03-18,1270.52
2022-03-21,1270.82
2022-03-23,1271.02
2022-03-24,1271.12
2022-03-25,1271.22
2022-03-28,1271.52
2022-03-29,1271.62
2022-03-30,1271.73
2022-04-01,1271.9
2022-04-04,1272.19
2022-04-05,1272.28
2022-04-07,1272.47
2022-04-11,1272.84
2022-04-12,1272.93
2022-04-14,1273.11
2022-04-18,1273.48
