tanggal,data
2018-01-30,1133.94
2018-02-05,1137.05
2018-02-09,1136.02
2018-02-14,1134.01
2018-02-21,1132.12
2018-02-26,1129.05
2018-03-02,1122.95
2018-03-07,1123.74
2018-03-13,1122.83
2018-03-19,1128.44
2018-03-23,1125.21
2018-03-28,1127.89
2018-04-03,1134.64
2018-04-09,1131.75
2018-04-13,1133.32
2018-04-18,1125.86
2018-04-23,1120.69
2018-04-30,1110.64
2018-05-04,1110.92
2018-05-09,1096.24
2018-05-14,1099.77
2018-05-21,1091.99
2018-05-25,1088.54
2018-05-30,1094.97
2018-06-04,1106.75
2018-06-20,1099.64
2018-06-25,1087.09
2018-07-02,1081.43
2018-07-06,1085.78
2018-07-11,1092.46
2018-07-16,1089.67
2018-07-23,1079.24
2018-07-27,1080.22
2018-08-01,1082.88
2018-08-06,1082.91
2018-08-13,1081.03
2018-08-20,1078.05
2018-08-23,1077.41
2018-08-27,1078.2
2018-09-03,1068.69
2018-09-07,1052.53
2018-09-12,1051.69
2018-09-17,1054.72
2018-09-24,1068.93
2018-09-28,1072.97
2018-10-03,1077.95
2018-10-08,1068.79
2018-10-15,1052.51
2018-10-19,1056.11
2018-10-24,1059.06
2018-10-29,1059.2
2018-11-05,1069.76
2018-11-09,1082.47
2018-11-14,1077.48
2018-11-19,1081.14
2018-11-26,1087.37
2018-11-30,1092.73
2018-12-05,1090.7
2018-12-10,1085.07
2018-12-17,1083.56
2018-12-20,1088.48
2018-12-26,1092.97
2019-01-02,1093.77
2019-01-07,1096.76
2019-01-10,1093.79
2019-01-16,1091.79
2019-01-21,1090.75
2019-01-28,1091.46
2019-01-31,1094.82
2019-02-06,1112.85
2019-02-11,1106.91
2019-02-18,1104.57
2019-02-21,1108.08
2019-02-27,1115.13
2019-03-04,1114.76
2019-03-11,1112.6
2019-03-14,1117.5
2019-03-20,1124.81
2019-03-25,1129.65
2019-04-01,1132.28
2019-04-04,1133.48
2019-04-10,1132.43
2019-04-15,1132.91
2019-04-22,1136.69
2019-04-25,1132.86
2019-04-30,1128.55
2019-05-06,1122.34
2019-05-13,1117.74
2019-05-16,1117.3
2019-05-21,1117.03
2019-05-27,1137.54
2019-06-10,1145.94
2019-06-11,1149.6
2019-06-17,1157.34
2019-06-24,1168.76
2019-06-27,1174.01
2019-07-02,1178.59
2019-07-08,1187.85
2019-07-15,1198.44
2019-07-18,1201.73
2019-07-23,1196.3
2019-07-29,1194.54
2019-08-05,1175.46
2019-08-08,1184.81
2019-08-13,1183.2
2019-08-19,1189.52
2019-08-26,1193.08
2019-08-29,1189.59
2019-09-03,1189.6
2019-09-09,1193.58
2019-09-16,1198.19
2019-09-19,1199.4
2019-09-24,1199.12
2019-09-30,1198.81
2019-10-07,1202.51
2019-10-10,1201.36
2019-10-15,1205.17
2019-10-21,1209.99
2019-10-28,1215.73
2019-10-31,1221.22
2019-11-05,1223.54
2019-11-11,1224.89
2019-11-18,1224.23
2019-11-21,1221.55
2019-11-26,1221.95
2019-12-02,1217.3
2019-12-09,1220.04
2019-12-12,1216.49
2019-12-17,1211.51
2019-12-23,1217.97
2019-12-27,1221.47
2020-01-02,1227.03
2020-01-07,1227.9
2020-01-13,1237.65
2020-01-17,1239.93
2020-01-23,1247.27
2020-01-28,1246.62
2020-02-03,1246.89
2020-02-05,1250.72
2020-02-07,1254.08
2020-02-10,1253.77
2020-02-13,1263.53
2020-02-17,1264.22
2020-02-18,1265.04
2020-02-20,1266.72
2020-02-24,1264.61
2020-02-28,1247.72
2020-03-03,1246.69
2020-03-05,1278.08
2020-03-06,1262.63
2020-03-10,1246.22
2020-03-16,1229.15
2020-03-18,1218.12
2020-03-20,1195.89
2020-03-23,1187.81
2020-03-26,1184.97
2020-03-30,1197.1
2020-03-31,1197.45
2020-04-02,1194.83
2020-04-06,1192.7
2020-04-09,1190.21
2020-04-13,1191.73
2020-04-16,1200.1
2020-04-17,1201.44
2020-04-20,1206.59
2020-04-21,1210.25
2020-04-24,1207.78
2020-04-27,1204.86
2020-04-28,1202.77
2020-05-04,1204.66
2020-05-05,1201.4
2020-05-06,1197.59
2020-05-11,1197.75
2020-05-12,1199.53
2020-05-13,1202.16
2020-05-18,1213.32
2020-05-20,1218.88
2020-05-26,1222.09
2020-05-27,1235.61
2020-05-28,1228.84
2020-06-02,1234.63
2020-06-04,1243.79
2020-06-08,1236.83
2020-06-12,1239.18
2020-06-15,1239.14
2020-06-17,1241.41
2020-06-19,1242.03
2020-06-23,1243.39
2020-06-29,1248.03
2020-06-30,1249.11
2020-07-03,1248.99
2020-07-06,1249.43
2020-07-08,1252.04
2020-07-13,1258.01
2020-07-14,1256.42
2020-07-15,1258.04
2020-07-20,1258.7
2020-07-23,1267.92
2020-07-24,1268.26
2020-07-27,1269.11
2020-07-29,1271.49
2020-07-30,1273.36
2020-08-03,1272.22
2020-08-04,1273.58
2020-08-07,1277.83
2020-08-10,1279.12
2020-08-14,1284.26
2020-08-18,1284.89
2020-08-19,1286.7
2020-08-24,1287.81
2020-08-25,1289.71
2020-08-31,1288.24
2020-09-02,1289.24
2020-09-04,1289.78
2020-09-07,1291.26
2020-09-09,1290.11
2020-09-14,1289.98
2020-09-17,1291.01
2020-09-21,1292.08
2020-09-24,1292.14
2020-09-25,1292.81
2020-09-28,1293.94
2020-09-30,1293.62
2020-10-02,1293.07
2020-10-05,1294.1
2020-10-09,1295.21
2020-10-12,1297.25
2020-10-13,1298.35
2020-10-16,1301.39
2020-10-19,1302.97
2020-10-20,1304.38
2020-10-21,1306.36
2020-10-26,1305.23
2020-11-02,1307.08
2020-11-04,1308.03
2020-11-06,1316.96
2020-11-09,1321.05
2020-11-11,1316.47
2020-11-12,1314.94
2020-11-16,1318.72
2020-11-19,1322.05
2020-11-23,1322.28
2020-11-27,1327.76
2020-12-01,1330.01
2020-12-02,1331.43
2020-12-04,1332.98
2020-12-07,1333.1
2020-12-08,1334.54
2020-12-14,1340.04
2020-12-15,1339.84
2020-12-18,1352.57
2020-12-21,1350.4
2020-12-23,1350.97
2020-12-28,1353.19
2020-12-30,1353.19
2021-01-04,1355.75
