tanggal,data
2020-04-16,946.9
2020-04-20,968.78
2020-04-23,961.52
2020-04-27,936.49
2020-04-30,986.1
2020-05-04,947.94
2020-05-08,950.99
2020-05-11,958.63
2020-05-14,917.52
2020-05-18,911.89
2020-05-26,935.7
2020-05-29,968.36
2020-06-02,996.29
2020-06-05,1023.71
2020-06-08,1058.4
2020-06-12,1006.34
2020-06-16,1035.68
2020-06-19,1030.31
2020-06-23,1012.62
2020-06-26,1024.71
2020-06-30,1021.09
2020-07-06,1038.36
2020-07-07,1036.81
2020-07-13,1055.34
2020-07-14,1059.82
2020-07-20,1049.19
2020-07-21,1068.03
2020-07-27,1070.31
2020-07-29,1063.2
2020-08-03,1034.72
2020-08-05,1074.39
2020-08-10,1084.67
2020-08-12,1115.23
2020-08-18,1133.31
2020-08-19,1127.7
2020-08-24,1127.63
2020-08-26,1147.5
2020-08-31,1112.52
2020-09-03,1126.2
2020-09-07,1114.03
2020-09-10,1028.99
2020-09-14,1090.78
2020-09-17,1052.32
2020-09-21,1041.35
2020-09-24,1004.59
2020-09-28,1017.62
2020-10-01,1033.13
2020-10-05,1025.6
2020-10-08,1046.23
2020-10-12,1054.07
2020-10-16,1054.98
2020-10-19,1061.75
2020-10-23,1058.35
2020-10-26,1062.38
2020-11-02,1053.28
2020-11-06,1106.66
2020-11-10,1136.19
2020-11-13,1143.74
2020-11-17,1163.32
2020-11-20,1167.86
2020-11-24,1196.54
2020-11-30,1167.7
2020-12-01,1192.83
2020-12-07,1230.97
2020-12-08,1226.0
2020-12-14,1232.84
2020-12-16,1262.13
2020-12-21,1261.85
2020-12-23,1217.38
2020-12-28,1238.11
2020-12-30,1214.91
2021-01-04,1242.4
2021-01-06,1221.67
2021-01-11,1283.56
2021-01-13,1280.36
2021-01-18,1274.46
2021-01-20,1287.68
2021-01-25,1250.52
2021-01-28,1200.21
2021-02-01,1201.44
2021-02-04,1202.35
2021-02-08,1211.93
2021-02-11,1201.56
2021-02-15,1205.25
2021-02-18,1180.89
2021-02-22,1192.17
2021-02-25,1197.11
2021-03-01,1213.75
2021-03-04,1191.92
2021-03-08,1181.97
2021-03-12,1190.23
2021-03-15,1182.81
2021-03-19,1198.28
2021-03-22,1180.7
2021-03-26,1177.68
2021-03-30,1149.28
2021-04-05,1128.97
2021-04-06,1138.24
2021-04-09,1147.38
2021-04-13,1117.67
2021-04-16,1141.3
2021-04-20,1137.52
2021-04-26,1125.58
2021-04-27,1125.51
2021-05-03,1117.17
2021-05-04,1124.15
2021-05-10,1127.08
2021-05-17,1102.6
2021-05-19,1087.68
2021-05-24,1086.28
2021-05-27,1095.55
2021-05-31,1121.98
2021-06-02,1142.52
2021-06-07,1142.52
2021-06-09,1140.22
2021-06-14,1134.43
2021-06-16,1121.86
2021-06-21,1088.84
2021-06-24,1081.82
2021-06-28,1056.68
2021-07-01,1077.3
2021-07-05,1069.78
2021-07-08,1067.17
2021-07-12,1072.75
2021-07-15,1071.31
2021-07-19,1068.6
2021-07-22,1092.84
2021-07-26,1079.71
2021-07-29,1064.78
2021-08-02,1058.34
2021-08-06,1069.99
2021-08-09,1054.17
2021-08-13,1075.34
2021-08-16,1073.92
2021-08-20,1074.03
2021-08-24,1075.62
2021-08-27,1065.21
2021-08-31,1090.75
2021-09-03,1102.51
2021-09-07,1104.59
2021-09-13,1096.99
2021-09-14,1102.44
2021-09-20,1081.33
2021-09-21,1077.14
2021-09-27,1083.19
2021-09-28,1079.8
2021-10-04,1141.68
2021-10-06,1158.1
2021-10-11,1175.82
2021-10-13,1197.97
2021-10-18,1222.42
2021-10-21,1215.18
2021-10-25,1205.91
2021-10-27,1198.05
2021-11-01,1184.61
2021-11-03,1187.63
2021-11-08,1193.71
2021-11-10,1201.5
2021-11-15,1182.8
2021-11-18,1189.22
2021-11-22,1212.77
2021-11-25,1209.6
2021-11-29,1194.74
2021-12-02,1192.78
2021-12-06,1181.12
2021-12-09,1198.16
2021-12-13,1187.62
2021-12-16,1178.1
2021-12-20,1170.28
2021-12-24,1170.41
2021-12-27,1171.23
2022-01-03,1185.22
2022-01-07,1188.8
2022-01-10,1182.7
2022-01-14,1186.94
2022-01-18,1175.15
2022-01-21,1191.17
2022-01-25,1158.28
2022-01-28,1172.57
2022-01-31,1160.95
2022-02-02,1168.5
2022-02-03,1167.34
2022-02-07,1180.49
2022-02-08,1176.38
2022-02-10,1184.35
2022-02-14,1175.77
2022-02-15,1192.05
2022-02-17,1192.45
2022-02-21,1196.98
2022-02-22,1191.32
2022-02-24,1192.03
2022-03-01,1203.63
2022-03-02,1193.7
2022-03-07,1216.27
2022-03-09,1230.72
2022-03-11,1239.33
2022-03-14,1236.8
2022-03-16,1245.12
2022-03-18,1235.66
2022-03-21,1239.95
2022-03-23,1251.2
2022-03-25,1262.39
2022-03-28,1275.28
2022-03-29,1264.13
2022-03-30,1265.37
2022-04-01,1267.06
2022-04-04,1277.98
2022-04-05,1282.96
2022-04-07,1275.45
2022-04-11,1283.81
2022-04-12,1290.04
2022-04-14,1296.42
2022-04-18,1310.42
2022-04-21,1327.25
2022-04-25,1323.59
2022-04-27,1326.3
2022-04-28,1341.47
2022-05-09,1275.75
2022-05-11,1272.87
2022-05-12,1236.03
2022-05-13,1239.27
2022-05-17,1247.41
2022-05-18,1267.96
2022-05-20,1274.72
2022-05-23,1261.2
2022-05-24,1281.46
2022-05-27,1298.84
2022-05-30,1299.33
2022-05-31,1326.69
2022-06-02,1310.92
2022-06-03,1317.58
2022-06-06,1310.69
2022-06-07,1309.37
2022-06-09,1310.23
2022-06-10,1283.91
2022-06-13,1268.01
2022-06-14,1277.77
2022-06-16,1272.0
2022-06-17,1256.44
2022-06-20,1264.06
2022-06-21,1275.36
2022-06-23,1268.5
2022-06-24,1271.44
2022-06-27,1260.08
2022-06-28,1257.43
2022-06-29,1240.32
2022-07-04,1193.81
2022-07-05,1211.83
2022-07-06,1197.91
2022-07-08,1203.76
2022-07-11,1199.25
2022-07-12,1196.84
2022-07-13,1183.56
2022-07-15,1187.24
2022-07-18,1197.73
2022-07-20,1240.87
2022-07-22,1236.88
2022-07-25,1232.83
2022-07-26,1239.58
2022-07-27,1246.25
2022-07-29,1255.71
2022-08-01,1261.47
2022-08-02,1270.2
2022-08-03,1282.77
2022-08-04,1282.87
