tanggal,data
2016-08-23,1089.11
2016-08-30,1090.03
2016-09-05,1090.9
2016-09-13,1092.01
2016-09-19,1093.0
2016-09-26,1093.96
2016-09-30,1094.42
2016-10-07,1094.88
2016-10-13,1095.53
2016-10-19,1096.2
2016-10-25,1096.64
2016-11-01,1097.2
2016-11-07,1097.76
2016-11-14,1098.09
2016-11-21,1098.66
2016-11-28,1099.34
2016-12-02,1099.72
2016-12-09,1100.09
2016-12-15,1100.58
2016-12-21,1100.99
2016-12-28,1101.79
2017-01-03,1102.31
2017-01-09,1102.55
2017-01-16,1102.95
2017-01-23,1103.6
2017-01-30,1104.2
2017-02-03,1104.54
2017-02-10,1105.05
2017-02-16,1105.44
2017-02-22,1105.91
2017-03-01,1106.54
2017-03-07,1107.06
2017-03-13,1107.57
2017-03-20,1108.0
2017-03-27,1108.51
2017-04-03,1109.02
2017-04-10,1109.39
2017-04-17,1109.82
2017-04-20,1110.09
2017-04-27,1110.71
2017-05-03,1110.99
2017-05-09,1111.46
2017-05-15,1111.9
2017-05-22,1112.46
2017-05-29,1112.89
2017-06-05,1113.5
2017-06-12,1113.92
2017-06-16,1114.18
2017-06-22,1114.53
2017-07-03,1115.74
2017-07-05,1115.86
2017-07-11,1116.3
2017-07-18,1116.96
2017-07-24,1117.52
2017-07-31,1118.0
2017-08-07,1118.55
2017-08-14,1119.07
2017-08-18,1119.36
2017-08-24,1119.59
2017-08-31,1119.97
2017-09-06,1120.48
2017-09-12,1120.89
2017-09-19,1121.32
2017-09-25,1121.69
2017-10-02,1122.22
2017-10-09,1122.52
2017-10-16,1123.01
2017-10-20,1123.28
2017-10-27,1123.72
2017-11-02,1123.97
2017-11-08,1124.44
2017-11-15,1124.95
2017-11-21,1125.34
2017-11-27,1125.92
2017-12-04,1126.62
2017-12-11,1127.47
2017-12-18,1127.59
2017-12-22,1127.89
2017-12-29,1128.22
2018-01-04,1128.53
2018-01-10,1128.97
2018-01-17,1129.48
2018-01-23,1130.04
2018-01-29,1130.55
2018-02-05,1131.16
2018-02-12,1131.84
2018-02-19,1132.32
2018-02-26,1132.69
2018-03-02,1132.96
2018-03-08,1133.44
2018-03-15,1134.04
2018-03-21,1134.45
2018-03-27,1134.88
2018-04-02,1135.34
2018-04-09,1135.88
2018-04-16,1135.94
2018-04-23,1136.41
2018-04-30,1136.91
2018-05-04,1137.13
2018-05-11,1137.54
2018-05-17,1137.4
2018-05-23,1137.78
2018-05-30,1137.97
2018-06-05,1138.49
2018-06-20,1139.09
2018-06-25,1139.57
2018-07-02,1140.19
2018-07-06,1140.4
2018-07-12,1140.8
2018-07-19,1141.1
2018-07-25,1141.54
2018-07-31,1141.99
2018-08-07,1142.59
2018-08-13,1143.18
2018-08-20,1144.14
2018-08-27,1144.57
2018-09-03,1145.07
2018-09-07,1145.54
2018-09-14,1146.11
2018-09-20,1146.73
2018-09-26,1147.15
2018-10-03,1147.97
2018-10-09,1148.94
2018-10-15,1149.59
2018-10-22,1150.27
2018-10-29,1151.26
2018-11-05,1151.87
2018-11-09,1152.11
2018-11-16,1152.83
2018-11-22,1153.27
2018-11-28,1153.95
2018-12-05,1154.73
2018-12-11,1155.46
2018-12-17,1156.08
2018-12-26,1158.02
2019-01-02,1158.62
2019-01-07,1159.02
2019-01-14,1159.53
2019-01-18,1159.85
2019-01-24,1160.44
2019-01-30,1161.11
2019-02-06,1161.82
2019-02-12,1162.5
2019-02-18,1163.44
2019-02-25,1164.19
2019-03-04,1165.28
2019-03-11,1166.04
2019-03-18,1166.8
2019-03-22,1167.17
2019-03-28,1167.87
2019-04-04,1168.76
2019-04-10,1169.02
2019-04-16,1169.98
2019-04-23,1170.44
2019-04-29,1171.58
2019-05-06,1172.3
2019-05-13,1173.0
2019-05-20,1173.58
2019-05-24,1174.03
2019-05-31,1174.64
2019-06-10,1175.67
2019-06-12,1175.83
2019-06-18,1176.45
2019-06-25,1177.12
2019-07-01,1178.02
2019-07-08,1178.77
2019-07-15,1179.41
2019-07-22,1180.34
2019-07-26,1180.84
2019-08-02,1182.0
2019-08-08,1182.77
2019-08-14,1183.41
2019-08-21,1184.33
2019-08-27,1185.16
2019-09-02,1185.86
2019-09-09,1186.7
2019-09-16,1187.39
2019-09-23,1188.27
2019-09-27,1188.93
2019-10-04,1189.71
2019-10-10,1190.56
2019-10-16,1191.18
2019-10-23,1191.87
2019-10-29,1192.26
2019-11-04,1193.15
2019-11-11,1194.14
2019-11-18,1195.07
2019-11-25,1195.86
2019-12-02,1196.74
2019-12-06,1197.12
2019-12-12,1197.55
2019-12-18,1198.14
2019-12-26,1199.12
2020-01-02,1199.89
2020-01-06,1200.27
2020-01-13,1200.92
2020-01-20,1201.49
2020-01-27,1202.24
2020-02-03,1203.05
2020-02-05,1203.24
2020-02-07,1203.46
2020-02-10,1203.8
2020-02-13,1204.13
2020-02-17,1204.43
2020-02-20,1204.78
2020-02-24,1205.12
2020-02-26,1205.25
2020-02-28,1205.45
2020-03-03,1205.94
2020-03-06,1206.16
2020-03-10,1206.43
2020-03-16,1207.0
2020-03-18,1207.17
2020-03-23,1207.66
2020-03-26,1207.9
2020-03-30,1208.26
2020-04-02,1208.49
2020-04-06,1208.86
2020-04-09,1209.1
2020-04-13,1209.48
2020-04-16,1209.66
2020-04-17,1209.76
2020-04-20,1210.02
2020-04-23,1210.33
2020-04-24,1210.41
2020-04-28,1210.73
2020-04-29,1210.83
2020-05-04,1211.21
2020-05-05,1211.29
2020-05-11,1211.98
2020-05-12,1212.07
2020-05-13,1212.14
2020-05-18,1212.71
2020-05-20,1212.92
2020-05-26,1213.3
2020-05-28,1213.41
2020-06-02,1213.83
2020-06-04,1213.99
2020-06-08,1214.33
2020-06-12,1214.71
2020-06-15,1215.02
2020-06-19,1215.42
2020-06-23,1215.78
2020-06-25,1215.97
2020-06-29,1216.46
2020-06-30,1216.57
2020-07-01,1216.68
2020-07-06,1217.01
2020-07-07,1217.07
2020-07-08,1217.14
2020-07-13,1217.49
2020-07-14,1217.55
2020-07-15,1217.62
2020-07-20,1218.24
2020-07-23,1218.48
2020-07-27,1218.89
2020-07-30,1219.17
2020-08-03,1219.53
2020-08-07,1219.85
2020-08-10,1220.09
2020-08-14,1220.42
2020-08-18,1220.73
2020-08-24,1221.19
2020-08-25,1221.27
2020-08-27,1221.49
2020-08-31,1221.94
2020-09-02,1222.13
2020-09-07,1222.66
2020-09-09,1222.86
2020-09-14,1223.45
2020-09-15,1223.5
2020-09-17,1223.64
2020-09-21,1224.0
2020-09-24,1224.24
2020-09-28,1224.6
2020-10-02,1224.88
2020-10-05,1225.07
2020-10-09,1225.28
2020-10-12,1225.52
2020-10-13,1225.6
2020-10-19,1226.01
2020-10-20,1226.09
2020-10-23,1226.34
2020-10-26,1226.62
2020-11-02,1227.23
2020-11-04,1227.36
2020-11-09,1227.63
2020-11-11,1227.74
2020-11-12,1227.79
2020-11-16,1227.91
2020-11-17,1227.98
2020-11-19,1228.11
2020-11-23,1228.41
2020-11-27,1228.68
2020-11-30,1228.89
2020-12-01,1228.97
2020-12-04,1229.2
2020-12-07,1229.41
2020-12-08,1229.47
2020-12-14,1229.94
2020-12-15,1229.98
2020-12-21,1230.39
2020-12-23,1230.51
2020-12-28,1231.07
2020-12-30,1231.18
2021-01-04,1231.53
2021-01-07,1231.68
2021-01-11,1231.84
