tanggal,data
2020-05-26,971.02
2020-05-28,976.96
2020-06-02,981.12
2020-06-04,987.92
2020-06-08,984.8
2020-06-11,987.16
2020-06-15,987.03
2020-06-18,981.52
2020-06-22,982.45
2020-06-25,986.23
2020-06-29,986.17
2020-07-02,986.5
2020-07-06,987.75
2020-07-09,991.73
2020-07-13,994.72
2020-07-16,991.46
2020-07-20,992.29
2020-07-23,998.46
2020-07-27,1000.83
2020-07-30,1003.21
2020-08-03,1003.9
2020-08-06,1007.42
2020-08-10,1009.62
2020-08-13,1012.7
2020-08-18,1010.61
2020-08-24,1013.87
2020-08-27,1012.52
2020-08-31,1012.17
2020-09-03,1011.55
2020-09-07,1011.93
2020-09-10,1011.25
2020-09-14,1011.85
2020-09-17,1007.61
2020-09-21,1008.51
2020-09-24,1008.06
2020-09-28,1008.94
2020-10-01,1007.95
2020-10-05,1008.78
2020-10-08,1009.46
2020-10-12,1010.65
2020-10-15,1014.54
2020-10-19,1012.36
2020-10-22,1015.08
2020-10-26,1015.24
2020-11-02,1014.83
2020-11-05,1018.67
2020-11-09,1025.07
2020-11-12,1022.02
2020-11-16,1025.4
2020-11-19,1024.27
2020-11-23,1024.83
2020-11-26,1028.17
2020-11-30,1029.33
2020-12-03,1029.95
2020-12-07,1029.83
2020-12-10,1031.15
2020-12-14,1032.83
2020-12-18,1033.48
2020-12-21,1032.05
2020-12-28,1032.97
2021-01-04,1034.42
2021-01-08,1030.72
2021-01-11,1029.38
2021-01-15,1021.8
2021-01-18,1021.35
2021-01-22,1021.06
2021-01-25,1021.64
2021-01-29,1025.35
2021-02-01,1027.09
2021-02-05,1029.11
2021-02-08,1028.77
2021-02-15,1028.92
2021-02-19,1017.77
2021-02-22,1016.28
2021-02-26,1014.63
2021-03-01,1015.53
2021-03-05,1015.2
2021-03-08,1012.78
2021-03-12,1010.53
2021-03-15,1010.48
2021-03-19,1005.38
2021-03-22,1006.34
2021-03-26,1010.02
2021-03-29,1010.48
2021-04-05,1013.48
2021-04-09,1018.21
2021-04-12,1016.34
2021-04-16,1011.72
2021-11-11,1012.94
2021-11-15,1012.68
2021-11-16,1013.76
2021-11-22,1014.0
2021-11-23,1014.28
2021-11-29,1012.31
2021-11-30,1012.5
2021-12-06,1002.09
2021-12-07,1003.1
2021-12-13,1006.33
2021-12-15,1003.98
2021-12-20,1005.86
2021-12-22,1008.86
2021-12-27,1010.53
2021-12-29,1009.98
2022-01-03,1009.26
2022-01-05,1008.41
2022-01-10,1002.45
2022-01-12,1004.12
2022-01-17,1005.99
2022-01-19,1005.64
2022-01-24,1006.1
2022-01-26,1005.79
2022-01-31,1006.57
2022-02-02,1007.13
2022-02-03,1007.33
2022-02-07,1007.65
2022-02-08,1008.03
2022-02-09,1008.51
2022-02-10,1008.33
2022-02-14,1007.97
2022-02-15,1008.26
2022-02-16,1008.53
2022-02-17,1009.29
2022-02-21,1010.59
2022-02-23,1011.0
2022-02-24,1010.64
2022-03-01,1010.9
2022-03-02,1010.11
2022-03-07,1006.9
2022-03-09,1000.47
2022-03-11,1003.85
2022-03-14,1003.62
2022-03-16,1003.24
2022-03-18,1004.65
2022-03-21,1005.31
2022-03-23,1004.4
2022-03-25,1005.78
2022-03-28,1005.17
