tanggal,data
2022-01-14,1004.21
2022-01-17,1000.33
2022-01-18,998.26
2022-01-21,1010.09
2022-01-24,998.99
2022-01-25,987.85
2022-01-28,997.02
2022-01-31,984.5
2022-02-02,989.83
2022-02-03,990.28
2022-02-07,1005.94
2022-02-08,1002.69
2022-02-10,1017.67
2022-02-14,1002.08
2022-02-15,1011.25
2022-02-17,1009.85
2022-02-21,1013.37
2022-02-22,1002.92
2022-02-24,991.8
2022-03-01,1008.08
2022-03-02,998.42
2022-03-04,1009.91
2022-03-07,993.57
2022-03-09,1006.11
2022-03-10,1009.85
2022-03-11,1018.0
2022-03-14,1027.5
2022-03-16,1036.45
2022-03-18,1021.49
2022-03-21,1023.54
2022-03-23,1031.49
2022-03-25,1035.1
2022-03-28,1043.19
2022-03-29,1038.58
2022-03-30,1039.66
2022-04-01,1037.56
2022-04-04,1036.91
2022-04-05,1036.45
2022-04-06,1017.27
2022-04-07,1021.93
2022-04-08,1026.38
2022-04-11,1019.33
2022-04-12,1025.93
2022-04-13,1036.22
2022-04-14,1031.49
2022-04-18,1035.3
2022-04-20,1048.08
2022-04-21,1060.77
2022-04-22,1051.98
2022-04-25,1060.09
2022-04-26,1072.42
2022-04-27,1062.47
2022-05-09,1012.27
2022-05-10,1011.76
2022-05-11,1020.8
2022-05-12,987.76
2022-05-13,987.98
2022-05-17,996.27
2022-05-18,1008.39
2022-05-19,998.29
2022-05-20,1002.43
2022-05-23,991.01
2022-05-24,998.42
2022-05-27,1016.49
2022-05-30,1010.43
2022-05-31,1030.5
2022-06-02,1011.93
2022-06-06,1008.23
2022-06-07,1004.25
2022-06-09,1009.38
2022-06-13,978.99
2022-06-14,983.34
2022-06-16,986.31
2022-06-20,983.75
2022-06-22,976.35
2022-06-23,981.92
2022-06-27,980.13
2022-06-29,968.35
2022-07-04,937.23
2022-07-06,948.63
2022-07-08,951.24
2022-07-11,948.12
2022-07-13,933.94
2022-07-15,939.39
2022-07-18,948.95
2022-07-20,973.08
2022-07-22,970.77
2022-07-25,966.88
2022-07-26,971.94
2022-07-27,972.78
2022-07-29,972.9
2022-08-01,972.97
2022-08-02,984.17
2022-08-04,992.11
2022-08-05,1000.52
2022-08-08,1004.45
2022-08-09,1005.5
2022-08-11,1007.08
2022-08-12,1003.98
2022-08-15,998.28
2022-08-16,995.79
2022-08-18,1002.44
2022-08-22,994.55
2022-08-23,998.51
2022-08-25,995.75
2022-08-29,988.38
2022-08-30,988.28
2022-08-31,995.85
2022-09-01,996.42
2022-09-02,1002.05
2022-09-05,1009.81
2022-09-06,1001.97
2022-09-07,995.77
2022-09-08,1007.04
2022-09-09,1010.59
2022-09-12,1008.39
2022-09-14,1013.29
2022-09-15,1025.59
2022-09-16,1004.5
2022-09-19,1013.79
2022-09-20,1008.36
2022-09-22,1006.94
2022-09-23,997.52
2022-09-26,1002.11
2022-09-27,1000.71
2022-09-28,999.46
2022-09-29,997.08
2022-10-03,996.25
2022-10-04,1000.02
2022-10-05,996.37
2022-10-06,995.32
2022-10-10,983.25
2022-10-11,980.22
2022-10-12,978.37
2022-10-13,974.9
2022-10-14,966.38
2022-10-17,968.79
2022-10-19,976.29
2022-10-20,994.68
2022-10-21,1002.33
2022-10-24,1012.95
2022-10-26,1005.88
2022-10-28,1010.76
2022-10-31,1009.71
2022-11-02,995.37
2022-11-04,998.22
2022-11-07,1004.76
2022-11-08,996.42
2022-11-09,998.9
2022-11-11,1000.48
