tanggal,data
2013-07-10,1000.12
2013-07-18,1001.07
2013-07-29,1002.29
2013-08-05,1001.29
2013-08-13,1002.4
2013-08-22,1003.21
2013-09-02,1004.92
2013-09-09,1005.91
2013-09-17,1007.07
2013-09-26,1008.41
2013-10-04,1009.75
2013-10-16,1011.72
2013-10-22,1012.89
2013-10-30,1014.4
2013-11-08,1015.69
2013-11-18,1017.33
2013-11-25,1018.47
2013-12-04,1020.03
2013-12-12,1021.4
2013-12-23,1023.68
2013-12-30,1025.08
2014-01-07,1026.44
2014-01-16,1028.56
2014-01-27,1030.77
2014-02-03,1032.12
2014-02-11,1033.94
2014-02-20,1036.19
2014-02-28,1038.15
2014-03-10,1040.19
2014-03-18,1041.77
2014-03-26,1043.58
2014-04-04,1045.39
2014-04-14,1047.94
2014-04-21,1049.16
2014-04-30,1050.79
2014-05-08,1052.33
2014-05-19,1054.73
2014-05-26,1055.97
2014-06-03,1057.75
2014-06-12,1059.42
2014-06-23,1061.65
2014-06-30,1062.96
2014-07-08,1065.05
2014-07-17,1066.86
2014-07-25,1068.69
2014-08-04,1070.68
2014-08-12,1072.28
2014-08-20,1074.01
2014-08-29,1075.85
2014-09-08,1077.95
2014-09-15,1079.42
2014-09-24,1081.32
2014-10-03,1083.2
2014-10-13,1085.37
2014-10-20,1086.87
2014-10-28,1088.63
2014-11-06,1090.41
2014-11-17,1092.77
2014-11-24,1094.24
2014-12-02,1096.15
2014-12-11,1098.1
2014-12-19,1099.61
2014-12-29,1101.71
2015-01-06,1103.45
2015-01-14,1105.23
2015-01-23,1107.34
2015-02-02,1109.73
2015-02-09,1111.15
2015-02-18,1113.03
2015-02-27,1115.02
2015-03-09,1117.11
2015-03-16,1118.53
2015-03-24,1120.07
2015-04-02,1122.11
2015-04-13,1124.61
2015-04-20,1125.99
2015-04-28,1127.65
2015-05-07,1129.37
2015-05-15,1130.93
2015-05-25,1132.86
2015-06-03,1134.4
2015-06-10,1136.02
2015-06-19,1137.92
2015-06-29,1140.12
2015-07-06,1141.83
2015-07-15,1143.88
2015-07-24,1145.3
2015-08-03,1147.34
2015-08-10,1148.76
2015-08-19,1150.54
2015-08-27,1151.75
2015-09-07,1154.04
2015-09-14,1155.15
2015-09-22,1156.6
2015-10-01,1158.2
2015-10-09,1160.92
2015-10-19,1163.21
2015-10-27,1164.76
2015-11-04,1166.21
2015-11-13,1168.11
2015-11-23,1170.51
