tanggal,data
2013-06-05,1003.12
2013-06-13,991.57
2013-06-24,986.66
2013-07-01,992.92
2013-07-10,962.55
2013-07-18,971.55
2013-07-29,969.47
2013-08-12,983.0
2013-08-14,975.74
2013-08-22,941.23
2013-09-02,944.35
2013-09-09,926.06
2013-09-17,959.01
2013-09-26,965.26
2013-10-07,966.95
2013-10-16,989.06
2013-10-22,1015.27
2013-10-31,1011.07
2013-11-11,962.91
2013-11-18,953.98
2013-11-26,943.81
2013-12-05,932.46
2013-12-16,942.39
2013-12-23,944.35
2014-01-02,950.96
2014-01-09,926.53
2014-01-20,956.13
2014-01-27,930.9
2014-02-04,935.88
2014-02-13,954.39
2014-02-21,977.9
2014-03-03,986.24
2014-03-11,1003.88
2014-03-20,1003.22
2014-03-28,1023.49
2014-04-07,1028.72
2014-04-15,1030.91
2014-04-23,1021.94
2014-05-02,1031.65
2014-05-12,1033.36
2014-05-20,1035.28
2014-05-28,1034.48
2014-06-06,1037.8
2014-06-16,1036.88
2014-06-24,1030.75
2014-07-02,1037.15
2014-07-11,1039.55
2014-07-21,1044.42
2014-08-04,1043.36
2014-08-06,1039.89
2014-08-15,1044.03
2014-08-25,1047.01
2014-09-01,1054.44
2014-09-10,1063.42
2014-09-19,1060.62
2014-09-29,1051.58
2014-10-06,1046.04
2014-10-15,1059.21
2014-10-24,1076.17
2014-11-03,1078.43
2014-11-10,1074.62
2014-11-19,1083.62
2014-11-27,1096.12
2014-12-08,1091.95
2014-12-15,1058.1
2014-12-24,1098.2
2015-01-02,1108.15
2015-01-12,1115.09
2015-01-19,1116.63
2015-01-28,1158.63
2015-02-05,1169.91
2015-02-16,1149.5
2015-02-23,1167.47
2015-03-03,1173.71
2015-03-12,1138.06
2015-03-23,1153.79
2015-03-30,1153.47
2015-04-07,1162.04
2015-04-16,1156.69
2015-04-27,1140.21
2015-05-04,1134.95
2015-05-12,1103.9
2015-05-21,1119.07
2015-06-01,1111.92
2015-06-08,1077.31
2015-06-16,1083.6
2015-06-25,1113.17
2015-07-06,1116.75
2015-07-13,1115.62
2015-07-22,1111.03
2015-07-30,1092.27
2015-08-07,1096.09
2015-08-18,1080.56
2015-08-25,1058.52
2015-09-03,1068.87
2015-09-11,1060.01
2015-09-21,1074.0
2015-09-29,1024.74
2015-10-07,1104.61
2015-10-16,1099.15
2015-10-26,1100.41
2015-11-03,1090.66
2015-11-11,1101.4
2015-11-20,1104.5
2015-11-30,1103.88
2015-12-07,1105.36
2015-12-16,1072.41
