tanggal,data
2017-04-25,988.26
2017-04-28,987.03
2017-05-04,987.32
2017-05-09,986.07
2017-05-15,985.01
2017-05-22,990.65
2017-05-29,991.76
2017-06-02,993.72
2017-06-08,995.19
2017-06-13,996.36
2017-06-19,999.56
2017-07-03,1001.79
2017-07-07,995.21
2017-07-12,996.3
2017-07-18,997.66
2017-07-24,1003.76
2017-07-31,1003.95
2017-08-07,1004.28
2017-08-11,1006.49
2017-08-16,1007.96
2017-08-22,1009.88
2017-08-28,1014.79
2017-09-04,1023.1
2017-09-11,1036.38
2017-09-14,1032.15
2017-09-20,1033.63
2017-09-26,1039.57
2017-10-02,1037.26
2017-10-09,1036.69
2017-10-16,1037.0
2017-10-19,1036.27
2017-10-25,1032.34
2017-10-31,1030.97
2017-11-06,1036.83
2017-11-13,1038.96
2017-11-17,1039.82
2017-11-23,1041.45
2017-11-29,1044.36
2017-12-05,1047.36
2017-12-11,1049.07
2017-12-18,1051.1
2017-12-22,1053.01
2017-12-28,1055.53
2018-01-03,1059.67
2018-01-09,1064.88
2018-01-15,1066.14
2018-01-22,1067.77
2018-01-26,1066.99
2018-02-01,1065.33
2018-02-07,1064.23
2018-02-13,1064.09
2018-02-19,1063.09
2018-02-26,1060.15
2018-03-02,1056.65
2018-03-08,1056.23
2018-03-14,1059.96
2018-03-20,1059.9
2018-03-26,1058.67
2018-04-02,1063.78
2018-04-06,1063.56
2018-04-12,1064.29
2018-04-18,1061.7
2018-04-24,1056.58
2018-04-30,1053.63
2018-05-07,1052.4
2018-05-11,1044.82
2018-05-17,1045.89
2018-05-23,1038.47
2018-05-28,1045.42
2018-06-04,1051.19
2018-06-20,1046.73
2018-06-21,1043.87
2018-06-27,1039.94
2018-07-02,1034.3
2018-07-09,1039.76
2018-07-16,1040.82
2018-07-20,1037.07
2018-07-26,1035.48
2018-07-31,1036.64
2018-08-06,1039.29
2018-08-13,1039.38
2018-08-20,1038.0
2018-08-24,1037.58
2018-08-30,1037.98
2018-09-04,1026.28
2018-09-10,1017.53
2018-09-17,1016.58
2018-09-24,1023.63
2018-09-28,1027.63
2018-10-03,1032.59
2018-10-09,1023.42
2018-10-15,1015.83
2018-10-22,1018.72
2018-10-29,1021.55
2018-11-02,1026.4
2018-11-07,1033.61
2018-11-13,1036.5
2018-11-19,1039.95
2018-11-26,1045.26
2018-12-03,1051.48
2018-12-06,1047.5
2018-12-12,1041.64
2018-12-18,1044.71
2018-12-26,1051.45
2019-01-02,1052.3
2019-01-07,1055.15
2019-01-10,1053.99
2019-01-16,1052.75
2019-01-22,1051.78
2019-01-28,1053.49
2019-02-04,1064.11
2019-02-08,1067.7
2019-02-14,1066.64
2019-02-20,1068.39
2019-02-26,1072.88
2019-03-04,1075.78
2019-03-11,1076.04
2019-03-15,1081.15
2019-03-21,1089.49
2019-03-27,1090.5
2019-04-02,1091.44
2019-04-08,1093.29
2019-04-15,1092.94
2019-04-22,1095.65
2019-04-25,1093.21
2019-05-02,1090.93
2019-05-07,1084.04
2019-05-13,1082.31
2019-05-20,1080.32
2019-05-24,1089.15
2019-05-31,1090.7
2019-06-10,1096.86
2019-06-11,1099.04
2019-06-17,1104.68
2019-06-24,1113.01
2019-06-28,1119.45
2019-07-04,1126.92
2019-07-10,1127.58
2019-07-16,1137.21
2019-07-22,1137.01
2019-07-29,1133.37
2019-08-02,1122.52
2019-08-08,1125.78
2019-08-14,1126.31
2019-08-19,1130.17
2019-08-26,1132.45
2019-09-02,1131.12
2019-09-06,1131.53
2019-09-12,1135.29
2019-09-18,1137.31
2019-09-23,1137.86
2019-09-30,1138.45
2019-10-07,1141.24
2019-10-11,1141.45
2019-10-17,1144.86
2019-10-22,1148.22
2019-10-28,1152.64
2019-11-04,1157.72
2019-11-11,1161.36
2019-11-15,1160.76
2019-11-21,1161.28
2019-11-26,1161.66
2019-12-02,1158.81
2019-12-09,1161.34
2019-12-16,1158.18
2019-12-20,1159.54
2019-12-26,1163.39
2020-01-02,1168.25
2020-01-06,1168.3
2020-01-13,1177.28
2020-01-20,1179.66
2020-01-24,1188.23
2020-01-29,1187.03
2020-02-03,1187.05
2020-02-04,1190.41
2020-02-05,1190.04
2020-02-10,1193.06
2020-02-13,1200.37
2020-02-17,1200.92
2020-02-20,1203.84
2020-02-24,1202.76
2020-02-27,1197.37
2020-02-28,1190.25
2020-03-03,1189.97
2020-03-04,1205.83
2020-03-06,1204.74
2020-03-10,1191.22
2020-03-16,1178.98
2020-03-18,1168.93
2020-03-23,1141.08
2020-03-26,1133.61
2020-03-30,1146.05
2020-04-02,1143.7
2020-04-06,1141.89
2020-04-08,1137.77
2020-04-09,1139.8
2020-04-13,1142.28
2020-04-14,1145.65
2020-04-17,1151.69
2020-04-20,1156.6
2020-04-24,1158.32
2020-04-27,1155.86
2020-04-28,1154.28
2020-05-04,1156.71
2020-05-05,1153.13
2020-05-08,1148.67
2020-05-11,1150.34
2020-05-13,1153.81
2020-05-18,1163.87
2020-05-19,1165.42
2020-05-20,1168.89
2020-05-26,1172.22
2020-05-28,1178.97
2020-06-02,1184.68
2020-06-04,1197.24
2020-06-05,1194.44
2020-06-08,1190.36
2020-06-11,1196.53
2020-06-12,1194.53
2020-06-15,1194.99
2020-06-17,1196.63
2020-06-19,1196.8
2020-06-23,1197.79
2020-06-29,1203.1
2020-06-30,1204.47
2020-07-06,1204.91
2020-07-08,1208.01
2020-07-10,1211.7
2020-07-13,1213.73
2020-07-15,1213.46
2020-07-16,1214.47
2020-07-20,1213.74
2020-07-22,1219.68
2020-07-23,1222.02
2020-07-27,1224.99
2020-07-28,1224.39
2020-07-30,1224.55
2020-08-03,1223.79
2020-08-07,1228.15
2020-08-10,1229.39
2020-08-14,1237.84
2020-08-18,1240.95
2020-08-24,1245.15
2020-08-25,1246.97
2020-08-26,1245.41
2020-08-31,1244.23
2020-09-01,1246.7
2020-09-02,1245.56
2020-09-07,1246.39
2020-09-09,1246.2
2020-09-14,1246.67
2020-09-17,1248.84
2020-09-18,1251.21
2020-09-21,1250.63
2020-09-24,1251.4
2020-09-28,1254.09
2020-09-30,1253.3
2020-10-02,1253.58
2020-10-05,1254.15
2020-10-06,1255.83
2020-10-09,1255.76
2020-10-12,1257.25
2020-10-13,1258.52
2020-10-19,1263.95
2020-10-20,1265.27
2020-10-23,1266.32
2020-10-26,1266.52
2020-11-02,1268.94
2020-11-04,1270.25
2020-11-09,1279.89
2020-11-12,1274.57
2020-11-16,1278.86
2020-11-19,1284.2
2020-11-23,1284.44
2020-11-27,1289.43
2020-12-01,1291.6
2020-12-03,1292.91
2020-12-04,1293.63
2020-12-08,1295.57
2020-12-10,1297.17
2020-12-14,1300.99
2020-12-15,1300.48
2020-12-21,1309.91
2020-12-23,1310.34
2020-12-28,1312.92
2020-12-30,1313.36
2021-01-04,1310.89
2021-01-07,1309.29
2021-01-11,1306.33
2021-01-12,1304.05
2021-01-14,1303.22
2021-01-18,1302.16
2021-01-22,1302.57
2021-01-25,1302.84
2021-01-26,1302.81
2021-01-29,1305.4
2021-02-01,1307.43
2021-02-02,1308.63
2021-02-05,1309.48
2021-02-08,1308.93
2021-02-10,1306.67
2021-02-11,1307.62
2021-02-15,1308.17
2021-02-16,1307.48
2021-02-17,1305.26
2021-02-22,1298.26
2021-02-24,1299.56
2021-03-01,1299.48
2021-03-04,1301.02
2021-03-08,1295.65
2021-03-12,1293.97
2021-03-15,1293.65
2021-03-17,1293.58
2021-03-19,1293.68
2021-03-23,1294.93
2021-03-26,1297.99
2021-03-29,1297.47
2021-03-30,1295.84
2021-04-05,1300.66
2021-04-07,1305.93
2021-04-12,1305.34
2021-04-14,1303.8
2021-04-16,1305.72
2021-04-19,1307.23
2021-04-21,1307.59
2021-04-22,1308.86
2021-04-26,1308.25
2021-04-27,1308.46
2021-04-29,1307.26
2021-05-03,1308.27
2021-05-06,1309.42
2021-05-10,1311.07
2021-05-17,1310.43
2021-05-18,1310.27
2021-05-20,1309.12
2021-05-21,1309.81
2021-05-25,1311.9
2021-05-27,1312.86
2021-05-31,1314.16
2021-06-02,1315.52
2021-06-07,1318.59
2021-06-09,1320.97
2021-06-14,1323.87
2021-06-17,1322.93
2021-06-21,1320.65
2021-06-24,1322.29
2021-06-28,1323.46
2021-06-30,1322.55
2021-07-02,1323.21
2021-07-05,1324.28
2021-07-06,1324.58
2021-07-09,1326.47
2021-07-12,1326.65
2021-07-13,1327.41
2021-07-19,1332.07
2021-07-21,1332.69
2021-07-23,1332.12
2021-07-26,1332.29
2021-07-28,1333.01
2021-07-29,1333.58
2021-08-02,1336.28
2021-08-04,1338.51
2021-08-09,1337.26
2021-08-10,1338.14
2021-08-12,1337.51
2021-08-16,1337.42
2021-08-19,1339.15
2021-08-23,1338.99
2021-08-27,1344.46
2021-08-30,1344.99
2021-09-02,1344.6
2021-09-03,1344.76
2021-09-07,1345.18
2021-09-08,1343.89
2021-09-13,1343.82
2021-09-14,1344.68
2021-09-20,1345.32
2021-09-22,1344.37
2021-09-27,1345.58
2021-09-29,1344.77
2021-10-01,1344.1
2021-10-04,1344.95
2021-10-07,1346.68
2021-10-11,1345.74
2021-10-13,1346.44
2021-10-14,1348.22
2021-10-18,1349.76
2021-10-19,1351.07
2021-10-22,1350.65
2021-10-25,1350.68
2021-10-29,1351.7
2021-11-01,1351.83
2021-11-02,1353.69
2021-11-05,1353.95
2021-11-08,1355.25
2021-11-09,1355.93
2021-11-11,1355.53
2021-11-15,1356.58
2021-11-17,1357.34
2021-11-22,1357.79
2021-11-23,1357.58
2021-11-24,1357.84
2021-11-29,1357.96
2021-12-02,1356.41
2021-12-06,1355.98
2021-12-09,1359.09
2021-12-10,1358.6
2021-12-13,1359.74
2021-12-16,1357.93
2021-12-17,1358.28
2021-12-20,1359.57
2021-12-22,1361.7
2021-12-24,1361.77
2021-12-28,1362.39
2022-01-03,1363.4
2022-01-04,1363.36
2022-01-10,1360.38
2022-01-12,1362.54
2022-01-14,1363.03
2022-01-17,1363.48
2022-01-19,1363.74
2022-01-20,1363.8
2022-01-24,1363.84
2022-01-26,1363.5
2022-01-27,1363.85
2022-01-31,1365.26
2022-02-02,1365.63
2022-02-03,1365.7
2022-02-07,1365.67
2022-02-08,1365.38
2022-02-10,1366.4
2022-02-11,1365.9
2022-02-14,1366.5
2022-02-15,1367.1
2022-02-17,1367.02
2022-02-18,1367.63
2022-02-21,1368.29
2022-02-22,1368.11
2022-02-24,1368.7
2022-03-01,1369.48
2022-03-02,1368.42
2022-03-07,1366.16
2022-03-09,1362.68
2022-03-11,1364.79
2022-03-14,1366.11
2022-03-16,1365.19
2022-03-18,1365.5
2022-03-21,1366.56
2022-03-23,1365.88
2022-03-24,1366.4
2022-03-25,1366.93
2022-03-28,1367.14
2022-03-29,1366.19
2022-03-31,1366.66
2022-04-01,1366.7
2022-04-04,1367.18
2022-04-05,1367.67
2022-04-07,1367.83
2022-04-08,1367.98
2022-04-11,1366.57
2022-04-12,1366.06
2022-04-14,1365.58
2022-04-18,1364.83
2022-04-19,1364.06
2022-04-21,1362.37
2022-04-25,1360.01
2022-04-27,1358.62
2022-05-09,1352.34
2022-05-10,1344.13
2022-05-11,1336.64
2022-05-12,1335.96
2022-05-13,1335.94
2022-05-17,1337.04
2022-05-18,1336.42
2022-05-19,1338.43
2022-05-20,1342.34
2022-05-23,1344.84
2022-05-24,1343.92
2022-05-27,1349.08
2022-05-30,1351.1
2022-05-31,1350.62
2022-06-02,1352.24
2022-06-03,1355.92
2022-06-06,1357.84
2022-06-07,1357.37
2022-06-08,1356.19
2022-06-09,1353.37
2022-06-10,1352.09
2022-06-13,1350.79
2022-06-14,1341.75
2022-06-16,1342.65
2022-06-20,1342.52
2022-06-22,1342.09
2022-06-23,1343.71
2022-06-27,1346.92
2022-06-29,1349.12
2022-07-04,1351.61
2022-07-06,1351.24
2022-07-07,1351.37
2022-07-08,1351.09
2022-07-11,1351.63
2022-07-13,1351.03
2022-07-14,1348.25
2022-07-15,1346.3
2022-07-18,1345.35
2022-07-19,1342.69
2022-07-20,1341.29
2022-07-22,1342.02
2022-07-25,1343.13
2022-07-26,1344.02
2022-07-29,1351.7
2022-08-01,1353.0
2022-08-02,1351.89
2022-08-04,1350.88
2022-08-05,1352.99
2022-08-08,1353.1
2022-08-09,1354.89
2022-08-11,1357.22
2022-08-15,1358.52
2022-08-16,1358.85
2022-08-18,1358.41
2022-08-22,1357.9
2022-08-23,1357.45
2022-08-24,1358.05
2022-08-25,1359.65
2022-08-29,1357.51
2022-08-31,1359.14
2022-09-01,1357.96
2022-09-02,1357.84
2022-09-05,1357.79
2022-09-07,1356.51
2022-09-08,1357.78
2022-09-09,1358.58
2022-09-12,1359.91
2022-09-14,1359.67
2022-09-15,1358.84
2022-09-16,1357.52
2022-09-19,1358.01
2022-09-20,1358.05
2022-09-21,1357.91
2022-09-23,1354.72
2022-09-26,1353.38
2022-09-27,1352.19
2022-09-29,1350.45
2022-10-03,1350.34
2022-10-04,1351.89
2022-10-06,1355.35
2022-10-10,1354.32
2022-10-11,1353.23
2022-10-12,1353.38
2022-10-13,1353.86
2022-10-14,1353.67
2022-10-17,1353.06
2022-10-19,1352.4
2022-10-20,1351.62
2022-10-24,1346.72
2022-10-26,1346.65
2022-10-27,1348.47
2022-10-31,1350.05
2022-11-01,1350.09
2022-11-02,1351.33
2022-11-03,1351.03
2022-11-04,1350.05
2022-11-07,1351.0
2022-11-09,1352.8
2022-11-11,1356.32
2022-11-14,1358.84
2022-11-16,1361.28
2022-11-18,1362.19
2022-11-21,1363.0
2022-11-22,1363.58
2022-11-24,1369.12
2022-11-25,1368.64
2022-11-28,1368.04
2022-11-29,1368.32
2022-11-30,1368.89
2022-12-01,1372.09
