tanggal,data
2019-05-27,1000.7
2019-05-31,999.39
2019-06-10,1013.32
2019-06-12,1022.6
2019-06-17,1015.03
2019-06-21,1045.63
2019-06-25,1043.43
2019-07-01,1062.34
2019-07-03,1062.06
2019-07-08,1060.1
2019-07-12,1069.58
2019-07-16,1079.83
2019-07-22,1082.41
2019-07-25,1073.33
2019-07-29,1065.16
2019-08-02,1066.04
2019-08-06,1063.23
2019-08-12,1063.79
2019-08-15,1069.42
2019-08-19,1063.35
2019-08-23,1064.22
2019-08-28,1060.59
2019-09-02,1072.83
2019-09-05,1089.72
2019-09-09,1087.11
2019-09-16,1059.55
2019-09-18,1066.85
2019-09-23,1069.2
2019-09-26,1067.93
2019-10-01,1065.81
2019-10-07,1076.72
2019-10-09,1091.46
2019-10-14,1084.47
2019-10-18,1083.41
2019-10-22,1078.89
2019-10-28,1071.36
2019-10-30,1077.55
2019-11-04,1067.67
2019-11-08,1049.05
2019-11-12,1045.67
2019-11-18,1031.04
2019-11-21,1032.64
2019-11-25,1023.14
2019-11-29,1009.45
2019-12-03,1022.64
2019-12-09,1039.71
2019-12-12,1038.91
2019-12-16,1045.9
2019-12-20,1038.6
2019-12-26,1063.48
2019-12-30,1066.78
2020-01-02,1062.25
2020-01-06,1071.84
2020-01-13,1074.86
2020-01-15,1058.22
2020-01-20,1054.69
2020-01-24,1046.03
2020-01-28,1024.4
2020-02-03,985.45
2020-02-05,1005.14
2020-02-10,998.67
2020-02-14,992.03
2020-02-18,1008.89
2020-02-24,1002.67
2020-02-27,975.6
2020-03-02,943.41
2020-03-06,977.31
2020-03-10,943.91
2020-03-16,890.81
2020-03-19,832.67
2020-03-23,797.19
2020-03-27,872.91
2020-04-01,850.65
2020-04-06,875.98
2020-04-09,872.17
2020-04-13,884.84
2020-04-20,886.36
2020-04-22,877.78
2020-04-27,876.8
2020-04-30,884.46
2020-05-05,882.69
2020-05-11,886.71
2020-05-13,871.71
2020-05-18,884.28
2020-05-26,880.92
2020-06-02,897.65
2020-06-03,912.96
2020-06-08,939.08
2020-06-12,912.28
2020-06-16,914.59
2020-06-22,930.04
2020-06-25,927.24
2020-06-29,927.26
2020-07-03,926.94
2020-07-07,935.59
2020-07-13,945.31
2020-07-16,951.65
2020-07-20,952.62
2020-07-24,1000.36
2020-07-29,1023.47
2020-08-03,997.48
2020-08-06,1028.49
2020-08-10,1044.15
2020-08-18,1038.93
2020-08-19,1034.11
2020-08-24,1038.18
2020-08-27,1051.16
2020-09-01,1054.28
2020-09-07,1035.37
2020-09-09,1007.4
2020-09-14,1016.66
2020-09-18,995.91
2020-09-22,962.47
2020-09-28,960.98
2020-09-30,957.59
2020-10-05,980.11
2020-10-09,992.16
2020-10-13,1002.3
2020-10-19,994.65
2020-10-22,991.23
2020-10-26,993.25
2020-11-02,986.25
2020-11-03,987.41
2020-11-09,1025.01
2020-11-12,1026.82
2020-11-16,1031.56
2020-11-20,1038.06
2020-11-25,1056.36
2020-11-30,1059.88
2020-12-03,1115.07
2020-12-07,1145.57
2020-12-14,1195.39
2020-12-16,1236.94
2020-12-21,1275.54
2020-12-28,1264.36
2020-12-29,1254.14
2021-01-04,1291.8
2021-01-06,1274.75
2021-01-11,1318.23
2021-01-15,1389.77
2021-01-19,1367.9
2021-01-25,1388.93
2021-01-28,1333.72
2021-02-01,1396.21
2021-02-05,1399.12
2021-02-09,1405.26
2021-02-15,1447.33
