tanggal,data
2019-03-25,1000.57
2019-04-01,1001.63
2019-04-04,1002.14
2019-04-08,1002.78
2019-04-12,1003.43
2019-04-16,1004.11
2019-04-22,1005.14
2019-04-25,1005.65
2019-04-29,1006.31
2019-05-06,1007.5
2019-05-08,1007.85
2019-05-13,1008.71
2019-05-17,1009.4
2019-05-21,1010.09
2019-05-27,1011.13
2019-05-31,1011.82
2019-06-10,1013.55
2019-06-12,1013.9
2019-06-17,1014.77
2019-06-21,1015.46
2019-06-25,1016.23
2019-07-01,1017.27
2019-07-04,1017.8
2019-07-08,1018.5
2019-07-15,1019.72
2019-07-17,1020.07
2019-07-22,1020.95
2019-07-26,1021.65
2019-07-30,1022.35
2019-08-05,1023.39
2019-08-08,1023.91
2019-08-12,1024.61
2019-08-19,1025.84
2019-08-21,1026.19
2019-08-26,1027.07
2019-08-30,1027.76
2019-09-03,1028.45
2019-09-09,1029.5
2019-09-12,1030.03
2019-09-16,1030.74
2019-09-23,1031.97
2019-09-25,1032.32
2019-09-30,1035.2
2019-10-04,1035.92
2019-10-08,1036.62
2019-10-14,1037.67
2019-10-17,1038.18
2019-10-21,1038.88
2019-10-28,1040.1
2019-10-30,1040.45
2019-11-04,1041.32
2019-11-08,1042.01
2019-11-12,1042.71
2019-11-18,1043.78
2019-11-21,1044.3
2019-11-25,1045.0
2019-12-02,1046.22
2019-12-04,1046.56
2019-12-09,1047.43
2019-12-13,1048.12
2019-12-17,1054.72
2019-12-23,1055.78
2019-12-26,1056.3
2019-12-30,1057.01
2020-01-06,1058.21
2020-01-08,1058.56
2020-01-13,1059.44
2020-01-17,1060.14
2020-01-21,1060.83
2020-01-27,1061.88
2020-01-30,1062.41
2020-02-03,1063.08
2020-02-04,1063.25
2020-02-05,1063.43
2020-02-10,1064.3
2020-02-12,1064.65
2020-02-13,1064.83
2020-02-17,1065.53
2020-02-20,1066.06
2020-02-21,1066.23
2020-02-24,1066.76
2020-02-25,1066.93
2020-02-28,1063.6
2020-03-02,1065.84
2020-03-03,1065.99
2020-03-05,1066.74
2020-03-06,1066.91
2020-03-10,1067.56
2020-03-16,1068.57
2020-03-18,1068.9
2020-03-23,1069.72
2020-03-26,1070.21
2020-03-27,1070.37
2020-03-30,1070.79
2020-03-31,1070.94
2020-04-02,1071.25
2020-04-06,1071.9
2020-04-09,1072.36
2020-04-13,1072.98
2020-04-14,1073.13
2020-04-17,1073.59
2020-04-20,1074.04
2020-04-22,1074.35
2020-04-24,1075.02
2020-04-27,1075.26
2020-04-28,1075.39
2020-05-04,1076.15
2020-05-05,1076.28
2020-05-11,1077.05
2020-05-13,1077.31
2020-05-14,1077.44
2020-05-18,1077.96
2020-05-19,1078.08
2020-05-20,1078.21
2020-05-26,1078.99
2020-05-27,1079.11
2020-05-28,1079.25
2020-06-02,1079.89
2020-06-04,1080.16
2020-06-05,1080.29
2020-06-08,1080.7
2020-06-10,1080.97
2020-06-12,1081.24
2020-06-15,1081.64
2020-06-18,1082.04
2020-06-19,1082.18
2020-06-23,1082.71
2020-06-29,1083.59
2020-06-30,1083.69
2020-07-01,1083.79
2020-07-06,1084.35
2020-07-08,1084.59
2020-07-10,1084.81
2020-07-13,1085.15
2020-07-15,1085.37
2020-07-20,1085.93
2020-07-23,1086.26
2020-07-27,1086.71
2020-07-28,1086.81
2020-07-30,1087.02
2020-08-03,1087.47
2020-08-05,1087.7
2020-08-07,1087.93
2020-08-10,1088.25
2020-08-14,1088.71
2020-08-18,1089.16
2020-08-19,1089.27
2020-08-24,1089.84
2020-08-25,1089.96
2020-08-27,1090.18
2020-08-31,1090.6
2020-09-01,1090.71
2020-09-02,1090.82
2020-09-07,1091.39
2020-09-09,1091.61
2020-09-10,1091.72
2020-09-14,1092.17
2020-09-17,1092.51
2020-09-18,1092.62
2020-09-21,1092.95
2020-09-23,1093.18
2020-09-24,1093.29
2020-09-28,1093.73
2020-10-01,1094.02
2020-10-02,1094.13
2020-10-05,1094.44
2020-10-06,1094.54
2020-10-09,1094.85
2020-10-12,1095.11
2020-10-13,1095.21
2020-10-15,1095.43
2020-10-19,1095.87
2020-10-20,1095.98
2020-10-23,1096.31
2020-10-26,1096.64
2020-11-02,1097.39
2020-11-04,1097.62
2020-11-05,1097.72
2020-11-09,1098.13
2020-11-10,1098.23
2020-11-12,1098.4
2020-11-16,1098.77
2020-11-19,1099.06
2020-11-23,1099.44
2020-11-27,1099.8
2020-12-01,1100.21
2020-12-02,1100.31
2020-12-04,1100.49
2020-12-07,1100.8
2020-12-08,1100.9
2020-12-10,1101.11
2020-12-14,1101.52
2020-12-15,1101.62
2020-12-21,1102.24
2020-12-23,1102.44
2020-12-28,1102.95
2020-12-30,1103.18
2021-01-04,1103.67
2021-01-06,1103.88
2021-01-07,1103.97
2021-01-11,1104.37
2021-01-14,1104.69
2021-01-15,1104.78
2021-01-18,1105.09
2021-01-19,1105.2
2021-01-22,1105.53
2021-01-25,1105.86
2021-01-26,1105.97
2021-01-28,1106.19
2021-01-29,1106.3
2021-02-01,1106.61
2021-02-02,1106.72
2021-02-05,1107.03
2021-02-08,1107.35
2021-02-10,1107.55
2021-02-15,1108.09
2021-02-17,1108.3
2021-02-19,1108.51
2021-02-22,1108.83
2021-02-23,1108.94
2021-02-24,1109.04
2021-03-01,1109.58
2021-03-04,1109.88
2021-03-08,1110.29
2021-03-12,1110.7
2021-03-15,1110.99
2021-03-17,1111.19
2021-03-19,1111.39
2021-03-22,1111.69
2021-03-23,1111.79
2021-03-26,1112.09
2021-03-30,1112.46
2021-04-05,1113.0
2021-04-07,1113.19
2021-04-08,1113.29
2021-04-12,1113.68
2021-04-14,1113.87
2021-04-19,1114.33
2021-04-21,1114.52
2021-04-22,1114.61
2021-04-26,1114.98
2021-04-29,1115.26
2021-04-30,1115.35
2021-05-03,1115.63
2021-05-04,1115.72
2021-05-06,1115.91
2021-05-10,1116.27
2021-05-17,1116.92
2021-05-18,1117.01
2021-05-21,1117.24
2021-05-24,1117.55
2021-05-25,1117.65
2021-05-27,1117.86
2021-05-31,1118.23
2021-06-02,1118.42
2021-06-04,1118.62
2021-06-07,1118.92
2021-06-08,1119.02
2021-06-09,1119.12
2021-06-14,1119.6
2021-06-17,1119.89
2021-06-21,1120.27
2021-06-24,1120.56
2021-06-28,1120.92
2021-06-30,1121.15
2021-07-02,1121.34
2021-07-05,1121.62
2021-07-09,1121.98
2021-07-13,1122.35
2021-07-19,1122.92
2021-07-21,1123.1
