tanggal,data
2016-04-11,1000.34
2016-04-18,1001.18
2016-04-25,1002.18
2016-05-02,1001.92
2016-05-09,1002.97
2016-05-16,1003.56
2016-05-23,1004.05
2016-05-30,1006.3
2016-06-03,1006.71
2016-06-10,1008.05
2016-06-16,1009.21
2016-06-23,1010.15
2016-06-30,1012.31
2016-07-11,1016.16
2016-07-13,1015.8
2016-07-19,1017.17
2016-07-26,1018.3
2016-08-01,1019.75
2016-08-08,1020.77
2016-08-15,1022.16
2016-08-22,1023.54
2016-08-29,1024.55
2016-09-05,1025.69
2016-09-13,1026.96
2016-09-19,1027.56
2016-09-23,1028.28
2016-09-30,1028.48
2016-10-06,1029.68
2016-10-13,1030.51
2016-10-20,1031.4
2016-10-26,1032.8
2016-11-02,1033.82
2016-11-08,1035.09
2016-11-15,1034.91
2016-11-21,1035.12
2016-11-28,1035.62
2016-12-05,1037.6
2016-12-13,1039.55
2016-12-19,1042.77
2016-12-27,1047.57
2017-01-03,1051.4
2017-01-09,1063.21
2017-01-13,1052.0
2017-01-20,1051.77
2017-01-26,1051.8
2017-02-02,1052.43
2017-02-09,1053.16
2017-02-16,1053.88
2017-02-22,1054.35
2017-02-28,1054.53
2017-03-07,1054.94
2017-03-13,1055.64
2017-03-20,1056.37
2017-03-27,1057.03
2017-04-03,1057.81
2017-04-10,1056.78
2017-04-17,1059.42
2017-04-25,1060.45
2017-05-02,1061.3
2017-05-05,1061.7
2017-05-12,1059.9
2017-05-18,1061.92
2017-05-26,1064.06
2017-05-31,1064.66
2017-06-07,1065.51
2017-06-14,1064.32
2017-06-20,1067.12
2017-07-03,1069.05
2017-07-10,1069.78
2017-07-17,1069.4
2017-07-24,1070.35
2017-07-31,1071.37
2017-08-07,1072.38
2017-08-14,1073.35
2017-08-21,1074.28
2017-08-25,1075.0
2017-09-04,1076.6
2017-09-07,1077.19
2017-09-14,1078.17
2017-09-20,1079.34
2017-09-27,1080.67
2017-10-05,1081.56
2017-10-10,1082.61
2017-10-17,1083.91
2017-10-23,1084.65
2017-10-30,1085.77
2017-11-06,1085.03
2017-11-13,1088.44
2017-11-21,1089.36
2017-11-27,1089.85
2017-12-04,1091.01
2017-12-11,1091.85
2017-12-15,1092.51
2017-12-22,1093.51
2017-12-28,1094.58
2018-01-04,1095.54
2018-01-10,1101.45
2018-01-17,1102.71
2018-01-24,1104.56
2018-01-30,1105.39
2018-02-06,1105.67
2018-02-12,1106.75
2018-02-19,1108.14
2018-02-26,1109.2
2018-03-05,1110.63
2018-03-12,1111.37
2018-03-19,1111.45
2018-03-26,1113.14
2018-04-02,1114.71
2018-04-06,1115.47
2018-04-13,1116.35
2018-04-19,1117.08
2018-04-26,1115.22
2018-05-02,1117.82
2018-05-09,1118.24
2018-05-16,1120.23
2018-05-22,1120.51
2018-05-30,1121.92
2018-06-04,1122.81
2018-06-20,1123.63
2018-06-25,1125.88
2018-07-02,1126.53
2018-07-09,1127.49
2018-07-16,1130.52
2018-07-20,1130.28
2018-07-27,1130.37
2018-08-03,1130.43
2018-08-09,1132.09
2018-08-16,1133.09
2018-08-23,1132.48
2018-08-29,1133.6
2018-09-05,1132.87
2018-09-12,1133.5
2018-09-18,1133.82
2018-09-24,1135.18
2018-10-01,1136.79
2018-10-08,1136.94
2018-10-15,1138.61
2018-10-22,1140.27
2018-10-29,1141.73
2018-11-05,1143.71
2018-11-09,1144.4
2018-11-16,1145.5
2018-11-23,1146.93
2018-11-29,1147.73
2018-12-06,1148.59
2018-12-12,1148.91
2018-12-19,1150.4
2018-12-26,1151.98
2019-01-02,1153.44
2019-01-08,1155.76
2019-01-14,1156.44
2019-01-21,1158.11
2019-01-28,1159.42
2019-02-04,1161.12
2019-02-11,1162.2
2019-02-18,1163.21
2019-02-25,1164.7
2019-03-01,1165.49
2019-03-08,1167.01
2019-03-15,1168.07
2019-03-21,1169.18
2019-03-28,1169.94
2019-04-04,1171.02
2019-04-10,1172.08
2019-04-18,1173.43
2019-04-23,1174.22
2019-04-30,1173.63
2019-05-06,1175.11
2019-05-13,1176.95
2019-05-20,1178.03
2019-05-27,1178.61
2019-06-10,1181.26
2019-06-17,1183.17
2019-06-21,1183.68
2019-06-28,1185.25
2019-07-05,1185.4
2019-07-11,1186.4
2019-07-18,1189.03
2019-07-24,1189.73
2019-07-31,1191.03
2019-08-07,1192.12
2019-08-13,1193.43
2019-08-20,1193.08
2019-08-26,1195.34
2019-09-02,1195.66
2019-09-09,1198.65
2019-09-16,1199.78
2019-09-23,1201.21
2019-09-30,1202.55
2019-10-07,1204.04
2019-10-11,1205.17
2019-10-18,1206.68
2019-10-25,1207.82
2019-10-31,1209.12
2019-11-07,1211.18
2019-11-13,1212.05
2019-11-20,1212.75
2019-11-27,1213.8
2019-12-03,1214.98
2019-12-10,1216.45
2019-12-16,1217.6
2019-12-23,1216.62
2019-12-30,1217.7
2020-01-06,1219.82
2020-01-13,1221.09
2020-01-20,1222.03
2020-01-27,1223.23
2020-01-31,1223.72
2020-02-03,1224.23
2020-02-05,1226.1
2020-02-07,1226.47
2020-02-10,1226.95
2020-02-13,1227.54
2020-02-14,1227.74
2020-02-17,1228.21
2020-02-20,1228.8
2020-02-24,1229.5
2020-02-27,1229.45
2020-02-28,1229.44
2020-03-03,1230.04
2020-03-04,1230.39
2020-03-06,1230.69
2020-03-10,1231.3
2020-03-11,1231.52
2020-03-16,1232.23
2020-03-18,1232.47
2020-03-23,1232.8
2020-03-24,1232.95
2020-03-26,1233.44
2020-03-30,1232.55
2020-03-31,1232.35
2020-04-02,1232.72
2020-04-06,1233.18
2020-04-09,1234.48
2020-04-13,1235.25
2020-04-17,1235.16
2020-04-20,1235.63
2020-04-24,1236.16
2020-04-27,1234.09
2020-04-28,1234.15
2020-05-04,1235.5
2020-05-05,1237.92
2020-05-11,1240.08
2020-05-13,1240.64
2020-05-18,1241.94
2020-05-20,1242.19
2020-05-26,1243.04
2020-05-28,1243.46
