tanggal,data
2017-11-13,999.44
2017-11-20,1002.08
2017-11-24,1005.64
2017-11-29,1004.84
2017-12-04,1007.28
2017-12-11,1010.35
2017-12-15,1012.91
2017-12-21,1015.56
2017-12-27,1017.36
2018-01-02,1020.32
2018-01-08,1026.01
2018-01-11,1025.74
2018-01-17,1028.45
2018-01-22,1028.72
2018-01-29,1030.89
2018-02-02,1032.62
2018-02-07,1033.03
2018-02-13,1034.35
2018-02-19,1033.52
2018-02-23,1032.07
2018-03-01,1033.24
2018-03-06,1034.35
2018-03-12,1035.17
2018-03-19,1041.43
2018-03-22,1042.01
2018-03-28,1041.26
2018-04-02,1042.6
2018-04-09,1044.15
2018-04-13,1045.44
2018-04-18,1044.65
2018-04-24,1040.97
2018-04-30,1040.69
2018-05-07,1040.71
2018-05-11,1039.24
2018-05-15,1040.26
2018-05-21,1038.94
2018-05-28,1037.43
2018-06-04,1039.21
2018-06-06,1040.16
2018-06-20,1042.27
2018-06-22,1038.36
2018-06-28,1030.1
2018-07-03,1030.07
2018-07-09,1033.14
2018-07-16,1020.23
2018-07-19,1014.82
2018-07-25,1008.5
2018-07-30,1007.4
2018-08-06,1007.37
2018-08-10,1009.69
2018-08-15,1003.3
2018-08-21,1007.47
2018-08-27,1005.46
2018-08-31,999.89
2018-09-06,991.74
2018-09-12,992.51
2018-09-17,992.5
2018-09-24,988.45
2018-09-27,990.49
2018-10-03,993.29
2018-10-08,992.92
2018-10-15,989.47
2018-10-19,987.06
2018-10-24,988.56
2018-10-30,988.38
2018-11-05,990.73
2018-11-09,998.21
2018-11-15,999.5
2018-11-21,1003.27
2018-11-26,1007.4
2018-12-03,1012.41
2018-12-06,1011.12
2018-12-12,1011.18
2018-12-17,1010.3
2018-12-26,1013.62
2018-12-28,1014.7
2019-01-02,1016.04
2019-01-08,1017.85
2019-01-14,1019.44
2019-01-21,1020.18
2019-01-24,1021.09
2019-01-29,1021.2
2019-02-04,1019.82
2019-02-11,1020.09
2019-02-15,1019.61
2019-02-20,1021.66
2019-02-25,1024.0
2019-03-04,1027.33
2019-03-08,1027.06
