tanggal,data
2009-02-19,999.94
2009-03-03,998.16
2009-03-16,1007.48
2009-03-26,1110.01
2009-04-07,1098.98
2009-04-20,1098.6
2009-05-01,1334.25
2009-05-13,1336.91
2009-05-25,1336.91
2009-06-08,1368.22
2009-06-18,1367.93
2009-06-30,1367.84
2009-07-13,1367.57
2009-07-24,1367.48
2009-08-05,1367.22
2009-08-17,1367.14
2009-08-31,1367.09
2009-09-10,1367.09
2009-09-21,1367.09
2009-10-05,1367.09
2009-10-15,1366.56
2009-10-27,1368.1
2009-11-09,1371.52
2009-11-20,1378.05
2009-12-02,1382.7
2009-12-14,1386.77
2009-12-28,1402.2
2010-01-07,1393.7
2010-01-19,1398.3
2010-02-01,1413.99
2010-02-12,1413.35
2010-02-24,1419.44
2010-03-08,1422.74
2010-03-19,1450.05
2010-03-31,1454.14
2010-04-12,1449.68
2010-04-26,1459.66
2010-05-06,1478.88
2010-05-18,1484.04
2010-05-31,1477.59
2010-06-11,1487.58
2010-06-23,1495.97
2010-07-05,1496.64
2010-07-19,1503.82
2010-07-29,1515.46
2010-08-10,1507.33
2010-08-23,1507.77
2010-09-02,1511.79
2010-09-14,1510.33
2010-09-27,1513.39
2010-10-08,1526.48
2010-10-20,1538.86
2010-11-01,1542.8
2010-11-15,1547.89
2010-11-25,1554.09
2010-12-07,1559.02
2010-12-20,1569.36
2010-12-31,1564.86
2011-01-12,1573.86
2011-01-24,1586.04
2011-02-07,1563.06
2011-02-17,1582.35
2011-02-28,1566.71
2011-03-14,1571.55
2011-03-24,1579.21
2011-04-05,1582.24
2011-04-18,1602.72
2011-04-29,1604.98
2011-05-11,1604.49
2011-05-23,1622.87
2011-06-06,1621.05
2011-06-16,1620.39
2011-06-28,1628.26
2011-07-11,1632.98
2011-07-22,2314.16
2011-08-03,2315.39
2011-08-15,2296.4
2011-08-26,2296.99
2011-09-07,2298.2
2011-09-19,2323.54
2011-10-03,2325.32
2011-10-13,2275.51
2011-10-25,2276.71
2011-11-07,2277.95
2011-11-18,2275.85
2011-11-30,2278.61
2011-12-12,2309.73
2011-12-27,2309.35
2012-01-05,2309.73
2012-01-17,2319.93
2012-01-30,2327.3
2012-02-09,2335.29
2012-02-21,2342.54
2012-03-05,2354.42
2012-03-16,2367.27
2012-03-28,2370.74
2012-04-09,2379.3
2012-04-23,2384.18
2012-05-03,2387.7
2012-05-15,2387.68
2012-05-28,2391.82
2012-06-08,2396.01
2012-06-20,2400.75
2012-07-02,2405.13
2012-07-16,2410.56
2012-07-25,2412.25
2012-08-06,2430.93
2012-08-23,2437.98
2012-08-30,2438.19
2012-09-11,2443.37
2012-09-24,2452.81
2012-10-05,2434.84
2012-10-17,2459.66
2012-10-29,2471.7
2012-11-12,2478.03
2012-11-22,2485.89
2012-12-04,2494.98
2012-12-17,2502.04
2012-12-28,2508.18
2013-01-09,2525.57
2013-01-21,2534.23
2013-02-01,2537.11
2013-02-13,2541.79
2013-02-25,2548.05
2013-03-11,2554.74
2013-03-21,2552.12
2013-04-02,2552.87
2013-04-15,2550.35
2013-04-26,2568.89
2013-05-08,2570.66
2013-05-20,2576.45
2013-06-03,2573.65
2013-06-13,2539.47
2013-06-25,2549.88
2013-07-08,2543.34
2013-07-18,2524.73
2013-07-30,2551.84
2013-08-12,2570.41
2013-08-23,2555.33
2013-09-04,2551.67
2013-09-16,2587.99
2013-09-30,2577.58
2013-10-10,2595.43
2013-10-22,2620.23
2013-11-04,2608.85
2013-11-15,2590.25
2013-11-27,2585.3
2013-12-09,2581.29
2013-12-23,2600.16
2014-01-02,2596.16
2014-01-13,2590.42
2014-01-27,2593.83
2014-02-06,2596.56
2014-02-18,2616.93
2014-03-03,2627.6
2014-03-14,2642.41
2014-03-26,2619.09
2014-04-07,2629.38
2014-04-21,2637.7
2014-05-02,2641.86
2014-05-13,2646.58
2014-05-26,2655.49
2014-06-06,2663.18
2014-06-17,2662.74
2014-06-30,2664.65
2014-07-11,2682.97
2014-07-23,2688.84
