tanggal,data
2016-08-16,2152.33
2016-08-23,2133.79
2016-08-29,2134.25
2016-09-05,2153.49
2016-09-13,2148.44
2016-09-19,2149.32
2016-09-23,2161.42
2016-09-30,2152.82
2016-10-06,2155.66
2016-10-12,2146.42
2016-10-19,2142.38
2016-10-25,2148.66
2016-10-31,2125.03
2016-11-07,2121.83
2016-11-14,2070.46
2016-11-21,2069.83
2016-11-28,2049.47
2016-12-02,2063.49
2016-12-08,2109.61
2016-12-15,2078.15
2016-12-21,2090.33
2016-12-27,2089.97
2017-01-03,2086.74
2017-01-09,2101.82
2017-01-16,2116.65
2017-01-23,2121.18
2017-01-30,2114.02
2017-02-03,2114.23
2017-02-09,2127.15
2017-02-16,2124.32
2017-02-22,2125.0
2017-02-28,2128.15
2017-03-07,2136.06
2017-03-13,2138.02
2017-03-20,2155.25
2017-03-27,2162.01
2017-04-03,2169.0
2017-04-07,2162.79
2017-04-17,2172.1
2017-04-20,2171.26
2017-04-26,2176.07
2017-05-03,2178.1
2017-05-09,2175.22
2017-05-15,2177.59
2017-05-22,2184.43
2017-05-29,2186.7
2017-06-05,2189.39
2017-06-12,2194.01
2017-06-16,2198.5
2017-06-22,2199.23
2017-07-03,2200.45
2017-07-05,2203.17
2017-07-11,2188.63
2017-07-18,2200.47
2017-07-24,2205.51
2017-07-31,2205.69
2017-08-07,2210.7
2017-08-14,2215.27
2017-08-18,2217.25
2017-08-25,2227.93
2017-08-31,2237.78
2017-09-06,2245.93
2017-09-13,2253.12
2017-09-19,2252.16
2017-09-25,2264.06
2017-10-02,2254.22
2017-10-09,2250.4
2017-10-16,2252.83
2017-10-23,2247.3
2017-10-27,2242.01
2017-11-02,2247.96
2017-11-09,2254.66
2017-11-15,2256.85
2017-11-21,2262.92
2017-11-28,2267.98
2017-12-04,2273.94
2017-12-11,2277.65
2017-12-18,2282.11
2017-12-27,2289.92
2017-12-29,2292.27
2018-01-05,2303.71
2018-01-11,2302.61
2018-01-17,2310.78
2018-01-24,2309.55
2018-01-30,2305.43
2018-02-05,2308.24
2018-02-12,2307.99
2018-02-19,2307.38
2018-02-26,2304.72
2018-03-02,2298.84
2018-03-09,2293.11
2018-03-15,2301.38
2018-03-21,2303.13
2018-03-28,2304.93
2018-04-03,2309.57
2018-04-09,2312.01
2018-04-16,2313.49
2018-04-23,2310.78
2018-04-30,2301.64
2018-05-07,2298.78
2018-05-11,2289.78
2018-05-17,2287.74
2018-05-24,2283.7
2018-05-30,2293.4
2018-06-05,2300.58
2018-06-20,2295.7
2018-06-25,2292.29
2018-07-02,2281.34
2018-07-09,2276.98
2018-07-13,2271.71
2018-07-20,2263.01
2018-07-26,2257.84
2018-08-01,2260.06
2018-08-08,2282.68
2018-08-14,2279.62
2018-08-20,2277.41
2018-08-27,2277.76
2018-09-03,2262.98
2018-09-10,2249.58
2018-09-17,2254.75
2018-09-21,2261.73
2018-09-27,2265.61
2018-10-04,2268.84
2018-10-10,2269.22
2018-10-16,2265.41
2018-10-23,2271.98
2018-10-29,2274.56
2018-11-05,2285.2
2018-11-12,2291.32
2018-11-19,2290.93
2018-11-23,2289.62
2018-11-30,2305.03
2018-12-06,2303.68
2018-12-12,2299.91
2018-12-19,2305.84
2018-12-26,2311.01
2019-01-02,2313.09
2019-01-07,2316.45
2019-01-14,2316.33
2019-01-21,2318.94
2019-01-28,2321.87
2019-02-01,2333.6
2019-02-07,2338.42
2019-02-14,2341.5
2019-02-20,2346.16
2019-02-26,2350.58
2019-03-04,2358.15
2019-03-11,2363.04
2019-03-18,2371.39
2019-03-25,2377.22
2019-04-01,2381.08
2019-04-05,2383.13
2019-04-11,2380.19
2019-04-18,2387.64
2019-04-24,2384.77
2019-04-30,2370.88
2019-05-07,2368.63
2019-05-13,2368.21
2019-05-20,2366.5
2019-05-27,2378.69
2019-06-10,2388.29
2019-06-14,2394.77
2019-06-20,2410.1
2019-06-26,2412.62
2019-07-03,2425.08
2019-07-09,2428.5
2019-07-15,2440.66
2019-07-22,2442.68
2019-07-29,2437.14
2019-08-05,2413.7
2019-08-12,2434.78
2019-08-16,2433.03
2019-08-22,2445.0
2019-08-29,2438.23
2019-09-04,2440.98
2019-09-10,2452.38
2019-09-17,2455.63
2019-09-23,2458.76
2019-09-30,2459.41
2019-10-07,2462.55
2019-10-14,2467.76
2019-10-18,2470.51
2019-10-25,2479.04
2019-10-31,2487.02
2019-11-06,2490.13
2019-11-13,2491.2
2019-11-19,2496.77
2019-11-25,2498.46
2019-12-02,2496.01
2019-12-09,2501.32
2019-12-16,2496.02
2019-12-23,2504.35
2019-12-27,2508.6
2020-01-02,2513.53
2020-01-09,2522.04
2020-01-15,2531.87
2020-01-21,2542.27
2020-01-28,2546.28
2020-02-03,2386.78
2020-02-03,2548.4
2020-02-05,2393.25
2020-02-10,2398.98
2020-02-10,2561.43
2020-02-13,2407.53
2020-02-17,2411.62
2020-02-17,2574.92
2020-02-20,2416.98
2020-02-24,2416.2
2020-02-24,2579.82
2020-02-28,2396.77
2020-02-28,2559.06
2020-03-03,2401.31
2020-03-05,2589.89
2020-03-06,2415.02
2020-03-10,2395.3
2020-03-12,2548.86
2020-03-16,2379.03
2020-03-18,2357.05
2020-03-18,2516.66
2020-03-23,2308.94
2020-03-24,2456.31
2020-03-26,2311.24
2020-03-30,2323.97
2020-03-31,2480.09
2020-04-02,2315.88
2020-04-06,2313.68
2020-04-06,2470.35
2020-04-09,2316.04
2020-04-13,2317.94
2020-04-13,2474.91
2020-04-17,2334.71
2020-04-20,2342.94
2020-04-20,2501.59
2020-04-24,2343.41
2020-04-27,2497.56
2020-04-28,2335.42
2020-05-04,2340.36
2020-05-04,2498.84
2020-05-05,2338.26
2020-05-08,2490.86
2020-05-11,2336.64
2020-05-13,2346.76
2020-05-14,2509.8
2020-05-18,2360.34
2020-05-20,2368.01
2020-05-20,2528.36
2020-05-26,2374.52
2020-05-27,2545.71
2020-05-28,2378.24
2020-06-02,2385.93
2020-06-02,2547.49
2020-06-04,2394.77
2020-06-08,2387.64
2020-06-08,2549.32
2020-06-12,2389.65
2020-06-15,2390.02
2020-06-15,2551.86
2020-06-19,2396.14
2020-06-22,2558.6
2020-06-23,2398.35
2020-06-29,2402.46
2020-06-29,2565.15
2020-06-30,2403.42
2020-07-06,2405.5
2020-07-06,2568.39
2020-07-08,2410.72
2020-07-10,2582.04
2020-07-13,2421.27
2020-07-15,2423.41
2020-07-16,2591.42
2020-07-20,2427.86
2020-07-23,2444.7
2020-07-23,2610.25
2020-07-27,2447.41
2020-07-29,2617.02
2020-07-30,2452.65
2020-08-03,2453.09
2020-08-04,2617.59
2020-08-07,2457.2
2020-08-10,2459.77
2020-08-11,2631.36
2020-08-14,2470.31
2020-08-18,2474.89
2020-08-18,2642.48
2020-08-24,2478.35
2020-08-24,2646.17
2020-08-25,2479.69
2020-08-31,2462.85
2020-08-31,2629.63
2020-09-02,2460.73
2020-09-07,2462.36
2020-09-07,2629.11
2020-09-09,2462.51
2020-09-11,2626.75
2020-09-14,2460.39
2020-09-17,2460.22
2020-09-18,2628.75
2020-09-21,2461.75
2020-09-24,2460.44
2020-09-24,2627.05
2020-09-28,2460.61
2020-09-30,2627.06
2020-10-02,2458.1
2020-10-05,2459.93
2020-10-07,2627.38
2020-10-09,2461.82
2020-10-13,2466.4
2020-10-13,2633.41
2020-10-19,2480.86
2020-10-19,2648.86
2020-10-20,2482.85
2020-10-26,2486.5
2020-10-26,2654.87
2020-11-02,2488.2
2020-11-02,2656.69
2020-11-04,2489.03
2020-11-09,2509.35
2020-11-09,2679.28
2020-11-12,2500.39
2020-11-16,2510.13
2020-11-16,2680.1
2020-11-19,2520.92
2020-11-20,2690.69
2020-11-23,2521.4
2020-11-26,2705.15
2020-11-27,2532.92
2020-12-01,2536.97
2020-12-03,2707.02
2020-12-04,2535.86
2020-12-08,2535.74
2020-12-10,2710.03
2020-12-14,2541.14
2020-12-15,2542.22
2020-12-15,2714.37
2020-12-21,2546.37
2020-12-22,2715.24
2020-12-23,2544.42
2020-12-28,2549.77
2020-12-28,2722.43
2020-12-30,2550.89
2021-01-04,2553.53
2021-01-04,2726.44
2021-01-07,2547.51
2021-01-11,2537.84
2021-01-11,2709.69
2021-01-14,2536.47
2021-01-18,2525.18
2021-01-18,2696.18
2021-01-22,2522.48
2021-01-22,2693.29
2021-01-26,2524.66
2021-01-29,2529.42
2021-01-29,2700.7
2021-02-02,2539.76
2021-02-04,2715.57
2021-02-08,2540.24
2021-02-10,2537.69
2021-02-10,2709.53
2021-02-15,2530.67
2021-02-17,2522.9
2021-02-17,2693.74
2021-02-22,2509.02
2021-02-23,2678.36
2021-02-24,2515.55
2021-03-01,2509.24
2021-03-01,2679.15
2021-03-04,2513.7
2021-03-08,2500.15
2021-03-08,2669.45
2021-03-12,2500.18
2021-03-15,2491.79
2021-03-15,2660.52
2021-03-19,2488.55
2021-03-22,2659.56
2021-03-23,2495.34
2021-03-26,2500.62
2021-03-26,2669.95
2021-03-30,2497.6
2021-04-05,2508.56
2021-04-05,2678.42
2021-04-07,2518.9
2021-04-08,2688.94
2021-04-12,2515.6
2021-04-14,2513.09
2021-04-14,2683.26
2021-04-19,2513.44
2021-04-21,2686.89
2021-04-22,2519.09
2021-04-26,2518.78
2021-04-27,2687.68
2021-04-29,2517.3
2021-05-03,2520.6
2021-05-03,2691.28
2021-05-06,2524.24
2021-05-10,2528.88
2021-05-10,2700.12
2021-05-17,2520.69
2021-05-17,2691.38
2021-05-18,2520.04
2021-05-21,2520.73
2021-05-24,2693.63
2021-05-25,2523.72
2021-05-31,2526.61
2021-05-31,2697.7
2021-06-02,2530.3
2021-06-04,2702.73
2021-06-07,2532.72
2021-06-09,2535.86
2021-06-10,2709.86
2021-06-14,2541.75
2021-06-17,2531.67
2021-06-17,2703.1
2021-06-21,2524.21
2021-06-23,2694.58
2021-06-24,2527.65
2021-06-28,2529.71
2021-06-29,2699.81
2021-07-02,2528.62
2021-07-05,2531.4
2021-07-06,2705.33
2021-07-09,2535.47
2021-07-12,2708.0
2021-07-13,2539.13
2021-07-19,2541.31
2021-07-19,2713.39
2021-07-21,2541.67
2021-07-26,2539.94
2021-07-26,2711.93
2021-07-28,2539.69
2021-08-02,2546.33
2021-08-02,2718.75
2021-08-04,2550.54
2021-08-06,2721.11
2021-08-09,2547.6
2021-08-12,2546.48
2021-08-13,2717.87
2021-08-16,2539.02
2021-08-19,2541.78
2021-08-19,2713.9
2021-08-23,2542.11
2021-08-25,2723.97
2021-08-27,2548.65
2021-08-30,2549.99
2021-09-01,2723.6
2021-09-03,2550.74
2021-09-07,2551.97
2021-09-07,2724.78
2021-09-13,2552.21
2021-09-13,2725.03
2021-09-14,2553.83
2021-09-20,2548.34
2021-09-20,2720.9
2021-09-22,2545.98
2021-09-27,2547.44
2021-09-27,2719.94
