tanggal,data
2003-11-14,1008.33
2003-12-01,1006.83
2003-12-16,1014.95
2004-01-02,1015.06
2004-01-19,1021.83
2004-02-03,1022.51
2004-02-17,1029.05
2004-03-04,1033.89
2004-03-23,1040.98
2004-04-06,1043.53
2004-04-21,1050.03
2004-05-07,1053.63
2004-05-24,1058.39
2004-06-07,1061.41
2004-06-23,1065.42
2004-07-09,1069.2
2004-07-26,1073.86
2004-08-10,1076.84
2004-08-26,1081.23
2004-09-14,1084.02
2004-09-27,1087.57
2004-10-12,1092.79
2004-10-28,1100.86
2004-11-22,1111.82
2004-11-29,1112.91
2004-12-15,1120.9
2005-01-03,1126.68
2005-01-17,1136.44
2005-01-31,1145.83
2005-02-16,1147.7
2005-03-04,1151.41
2005-03-21,1151.2
2005-04-05,1137.0
2005-04-21,1141.72
2005-05-09,1145.7
2005-05-23,1148.21
2005-06-07,1149.73
2005-06-23,1151.56
2005-07-11,1147.9
2005-07-25,1148.71
2005-08-10,1140.74
2005-08-26,1096.6
2005-09-12,949.75
2005-09-27,952.45
2005-10-12,956.1
2005-10-28,962.58
2005-11-14,960.52
2005-11-29,969.57
2005-12-15,977.83
2006-01-02,981.2
2006-01-16,1005.91
2006-02-01,1012.1
2006-02-16,1024.73
2006-03-06,1054.53
2006-03-20,1049.19
2006-04-05,1055.76
2006-04-21,1068.43
2006-05-08,1074.77
2006-05-23,1065.09
2006-06-07,1062.78
2006-06-23,1065.43
2006-07-10,1080.18
2006-07-25,1088.47
2006-08-10,1098.96
2006-08-28,1105.45
2006-09-11,1115.92
2006-09-27,1128.4
2006-10-12,1149.51
2006-10-30,1161.18
2006-11-13,1163.47
2006-11-29,1170.12
2006-12-15,1196.61
2007-01-02,1207.38
2007-01-16,1209.35
2007-02-01,1225.88
2007-02-16,1223.34
2007-03-05,1226.34
2007-03-20,1233.77
2007-04-05,1240.75
2007-04-23,1244.87
2007-05-07,1268.0
2007-05-23,1284.98
2007-06-08,1274.22
2007-06-25,1288.06
2007-07-09,1283.47
2007-07-25,1287.12
2007-08-10,1279.46
2007-08-27,1269.53
2007-09-11,1273.09
2007-09-27,1296.96
2007-10-18,1301.84
2007-10-29,1302.86
2007-11-13,1287.08
2007-11-29,1271.06
2007-12-17,1292.85
2008-01-02,1290.24
2008-01-16,1298.31
2008-02-01,1302.1
2008-02-18,1304.29
2008-03-03,1305.02
2008-03-19,1291.87
2008-04-04,1256.58
2008-04-21,1258.72
2008-05-06,1243.8
2008-05-23,1248.48
2008-06-09,1228.6
2008-06-23,1230.53
2008-07-08,1239.74
2008-07-24,1266.32
2008-08-11,1261.33
2008-08-25,1260.17
2008-09-10,1260.27
2008-09-26,1254.43
2008-10-13,1208.59
2008-10-27,1178.6
2008-11-12,1230.56
2008-11-28,1231.9
2008-12-15,1268.14
2008-12-30,1287.14
2009-01-15,1291.19
2009-02-02,1307.78
2009-02-16,1297.11
2009-03-03,1290.4
2009-03-19,1324.24
2009-04-06,1333.09
2009-04-20,1340.82
2009-05-06,1356.39
2009-05-22,1367.95
2009-06-08,1379.33
2009-06-22,1372.41
2009-07-09,1392.31
2009-07-24,1398.86
2009-08-10,1395.79
2009-08-25,1398.42
2009-09-10,1402.02
2009-09-28,1415.15
2009-10-12,1420.61
2009-10-27,1419.36
2009-11-12,1423.15
2009-11-30,1435.29
2009-12-14,1443.87
2009-12-30,1443.96
2010-01-15,1458.07
2010-02-01,1456.92
2010-02-16,1460.13
2010-03-03,1463.86
2010-03-19,1469.16
2010-04-05,1474.36
2010-04-20,1482.86
2010-05-06,1486.0
2010-05-24,1486.91
2010-06-07,1486.73
2010-06-23,1504.54
