tanggal,data
2009-01-30,1000.3
2009-02-11,1026.28
2009-02-23,1012.13
2009-03-10,1003.19
2009-03-19,1024.47
2009-03-31,1084.49
2009-04-13,1201.55
2009-04-24,1260.26
2009-05-06,1447.93
2009-05-18,1438.0
2009-05-29,1567.62
2009-06-10,1724.57
2009-06-22,1589.35
2009-07-06,1642.41
2009-07-16,1730.62
2009-07-28,1863.41
2009-08-10,2007.14
2009-08-21,1956.41
2009-09-02,1895.38
2009-09-14,1981.45
2009-09-28,1979.33
2009-10-08,2039.09
2009-10-20,2083.39
2009-11-02,1975.33
2009-11-13,2028.21
2009-11-25,2073.21
2009-12-07,2090.14
2009-12-21,2046.81
2009-12-31,2117.42
2010-01-12,2245.95
2010-01-25,2180.51
2010-02-05,2110.79
2010-02-17,2172.8
2010-03-01,2148.08
2010-03-15,2205.38
2010-03-25,2290.99
2010-04-06,2380.15
2010-04-19,2355.42
2010-04-30,2439.97
2010-05-12,2359.69
2010-05-24,2115.39
2010-06-07,2258.82
2010-06-17,2361.14
2010-06-29,2350.4
2010-07-12,2364.38
2010-07-22,2411.66
2010-08-03,2387.5
2010-08-16,2447.2
2010-08-27,2489.2
2010-09-15,2660.18
2010-09-20,2650.25
2010-10-04,2794.88
2010-10-14,2835.01
2010-10-26,2848.84
2010-11-08,2876.85
2010-11-19,2871.26
2010-12-01,2735.35
2010-12-13,2791.1
2010-12-27,2770.08
2011-01-06,2847.96
2011-01-18,2698.15
2011-01-31,2539.43
2011-02-11,2568.58
2011-02-23,2650.99
2011-03-07,2671.53
2011-03-21,2611.26
2011-03-31,2694.18
2011-04-12,2723.25
2011-04-25,2755.97
2011-05-06,2755.44
2011-05-18,2758.94
2011-05-30,2776.19
2011-06-13,2725.81
2011-06-23,2768.53
2011-07-05,2827.23
2011-07-18,2860.05
2011-07-29,2932.49
2011-08-10,2734.07
2011-08-22,2751.13
2011-09-05,2774.37
2011-09-14,2725.99
2011-09-26,2362.23
2011-10-10,2407.91
2011-10-20,2570.65
2011-11-01,2650.97
2011-11-14,2749.28
2011-11-25,2623.92
2011-12-07,2716.44
