tanggal,data
2012-01-02,1000.0
2012-01-12,1000.0
2012-01-24,1000.0
2012-02-01,1000.0
2012-02-13,1000.0
2012-02-20,1000.0
2012-03-01,1000.0
2012-03-12,1000.0
2012-03-21,1000.0
2012-03-30,1000.0
2012-04-09,1000.0
2012-04-19,1000.0
2012-04-30,1000.0
2012-05-09,1000.0
2012-05-21,1000.0
2012-05-28,1000.0
2012-06-07,1000.0
2012-06-18,1000.0
2012-06-27,1000.0
2012-07-06,1000.0
2012-07-16,1000.0
2012-07-26,1000.0
2012-08-06,1000.0
2012-08-14,1000.0
2012-08-24,1000.0
2012-09-03,1000.0
2012-09-13,1000.0
2012-09-24,1000.0
2012-10-02,1000.0
2012-10-12,1000.0
2012-10-22,1000.0
2012-11-01,1000.0
2012-11-12,1000.0
2012-11-20,1000.0
2012-11-30,1000.0
2012-12-10,1000.0
2012-12-20,1000.0
2013-01-02,1001.33
2013-01-08,1002.7
2013-01-18,1003.69
2013-01-28,1004.77
2013-02-07,1006.1
2013-02-18,1007.62
2013-02-26,1009.03
2013-03-08,1010.19
2013-03-18,1011.1
2013-03-28,1011.87
2013-04-08,1013.68
2013-04-16,1015.45
2013-04-26,1016.44
2013-05-06,1017.87
2013-05-15,1018.73
2013-05-27,1019.69
2013-06-04,1020.56
2013-06-14,1020.19
2013-06-24,1021.42
2013-07-03,1023.3
2013-07-15,1024.16
2013-07-23,1025.71
2013-08-02,1026.84
2013-08-12,1029.21
2013-08-21,1028.53
2013-09-02,1030.44
2013-09-10,1031.58
2013-09-20,1035.47
2013-09-30,1036.49
2013-10-09,1037.45
2013-10-21,1040.93
2013-10-29,1043.12
2013-11-08,1043.51
2013-11-18,1044.17
2013-11-27,1044.87
2013-12-09,1047.14
2013-12-17,1049.35
2013-12-27,1051.47
2014-01-06,1052.76
2014-01-15,1054.78
2014-01-27,1056.64
2014-02-04,1058.51
2014-02-13,1060.38
2014-02-24,1062.81
2014-03-05,1065.07
2014-03-17,1067.06
2014-03-25,1069.7
2014-04-03,1071.07
2014-04-14,1073.61
2014-04-23,1075.39
2014-05-05,1077.66
2014-05-12,1078.9
2014-05-22,1080.05
2014-06-02,1082.23
2014-06-11,1084.33
2014-06-23,1087.83
2014-06-30,1089.44
2014-07-10,1091.9
2014-07-21,1093.5
2014-08-04,1096.16
2014-08-11,1097.57
2014-08-18,1100.71
2014-08-28,1102.81
2014-09-08,1105.22
2014-09-17,1107.27
2014-09-26,1108.35
2014-10-06,1110.35
2014-10-16,1112.34
2014-10-27,1115.25
2014-11-05,1117.75
2014-11-14,1119.84
2014-11-24,1124.57
2014-12-04,1122.52
2014-12-15,1130.11
2014-12-24,1133.53
2015-01-02,1134.06
2015-01-12,1134.33
2015-01-22,1137.74
2015-02-02,1140.79
2015-02-10,1142.63
2015-02-20,1144.99
2015-03-02,1147.39
2015-03-12,1149.56
2015-03-23,1151.89
2015-03-31,1153.25
2015-04-10,1155.63
2015-04-20,1157.86
2015-04-30,1159.85
2015-05-11,1161.51
2015-05-19,1163.41
2015-05-29,1165.29
2015-06-08,1168.13
2015-06-18,1170.64
2015-06-29,1173.16
2015-07-07,1175.05
2015-07-22,1178.87
2015-07-27,1179.64
2015-08-06,1182.04
2015-08-18,1184.81
2015-08-25,1185.94
2015-09-04,1187.6
2015-09-14,1189.49
2015-09-25,1191.36
2015-10-05,1192.94
2015-10-13,1195.18
2015-10-23,1197.39
2015-11-02,1199.03
2015-11-11,1201.94
2015-11-23,1205.03
2015-12-01,1207.06
2015-12-11,1211.11
2015-12-21,1212.07
2015-12-30,1215.27
2016-01-11,1219.47
2016-01-19,1221.78
2016-01-29,1224.62
2016-02-09,1227.18
2016-02-17,1229.11
2016-02-29,1232.2
2016-03-08,1233.58
2016-03-18,1236.86
2016-03-28,1239.12
2016-04-06,1240.79
2016-04-18,1244.25
2016-04-26,1246.0
2016-05-09,1248.69
2016-05-16,1250.02
2016-05-25,1251.91
2016-06-06,1254.1
2016-06-14,1256.62
2016-06-24,1257.9
2016-07-11,1263.6
2016-07-13,1263.73
2016-07-25,1266.63
2016-08-02,1268.74
2016-08-11,1269.29
2016-08-22,1273.23
2016-08-31,1274.71
2016-09-13,1277.68
2016-09-20,1278.66
2016-09-29,1281.4
2016-10-10,1283.7
2016-10-19,1285.1
2016-10-31,1287.64
2016-11-08,1289.93
2016-11-17,1290.1
2016-11-28,1289.53
2016-12-07,1293.65
2016-12-19,1295.79
2016-12-27,1297.05
2017-01-05,1299.89
2017-01-16,1303.36
2017-01-25,1305.99
2017-02-06,1308.76
2017-02-13,1310.65
2017-02-23,1312.84
2017-03-06,1315.15
2017-03-15,1317.34
2017-03-24,1320.05
2017-04-03,1322.1
2017-04-13,1324.32
2017-04-25,1327.49
2017-05-03,1329.59
2017-05-12,1330.61
2017-05-22,1333.62
2017-06-02,1336.03
2017-06-12,1338.66
2017-06-21,1340.65
2017-07-03,1343.2
2017-07-10,1345.35
2017-07-20,1346.52
2017-07-31,1349.32
2017-08-08,1351.25
2017-08-18,1353.92
2017-08-28,1356.41
2017-09-07,1358.97
2017-09-18,1361.66
2017-09-26,1363.81
2017-10-06,1365.17
2017-10-16,1367.09
2017-10-26,1368.84
2017-11-06,1370.87
2017-11-14,1372.48
2017-11-24,1374.67
2017-12-04,1375.91
2017-12-14,1378.19
2017-12-27,1380.3
2018-01-02,1381.1
2018-01-12,1383.48
2018-01-22,1385.22
2018-02-01,1386.72
2018-02-12,1389.0
2018-02-20,1390.86
2018-03-02,1392.73
2018-03-12,1394.32
2018-03-22,1396.63
2018-04-02,1398.85
2018-04-10,1400.05
2018-04-20,1401.76
2018-04-30,1402.69
2018-05-09,1403.77
2018-05-21,1405.21
2018-05-30,1407.02
2018-06-08,1407.46
2018-06-20,1410.1
2018-06-27,1412.27
2018-07-09,1414.77
2018-07-17,1416.59
2018-07-27,1417.49
2018-08-06,1420.21
2018-08-15,1422.3
2018-08-27,1424.89
2018-09-04,1424.36
2018-09-14,1422.48
2018-09-24,1424.63
2018-10-03,1427.13
2018-10-15,1430.25
2018-10-23,1432.22
2018-11-02,1434.68
2018-11-12,1437.55
2018-11-21,1440.37
2018-12-03,1443.24
2018-12-11,1444.62
2018-12-21,1447.56
2019-01-02,1451.22
2019-01-09,1452.56
2019-01-21,1455.94
2019-01-29,1458.33
2019-02-07,1460.65
2019-02-18,1463.24
2019-02-27,1465.88
2019-03-11,1469.22
2019-03-19,1471.32
2019-03-28,1473.7
2019-04-08,1476.2
2019-04-18,1478.81
2019-04-29,1481.22
2019-05-07,1482.98
2019-05-16,1485.3
2019-05-27,1488.39
2019-06-10,1491.9
2019-06-17,1493.19
2019-06-24,1494.5
2019-07-04,1497.78
2019-07-15,1500.98
2019-07-24,1502.48
2019-08-05,1504.91
2019-08-12,1506.97
2019-08-22,1510.0
2019-09-02,1513.2
2019-09-11,1515.49
2019-09-20,1517.98
2019-09-30,1520.68
2019-10-10,1523.64
2019-10-21,1526.16
2019-10-30,1528.96
2019-11-08,1531.83
2019-11-18,1534.21
2019-11-28,1536.53
2019-12-09,1539.52
2019-12-18,1541.44
2019-12-27,1543.94
2020-01-06,1546.04
2020-01-16,1549.23
2020-01-27,1552.06
2020-02-03,1553.46
2020-02-04,1553.75
2020-02-05,1553.96
2020-02-10,1555.06
2020-02-13,1555.84
2020-02-14,1556.13
2020-02-17,1556.97
2020-02-20,1557.84
2020-02-24,1558.87
2020-02-28,1559.61
2020-03-03,1560.53
2020-03-05,1561.38
2020-03-06,1561.49
2020-03-10,1562.29
2020-03-16,1563.6
2020-03-18,1563.76
2020-03-23,1563.21
2020-03-24,1564.5
2020-03-26,1565.43
2020-03-30,1563.67
2020-04-02,1562.25
2020-04-03,1562.44
2020-04-06,1562.46
2020-04-09,1562.16
2020-04-13,1563.12
2020-04-17,1563.77
2020-04-20,1564.41
2020-04-23,1564.6
2020-04-24,1564.68
2020-04-28,1565.23
2020-05-04,1565.86
2020-05-05,1565.85
2020-05-11,1567.31
2020-05-12,1567.46
2020-05-13,1567.58
2020-05-18,1568.51
2020-05-20,1568.87
2020-05-26,1570.09
2020-05-28,1570.46
2020-06-02,1571.46
2020-06-04,1571.87
2020-06-08,1572.61
2020-06-11,1573.12
2020-06-12,1573.32
