tanggal,data
2010-04-29,999.75
2010-05-10,986.28
2010-05-21,923.24
2010-06-01,962.16
2010-06-14,995.74
2010-06-23,1026.84
2010-07-05,1020.7
2010-07-15,1082.72
2010-07-26,1115.31
2010-08-09,1125.48
2010-08-18,1119.64
2010-08-30,1129.23
2010-09-15,1229.12
2010-09-20,1223.29
2010-10-01,1278.72
2010-10-12,1282.17
2010-10-25,1313.5
2010-11-03,1291.4
2010-11-15,1303.34
2010-11-25,1319.78
2010-12-06,1329.79
2010-12-17,1275.32
2010-12-28,1306.03
2011-01-10,1243.46
2011-01-19,1260.22
2011-01-31,1201.93
2011-02-10,1184.57
2011-02-21,1240.84
2011-03-04,1265.84
2011-03-15,1258.29
2011-03-28,1293.25
2011-04-06,1338.9
2011-04-18,1335.76
2011-04-29,1368.23
2011-05-10,1364.68
2011-05-23,1351.05
2011-06-01,1371.44
2011-06-13,1339.83
2011-06-23,1366.61
2011-07-04,1412.39
2011-07-15,1434.71
2011-07-26,1487.22
2011-08-08,1399.45
2011-08-18,1465.34
2011-09-05,1395.33
2011-09-08,1442.19
2011-09-19,1340.87
2011-09-30,1259.45
2011-10-11,1264.24
2011-10-24,1344.57
2011-11-02,1368.99
2011-11-14,1397.31
2011-11-24,1334.98
2011-12-05,1364.15
2011-12-16,1360.35
2011-12-27,1359.9
2012-01-09,1399.29
2012-01-19,1430.15
2012-01-30,1395.34
2012-02-10,1396.3
2012-02-21,1435.46
2012-03-05,1442.8
2012-03-14,1466.53
2012-03-26,1445.94
2012-04-05,1490.63
2012-04-16,1470.88
2012-04-27,1476.53
2012-05-08,1470.12
2012-05-21,1396.84
2012-05-30,1381.32
2012-06-11,1370.29
2012-06-21,1372.32
2012-07-02,1408.9
2012-07-13,1413.19
2012-07-24,1407.34
2012-08-06,1434.94
2012-08-15,1439.21
2012-08-27,1430.14
2012-09-06,1394.05
2012-09-17,1445.38
2012-09-28,1441.63
2012-10-10,1437.79
2012-10-22,1450.96
2012-11-01,1447.28
2012-11-12,1436.98
2012-11-23,1473.22
2012-12-04,1446.7
2012-12-17,1487.58
2012-12-26,1470.51
2013-01-07,1490.62
2013-01-17,1488.7
2013-01-28,1485.44
2013-02-08,1503.91
2013-02-19,1533.1
2013-03-04,1618.82
2013-03-13,1653.01
2013-03-25,1631.61
2013-04-04,1674.19
2013-04-15,1665.59
2013-04-26,1718.18
2013-05-07,1742.0
2013-05-20,1807.62
2013-05-29,1818.41
2013-06-10,1650.05
2013-06-20,1604.35
2013-07-01,1649.49
2013-07-15,1587.8
2013-07-24,1634.55
2013-08-12,1608.52
2013-08-15,1638.89
2013-08-26,1410.45
2013-09-06,1363.66
2013-09-17,1552.29
2013-09-30,1473.88
2013-10-09,1522.87
2013-10-21,1564.19
2013-10-31,1543.84
2013-11-11,1510.33
2013-11-22,1467.77
2013-12-03,1462.53
2013-12-16,1399.02
2013-12-27,1425.74
2014-01-06,1440.02
2014-01-16,1522.88
2014-01-27,1491.76
2014-02-07,1551.53
2014-02-18,1587.28
2014-03-03,1603.72
2014-03-12,1638.67
2014-03-24,1646.37
2014-04-04,1703.83
2014-04-15,1696.79
2014-04-28,1672.01
2014-05-07,1695.98
2014-05-19,1756.63
2014-05-30,1685.5
2014-06-09,1682.1
2014-06-20,1669.45
2014-07-01,1692.12
2014-07-14,1754.42
2014-07-23,1785.3
2014-08-04,1783.85
2014-08-14,1796.07
2014-08-25,1798.29
2014-09-05,1793.24
2014-09-16,1751.78
2014-09-29,1761.23
2014-10-08,1692.57
2014-10-20,1736.66
2014-10-30,1746.38
2014-11-10,1712.59
2014-11-21,1789.11
2014-12-02,1830.57
2014-12-15,1793.97
2014-12-29,1837.98
2015-01-05,1852.4
2015-01-16,1833.86
2015-01-27,1898.13
2015-02-09,1935.58
2015-02-18,1945.72
2015-03-02,1961.4
2015-03-12,1937.99
2015-03-23,1962.9
2015-04-06,1976.61
2015-04-14,1962.81
2015-04-27,1907.24
2015-05-06,1899.07
2015-05-18,1922.65
2015-05-28,1924.87
2015-06-08,1836.33
2015-06-19,1806.36
2015-06-30,1772.19
2015-07-13,1789.1
2015-07-22,1782.73
2015-08-03,1735.75
2015-08-13,1681.56
2015-08-24,1517.84
2015-09-04,1615.71
2015-09-15,1586.29
2015-09-28,1478.56
2015-10-08,1646.03
2015-10-19,1685.38
2015-10-30,1656.87
