tanggal,data
2005-01-07,1026.32
2005-01-24,1052.74
2005-02-07,1068.7
2005-02-21,1105.0
2005-03-08,1136.39
2005-03-23,1168.74
2005-04-07,1137.78
2005-04-25,1054.49
2005-05-09,1114.75
2005-05-23,1094.51
2005-06-06,1153.45
2005-06-21,1197.55
2005-07-06,1182.68
2005-07-21,1226.05
2005-08-05,1242.88
2005-08-22,1147.26
2005-09-05,1126.79
2005-09-19,1138.2
2005-10-04,1169.15
2005-10-19,1134.08
2005-11-09,1119.73
2005-11-18,1128.17
2005-12-05,1182.79
2005-12-19,1225.14
2006-01-02,1222.06
2006-01-17,1245.78
2006-02-01,1279.82
2006-02-16,1267.65
2006-03-03,1288.87
2006-03-20,1371.44
2006-04-03,1376.72
2006-04-17,1440.97
2006-05-02,1511.51
2006-05-17,1495.26
2006-06-01,1341.83
2006-06-16,1347.12
2006-07-03,1380.64
2006-07-17,1322.42
2006-07-31,1398.1
2006-08-15,1489.9
2006-08-30,1488.35
2006-09-14,1538.59
2006-09-29,1600.79
2006-10-16,1637.06
2006-10-30,1653.98
2006-11-13,1700.84
2006-11-28,1749.71
2006-12-13,1869.09
2006-12-28,1896.45
2007-01-12,1752.82
2007-01-29,1824.52
2007-02-12,1776.75
2007-02-26,1816.33
2007-03-13,1838.47
2007-03-28,1824.57
2007-04-12,1944.06
2007-04-27,2021.46
2007-05-14,2069.31
2007-05-28,2114.27
2007-06-11,2140.92
2007-06-26,2225.76
2007-07-11,2370.93
2007-07-26,2505.12
2007-08-10,2334.81
2007-08-27,2308.09
2007-09-10,2368.57
2007-09-24,2544.64
2007-10-09,2751.28
2007-10-24,2710.98
2007-11-08,2892.0
2007-11-23,2808.67
2007-12-10,3023.24
2007-12-26,2936.62
2008-01-07,2971.38
2008-01-22,2448.71
2008-02-06,2837.78
2008-02-21,2933.94
2008-03-10,2689.59
2008-03-24,2538.5
2008-04-07,2463.96
2008-04-22,2464.97
2008-05-07,2581.03
2008-05-22,2688.18
2008-06-06,2571.81
2008-06-23,2521.15
2008-07-07,2447.09
2008-07-21,2343.78
2008-08-05,2379.74
2008-08-20,2293.95
2008-09-04,2354.72
2008-09-19,2183.96
2008-10-06,1956.16
2008-10-20,1714.17
2008-11-03,1614.27
2008-11-18,1454.33
2008-12-03,1496.52
2008-12-18,1712.76
2009-01-05,1798.47
2009-01-19,1703.22
2009-02-02,1660.36
2009-02-16,1675.58
2009-03-03,1588.02
2009-03-18,1663.87
2009-04-02,1887.58
2009-04-17,2001.62
2009-05-04,2192.83
2009-05-18,2212.21
2009-06-01,2478.37
2009-06-16,2521.98
2009-07-01,2597.81
2009-07-16,2740.64
2009-07-31,3052.5
2009-08-18,3040.84
2009-08-31,3059.32
2009-09-14,3118.83
2009-09-29,3205.46
2009-10-14,3310.59
2009-10-29,3113.69
2009-11-13,3265.49
2009-11-30,3210.59
2009-12-14,3355.34
2009-12-28,3331.68
2010-01-12,3586.29
2010-01-27,3402.55
2010-02-11,3330.09
2010-03-01,3406.56
2010-03-15,3520.82
2010-03-29,3672.37
2010-04-12,3777.82
2010-04-27,3859.34
2010-05-12,3738.37
2010-05-27,3566.18
2010-06-11,3676.69
2010-06-28,3840.27
2010-07-12,3940.08
2010-07-26,4064.33
2010-08-10,4053.39
2010-08-25,4159.0
2010-09-15,4486.97
2010-09-24,4504.61
2010-10-11,4689.56
2010-10-25,4790.34
2010-11-08,4810.44
2010-11-23,4683.07
2010-12-08,4763.85
2010-12-23,4572.52
2011-01-07,4611.63
2011-01-24,4196.24
2011-02-07,4298.73
2011-02-21,4369.02
2011-03-08,4544.14
2011-03-23,4497.41
2011-04-07,4683.1
2011-04-25,4752.58
2011-05-09,4731.75
2011-05-23,4721.58
2011-06-06,4804.59
2011-06-21,4766.13
2011-07-06,4921.94
2011-07-21,5205.89
2011-08-05,5081.45
2011-08-22,5023.63
2011-09-05,5048.62
2011-09-20,4841.73
2011-10-05,4217.09
2011-10-20,4721.08
2011-11-04,4971.98
2011-11-21,4814.15
2011-12-05,4945.22
2011-12-19,4938.42
2012-01-03,5011.5
2012-01-18,5133.39
2012-02-02,5172.65
2012-02-17,5144.18
2012-03-05,5187.7
2012-03-19,5214.79
2012-04-02,5422.34
2012-04-17,5349.38
2012-05-02,5458.15
2012-05-21,5118.38
2012-06-01,4906.34
2012-06-18,4981.2
2012-07-02,5167.99
2012-07-16,5216.41
2012-07-31,5305.77
2012-08-15,5247.69
2012-08-30,4992.89
2012-09-14,5257.37
2012-10-01,5216.7
2012-10-15,5289.73
2012-10-29,5279.12
2012-11-13,5274.96
2012-11-28,5317.05
2012-12-13,5399.24
2012-12-28,5374.48
2013-01-14,5394.37
2013-01-28,5429.91
2013-02-11,5512.36
2013-02-26,5799.3
2013-03-13,6079.4
2013-03-28,6235.1
2013-04-12,6193.73
2013-04-29,6374.04
2013-05-13,6515.31
2013-05-27,6663.9
2013-06-11,5966.77
2013-06-26,5912.7
2013-07-11,5887.04
2013-07-26,6008.6
2013-08-12,5963.46
2013-08-26,5277.42
2013-09-09,5270.61
2013-09-24,5669.7
