tanggal,data
2009-05-20,1000.0
2009-06-01,1021.34
2009-06-12,1055.43
2009-06-24,1013.66
2009-07-06,1021.79
2009-07-17,1064.8
2009-07-29,1134.52
2009-08-10,1202.9
2009-08-24,1198.73
2009-09-02,1158.15
2009-09-14,1198.26
2009-09-28,1195.49
2009-10-08,1222.47
2009-10-19,1252.68
2009-11-02,1196.91
2009-11-12,1217.33
2009-11-24,1237.96
2009-12-07,1242.74
2009-12-17,1245.81
2009-12-29,1258.4
2010-01-11,1308.71
2010-01-21,1302.58
2010-02-02,1277.09
2010-02-15,1251.73
2010-03-01,1267.93
2010-03-09,1299.93
2010-03-22,1303.89
2010-04-05,1371.53
2010-04-14,1361.61
2010-04-26,1391.63
2010-05-07,1313.29
2010-05-19,1304.27
2010-05-31,1337.17
2010-06-11,1336.57
2010-06-23,1385.19
2010-07-05,1361.0
2010-07-16,1394.53
2010-07-28,1412.57
2010-08-09,1413.86
2010-08-23,1420.4
2010-09-01,1425.8
2010-09-15,1483.51
2010-09-27,1493.31
2010-10-07,1526.03
2010-10-18,1520.95
2010-11-01,1522.76
2010-11-11,1541.15
2010-11-23,1521.23
2010-12-06,1516.94
2010-12-16,1476.44
2010-12-28,1513.23
2011-01-10,1465.01
2011-01-20,1445.38
2011-02-01,1435.99
2011-02-14,1435.99
2011-02-25,1443.38
2011-03-08,1476.26
2011-03-21,1455.4
2011-04-01,1496.82
2011-04-13,1502.02
2011-04-25,1513.67
2011-05-06,1506.18
2011-05-18,1516.32
2011-05-30,1523.61
2011-06-10,1505.27
2011-06-22,1518.4
2011-07-04,1563.17
2011-07-18,1575.09
2011-07-27,1626.42
2011-08-08,1546.08
2011-08-22,1553.32
2011-09-05,1559.04
2011-09-12,1561.47
2011-09-26,1424.63
2011-10-06,1462.85
2011-10-18,1513.1
2011-10-31,1552.93
2011-11-10,1554.23
2011-11-22,1552.69
2011-12-05,1568.08
2011-12-15,1541.47
2011-12-27,1574.4
2012-01-09,1620.39
2012-01-20,1645.63
2012-01-31,1635.65
2012-02-13,1657.46
2012-02-24,1635.57
2012-03-07,1659.81
2012-03-19,1674.55
2012-03-30,1714.72
2012-04-11,1699.82
2012-04-23,1704.69
2012-05-04,1717.14
2012-05-16,1660.22
2012-05-28,1642.7
2012-06-11,1653.54
2012-06-20,1671.28
2012-07-02,1681.38
2012-07-16,1704.65
2012-07-26,1696.07
2012-08-06,1720.92
2012-08-23,1734.84
2012-08-30,1705.27
2012-09-11,1735.48
2012-09-24,1745.37
2012-10-04,1765.95
2012-10-16,1785.01
2012-10-29,1779.88
2012-11-08,1782.52
2012-11-20,1783.92
2012-12-03,1778.06
2012-12-14,1786.62
2012-12-26,1779.49
2013-01-07,1807.41
2013-01-18,1825.59
2013-01-29,1821.76
2013-02-11,1834.28
2013-02-22,1878.95
2013-03-06,1967.17
2013-03-18,1944.89
2013-04-01,1974.97
2013-04-10,1947.92
2013-04-22,2004.69
2013-05-03,2014.19
2013-05-15,2060.08
2013-05-27,2090.89
2013-06-10,1992.47
2013-06-19,1992.03
2013-07-01,1993.4
2013-07-15,1959.59
2013-07-25,1970.66
2013-08-12,1955.2
2013-08-19,1885.56
2013-08-29,1834.63
2013-09-10,1879.16
2013-09-23,1911.11
2013-10-03,1856.21
2013-10-16,1876.35
2013-10-28,1896.46
2013-11-07,1869.37
2013-11-19,1849.93
2013-12-02,1824.96
2013-12-13,1785.47
2013-12-24,1805.36
2014-01-06,1818.52
2014-01-17,1854.2
2014-01-29,1854.86
2014-02-10,1863.41
2014-02-21,1904.96
2014-03-05,1913.67
2014-03-17,1989.92
2014-03-28,1958.49
2014-04-10,1951.49
2014-04-21,1989.03
2014-05-05,1978.58
2014-05-14,2023.9
2014-05-26,2011.42
2014-06-09,1998.19
2014-06-19,1988.41
2014-06-30,2005.45
2014-07-14,2050.82
2014-07-24,2081.27
2014-08-05,2086.42
2014-08-18,2091.43
2014-08-28,2095.56
2014-09-09,2077.89
2014-09-22,2072.93
2014-10-02,1997.47
2014-10-14,1971.16
2014-10-27,2000.77
2014-11-07,2001.0
2014-11-18,2056.27
2014-12-01,2090.82
2014-12-12,2096.69
2014-12-24,2112.44
2015-01-06,2117.93
2015-01-16,2125.49
2015-01-28,2182.41
2015-02-09,2208.12
2015-02-20,2215.07
2015-03-04,2223.04
2015-03-16,2206.31
2015-03-30,2218.01
2015-04-08,2218.42
2015-04-20,2211.01
2015-05-04,2180.57
2015-05-15,2217.54
2015-05-25,2234.44
2015-06-08,2177.09
2015-06-18,2156.27
2015-06-30,2144.31
2015-07-13,2160.31
2015-07-23,2159.18
