tanggal,data
2012-12-26,1009.51
2013-01-03,1009.92
2013-01-14,1023.05
2013-01-21,1029.8
2013-01-30,1036.62
2013-02-08,1037.02
2013-02-18,1060.28
2013-02-26,1036.64
2013-03-07,1081.81
2013-03-18,1106.49
2013-03-25,1110.34
2013-04-04,1111.13
2013-04-15,1108.14
2013-04-22,1123.46
2013-05-01,1116.35
2013-05-10,1130.3
2013-05-20,1146.95
2013-05-28,1152.76
2013-06-07,1123.91
2013-06-17,1083.03
2013-06-24,1002.42
2013-07-03,1009.88
2013-07-12,997.23
2013-07-22,1035.37
2013-07-30,993.14
2013-08-12,1019.85
2013-08-19,948.37
2013-08-26,890.64
2013-09-04,913.74
2013-09-13,956.77
2013-09-23,1056.14
2013-10-02,990.98
2013-10-11,1034.79
2013-10-21,1038.33
2013-10-29,1057.53
2013-11-07,1046.73
2013-11-18,1039.66
2013-11-25,1041.29
2013-12-04,1044.0
2013-12-13,1009.72
2013-12-23,1000.56
2014-01-02,1024.76
2014-01-09,1029.23
2014-01-20,1080.26
2014-01-27,1072.31
2014-02-05,1104.54
2014-02-14,1126.77
2014-02-24,1141.97
2014-03-04,1164.77
2014-03-14,1202.29
2014-03-24,1186.43
2014-04-01,1208.64
2014-04-10,1157.58
2014-04-21,1195.88
2014-04-28,1202.63
2014-05-07,1214.38
2014-05-16,1233.31
2014-05-28,1218.88
2014-06-03,1215.59
2014-06-12,1214.65
2014-06-23,1196.52
2014-06-30,1210.15
2014-07-10,1236.76
2014-07-18,1227.13
2014-08-04,1246.86
2014-08-05,1250.41
2014-08-14,1284.68
2014-08-25,1303.88
2014-09-02,1324.66
2014-09-11,1383.37
2014-09-22,1397.16
2014-09-29,1380.72
2014-10-08,1348.0
2014-10-17,1384.68
2014-10-27,1385.29
2014-11-04,1388.69
2014-11-13,1385.33
2014-11-24,1439.44
2014-12-01,1449.89
2014-12-10,1444.78
2014-12-19,1442.39
2014-12-29,1474.96
2015-01-06,1451.44
2015-01-15,1443.54
2015-01-26,1451.18
2015-02-02,1468.22
2015-02-11,1482.5
2015-02-23,1503.2
2015-03-02,1516.26
2015-03-11,1453.71
2015-03-20,1476.95
2015-03-30,1461.89
2015-04-07,1491.19
2015-04-16,1475.55
2015-04-27,1412.4
2015-05-04,1383.22
2015-05-13,1426.6
2015-05-22,1466.19
2015-06-01,1409.78
2015-06-09,1318.35
2015-06-18,1307.95
2015-06-29,1308.04
2015-07-06,1311.07
2015-07-15,1312.22
2015-07-24,1305.61
2015-08-03,1294.46
2015-08-12,1202.81
2015-08-21,1151.4
2015-08-31,1174.62
2015-09-08,1163.66
2015-09-17,1191.81
2015-09-28,1152.28
2015-10-05,1209.14
2015-10-15,1242.92
2015-10-23,1289.7
2015-11-02,1236.49
2015-11-10,1214.58
2015-11-19,1205.46
2015-11-30,1173.19
2015-12-07,1192.61
2015-12-16,1172.72
2015-12-28,1200.33
2016-01-04,1200.11
2016-01-12,1191.56
2016-01-21,1169.99
2016-02-01,1213.23
2016-02-09,1221.67
2016-02-19,1233.3
2016-02-29,1247.74
2016-03-07,1280.67
2016-03-16,1291.08
2016-03-29,1301.02
2016-04-04,1308.81
2016-04-12,1324.55
2016-04-21,1364.94
2016-05-02,1358.48
2016-05-09,1331.73
2016-05-18,1337.98
2016-05-27,1360.61
2016-06-06,1366.5
2016-06-14,1342.13
2016-06-23,1360.26
2016-07-11,1406.29
2016-07-21,1438.54
2016-08-01,1500.04
2016-08-08,1516.78
2016-08-18,1504.87
2016-08-26,1486.18
2016-09-05,1449.31
2016-09-13,1383.95
2016-09-22,1417.33
2016-10-03,1453.58
2016-10-10,1426.48
2016-10-19,1443.8
2016-10-28,1426.15
2016-11-07,1428.13
2016-11-15,1348.14
2016-11-24,1387.16
2016-12-05,1432.29
2016-12-13,1423.91
2016-12-21,1379.97
2016-12-30,1410.13
2017-01-09,1411.55
2017-01-18,1413.47
2017-01-27,1424.87
2017-02-06,1440.07
2017-02-14,1419.67
2017-02-23,1385.24
2017-03-06,1387.73
2017-03-13,1370.49
2017-03-22,1375.22
2017-03-31,1401.85
2017-04-10,1420.74
2017-04-18,1433.33
2017-04-27,1441.43
