tanggal,data
2014-08-18,1004.89
2014-08-25,1023.21
2014-09-01,1033.02
2014-09-09,1053.86
2014-09-17,1063.29
2014-09-24,1061.95
2014-10-02,1029.85
2014-10-10,1016.79
2014-10-20,1046.96
2014-10-27,1051.43
2014-11-03,1058.92
2014-11-10,1037.21
2014-11-18,1077.17
2014-11-26,1095.55
2014-12-04,1122.6
2014-12-12,1118.35
2014-12-19,1101.26
2014-12-29,1132.03
2015-01-05,1129.92
2015-01-12,1130.67
2015-01-20,1105.62
2015-01-28,1128.22
2015-02-04,1133.21
2015-02-12,1119.16
2015-02-20,1124.55
2015-03-02,1136.15
2015-03-09,1087.12
2015-03-16,1067.49
2015-03-23,1082.29
2015-03-31,1077.3
2015-04-08,1094.68
2015-04-16,1087.0
2015-04-24,1087.02
2015-05-04,1020.78
2015-05-11,1050.54
2015-05-18,1080.55
2015-05-25,1078.69
2015-06-03,1023.95
2015-06-10,966.5
2015-06-17,961.08
2015-06-25,973.27
2015-07-03,986.79
2015-07-13,978.5
2015-07-22,978.71
2015-07-27,942.05
2015-08-03,932.14
2015-08-11,888.58
2015-08-19,872.72
2015-08-27,818.44
2015-09-04,834.29
2015-09-11,829.47
2015-09-21,841.45
2015-09-28,783.65
2015-10-05,817.92
2015-10-13,841.55
2015-10-21,847.69
2015-10-28,858.83
2015-11-05,849.99
2015-11-13,819.07
2015-11-23,827.4
2015-11-30,801.24
2015-12-07,807.97
2015-12-14,774.05
2015-12-22,806.17
2015-12-30,829.67
2016-01-07,810.58
2016-01-15,806.2
2016-01-25,796.78
2016-02-01,804.43
2016-02-09,809.25
2016-02-15,825.4
2016-02-23,820.15
2016-03-02,852.6
2016-03-10,854.52
2016-03-17,883.84
2016-03-28,875.66
2016-04-04,891.42
2016-04-11,897.28
2016-04-18,909.82
2016-04-25,932.22
2016-05-03,915.25
2016-05-11,897.49
2016-05-19,903.31
2016-05-27,923.45
2016-06-06,928.15
2016-06-13,921.24
2016-06-20,934.48
2016-06-27,935.1
2016-07-11,960.27
2016-07-13,985.57
2016-07-20,1011.08
2016-07-28,1035.46
2016-08-05,1050.28
2016-08-15,1030.76
2016-08-22,1045.18
2016-08-29,1001.44
2016-09-05,1008.16
2016-09-13,954.18
2016-09-21,984.4
2016-09-29,995.43
2016-10-07,985.93
2016-10-17,987.7
2016-10-24,998.87
2016-10-31,1055.94
2016-11-07,970.17
2016-11-15,903.44
2016-11-23,949.09
2016-12-01,943.49
2016-12-08,962.78
2016-12-16,930.2
2016-12-27,895.14
2017-01-03,917.87
2017-01-09,926.52
2017-01-16,928.81
2017-01-24,920.11
2017-02-01,921.97
2017-02-09,918.36
2017-02-20,919.08
2017-02-27,908.08
2017-03-06,905.05
2017-03-13,897.11
2017-03-20,907.84
2017-03-29,906.13
2017-04-05,912.5
2017-04-13,905.31
2017-04-20,893.79
2017-04-28,904.93
2017-05-08,878.33
2017-05-15,839.61
2017-05-22,852.8
2017-05-29,858.29
2017-06-06,864.12
2017-06-14,876.2
2017-06-22,859.47
2017-07-03,857.83
2017-07-10,844.74
2017-07-17,842.91
2017-07-24,802.12
2017-07-31,815.33
2017-08-08,811.8
2017-08-16,816.07
2017-08-24,819.67
2017-08-31,820.64
2017-09-08,827.03
2017-09-18,832.43
2017-09-25,829.31
2017-10-02,823.52
2017-10-10,830.97
2017-10-17,841.58
2017-10-25,847.3
2017-11-16,853.86
2017-11-20,847.2
2017-11-27,841.79
2017-12-04,829.43
2017-12-11,810.88
2017-12-19,830.41
2017-12-27,832.74
2018-01-04,827.27
2018-01-11,862.51
2018-01-19,886.73
2018-01-29,936.2
2018-02-05,949.58
2018-02-12,969.41
2018-02-20,980.06
2018-02-27,1024.22
2018-03-07,1003.09
2018-03-15,1013.48
2018-03-23,977.89
2018-04-02,1004.26
2018-04-09,1017.1
2018-04-16,1040.02
2018-04-23,1071.8
2018-05-02,1078.71
2018-05-09,1094.46
2018-05-17,1132.86
2018-05-24,1192.47
