tanggal,data
2006-12-18,1002.26
2007-01-02,1010.83
2007-01-15,987.78
2007-01-25,998.71
2007-02-08,999.17
2007-02-21,1024.86
2007-03-07,1016.07
2007-03-21,1043.82
2007-04-03,1078.45
2007-04-17,1121.56
2007-04-30,1119.03
2007-05-14,1134.29
2007-05-28,1146.25
2007-06-11,1144.29
2007-06-25,1176.17
2007-07-09,1228.79
2007-07-23,1285.94
2007-08-03,1229.08
2007-08-20,1151.21
2007-08-30,1180.96
2007-09-13,1214.92
2007-09-26,1281.79
2007-10-10,1378.94
2007-10-24,1375.34
2007-11-06,1452.76
2007-11-20,1446.41
2007-12-03,1497.41
2007-12-17,1446.7
2008-01-02,1474.78
2008-01-14,1522.25
2008-01-28,1400.96
2008-02-11,1409.65
2008-02-25,1488.76
2008-03-10,1379.06
2008-03-24,1273.32
2008-04-03,1198.41
2008-04-17,1274.27
2008-04-30,1260.62
2008-05-14,1338.63
2008-05-28,1334.54
2008-06-10,1312.62
2008-06-24,1327.18
2008-07-07,1275.72
2008-07-21,1197.78
2008-08-04,1202.54
2008-08-19,1121.21
2008-09-01,1176.98
2008-09-15,946.86
2008-09-29,998.43
2008-10-13,852.3
2008-10-24,742.6
2008-11-06,768.2
2008-11-20,696.97
2008-12-03,711.1
2008-12-17,821.25
2009-01-05,847.01
2009-01-13,835.02
2009-01-27,807.66
2009-02-09,807.13
2009-02-23,801.0
2009-03-10,792.06
2009-03-23,848.59
2009-04-06,888.66
2009-04-20,979.34
2009-05-04,1055.04
2009-05-15,1059.87
2009-05-29,1108.56
2009-06-11,1182.66
2009-06-25,1121.74
2009-07-09,1124.09
2009-07-22,1142.21
2009-08-05,1224.36
2009-08-18,1260.74
2009-09-01,1236.31
2009-09-14,1263.67
2009-09-28,1274.96
2009-10-12,1292.65
2009-10-26,1308.3
2009-11-09,1271.55
2009-11-23,1317.53
2009-12-07,1328.16
2009-12-18,1300.15
2010-01-04,1348.47
2010-01-14,1388.14
2010-01-28,1359.85
2010-02-10,1295.83
2010-02-24,1346.3
2010-03-10,1374.58
2010-03-23,1394.88
2010-04-06,1467.26
2010-04-19,1437.84
2010-05-03,1477.99
2010-05-17,1410.39
2010-05-31,1394.2
2010-06-14,1401.45
2010-06-28,1439.0
2010-07-12,1437.55
2010-07-23,1451.93
2010-08-06,1450.67
2010-08-19,1479.08
2010-09-02,1489.33
2010-09-15,1593.32
2010-09-29,1649.08
2010-10-13,1759.32
2010-10-26,1772.15
2010-11-09,1804.83
2010-11-22,1822.66
2010-12-06,1861.82
2010-12-20,1892.49
2011-01-03,2009.7
2011-01-17,1937.12
2011-01-31,1881.96
2011-02-14,1888.66
2011-02-25,1922.56
2011-03-11,1949.86
2011-03-24,1980.51
2011-04-07,2033.66
2011-04-20,2046.49
2011-05-04,2048.74
2011-05-18,2087.2
2011-05-31,2089.87
2011-06-14,2062.49
2011-06-27,2059.56
2011-07-11,2146.08
2011-07-25,2332.31
2011-08-08,2139.0
2011-08-22,2150.87
2011-09-05,2150.84
2011-09-19,2140.54
2011-09-30,1982.49
2011-10-14,2041.05
2011-10-27,2141.83
2011-11-10,2128.78
2011-11-23,2090.12
2011-12-07,2293.6
2011-12-21,2372.13
2012-01-03,2423.03
2012-01-17,2521.97
2012-01-30,2475.45
2012-02-13,2510.96
2012-02-27,2504.72
2012-03-12,2568.75
2012-03-26,2642.87
2012-04-09,2759.95
2012-04-23,2847.34
2012-05-04,2969.37
2012-05-21,2809.53
2012-05-31,2674.11
2012-06-14,2605.81
2012-06-27,2695.75
2012-07-11,2760.83
2012-07-24,2742.61
2012-08-07,2739.1
2012-08-23,2711.9
2012-09-03,2635.57
2012-09-17,2752.87
2012-10-01,2759.7
2012-10-15,2720.88
2012-10-29,2740.68
2012-11-12,2702.34
2012-11-26,2724.27
2012-12-07,2763.27
2012-12-21,2688.87
2013-01-03,2741.53
2013-01-17,2808.34
2013-01-30,2803.01
2013-02-13,2890.97
2013-02-26,2974.7
2013-03-13,3136.69
2013-03-26,3211.3
2013-04-08,3235.64
2013-04-22,3300.9
2013-05-06,3295.68
2013-05-20,3401.52
2013-06-03,3360.0
2013-06-17,3200.47
2013-07-01,3083.63
2013-07-12,2862.6
2013-07-26,2861.6
2013-08-12,2865.25
2013-08-22,2540.65
2013-09-04,2497.81
2013-09-18,2696.67
2013-10-01,2687.46
2013-10-16,2742.04
2013-10-29,2857.69
2013-11-11,2704.28
2013-11-25,2608.77
2013-12-09,2578.62
2013-12-23,2524.57
2014-01-06,2504.34
2014-01-20,2658.5
2014-02-03,2671.55
2014-02-14,2793.76
2014-02-28,2860.99
2014-03-13,3007.27
2014-03-27,3056.3
2014-04-10,3009.31
2014-04-23,3096.19
2014-05-06,3094.24
2014-05-20,3126.27
2014-06-03,3123.26
2014-06-16,3089.23
2014-06-30,3072.87
2014-07-14,3145.13
2014-08-04,3167.56
2014-08-11,3199.61
2014-08-25,3242.12
2014-09-05,3218.52
2014-09-19,3199.05
2014-10-03,3050.4
2014-10-16,3067.7
2014-10-30,3121.2
2014-11-12,3151.75
2014-11-26,3215.69
2014-12-09,3222.14
2014-12-23,3285.22
2015-01-06,3316.74
2015-01-19,3302.54
2015-02-02,3376.89
2015-02-16,3331.66
2015-03-02,3405.99
2015-03-16,3330.96
2015-03-30,3289.11
2015-04-10,3339.07
2015-04-24,3212.41
2015-05-08,3122.21
2015-05-21,3160.27
2015-06-04,2998.71
2015-06-17,2925.69
2015-07-01,2924.56
2015-07-14,2947.54
2015-07-28,2847.33
2015-08-11,2785.06
2015-08-24,2538.71
2015-09-07,2605.52
2015-09-21,2604.41
2015-10-05,2474.86
2015-10-19,2521.0
2015-11-02,2488.9
2015-11-13,2468.4
2015-11-27,2452.55
2015-12-11,2385.53
2015-12-28,2421.81
2016-01-07,2399.11
2016-01-20,2383.44
2016-02-03,2448.8
2016-02-16,2507.22
2016-03-01,2486.45
2016-03-15,2556.97
2016-03-28,2532.92
2016-04-11,2567.71
2016-04-25,2586.22
2016-05-09,2535.15
2016-05-23,2515.78
2016-06-06,2574.55
2016-06-17,2573.57
2016-07-01,2634.92
2016-07-15,2673.11
2016-07-28,2706.32
2016-08-11,2752.91
2016-08-24,2732.35
2016-09-07,2688.31
2016-09-20,2657.32
2016-10-04,2757.89
2016-10-18,2868.61
2016-10-31,3022.71
2016-11-14,2963.49
2016-11-28,2975.94
2016-12-13,3036.8
2016-12-27,3009.23
2017-01-09,3122.26
2017-01-20,3198.92
2017-02-03,3292.9
2017-02-17,3309.63
2017-03-02,3344.83
2017-03-16,3426.5
2017-03-29,3509.64
2017-04-12,3600.29
2017-04-25,3617.23
2017-05-09,3596.41
2017-05-22,3624.97
2017-06-05,3649.27
2017-06-19,3624.45
2017-07-03,3662.8
2017-07-17,3737.8
2017-07-31,3686.42
2017-08-14,3644.03
2017-08-25,3689.39
2017-09-08,3700.21
2017-09-22,3723.58
2017-10-05,3736.38
2017-10-19,3742.62
2017-11-01,3819.35
2017-11-15,3818.82
2017-11-28,3823.31
2017-12-12,3853.26
2017-12-27,3882.87
2018-01-08,3990.93
2018-01-22,4085.68
2018-02-05,4225.14
2018-02-19,4248.21
2018-03-05,4250.45
2018-03-19,4249.46
2018-04-02,4242.59
2018-04-13,4280.97
2018-04-27,4274.08
2018-05-11,4355.29
2018-05-24,4442.98
2018-06-06,4481.89
2018-06-20,4431.57
2018-07-03,4284.47
2018-07-17,4428.03
2018-07-30,4467.74
2018-08-13,4341.44
2018-08-27,4361.29
2018-09-10,4347.56
2018-09-24,4359.16
2018-10-08,4331.37
2018-10-22,4251.57
2018-11-02,4223.55
2018-11-16,4252.51
2018-11-30,4197.11
2018-12-13,4270.16
2018-12-27,4295.33
2019-01-09,4412.12
2019-01-23,4388.25
2019-02-06,4467.22
2019-02-19,4393.19
2019-03-04,4392.35
2019-03-18,4408.64
2019-04-01,4385.67
2019-04-15,4359.77
2019-04-29,4388.58
2019-05-13,4417.77
2019-05-27,4442.31
2019-06-10,4521.39
2019-06-21,4482.98
2019-07-04,4593.0
2019-07-18,4639.46
2019-08-01,4654.78
2019-08-14,4692.4
2019-08-28,4662.43
2019-09-10,4723.51
2019-09-24,4715.21
2019-10-07,4642.94
2019-10-21,4666.12
2019-11-04,4583.85
2019-11-18,4479.64
2019-12-02,4527.42
2019-12-16,4560.69
2019-12-30,4561.21
2020-01-10,4518.66
2020-01-24,4479.49
2020-02-03,4414.85
2020-02-05,4402.56
2020-02-06,4425.06
2020-02-10,4422.43
2020-02-13,4452.13
2020-02-17,4441.48
2020-02-20,4481.37
2020-02-24,4408.5
2020-02-28,4237.78
2020-03-03,4291.36
2020-03-05,4320.08
2020-03-06,4298.22
2020-03-10,4295.96
2020-03-16,4133.87
2020-03-18,4006.2
2020-03-23,3869.69
2020-03-26,4001.66
2020-03-30,4111.34
2020-04-01,4126.49
2020-04-02,4109.37
2020-04-06,4124.14
2020-04-09,4026.54
2020-04-13,4014.99
2020-04-14,4031.26
2020-04-17,4037.5
2020-04-20,4007.46
2020-04-24,4019.47
2020-04-28,4017.33
2020-05-04,4004.8
2020-05-05,3988.32
2020-05-11,3907.22
2020-05-13,3913.45
2020-05-18,3976.35
2020-05-20,4009.31
2020-05-26,3996.62
2020-05-28,3990.66
2020-06-02,4007.95
2020-06-04,4001.29
2020-06-08,4086.94
2020-06-12,4019.31
2020-06-15,4018.2
2020-06-19,4087.86
2020-06-22,4060.87
2020-06-23,4040.98
2020-06-29,4011.36
2020-06-30,4032.65
2020-07-06,4042.6
2020-07-08,4110.22
2020-07-13,4106.78
2020-07-15,4088.13
2020-07-20,4082.63
2020-07-23,4044.43
2020-07-27,4028.76
2020-07-30,4057.44
2020-08-03,3985.46
2020-08-07,4066.26
2020-08-10,4086.24
2020-08-14,4022.4
2020-08-18,4018.21
2020-08-24,4019.87
2020-08-25,4037.51
2020-08-28,4018.15
2020-08-31,4004.93
2020-09-02,4062.58
2020-09-07,4062.11
2020-09-09,4040.31
2020-09-10,3969.14
2020-09-14,4049.37
2020-09-17,4022.14
2020-09-21,4029.4
2020-09-24,3998.46
2020-09-28,4062.53
2020-10-02,4131.55
2020-10-05,4180.79
2020-10-08,4143.69
2020-10-09,4173.52
2020-10-13,4285.13
2020-10-19,4377.56
2020-10-20,4356.79
2020-10-21,4359.0
2020-10-26,4365.72
2020-11-02,4360.62
2020-11-04,4350.24
2020-11-09,4446.57
2020-11-12,4520.77
2020-11-16,4489.51
2020-11-17,4515.69
2020-11-19,4506.16
2020-11-23,4503.97
2020-11-27,4560.3
2020-12-01,4615.05
2020-12-04,4682.8
2020-12-08,4731.36
2020-12-14,4839.47
2020-12-15,4831.92
2020-12-21,4972.19
2020-12-23,4948.28
2020-12-28,4993.47
2020-12-30,4922.59
2021-01-04,5110.5
2021-01-07,5110.45
2021-01-11,5233.29
2021-01-14,5184.87
2021-01-18,5198.52
2021-01-22,5246.22
2021-01-25,5214.04
2021-01-26,5177.86
2021-01-29,5126.08
2021-02-02,5221.69
2021-02-08,5310.71
2021-02-10,5326.56
2021-02-15,5457.95
2021-02-17,5457.83
2021-02-22,5404.44
2021-02-24,5403.14
2021-03-01,5435.46
2021-03-04,5451.02
2021-03-08,5422.94
2021-03-12,5427.87
2021-03-15,5437.86
2021-03-19,5436.99
2021-03-23,5433.37
2021-03-26,5412.5
2021-03-30,5390.83
2021-04-05,5383.94
2021-04-07,5404.23
2021-04-12,5479.48
2021-04-14,5469.98
2021-04-15,5475.54
2021-04-19,5454.16
2021-04-22,5472.81
2021-04-26,5474.65
2021-04-29,5434.77
2021-05-03,5417.98
2021-05-06,5416.72
2021-05-10,5401.24
2021-05-17,5356.63
2021-05-18,5369.83
2021-05-21,5408.02
2021-05-25,5447.19
2021-05-27,5551.14
2021-05-31,5560.57
2021-06-02,5581.54
2021-06-07,5560.71
2021-06-09,5612.0
2021-06-14,5600.98
2021-06-17,5569.65
2021-06-21,5477.16
2021-06-22,5534.61
2021-06-24,5574.25
2021-06-28,5564.81
