tanggal,data
2022-12-22,998.48
2022-12-26,992.15
2022-12-27,991.45
2022-12-29,988.91
2022-12-30,989.28
2023-01-02,984.91
2023-01-04,978.83
2023-01-06,960.63
2023-01-09,963.03
2023-01-10,948.49
2023-01-12,950.59
2023-01-16,957.18
2023-01-17,972.65
2023-01-18,973.55
2023-01-20,985.76
2023-01-24,981.09
2023-01-25,973.07
2023-01-26,982.93
2023-01-30,988.06
2023-01-31,977.21
2023-02-01,980.47
2023-02-03,986.07
2023-02-06,983.58
2023-02-08,996.29
2023-02-09,992.16
2023-02-13,990.69
2023-02-14,996.49
2023-02-16,988.18
2023-02-17,988.01
2023-02-20,989.4
2023-02-22,975.56
2023-02-24,984.09
2023-02-27,986.47
2023-02-28,981.43
2023-03-02,985.29
2023-03-03,976.54
2023-03-06,975.33
2023-03-07,971.79
2023-03-08,975.76
2023-03-10,975.88
2023-03-13,980.28
2023-03-14,957.47
2023-03-16,952.56
2023-03-20,964.75
2023-03-21,979.68
2023-03-24,996.73
2023-03-27,988.96
2023-03-29,1010.99
2023-03-30,1005.66
2023-04-03,1010.58
2023-04-04,1011.57
2023-04-06,1012.42
2023-04-10,1012.97
2023-04-12,1024.03
2023-04-13,1026.98
2023-04-17,1025.93
2023-04-18,1032.87
2023-04-26,1047.25
2023-04-28,1046.11
2023-05-02,1040.49
2023-05-04,1030.96
2023-05-08,1022.06
2023-05-09,1024.12
2023-05-10,1027.77
2023-05-12,1011.68
2023-05-15,1014.11
2023-05-17,1010.12
2023-05-19,1022.96
2023-05-22,1030.05
2023-05-23,1031.1
2023-05-24,1036.1
2023-05-26,1035.6
2023-05-29,1038.0
2023-05-31,1024.06
2023-06-05,1031.67
2023-06-06,1033.96
2023-06-08,1039.14
2023-06-09,1039.27
2023-06-12,1043.58
2023-06-14,1043.38
2023-06-16,1046.73
2023-06-19,1044.45
2023-06-20,1042.94
2023-06-22,1038.16
2023-06-23,1036.66
2023-06-26,1042.75
2023-06-27,1044.43
2023-07-03,1051.7
2023-07-04,1047.51
2023-07-06,1054.02
2023-07-10,1047.35
2023-07-11,1054.68
2023-07-12,1056.12
2023-07-14,1059.27
2023-07-17,1056.61
2023-07-20,1057.61
2023-07-24,1060.92
2023-07-25,1060.99
2023-07-27,1056.87
2023-07-28,1059.38
2023-07-31,1064.2
2023-08-02,1059.17
2023-08-03,1066.32
2023-08-07,1070.37
2023-08-08,1066.84
2023-08-10,1076.25
2023-08-11,1072.93
2023-08-14,1076.57
2023-08-16,1068.82
2023-08-18,1060.46
2023-08-21,1056.5
2023-08-22,1069.35
2023-08-24,1063.81
2023-08-28,1065.72
2023-08-29,1068.16
2023-08-30,1070.39
2023-09-01,1071.49
2023-09-04,1077.05
2023-09-06,1075.71
2023-09-07,1061.83
2023-09-11,1060.45
2023-09-12,1056.57
2023-09-13,1057.69
2023-09-15,1060.78
2023-09-18,1055.16
2023-09-20,1072.59
2023-09-21,1068.62
2023-09-25,1066.97
2023-09-26,1054.97
2023-09-29,1057.38
2023-10-02,1062.33
2023-10-04,1054.37
2023-10-06,1050.98
2023-10-09,1046.89
2023-10-10,1050.17
2023-10-12,1054.85
2023-10-13,1054.33
2023-10-16,1048.44
2023-10-17,1045.92
2023-10-18,1039.28
2023-10-20,1023.19
2023-10-23,1004.27
2023-10-24,1017.42
2023-10-26,998.75
2023-10-30,998.57
2023-10-31,998.11
2023-11-01,982.83
2023-11-03,1008.61
2023-11-06,1023.44
2023-11-08,1006.46
2023-11-09,1007.14
2023-11-13,996.58
2023-11-14,997.37
2023-11-16,1014.58
2023-11-17,1011.76
2023-11-20,1011.04
2023-11-22,1006.68
2023-11-23,1013.46
2023-11-27,1015.15
2023-11-28,1017.99
2023-11-30,1017.77
2023-12-01,1024.72
2023-12-04,1032.11
2023-12-06,1026.51
2023-12-08,1023.45
2023-12-11,1019.45
2023-12-12,1019.21
2023-12-14,1037.44
2023-12-18,1031.45
2023-12-19,1038.76
2023-12-20,1039.15
2023-12-22,1042.8
2023-12-27,1043.57
2023-12-28,1054.15
2024-01-02,1061.91
2024-01-03,1052.45
2024-01-05,1070.71
2024-01-08,1062.6
2024-01-10,1062.58
2024-01-11,1064.07
2024-01-15,1073.5
2024-01-16,1073.59
2024-01-18,1066.07
2024-01-19,1064.53
2024-01-22,1059.75
2024-01-24,1045.26
2024-01-26,1031.67
2024-01-29,1045.11
2024-01-30,1052.78
2024-01-31,1055.03
2024-02-01,1056.51
2024-02-02,1066.58
2024-02-05,1060.89
