tanggal,data
2014-10-07,1016.02
2014-10-15,1007.6
2014-10-23,1040.14
2014-10-30,1026.64
2014-11-07,1024.21
2014-11-17,1043.74
2014-11-24,1063.6
2014-12-01,1078.64
2014-12-08,1073.27
2014-12-16,1046.48
2014-12-23,1089.26
2015-01-02,1106.12
2015-01-08,1121.7
2015-01-16,1101.85
2015-01-23,1139.24
2015-02-02,1128.55
2015-02-09,1136.42
2015-02-16,1114.86
2015-02-23,1136.13
2015-03-03,1141.41
2015-03-11,1117.49
2015-03-18,1121.66
2015-03-26,1085.57
2015-04-06,1112.07
2015-04-10,1128.61
2015-04-20,1098.24
2015-04-27,1052.79
2015-05-04,1040.97
2015-05-11,1049.82
2015-05-19,1069.31
2015-05-27,1054.37
2015-06-03,1025.28
2015-06-11,973.37
2015-06-19,980.51
2015-06-29,961.95
2015-07-06,974.2
2015-07-13,972.45
2015-07-22,972.92
2015-07-27,942.98
2015-08-04,935.95
2015-08-12,878.27
2015-08-20,870.71
2015-08-27,843.99
2015-09-04,854.18
2015-09-14,842.66
2015-09-21,833.53
2015-09-28,785.28
2015-10-05,788.08
2015-10-13,799.28
2015-10-20,808.96
2015-10-28,826.24
2015-11-05,803.61
2015-11-13,777.77
2015-11-20,781.86
2015-11-30,752.68
2015-12-07,761.06
2015-12-14,725.95
2015-12-21,733.33
2015-12-29,739.7
2016-01-06,742.35
2016-01-13,733.27
2016-01-21,734.19
2016-01-29,759.83
2016-02-05,781.32
2016-02-15,791.39
2016-02-22,785.97
2016-02-29,785.74
2016-03-07,815.72
2016-03-15,822.01
2016-03-23,828.17
2016-03-30,825.36
2016-04-07,839.5
2016-04-15,834.71
2016-04-25,857.25
2016-05-02,842.48
2016-05-09,833.61
2016-05-16,829.53
2016-05-24,821.25
2016-05-31,833.96
2016-06-08,850.53
2016-06-16,837.61
2016-06-23,846.44
2016-07-01,870.25
2016-07-12,879.62
2016-07-18,908.68
2016-07-25,901.5
2016-08-01,925.12
2016-08-09,950.35
2016-08-16,942.63
2016-08-24,949.14
2016-09-01,913.52
2016-09-09,902.11
2016-09-16,893.3
2016-09-26,900.55
2016-10-03,925.77
2016-10-10,927.15
2016-10-17,945.91
2016-10-25,970.7
2016-11-02,989.96
2016-11-09,988.84
2016-11-17,956.35
2016-11-25,957.67
2016-12-02,982.82
2016-12-13,990.54
2016-12-19,981.4
2016-12-27,967.72
2017-01-03,987.48
2017-01-10,1001.62
2017-01-18,1032.42
2017-01-26,1057.65
2017-02-02,1077.22
2017-02-10,1088.91
2017-02-20,1079.63
2017-02-27,1085.73
2017-03-06,1094.67
2017-03-13,1105.05
2017-03-21,1139.09
2017-03-29,1171.15
2017-04-05,1199.27
2017-04-13,1189.65
2017-04-20,1180.15
2017-04-28,1190.05
2017-05-08,1168.09
2017-05-15,1162.62
2017-05-22,1175.25
2017-05-29,1162.52
2017-06-06,1157.4
2017-06-13,1150.39
2017-06-21,1171.3
2017-07-04,1168.96
2017-07-07,1170.81
2017-07-14,1198.31
2017-07-24,1191.47
2017-07-31,1188.82
2017-08-07,1168.86
2017-08-14,1169.2
2017-08-22,1194.02
2017-08-30,1184.45
2017-09-06,1187.67
2017-09-14,1187.45
2017-09-22,1193.69
2017-10-02,1193.7
2017-10-09,1191.78
2017-10-16,1200.35
2017-10-23,1197.52
2017-10-30,1215.91
2017-11-07,1221.24
2017-11-15,1216.1
2017-11-23,1216.58
2017-11-30,1207.56
2017-12-08,1198.04
2017-12-18,1204.61
2017-12-27,1213.57
2018-01-02,1230.49
2018-01-08,1258.88
2018-01-16,1278.26
2018-01-23,1308.17
2018-01-31,1340.46
2018-02-08,1348.42
2018-02-15,1369.22
2018-02-23,1392.61
2018-03-05,1399.94
2018-03-12,1415.0
2018-03-19,1394.55
2018-03-26,1377.11
2018-04-03,1383.38
2018-04-10,1395.47
2018-04-18,1411.51
2018-04-26,1413.1
2018-05-04,1418.88
2018-05-11,1453.45
2018-05-21,1430.69
2018-05-28,1472.38
2018-06-04,1469.35
2018-06-20,1471.97
2018-06-27,1479.38
2018-07-04,1429.24
2018-07-12,1462.77
2018-07-20,1470.63
2018-07-30,1490.87
2018-08-06,1493.98
2018-08-13,1437.16
2018-08-20,1455.58
2018-08-27,1459.01
2018-09-04,1450.42
2018-09-12,1450.88
2018-09-20,1479.76
2018-09-27,1464.6
2018-10-05,1439.86
2018-10-15,1429.74
2018-10-22,1432.03
2018-10-29,1418.79
2018-11-05,1426.77
2018-11-13,1431.25
2018-11-21,1414.55
2018-11-28,1395.43
2018-12-06,1413.41
2018-12-13,1426.09
2018-12-21,1431.05
2019-01-02,1477.84
2019-01-07,1483.07
2019-01-14,1477.96
2019-01-21,1473.9
2019-01-29,1499.94
2019-02-06,1519.16
2019-02-13,1517.57
2019-02-21,1512.67
2019-03-01,1510.21
2019-03-08,1488.17
2019-03-18,1517.8
2019-03-25,1526.68
2019-04-01,1524.86
2019-04-08,1514.48
2019-04-16,1518.48
2019-04-24,1528.63
2019-05-02,1530.59
2019-05-09,1527.25
2019-05-17,1503.23
2019-05-27,1549.74
2019-06-10,1569.48
2019-06-17,1554.99
2019-06-24,1574.15
2019-07-02,1608.51
2019-07-10,1617.05
2019-07-18,1638.23
2019-07-25,1636.76
2019-08-02,1634.94
2019-08-12,1688.25
2019-08-19,1685.86
2019-08-26,1669.55
2019-09-02,1698.47
2019-09-10,1712.41
2019-09-17,1688.86
2019-09-25,1659.58
2019-10-03,1624.77
2019-10-11,1622.57
2019-10-18,1640.35
2019-10-28,1638.03
2019-11-04,1591.4
2019-11-11,1554.43
2019-11-18,1540.73
2019-11-26,1554.79
2019-12-04,1553.09
2019-12-11,1565.04
2019-12-19,1562.64
2019-12-27,1568.53
2020-01-03,1601.12
2020-01-13,1595.55
2020-01-20,1574.62
2020-01-27,1556.73
2020-02-03,1541.97
2020-02-05,1537.43
2020-02-10,1527.83
2020-02-11,1529.93
2020-02-13,1520.18
2020-02-17,1522.08
2020-02-19,1544.49
2020-02-20,1542.86
2020-02-24,1521.38
2020-02-26,1506.59
2020-02-28,1454.29
2020-03-03,1474.73
2020-03-05,1494.38
2020-03-06,1483.55
2020-03-10,1462.64
2020-03-13,1393.14
2020-03-16,1355.43
2020-03-18,1288.91
2020-03-23,1221.11
2020-03-26,1271.58
2020-03-30,1304.84
2020-04-02,1311.4
2020-04-06,1334.02
2020-04-09,1303.73
2020-04-13,1298.89
2020-04-17,1295.23
2020-04-20,1276.27
2020-04-24,1259.34
2020-04-28,1257.54
2020-05-04,1256.55
2020-05-05,1264.63
2020-05-06,1250.83
2020-05-11,1237.4
2020-05-13,1222.99
2020-05-14,1213.76
2020-05-18,1207.82
2020-05-20,1215.73
2020-05-26,1217.55
2020-05-28,1228.07
2020-05-29,1227.87
2020-06-02,1239.44
2020-06-04,1246.33
2020-06-08,1285.58
2020-06-12,1254.02
2020-06-15,1247.67
2020-06-19,1278.05
2020-06-22,1265.94
2020-06-23,1258.03
2020-06-29,1249.4
2020-06-30,1252.65
2020-07-06,1269.29
2020-07-07,1293.15
2020-07-08,1291.26
2020-07-13,1293.24
2020-07-14,1283.06
2020-07-15,1278.73
2020-07-20,1268.64
2020-07-22,1258.31
2020-07-23,1261.28
2020-07-27,1260.69
2020-07-30,1270.0
2020-08-03,1236.54
2020-08-07,1275.69
2020-08-10,1276.84
2020-08-14,1267.95
2020-08-18,1274.86
2020-08-24,1275.8
2020-08-25,1284.07
2020-08-31,1262.73
2020-09-02,1293.44
2020-09-07,1280.64
2020-09-09,1255.13
2020-09-14,1263.15
2020-09-17,1235.43
2020-09-21,1225.07
2020-09-22,1218.18
2020-09-24,1195.83
2020-09-28,1224.49
2020-09-30,1237.06
2020-10-02,1245.61
2020-10-05,1266.78
2020-10-07,1267.77
2020-10-09,1271.73
2020-10-13,1315.35
2020-10-15,1327.29
2020-10-19,1353.53
2020-10-20,1342.11
2020-10-23,1360.46
2020-10-26,1355.32
2020-11-02,1353.41
2020-11-04,1350.4
2020-11-09,1417.51
2020-11-12,1443.34
2020-11-16,1454.15
2020-11-19,1461.84
2020-11-23,1475.45
2020-11-27,1506.56
2020-11-30,1492.3
2020-12-01,1528.81
2020-12-04,1556.9
2020-12-08,1584.13
2020-12-14,1628.11
2020-12-15,1620.32
2020-12-16,1650.16
2020-12-21,1715.65
2020-12-23,1667.9
2020-12-28,1699.29
2020-12-30,1660.43
2021-01-04,1732.5
2021-01-07,1738.73
2021-01-08,1751.83
2021-01-11,1779.2
2021-01-14,1753.57
2021-01-18,1745.13
2021-01-22,1719.44
2021-01-25,1694.79
2021-01-26,1658.67
2021-01-29,1617.16
2021-02-01,1686.28
2021-02-02,1664.78
2021-02-08,1712.16
2021-02-10,1718.12
2021-02-15,1782.01
2021-02-16,1826.66
2021-02-17,1784.92
2021-02-22,1750.97
2021-02-23,1752.83
2021-02-24,1746.06
2021-03-01,1742.84
2021-03-03,1752.97
2021-03-04,1737.16
2021-03-08,1720.51
2021-03-12,1745.11
2021-03-15,1753.47
2021-03-18,1726.62
2021-03-19,1729.54
2021-03-23,1730.99
2021-03-26,1713.22
2021-03-30,1661.05
2021-04-05,1650.13
2021-04-07,1664.33
2021-04-12,1665.22
2021-04-14,1665.09
2021-04-19,1660.45
2021-04-22,1676.29
2021-04-26,1662.66
2021-04-29,1671.05
2021-05-03,1679.73
2021-05-04,1681.18
2021-05-06,1687.12
2021-05-10,1699.94
2021-05-11,1673.4
2021-05-17,1653.4
2021-05-18,1665.53
2021-05-19,1655.83
2021-05-21,1656.36
2021-05-25,1656.74
2021-05-27,1683.08
2021-05-31,1686.56
2021-06-02,1694.78
2021-06-04,1696.44
2021-06-07,1699.51
2021-06-09,1710.98
2021-06-11,1718.23
2021-06-14,1688.07
2021-06-17,1658.51
2021-06-21,1619.78
2021-06-24,1660.85
2021-06-28,1637.63
2021-07-02,1636.87
2021-07-05,1631.64
2021-07-09,1603.79
2021-07-12,1607.34
2021-07-13,1604.93
2021-07-19,1611.9
2021-07-21,1615.21
2021-07-26,1640.46
2021-07-28,1622.6
2021-08-02,1639.19
2021-08-04,1646.52
2021-08-09,1634.42
2021-08-12,1650.84
2021-08-16,1643.03
2021-08-19,1606.8
2021-08-20,1608.02
2021-08-23,1631.42
2021-08-27,1593.26
2021-08-30,1619.65
2021-09-03,1603.32
2021-09-06,1610.09
2021-09-07,1610.63
2021-09-13,1622.32
2021-09-14,1613.8
2021-09-20,1579.26
2021-09-22,1576.34
2021-09-27,1584.41
2021-09-29,1603.32
2021-10-04,1666.94
2021-10-05,1678.42
2021-10-07,1683.69
2021-10-11,1705.14
2021-10-13,1689.46
2021-10-14,1703.01
2021-10-18,1713.51
2021-10-21,1710.65
2021-10-22,1703.8
2021-10-25,1699.86
2021-10-28,1664.32
2021-10-29,1671.71
2021-11-02,1671.27
2021-11-05,1677.23
2021-11-08,1680.07
2021-11-09,1676.09
2021-11-15,1687.31
2021-11-17,1695.43
2021-11-22,1790.89
2021-11-24,1787.92
2021-11-29,1748.98
2021-12-02,1719.81
2021-12-06,1759.59
2021-12-09,1785.7
2021-12-13,1794.67
2021-12-14,1794.42
2021-12-17,1812.7
2021-12-20,1787.09
2021-12-21,1775.57
2021-12-24,1765.84
2021-12-28,1755.06
2021-12-29,1770.64
2022-01-03,1784.24
2022-01-04,1778.9
2022-01-06,1757.42
2022-01-10,1783.13
2022-01-12,1751.27
2022-01-13,1747.26
2022-01-17,1748.41
2022-01-19,1749.19
2022-01-21,1770.04
2022-01-24,1774.76
2022-01-27,1769.22
2022-01-31,1814.68
2022-02-02,1816.92
2022-02-03,1816.87
2022-02-07,1821.04
2022-02-08,1815.21
2022-02-10,1836.23
2022-02-11,1852.17
2022-02-14,1819.98
2022-02-15,1845.07
2022-02-17,1821.76
2022-02-18,1818.71
2022-02-21,1814.2
2022-02-22,1787.92
2022-02-24,1791.57
2022-03-01,1781.63
2022-03-02,1789.29
2022-03-07,1812.28
2022-03-08,1781.38
2022-03-09,1784.18
2022-03-11,1784.82
2022-03-14,1769.69
2022-03-16,1780.85
2022-03-18,1787.77
2022-03-21,1793.58
2022-03-23,1811.79
2022-03-24,1819.76
2022-03-25,1814.61
2022-03-28,1823.3
2022-03-29,1814.04
2022-03-31,1785.71
2022-04-01,1785.16
2022-04-04,1803.4
2022-04-05,1806.23
2022-04-07,1816.36
2022-04-08,1832.64
2022-04-11,1860.45
2022-04-12,1867.31
2022-04-14,1865.4
2022-04-18,1866.28
2022-04-19,1845.07
2022-04-21,1878.93
2022-04-25,1862.53
2022-04-27,1863.47
2022-05-09,1884.28
2022-05-11,1883.75
2022-05-12,1837.94
2022-05-13,1843.48
2022-05-17,1854.5
2022-05-18,1866.58
2022-05-19,1870.07
2022-05-20,1902.15
2022-05-23,1887.56
2022-05-24,1906.13
2022-05-25,1914.04
2022-05-27,1924.71
2022-05-30,1944.47
2022-05-31,1952.66
2022-06-02,1929.75
2022-06-03,1934.28
2022-06-06,1939.21
2022-06-07,1933.64
2022-06-09,1936.7
2022-06-10,1903.86
2022-06-13,1844.45
2022-06-14,1822.57
2022-06-16,1822.0
2022-06-17,1832.12
2022-06-20,1846.23
2022-06-22,1845.23
2022-06-23,1833.14
2022-06-27,1843.29
2022-06-29,1830.71
2022-07-04,1771.24
2022-07-06,1792.26
2022-07-07,1803.14
2022-07-08,1812.49
2022-07-11,1807.43
2022-07-13,1827.95
2022-07-14,1823.9
2022-07-15,1801.74
2022-07-18,1800.61
2022-07-20,1839.53
2022-07-22,1857.17
2022-07-25,1876.12
2022-07-26,1903.05
2022-07-29,1955.86
2022-08-01,1967.99
2022-08-02,1961.41
2022-08-04,1943.38
2022-08-05,1951.86
2022-08-08,1967.05
2022-08-09,2000.93
2022-08-10,1999.83
2022-08-11,2014.08
2022-08-15,2013.74
2022-08-16,1996.62
2022-08-18,2008.73
2022-08-22,1994.91
2022-08-24,2012.13
2022-08-25,2043.51
2022-08-29,2046.13
2022-08-31,2027.99
2022-09-01,2030.31
2022-09-02,2051.87
2022-09-05,2076.97
2022-09-07,2064.43
2022-09-08,2061.01
2022-09-09,2046.32
2022-09-12,2064.38
2022-09-14,2046.07
2022-09-16,2051.38
2022-09-19,2042.55
2022-09-20,2022.54
2022-09-23,1999.16
2022-09-26,2000.27
2022-09-27,1983.3
2022-09-29,1949.98
2022-10-03,1976.6
2022-10-04,1992.09
2022-10-06,2008.88
2022-10-10,1997.0
2022-10-11,1964.34
2022-10-12,1966.92
2022-10-13,1967.46
2022-10-17,1953.04
2022-10-18,1953.27
2022-10-19,1965.49
2022-10-20,2019.54
2022-10-24,2041.83
2022-10-26,2038.64
2022-10-27,2041.21
2022-10-31,2014.96
2022-11-02,1991.73
2022-11-03,1989.73
2022-11-04,1975.54
2022-11-07,1960.2
2022-11-09,1967.35
2022-11-10,1956.88
2022-11-11,1982.71
2022-11-14,1959.36
2022-11-16,1935.86
2022-11-18,1939.96
2022-11-21,1940.56
2022-11-22,1946.17
2022-11-25,1950.64
2022-11-28,1933.72
2022-11-29,1924.25
2022-12-01,1927.74
2022-12-05,1895.76
2022-12-06,1864.17
2022-12-07,1852.58
2022-12-08,1875.4
2022-12-12,1869.91
2022-12-13,1870.77
2022-12-14,1864.38
2022-12-15,1861.77
2022-12-19,1848.36
2022-12-22,1846.86
2022-12-26,1840.66
2022-12-27,1850.6
2022-12-28,1832.52
2022-12-29,1835.74
2023-01-02,1836.69
2023-01-03,1833.59
2023-01-04,1815.51
2023-01-06,1793.2
2023-01-09,1776.9
2023-01-11,1765.62
2023-01-13,1768.89
2023-01-16,1783.14
2023-01-17,1790.32
2023-01-18,1787.77
2023-01-19,1805.37
2023-01-20,1821.13
2023-01-24,1818.67
2023-01-27,1838.9
2023-01-30,1840.6
2023-01-31,1838.01
2023-02-01,1852.26
2023-02-02,1850.06
2023-02-03,1863.9
2023-02-06,1871.85
2023-02-07,1876.82
2023-02-08,1869.72
2023-02-09,1861.19
2023-02-13,1833.04
2023-02-16,1841.53
2023-02-20,1837.63
2023-02-22,1830.52
2023-02-23,1839.85
2023-02-27,1829.93
2023-03-01,1831.66
2023-03-03,1809.51
2023-03-06,1800.74
2023-03-07,1782.27
2023-03-08,1774.78
2023-03-10,1789.51
2023-03-13,1778.7
2023-03-14,1741.91
2023-03-15,1747.88
2023-03-17,1739.44
2023-03-20,1719.95
2023-03-21,1731.63
2023-03-24,1746.96
2023-03-27,1752.81
2023-03-28,1771.31
2023-03-29,1789.19
2023-03-30,1780.83
2023-04-03,1797.5
2023-04-04,1790.97
2023-04-05,1795.34
2023-04-06,1811.83
2023-04-10,1797.98
2023-04-11,1796.79
2023-04-13,1785.75
