tanggal,data
2014-10-27,991.91
2014-11-03,993.21
2014-11-10,994.28
2014-11-18,995.95
2014-11-26,997.59
2014-12-04,999.17
2014-12-11,1000.63
2014-12-19,1002.3
2014-12-29,1004.23
2015-01-05,1005.63
2015-01-12,1007.11
2015-01-19,1008.59
2015-01-26,1010.04
2015-02-03,1011.66
2015-02-11,1005.44
2015-02-18,1006.92
2015-02-26,1008.58
2015-03-06,1016.98
2015-03-13,1018.44
2015-03-23,1020.53
2015-03-30,1021.99
2015-04-06,1016.92
2015-04-13,1018.07
2015-04-21,1011.83
2015-04-28,1013.29
2015-05-06,1014.49
2015-05-15,1016.07
2015-05-21,1017.3
2015-05-29,1018.94
2015-06-08,1020.69
2015-06-15,1048.12
2015-06-22,1049.21
2015-06-29,1050.31
2015-07-07,1051.48
2015-07-14,1054.83
2015-07-22,1056.09
2015-07-30,1057.67
2015-08-06,1059.11
2015-08-14,1060.71
2015-08-24,1062.19
2015-08-31,1063.61
2015-09-07,1060.05
2015-09-14,1058.55
2015-09-21,1068.85
2015-09-29,1070.96
2015-10-07,1072.92
2015-10-15,1073.56
2015-10-22,1075.4
2015-10-30,1077.51
2015-11-06,1079.04
2015-11-16,1079.43
2015-11-23,1081.12
2015-11-30,1083.47
2015-12-07,1085.06
2015-12-15,1086.43
2015-12-23,1087.9
2015-12-30,1089.37
2016-01-07,1090.85
2016-01-15,1091.74
2016-01-22,1093.26
2016-02-01,1094.59
2016-02-09,1096.12
2016-02-15,1097.66
2016-02-22,1099.43
2016-03-01,1101.59
2016-03-08,1104.0
2016-03-16,1106.11
2016-03-24,1108.2
2016-03-31,1109.97
2016-04-08,1110.67
2016-04-18,1113.95
2016-04-25,1116.01
2016-05-02,1117.14
2016-05-09,1118.61
2016-05-16,1120.57
2016-05-24,1122.79
2016-06-01,1124.71
2016-06-08,1126.47
2016-06-16,1128.72
2016-06-24,1130.93
2016-07-11,1135.37
2016-07-18,1137.39
2016-07-25,1139.84
2016-08-01,1142.26
2016-08-09,1143.9
2016-08-18,1144.55
2016-08-24,1145.75
2016-09-01,1147.68
2016-09-09,1149.23
2016-09-16,1150.58
2016-09-26,1153.1
2016-10-03,1155.19
2016-10-10,1158.24
2016-10-17,1159.74
2016-10-25,1161.57
2016-11-01,1162.67
2016-11-09,1164.58
2016-11-17,1166.9
2016-11-24,1168.54
2016-12-02,1170.92
2016-12-13,1172.85
2016-12-19,1174.09
2016-12-27,1175.36
2017-01-03,1176.84
2017-01-10,1178.6
2017-01-17,1180.38
2017-01-25,1182.5
2017-02-02,1184.24
2017-02-09,1185.63
2017-02-17,1187.96
2017-02-27,1189.01
2017-03-06,1191.23
2017-03-13,1193.51
2017-03-20,1195.13
2017-03-27,1197.0
2017-04-04,1198.87
2017-04-12,1200.89
2017-04-20,1203.01
2017-04-27,1204.88
2017-05-05,1207.16
2017-05-12,1209.26
2017-05-22,1212.13
2017-05-29,1214.22
2017-06-05,1216.31
2017-06-12,1217.85
2017-06-20,1219.9
2017-07-04,1223.4
2017-07-05,1223.63
2017-07-13,1225.34
2017-07-21,1229.17
2017-07-28,1231.27
2017-08-07,1233.62
2017-08-14,1235.52
2017-08-21,1238.32
2017-08-28,1240.23
2017-09-05,1242.26
2017-09-12,1244.05
2017-09-20,1246.1
2017-09-28,1247.58
2017-10-05,1249.36
2017-10-13,1251.12
2017-10-23,1253.42
2017-10-30,1255.5
2017-11-06,1257.05
2017-11-13,1258.49
2017-11-20,1259.89
2017-11-28,1261.51
2017-12-06,1263.34
2017-12-13,1265.58
2017-12-21,1266.92
2017-12-29,1268.68
2018-01-05,1270.01
2018-01-15,1271.67
2018-01-22,1273.02
2018-01-29,1274.78
2018-02-05,1276.81
2018-02-13,1278.43
2018-02-21,1280.79
2018-02-28,1282.13
2018-03-08,1283.57
2018-03-16,1284.85
2018-03-23,1286.15
2018-04-02,1288.0
2018-04-09,1289.25
2018-04-16,1290.47
2018-04-23,1291.48
2018-05-02,1292.7
2018-05-08,1293.21
2018-05-16,1294.06
2018-05-24,1295.25
2018-05-31,1296.45
2018-06-08,1297.9
2018-06-20,1299.59
2018-06-25,1300.56
2018-07-02,1302.38
2018-07-09,1303.91
2018-07-16,1305.1
2018-07-24,1306.34
2018-08-01,1307.83
2018-08-09,1309.41
2018-08-16,1310.58
2018-08-24,1311.76
2018-09-03,1313.39
2018-09-10,1314.98
2018-09-17,1316.24
2018-09-24,1317.98
2018-10-01,1319.46
2018-10-09,1321.17
2018-10-17,1323.27
2018-10-24,1324.91
2018-11-01,1326.83
2018-11-09,1328.8
2018-11-16,1330.42
2018-11-26,1332.91
2018-12-03,1334.51
2018-12-10,1336.27
2018-12-17,1338.0
2018-12-26,1340.23
2019-01-02,1342.43
2019-01-09,1344.56
2019-01-17,1346.62
2019-01-24,1348.24
2019-02-01,1350.22
2019-02-11,1352.73
2019-02-18,1354.5
2019-02-25,1356.29
2019-03-04,1358.5
2019-03-12,1360.5
2019-03-19,1362.33
2019-03-27,1364.42
2019-04-04,1366.47
2019-04-11,1368.31
2019-04-22,1371.16
2019-04-29,1372.93
2019-05-06,1374.76
2019-05-13,1376.59
2019-05-20,1378.39
2019-05-27,1380.77
2019-06-10,1384.23
2019-06-12,1384.77
2019-06-19,1386.61
2019-06-27,1388.71
2019-07-05,1390.82
2019-07-12,1392.65
2019-07-22,1395.25
2019-07-29,1397.11
2019-08-05,1398.95
2019-08-12,1400.83
2019-08-20,1402.93
2019-08-28,1405.09
2019-09-04,1406.82
2019-09-12,1409.25
2019-09-20,1411.77
2019-09-27,1413.83
2019-10-07,1416.46
2019-10-14,1418.34
2019-10-21,1420.16
2019-10-28,1421.99
2019-11-05,1424.19
2019-11-12,1426.15
2019-11-20,1428.34
2019-11-28,1430.52
2019-12-05,1432.46
2019-12-13,1434.62
2019-12-23,1437.34
2019-12-30,1439.42
2020-01-06,1441.6
2020-01-13,1443.5
2020-01-20,1445.47
2020-01-28,1447.75
2020-02-03,1449.1
2020-02-05,1449.74
2020-02-10,1451.04
2020-02-12,1451.68
2020-02-13,1452.0
2020-02-17,1453.01
2020-02-20,1454.01
2020-02-24,1455.03
2020-02-28,1456.3
2020-03-03,1457.58
2020-03-06,1458.51
2020-03-09,1459.22
2020-03-10,1459.54
2020-03-16,1461.16
2020-03-18,1461.75
2020-03-23,1462.69
2020-03-26,1463.78
2020-03-30,1464.8
2020-04-02,1465.67
2020-04-06,1466.64
2020-04-09,1467.42
2020-04-13,1468.48
2020-04-14,1468.74
2020-04-17,1469.65
2020-04-20,1470.31
2020-04-22,1470.96
2020-04-24,1471.51
2020-04-28,1472.42
2020-04-29,1472.67
2020-05-04,1473.5
2020-05-05,1473.8
2020-05-08,1474.55
2020-05-11,1475.37
2020-05-13,1476.1
2020-05-15,1476.72
2020-05-18,1477.45
2020-05-20,1477.96
2020-05-26,1479.53
2020-05-28,1480.09
2020-06-02,1481.24
2020-06-04,1481.9
2020-06-08,1482.96
2020-06-12,1484.02
2020-06-15,1484.72
2020-06-19,1485.74
2020-06-22,1486.55
2020-06-23,1486.81
2020-06-29,1488.44
2020-06-30,1488.7
2020-07-06,1490.29
2020-07-07,1490.61
2020-07-08,1490.91
2020-07-13,1492.17
2020-07-15,1492.73
2020-07-20,1493.92
2020-07-23,1494.73
2020-07-27,1495.84
2020-07-30,1496.66
2020-08-03,1497.59
2020-08-07,1498.72
2020-08-10,1499.39
2020-08-14,1500.47
2020-08-18,1501.36
2020-08-24,1502.84
2020-08-25,1503.12
2020-08-31,1504.62
2020-09-02,1505.15
2020-09-07,1506.38
2020-09-09,1506.91
2020-09-14,1508.14
2020-09-15,1508.39
2020-09-17,1508.87
2020-09-21,1509.88
2020-09-22,1510.14
2020-09-24,1510.65
2020-09-28,1511.63
2020-09-30,1512.21
2020-10-02,1512.71
2020-10-05,1513.39
2020-10-08,1514.18
2020-10-09,1514.44
2020-10-13,1515.45
2020-10-15,1515.98
2020-10-19,1517.05
2020-10-20,1517.3
2020-10-23,1518.15
2020-10-26,1518.94
2020-11-02,1520.67
2020-11-04,1521.21
2020-11-09,1522.48
2020-11-12,1523.28
2020-11-16,1524.54
2020-11-19,1525.32
2020-11-23,1526.34
2020-11-27,1527.37
2020-11-30,1528.17
2020-12-01,1528.42
2020-12-04,1529.18
2020-12-08,1530.12
2020-12-14,1531.47
2020-12-15,1531.56
2020-12-16,1531.67
2020-12-21,1532.76
2020-12-23,1532.96
2020-12-28,1533.51
2020-12-30,1534.19
2021-01-04,1535.04
2021-01-07,1535.74
2021-01-08,1535.98
2021-01-11,1536.69
2021-01-14,1537.35
2021-01-15,1537.51
2021-01-18,1537.91
2021-01-22,1538.33
2021-01-25,1538.76
2021-01-26,1538.93
2021-01-29,1539.63
2021-02-01,1540.22
2021-02-02,1540.48
2021-02-08,1541.8
2021-02-10,1542.35
2021-02-15,1543.62
2021-02-17,1544.18
2021-02-22,1545.51
2021-02-23,1545.74
2021-02-24,1546.04
2021-03-01,1547.27
2021-03-02,1547.55
2021-03-04,1548.01
2021-03-08,1548.99
2021-03-10,1549.32
2021-03-12,1549.83
2021-03-15,1550.56
2021-03-18,1551.34
2021-03-19,1551.61
2021-03-23,1552.58
2021-03-26,1553.44
2021-03-30,1554.38
2021-04-05,1555.43
2021-04-07,1555.93
2021-04-12,1557.17
2021-04-14,1557.65
2021-04-19,1558.84
2021-04-22,1559.53
2021-04-26,1560.38
2021-04-29,1561.07
2021-05-03,1561.91
2021-05-06,1562.59
2021-05-10,1563.5
2021-05-11,1563.74
2021-05-17,1565.04
2021-05-18,1565.24
2021-05-21,1566.34
2021-05-25,1567.36
2021-05-27,1567.85
2021-05-31,1568.56
2021-06-02,1569.14
2021-06-03,1569.41
2021-06-07,1570.27
2021-06-09,1571.1
2021-06-10,1571.34
2021-06-14,1572.23
2021-06-17,1572.96
2021-06-18,1573.19
2021-06-21,1573.54
2021-06-24,1574.26
2021-06-28,1575.06
2021-07-02,1575.99
2021-07-05,1576.6
2021-07-09,1577.5
2021-07-12,1578.03
2021-07-13,1578.19
2021-07-19,1579.45
2021-07-21,1579.88
2021-07-26,1581.04
2021-07-28,1581.61
2021-08-02,1582.43
2021-08-03,1582.68
2021-08-04,1582.93
2021-08-09,1583.82
2021-08-12,1584.38
2021-08-16,1585.24
2021-08-18,1585.62
2021-08-19,1585.86
2021-08-23,1586.75
2021-08-26,1587.52
2021-08-27,1587.74
2021-08-30,1588.38
2021-09-03,1589.26
2021-09-07,1590.07
2021-09-10,1590.69
2021-09-13,1591.27
2021-09-14,1591.5
2021-09-20,1592.82
2021-09-22,1593.23
2021-09-27,1594.3
2021-09-29,1594.74
2021-10-04,1595.78
2021-10-07,1596.47
2021-10-11,1597.3
2021-10-14,1598.01
2021-10-18,1598.89
2021-10-19,1599.12
2021-10-22,1599.83
2021-10-25,1600.45
2021-10-27,1600.92
2021-10-29,1601.4
2021-11-02,1602.16
2021-11-03,1602.39
2021-11-08,1603.48
2021-11-09,1603.72
2021-11-11,1604.19
2021-11-15,1604.72
2021-11-17,1605.35
2021-11-19,1605.85
2021-11-22,1606.48
2021-11-24,1606.96
2021-11-26,1607.44
2021-11-29,1608.1
2021-12-02,1608.78
2021-12-06,1609.65
2021-12-09,1610.36
2021-12-13,1611.23
2021-12-17,1612.18
2021-12-20,1612.77
2021-12-24,1613.8
2021-12-27,1614.43
2021-12-28,1614.7
2022-01-03,1615.88
2022-01-04,1616.14
2022-01-10,1617.46
2022-01-11,1617.69
2022-01-12,1617.93
2022-01-17,1619.02
2022-01-19,1619.5
2022-01-24,1620.6
2022-01-27,1621.32
2022-01-31,1622.03
2022-02-02,1622.51
2022-02-03,1622.76
2022-02-07,1623.59
2022-02-08,1623.82
2022-02-10,1624.29
2022-02-11,1624.53
2022-02-14,1625.1
2022-02-15,1625.36
2022-02-17,1625.86
2022-02-18,1626.14
2022-02-21,1626.68
2022-02-22,1626.89
2022-02-24,1627.41
2022-03-01,1628.9
2022-03-02,1629.15
2022-03-07,1630.2
2022-03-09,1630.7
2022-03-11,1631.17
2022-03-14,1631.75
2022-03-16,1632.21
2022-03-18,1632.67
2022-03-21,1633.21
2022-03-23,1633.62
2022-03-24,1633.84
2022-03-25,1634.09
2022-03-28,1634.51
2022-03-29,1634.63
2022-03-31,1635.02
2022-04-01,1635.27
2022-04-04,1635.75
2022-04-05,1635.97
2022-04-06,1636.06
2022-04-07,1636.27
2022-04-08,1636.49
2022-04-11,1636.65
2022-04-12,1636.91
2022-04-14,1637.27
2022-04-18,1638.26
2022-04-19,1638.41
2022-04-21,1638.89
2022-04-25,1639.41
2022-04-27,1639.84
2022-05-09,1642.22
2022-05-11,1642.66
2022-05-12,1642.88
2022-05-13,1643.08
2022-05-17,1643.89
2022-05-18,1644.12
2022-05-19,1644.32
2022-05-20,1644.73
2022-05-23,1645.51
2022-05-24,1645.71
2022-05-27,1646.4
2022-05-30,1646.99
2022-05-31,1647.17
2022-06-02,1647.59
2022-06-03,1647.71
2022-06-06,1648.33
2022-06-07,1648.57
2022-06-09,1648.97
2022-06-10,1649.14
2022-06-13,1649.76
2022-06-14,1649.96
2022-06-16,1650.36
2022-06-20,1651.18
2022-06-22,1651.57
2022-06-23,1651.73
2022-06-27,1652.39
2022-06-29,1652.83
2022-07-04,1653.82
2022-07-06,1654.22
2022-07-07,1654.42
2022-07-08,1654.58
2022-07-11,1654.88
2022-07-13,1655.26
2022-07-14,1655.37
2022-07-15,1655.55
2022-07-18,1656.06
2022-07-20,1656.4
2022-07-22,1656.71
2022-07-25,1657.31
2022-07-26,1657.5
2022-07-29,1658.2
2022-08-01,1658.62
2022-08-02,1658.82
2022-08-04,1659.26
2022-08-05,1659.49
2022-08-08,1659.93
2022-08-09,1660.15
2022-08-11,1660.62
2022-08-15,1661.27
2022-08-16,1661.5
2022-08-18,1661.93
2022-08-22,1662.59
2022-08-24,1663.03
2022-08-25,1663.25
2022-08-29,1663.89
2022-08-30,1664.0
2022-08-31,1664.23
2022-09-01,1664.45
2022-09-02,1664.68
