tanggal,data
2016-08-22,1067.59
2016-08-29,1068.5
2016-09-02,1063.1
2016-09-08,1067.28
2016-09-15,1065.23
2016-09-21,1068.12
2016-09-27,1086.34
2016-10-04,1095.29
2016-10-10,1089.79
2016-10-17,1079.3
2016-10-24,1079.05
2016-10-31,1074.99
2016-11-04,1064.26
2016-11-10,1063.96
2016-11-17,1031.83
2016-11-23,1026.95
2016-11-29,1033.2
2016-12-06,1044.91
2016-12-13,1065.99
2016-12-19,1047.1
2016-12-27,1042.99
2017-01-03,1038.4
2017-01-06,1053.79
2017-01-13,1047.45
2017-01-19,1047.82
2017-01-25,1051.9
2017-02-01,1053.36
2017-02-07,1056.99
2017-02-13,1065.62
2017-02-20,1056.09
2017-02-27,1060.22
2017-03-06,1059.9
2017-03-13,1058.09
2017-03-17,1064.38
2017-03-23,1068.07
2017-03-29,1074.17
2017-04-05,1074.1
2017-04-11,1066.52
2017-04-17,1072.15
2017-04-25,1075.28
2017-05-02,1071.75
2017-05-08,1072.9
2017-05-15,1076.06
2017-05-19,1086.91
2017-05-26,1093.88
2017-06-02,1095.67
2017-06-07,1089.58
2017-06-13,1092.89
2017-06-20,1098.32
2017-07-03,1101.21
2017-07-10,1088.36
2017-07-17,1087.57
2017-07-21,1084.17
2017-07-28,1100.0
2017-08-03,1093.37
2017-08-09,1097.51
2017-08-16,1099.57
2017-08-22,1099.91
2017-08-28,1105.17
2017-09-04,1095.77
2017-09-11,1111.61
2017-09-18,1093.25
2017-09-22,1091.43
2017-09-29,1075.67
2017-10-05,1077.68
2017-10-11,1074.91
2017-10-18,1090.3
2017-10-24,1104.55
2017-10-30,1100.7
2017-11-06,1104.81
2017-11-13,1102.07
2017-11-20,1103.42
2017-11-27,1102.4
2017-12-04,1096.94
2017-12-07,1087.28
2017-12-14,1096.99
2017-12-20,1104.78
2017-12-27,1012.51
2018-01-02,1104.91
2018-01-08,1128.43
2018-01-15,1136.41
2018-01-22,1142.29
2018-01-29,1160.48
2018-02-02,1140.31
2018-02-08,1142.02
2018-02-15,1149.42
2018-02-21,1149.33
2018-02-27,1142.82
2018-03-06,1134.27
2018-03-12,1130.07
2018-03-19,1110.67
2018-03-26,1101.33
2018-04-02,1111.84
2018-04-06,1116.1
2018-04-13,1118.38
2018-04-19,1119.47
2018-04-25,1109.5
2018-05-02,1091.2
2018-05-08,1061.95
2018-05-14,1069.09
2018-05-21,1068.71
2018-05-28,1097.23
2018-06-04,1101.02
2018-06-20,1093.93
2018-06-21,1083.61
2018-06-27,1071.18
2018-07-04,1055.97
2018-07-10,1080.25
2018-07-16,1073.1
2018-07-23,1083.92
2018-07-30,1086.29
2018-08-06,1081.9
2018-08-13,1055.53
2018-08-20,1047.28
2018-08-23,1042.63
2018-08-30,1043.76
2018-09-05,998.98
2018-09-12,993.97
2018-09-18,995.76
2018-09-24,994.63
2018-10-01,1010.11
2018-10-08,975.36
2018-10-15,955.24
2018-10-19,950.78
2018-10-26,924.79
2018-11-01,917.16
2018-11-07,923.36
2018-11-14,911.64
2018-11-21,899.36
2018-11-26,998.01
2018-12-27,986.22
2018-12-28,986.22
2019-01-03,986.28
2019-01-09,986.21
2019-01-16,986.13
2019-01-22,986.07
2019-01-28,986.0
2019-02-04,986.79
2019-02-11,986.7
2019-02-18,986.63
2019-02-25,986.55
2019-03-01,986.51
2019-03-08,971.37
2019-03-14,972.04
2019-03-20,984.38
2019-03-26,982.46
2019-04-02,987.69
2019-04-08,980.67
2019-04-15,977.75
2019-04-22,978.26
2019-04-29,990.71
2019-05-03,993.67
2019-05-09,991.21
2019-05-16,999.48
2019-05-22,1006.06
2019-05-28,1012.75
2019-06-10,1032.31
