tanggal,data
2019-06-27,1005.84
2019-07-01,1017.17
2019-07-05,1028.07
2019-07-10,1029.66
2019-07-15,1028.21
2019-07-18,1043.5
2019-07-22,1040.51
2019-07-26,1035.65
2019-07-31,1033.07
2019-08-05,1015.64
2019-08-08,1041.82
2019-08-12,1045.83
2019-08-16,1052.66
2019-08-20,1046.65
2019-08-26,1040.09
2019-08-29,1037.33
2019-09-02,1057.22
2019-09-06,1054.92
2019-09-10,1061.25
2019-09-16,1055.45
2019-09-19,1069.48
2019-09-23,1067.64
2019-09-27,1050.82
2019-10-01,1043.41
2019-10-07,1025.75
2019-10-10,1036.44
2019-10-14,1046.73
2019-10-18,1041.13
2019-10-22,1036.79
2019-10-28,1035.72
2019-10-31,1009.97
2019-11-04,1009.22
2019-11-08,998.26
2019-11-12,989.6
2019-11-18,979.56
2019-11-21,968.33
2019-11-25,969.95
2019-11-29,954.85
2019-12-03,964.49
2019-12-09,972.17
2019-12-12,966.59
2019-12-16,970.3
2019-12-20,966.36
2019-12-26,971.75
2019-12-30,968.66
2020-01-02,974.46
2020-01-06,965.67
2020-01-10,957.76
2020-01-14,956.36
2020-01-20,938.39
2020-01-22,932.93
2020-01-27,934.75
2020-01-31,932.51
2020-02-03,927.97
2020-02-04,931.18
2020-02-05,923.58
2020-02-10,929.31
2020-02-12,927.29
2020-02-13,925.55
2020-02-17,923.8
2020-02-20,940.37
2020-02-21,935.26
2020-02-24,925.96
2020-02-25,926.04
2020-02-28,877.08
2020-03-02,878.38
2020-03-03,898.57
2020-03-04,904.21
2020-03-06,897.79
2020-03-09,878.26
2020-03-10,890.44
2020-03-13,846.54
2020-03-16,820.81
2020-03-17,789.81
2020-03-18,767.08
2020-03-23,712.37
2020-03-26,760.13
2020-03-30,808.77
2020-04-02,805.61
2020-04-03,882.58
2020-04-06,868.45
2020-04-07,854.95
2020-04-09,822.81
2020-04-13,817.3
2020-04-15,820.25
2020-04-17,831.14
2020-04-20,828.27
2020-04-24,819.76
2020-04-28,817.59
2020-05-04,809.68
2020-05-05,809.1
2020-05-06,801.35
2020-05-11,785.93
2020-05-13,784.23
2020-05-14,778.39
2020-05-18,788.26
2020-05-19,788.14
2020-05-20,788.51
2020-05-26,781.64
2020-05-27,773.93
2020-05-28,770.97
2020-06-02,780.67
2020-06-04,791.17
2020-06-08,811.44
2020-06-09,794.45
2020-06-12,794.96
2020-06-15,795.5
2020-06-17,804.53
2020-06-19,807.63
2020-06-22,803.82
2020-06-23,805.79
2020-06-25,796.86
2020-06-29,797.57
2020-06-30,796.01
2020-07-06,797.63
2020-07-08,813.16
2020-07-13,816.14
2020-07-15,813.04
2020-07-16,815.46
2020-07-20,813.75
2020-07-23,813.12
2020-07-27,813.51
2020-07-29,821.48
2020-07-30,818.45
2020-08-03,801.05
2020-08-06,814.35
2020-08-07,812.21
2020-08-10,817.22
2020-08-14,810.88
2020-08-18,807.62
2020-08-19,809.85
2020-08-24,803.81
2020-08-25,803.16
2020-08-27,796.57
2020-08-31,804.41
2020-09-02,824.48
2020-09-07,816.59
2020-09-09,808.24
2020-09-14,811.54
2020-09-17,801.62
2020-09-21,803.02
2020-09-24,792.16
2020-09-25,807.23
2020-09-28,804.14
2020-09-30,811.1
2020-10-02,812.58
2020-10-05,818.77
2020-10-08,808.7
2020-10-09,814.2
2020-10-12,816.97
2020-10-13,826.62
2020-10-16,843.32
2020-10-19,852.23
2020-10-20,845.63
2020-10-21,850.42
2020-10-26,850.77
2020-11-02,849.08
2020-11-04,848.95
2020-11-06,860.01
2020-11-09,864.74
2020-11-11,872.13
2020-11-12,876.18
2020-11-16,871.06
2020-11-19,874.0
2020-11-23,876.17
2020-11-27,890.71
2020-12-01,901.59
2020-12-04,925.46
2020-12-07,939.72
2020-12-08,942.35
2020-12-10,947.79
2020-12-14,975.38
2020-12-15,969.8
2020-12-18,974.05
2020-12-21,986.83
2020-12-22,967.71
2020-12-23,975.6
2020-12-28,974.6
2020-12-30,959.19
2021-01-04,987.97
2021-01-07,983.03
2021-01-08,986.89
2021-01-11,1003.69
2021-01-12,997.36
2021-01-14,984.63
2021-01-18,975.7
2021-01-21,1017.31
2021-01-22,1016.7
2021-01-25,1021.51
2021-01-26,1021.03
2021-01-29,1018.26
2021-02-02,1040.47
2021-02-08,1048.88
2021-02-10,1064.54
2021-02-11,1074.53
2021-02-15,1063.0
