tanggal,data
2018-10-05,1000.67
2018-10-10,1001.72
2018-10-15,1002.66
2018-10-22,1003.96
2018-10-24,1004.32
2018-10-29,1005.29
2018-11-05,1006.69
2018-11-07,1007.06
2018-11-12,1008.29
2018-11-19,1009.5
2018-11-22,1010.02
2018-11-26,1010.76
2018-12-03,1012.03
2018-12-06,1012.55
2018-12-11,1013.48
2018-12-17,1014.58
2018-12-20,1015.11
2018-12-26,1015.34
2019-01-02,1016.65
2019-01-03,1016.88
2019-01-08,1017.86
2019-01-14,1019.2
2019-01-17,1019.83
2019-01-22,1020.95
2019-01-28,1022.32
2019-02-01,1023.12
2019-02-06,1024.31
2019-02-11,1025.46
2019-02-15,1026.91
2019-02-20,1028.01
2019-02-25,1029.11
2019-03-01,1030.22
2019-03-06,1031.5
2019-03-11,1032.55
2019-03-15,1033.4
2019-03-20,1034.5
2019-03-25,1035.63
2019-03-29,1036.52
2019-04-04,1037.82
2019-04-08,1038.67
2019-04-15,1040.15
2019-04-18,1040.8
2019-04-22,1041.69
2019-04-29,1043.18
2019-05-02,1043.84
2019-05-06,1044.65
2019-05-13,1046.19
2019-05-16,1046.82
2019-05-20,1047.67
2019-05-27,1049.23
2019-05-31,1050.2
2019-06-10,1052.28
2019-06-13,1052.91
2019-06-18,1053.96
2019-06-24,1055.23
2019-06-27,1055.88
2019-07-02,1056.92
2019-07-08,1058.18
2019-07-11,1058.82
2019-07-16,1059.82
2019-07-22,1061.08
2019-07-26,1061.89
2019-07-30,1062.7
2019-08-05,1063.94
2019-08-09,1064.77
2019-08-14,1065.76
2019-08-19,1066.74
2019-08-23,1067.64
2019-08-28,1068.67
2019-09-02,1069.61
2019-09-06,1070.41
2019-09-11,1071.42
2019-09-16,1072.39
2019-09-20,1073.46
2019-09-25,1074.59
2019-09-30,1075.6
2019-10-07,1077.0
2019-10-09,1078.01
2019-10-14,1079.05
2019-10-21,1080.63
2019-10-23,1081.08
2019-10-28,1082.05
2019-11-04,1083.41
2019-11-07,1084.04
2019-11-11,1084.94
2019-11-18,1086.36
2019-11-21,1086.98
2019-11-26,1088.03
2019-12-02,1089.28
2019-12-05,1089.9
2019-12-10,1090.93
2019-12-16,1092.14
2019-12-19,1092.75
2019-12-26,1094.19
2019-12-30,1095.07
2020-01-02,1095.64
2020-01-07,1096.74
2020-01-13,1098.25
2020-01-17,1099.2
2020-01-21,1100.06
2020-01-27,1101.41
2020-01-31,1102.26
2020-02-03,1102.73
2020-02-05,1103.28
2020-02-10,1104.27
2020-02-13,1104.97
2020-02-14,1105.16
2020-02-17,1105.69
2020-02-19,1106.12
2020-02-20,1106.4
2020-02-24,1107.19
2020-02-28,1108.11
2020-03-03,1108.96
2020-03-04,1109.21
2020-03-06,1109.68
2020-03-09,1110.23
2020-03-10,1110.47
2020-03-13,1111.19
2020-03-16,1111.59
2020-03-18,1112.34
2020-03-23,1112.93
2020-03-26,1113.65
2020-03-30,1114.41
2020-04-01,1114.9
2020-04-02,1115.11
2020-04-06,1115.83
2020-04-09,1116.4
2020-04-13,1117.17
2020-04-15,1117.58
2020-04-17,1118.03
2020-04-20,1118.56
2020-04-24,1119.43
2020-04-27,1119.97
2020-04-28,1120.16
2020-04-30,1120.63
2020-05-04,1121.22
2020-05-05,1121.42
2020-05-11,1122.64
2020-05-13,1123.09
2020-05-14,1123.31
2020-05-18,1124.07
2020-05-19,1124.24
2020-05-20,1124.43
2020-05-26,1125.5
2020-05-28,1125.9
2020-06-02,1126.8
2020-06-04,1127.26
2020-06-08,1128.04
2020-06-11,1128.55
2020-06-12,1128.75
2020-06-15,1129.37
2020-06-16,1129.66
2020-06-19,1130.29
2020-06-22,1130.97
2020-06-23,1131.19
2020-06-25,1131.63
2020-06-29,1132.45
2020-06-30,1132.67
2020-07-06,1133.75
2020-07-08,1134.17
2020-07-10,1134.62
2020-07-13,1135.25
2020-07-14,1135.47
2020-07-15,1135.69
2020-07-20,1136.64
2020-07-23,1137.31
2020-07-24,1137.52
2020-07-27,1138.15
2020-07-29,1138.6
2020-07-30,1138.82
2020-08-03,1139.54
2020-08-07,1140.39
