tanggal,data
2011-05-13,1006.13
2011-05-23,993.78
2011-06-03,1003.45
2011-06-13,994.11
2011-06-23,1011.29
2011-07-04,1056.51
2011-07-13,1073.72
2011-07-25,1112.14
2011-08-03,1142.11
2011-08-15,1114.33
2011-08-23,1078.91
2011-09-05,1069.57
2011-09-13,1069.64
2011-09-23,932.61
2011-10-03,918.27
2011-10-14,1018.31
2011-10-24,1052.21
2011-11-03,1039.24
2011-11-14,1077.82
2011-11-24,1027.73
2011-12-05,1047.18
2011-12-14,1038.91
2011-12-27,1029.07
2012-01-04,1057.36
2012-01-16,1055.54
2012-01-24,1064.68
2012-02-06,1076.9
2012-02-14,1087.93
2012-02-24,1075.8
2012-03-05,1093.3
2012-03-16,1109.99
2012-03-26,1106.77
2012-04-05,1150.65
2012-04-16,1170.57
2012-04-26,1211.47
2012-05-07,1213.18
2012-05-16,1152.47
2012-05-28,1150.45
2012-06-06,1136.18
2012-06-18,1144.3
2012-06-26,1147.24
2012-07-09,1185.8
2012-07-17,1240.93
2012-07-27,1236.23
2012-08-06,1219.31
2012-08-23,1214.59
2012-08-27,1214.61
2012-09-06,1170.06
2012-09-17,1195.73
2012-09-27,1187.36
2012-10-08,1203.28
2012-10-17,1249.13
2012-10-29,1267.96
2012-11-07,1268.53
2012-11-19,1253.5
2012-11-27,1291.56
2012-12-10,1286.49
2012-12-18,1283.01
2012-12-28,1270.71
2013-01-07,1271.12
2013-01-18,1301.35
2013-01-28,1286.9
2013-02-07,1310.21
2013-02-18,1323.08
2013-02-28,1374.51
2013-03-11,1399.7
2013-03-20,1384.39
2013-04-01,1402.57
2013-04-10,1384.38
2013-04-22,1412.64
2013-04-30,1403.63
2013-05-13,1405.91
2013-05-21,1451.07
2013-05-31,1427.99
2013-06-10,1339.06
2013-06-21,1264.3
2013-07-01,1329.32
2013-07-11,1292.86
2013-07-22,1301.29
2013-08-01,1269.72
2013-08-12,1251.07
2013-08-21,1141.07
2013-09-02,1082.37
2013-09-11,1145.08
2013-09-23,1210.78
2013-10-01,1158.83
2013-10-16,1178.49
2013-10-22,1191.95
2013-11-01,1171.33
2013-11-11,1167.71
2013-11-22,1142.06
2013-12-02,1147.2
2013-12-12,1113.64
2013-12-23,1116.63
2014-01-02,1158.04
2014-01-13,1188.6
2014-01-22,1206.11
2014-02-03,1178.54
2014-02-12,1220.85
2014-02-24,1278.06
2014-03-04,1264.43
2014-03-17,1364.47
2014-03-25,1294.67
2014-04-04,1351.33
2014-04-14,1332.29
2014-04-25,1353.55
2014-05-05,1348.12
2014-05-16,1397.99
2014-05-26,1364.88
2014-06-05,1344.88
2014-06-16,1332.63
2014-06-25,1315.5
2014-07-07,1374.72
2014-07-16,1430.52
2014-08-04,1409.93
2014-08-05,1411.81
2014-08-18,1435.65
2014-08-26,1427.7
2014-09-05,1454.09
2014-09-15,1434.32
2014-09-26,1415.26
2014-10-06,1373.29
2014-10-16,1393.97
2014-10-27,1420.37
2014-11-06,1417.31
2014-11-17,1450.58
2014-11-26,1483.81
2014-12-08,1489.29
2014-12-17,1461.96
2014-12-29,1527.22
2015-01-06,1511.82
2015-01-19,1500.16
2015-01-27,1537.69
2015-02-06,1563.88
2015-02-16,1552.11
2015-02-27,1589.5
2015-03-09,1557.58
2015-03-19,1564.76
2015-03-30,1551.71
2015-04-09,1575.34
2015-04-20,1553.23
2015-04-29,1465.48
2015-05-11,1479.25
2015-05-20,1512.85
2015-06-01,1485.24
2015-06-09,1399.87
2015-06-22,1397.36
2015-06-30,1380.03
2015-07-10,1400.64
2015-07-22,1413.78
2015-07-31,1377.85
2015-08-10,1377.02
2015-08-20,1291.83
2015-08-31,1299.83
2015-09-10,1252.25
2015-09-21,1260.41
2015-09-30,1221.0
2015-10-12,1322.43
2015-10-21,1328.83
2015-11-02,1293.65
2015-11-10,1289.86
2015-11-20,1328.0
2015-12-01,1322.42
2015-12-11,1274.06
2015-12-21,1300.42
2016-01-04,1302.89
2016-01-11,1294.49
2016-01-21,1296.29
2016-02-01,1352.57
2016-02-11,1421.26
2016-02-22,1394.43
2016-03-02,1423.2
2016-03-14,1438.87
2016-03-23,1424.82
2016-04-04,1438.05
2016-04-12,1430.67
2016-04-22,1458.99
2016-05-03,1434.64
2016-05-13,1437.18
2016-05-23,1427.45
2016-06-03,1454.87
2016-06-13,1448.4
2016-06-23,1469.8
2016-07-11,1527.94
