tanggal,data
2011-10-13,1001.59
2011-10-24,1003.31
2011-11-01,1019.47
2011-11-11,1027.15
2011-11-21,1029.45
2011-12-01,1029.79
2011-12-12,1035.31
2011-12-21,1036.98
2012-01-02,1038.92
2012-01-10,1037.17
2012-01-20,1045.64
2012-01-30,1048.53
2012-02-09,1065.52
2012-02-20,1065.77
2012-02-29,1054.77
2012-03-12,1058.59
2012-03-20,1059.95
2012-03-30,1066.77
2012-04-09,1076.1
2012-04-19,1079.45
2012-04-30,1080.83
2012-05-09,1080.77
2012-05-21,1074.72
2012-05-28,1076.94
2012-06-07,1074.36
2012-06-18,1078.6
2012-06-27,1072.34
2012-07-09,1074.48
2012-07-17,1083.19
2012-07-27,1088.26
2012-08-06,1084.73
2012-08-16,1078.93
2012-08-27,1076.22
2012-09-05,1073.48
2012-09-17,1079.32
2012-09-25,1075.68
2012-10-05,1085.22
2012-10-15,1099.27
2012-10-25,1105.75
2012-11-05,1107.87
2012-11-14,1117.59
2012-11-26,1124.88
2012-12-04,1121.64
2012-12-13,1127.22
2012-12-26,1128.27
2013-01-02,1128.35
2013-01-14,1130.66
2013-01-22,1138.91
2013-02-01,1136.93
2013-02-11,1139.6
2013-02-21,1147.62
2013-03-04,1150.11
2013-03-13,1152.29
2013-03-25,1146.79
2013-04-02,1143.3
2013-04-12,1147.75
2013-04-22,1148.97
2013-05-02,1148.41
2013-05-13,1152.76
2013-05-22,1144.37
2013-06-03,1124.6
2013-06-11,1089.07
2013-06-21,1069.88
2013-07-01,1066.45
2013-07-10,1030.71
2013-07-22,1045.86
2013-07-30,1032.38
2013-08-12,1048.2
2013-08-19,1009.92
2013-08-29,989.01
2013-09-09,978.57
2013-09-18,1015.21
2013-09-30,1001.04
2013-10-08,1026.11
2013-10-18,1058.21
2013-10-28,1095.55
2013-11-07,1041.69
2013-11-18,1004.18
2013-11-27,997.77
2013-12-09,988.88
2013-12-17,1006.22
2013-12-27,1007.33
2014-01-06,980.09
2014-01-16,1011.39
2014-01-27,980.2
2014-02-04,981.18
2014-02-14,1000.56
2014-02-24,1022.84
2014-03-06,1050.08
2014-03-17,1066.08
2014-03-26,1054.17
2014-04-07,1077.34
2014-04-15,1072.58
2014-04-25,1069.91
2014-05-05,1070.93
2014-05-16,1077.21
2014-05-26,1068.72
2014-06-04,1069.96
2014-06-16,1070.71
2014-06-24,1069.49
2014-07-04,1070.04
2014-07-14,1076.2
2014-07-24,1085.64
2014-08-04,1085.17
2014-08-13,1078.36
2014-08-25,1083.12
2014-09-02,1090.32
2014-09-11,1094.11
2014-09-22,1092.23
2014-10-01,1076.09
2014-10-13,1083.5
2014-10-21,1105.24
2014-10-31,1109.03
2014-11-10,1113.51
2014-11-20,1126.97
2014-12-01,1140.49
2014-12-10,1130.48
2014-12-22,1130.34
2014-12-30,1140.83
2015-01-09,1155.19
2015-01-19,1161.51
2015-01-29,1199.45
2015-02-09,1206.26
2015-02-18,1214.94
2015-03-02,1218.84
2015-03-10,1182.67
