tanggal,data
2008-05-30,1002.58
2008-06-12,968.68
2008-06-24,986.69
2008-07-07,994.13
2008-07-21,1032.77
2008-07-31,1060.69
2008-08-13,1052.69
2008-08-25,1034.28
2008-09-08,1033.36
2008-09-19,1002.64
2008-10-06,952.37
2008-10-14,893.59
2008-10-27,783.23
2008-11-10,881.73
2008-11-21,791.29
2008-12-03,885.4
2008-12-16,992.86
2008-12-30,1067.34
2009-01-12,1070.6
2009-01-22,1074.08
2009-02-03,1078.89
2009-02-16,1084.02
2009-03-02,1090.06
2009-03-13,1110.39
2009-03-25,1114.52
2009-04-07,1119.65
2009-04-20,1125.11
2009-05-04,1130.53
2009-05-14,1134.58
2009-05-27,1139.76
2009-06-08,1144.73
2009-06-22,1150.15
2009-07-03,1154.95
2009-07-16,1162.27
2009-07-28,1166.05
2009-08-10,1175.08
2009-08-24,1180.39
2009-09-04,1184.26
2009-09-16,1188.35
2009-09-28,1192.47
2009-10-12,1197.23
2009-10-23,1201.02
2009-11-05,1205.41
2009-11-17,1209.47
2009-11-30,1213.78
2009-12-14,1218.44
2009-12-28,1223.14
2010-01-06,1226.27
2010-01-19,1230.7
2010-02-01,1235.13
2010-02-15,1239.93
2010-02-25,1243.34
2010-03-10,1247.8
2010-03-22,1251.88
2010-04-05,1256.62
2010-04-16,1260.35
2010-04-29,1264.63
2010-05-11,1268.47
2010-05-24,1272.59
2010-06-07,1277.06
2010-06-17,1280.26
2010-06-30,1284.44
2010-07-12,1288.31
2010-07-26,1292.9
2010-08-06,1296.53
2010-08-19,1300.79
2010-08-31,1304.84
2010-09-14,1309.22
2010-09-27,1313.28
2010-10-08,1316.7
2010-10-20,1320.46
2010-11-02,1324.68
2010-11-15,1328.97
2010-11-29,1333.49
2010-12-09,1336.68
2010-12-22,1340.85
2011-01-03,1344.71
2011-01-17,1349.23
2011-01-28,1352.8
2011-02-09,1356.69
2011-02-22,1360.93
2011-03-07,1365.17
2011-03-21,1369.76
2011-03-31,1373.05
2011-04-13,1377.33
2011-04-25,1381.3
2011-05-09,1385.94
2011-05-20,1389.6
2011-06-03,1394.27
2011-06-14,1397.94
2011-06-27,1402.21
2011-07-11,1406.48
2011-07-22,1410.11
2011-08-03,1414.07
2011-08-16,1418.29
2011-09-05,1424.72
2011-09-09,1426.03
2011-09-22,1430.17
2011-10-04,1433.72
2011-10-17,1437.78
2011-10-31,1442.37
2011-11-11,1446.33
2011-11-23,1450.75
2011-12-06,1455.74
2011-12-19,1460.45
2012-01-02,1465.55
2012-01-12,1469.45
2012-01-25,1480.04
2012-02-06,1496.98
2012-02-20,1512.78
2012-03-02,1504.05
2012-03-15,1507.78
2012-03-27,1512.17
2012-04-09,1516.71
2012-04-23,1521.54
2012-05-03,1524.76
2012-05-16,1529.06
2012-05-28,1531.7
2012-06-11,1535.49
2012-06-22,1539.11
2012-07-05,1543.5
2012-07-17,1547.57
2012-07-30,1551.74
2012-08-13,1552.01
2012-08-24,1552.88
2012-09-05,1554.84
2012-09-18,1558.85
2012-10-01,1562.81
2012-10-15,1567.31
2012-10-25,1570.32
2012-11-07,1574.23
2012-11-19,1577.86
2012-12-03,1582.23
2012-12-14,1585.66
2012-12-26,1589.37
2013-01-08,1593.55
2013-01-21,1597.62
2013-02-04,1602.13
2013-02-14,1605.21
2013-02-27,1609.21
2013-03-11,1612.96
2013-03-25,1617.3
2013-04-05,1620.72
2013-04-18,1624.76
2013-04-30,1628.51
2013-05-13,1632.57
2013-05-27,1636.29
2013-06-07,1639.57
2013-06-19,1616.46
2013-07-02,1612.93
2013-07-15,1597.81
2013-07-26,1609.2
2013-08-12,1613.99
2013-08-20,1601.1
2013-09-02,1594.12
2013-09-16,1600.63
2013-09-27,1604.45
2013-10-09,1607.71
2013-10-22,1617.76
2013-11-04,1632.36
2013-11-18,1616.12
2013-11-28,1610.67
2013-12-11,1609.68
2013-12-23,1614.43
2014-01-06,1613.94
2014-01-17,1625.43
2014-01-30,1626.74
2014-02-11,1635.77
2014-02-24,1634.8
2014-03-10,1645.22
2014-03-20,1650.53
2014-04-02,1655.91
2014-04-14,1660.08
2014-04-28,1666.47
2014-05-09,1668.62
2014-05-22,1671.09
2014-06-03,1670.91
2014-06-16,1676.81
2014-06-30,1674.91
2014-07-11,1679.92
2014-07-23,1683.0
2014-08-05,1684.74
2014-08-18,1686.39
2014-09-01,1697.14
2014-09-11,1701.27
2014-09-24,1700.84
2014-10-06,1692.67
2014-10-20,1703.52
2014-10-31,1709.68
2014-11-12,1717.33
2014-11-25,1729.68
2014-12-08,1730.81
2014-12-22,1731.68
2015-01-02,1743.01
2015-01-14,1751.89
2015-01-26,1763.28
2015-02-09,1769.25
2015-02-20,1772.71
2015-03-05,1775.81
2015-03-17,1774.39
2015-03-30,1782.49
2015-04-13,1789.06
2015-04-24,1784.08
2015-05-06,1775.21
2015-05-19,1779.83
2015-06-01,1781.75
2015-06-15,1772.11
2015-06-25,1790.03
2015-07-07,1798.12
2015-07-22,1790.56
2015-08-03,1788.33
2015-08-14,1787.1
2015-08-26,1777.56
2015-09-08,1787.57
2015-09-21,1794.97
2015-10-05,1795.27
2015-10-15,1820.15
2015-10-28,1817.7
2015-11-09,1819.0
2015-11-23,1824.65
2015-12-04,1832.64
2015-12-17,1833.93
2015-12-29,1836.62
2016-01-11,1844.66
2016-01-25,1865.06
2016-02-05,1878.23
2016-02-17,1884.78
2016-02-29,1886.77
2016-03-14,1907.77
2016-03-28,1913.04
2016-04-07,1923.04
2016-04-19,1937.5
2016-05-02,1944.23
2016-05-16,1948.3
2016-05-27,1951.88
2016-06-08,1956.57
2016-06-21,1960.06
2016-07-11,1975.35
2016-07-18,1980.99
2016-07-28,1989.58
2016-08-10,2000.38
2016-08-22,2004.41
2016-09-05,2008.93
2016-09-16,2010.45
2016-09-28,2017.58
2016-10-11,2020.3
2016-10-24,2021.07
2016-11-07,2024.69
2016-11-17,2009.51
2016-11-30,1995.95
2016-12-13,2027.46
2016-12-27,2021.35
2017-01-06,2038.43
2017-01-19,2052.01
2017-01-31,2053.59
2017-02-13,2061.33
2017-02-27,2068.21
2017-03-10,2076.48
2017-03-22,2095.53
2017-04-04,2104.74
2017-04-17,2106.51
2017-05-02,2114.87
2017-05-12,2105.37
2017-05-23,2126.81
2017-06-05,2128.5
2017-06-19,2143.1
2017-07-03,2143.94
2017-07-12,2133.0
2017-07-25,2149.7
2017-08-07,2156.29
2017-08-21,2165.69
2017-08-31,2186.17
2017-09-13,2205.81
2017-09-25,2213.97
2017-10-09,2205.96
2017-10-20,2209.42
2017-11-02,2205.94
2017-11-14,2216.98
2017-11-27,2228.84
2017-12-11,2240.33
2017-12-22,2250.82
2018-01-03,2265.42
2018-01-15,2276.43
2018-01-29,2271.43
2018-02-09,2268.57
2018-02-22,2259.54
2018-03-06,2250.99
2018-03-19,2255.59
2018-04-02,2268.4
2018-04-13,2276.52
2018-04-25,2251.29
2018-05-08,2236.42
2018-05-21,2221.05
2018-06-04,2255.05
2018-06-20,2245.96
2018-06-27,2218.68
2018-07-09,2228.18
2018-07-23,2217.96
2018-08-03,2223.28
2018-08-16,2224.24
2018-08-28,2232.61
2018-09-10,2185.83
2018-09-24,2209.58
2018-10-04,2214.54
2018-10-17,2209.73
2018-10-29,2218.11
2018-11-12,2251.17
2018-11-23,2259.31
2018-12-06,2262.59
2018-12-18,2263.96
2019-01-02,2275.38
2019-01-14,2282.19
2019-01-25,2284.49
2019-02-06,2302.48
2019-02-19,2301.82
2019-03-04,2315.11
2019-03-18,2329.15
2019-03-28,2336.74
2019-04-10,2340.14
2019-04-22,2347.32
2019-05-06,2328.2
2019-05-17,2325.37
2019-05-29,2331.52
2019-06-11,2357.79
2019-06-24,2382.82
2019-07-08,2414.73
2019-07-18,2438.46
2019-07-31,2418.36
2019-08-12,2419.94
2019-08-26,2432.27
2019-09-06,2431.4
2019-09-19,2444.72
2019-10-01,2444.27
2019-10-14,2454.12
2019-10-28,2472.85
2019-11-08,2493.78
2019-11-20,2490.84
2019-12-03,2487.87
2019-12-16,2484.03
2019-12-27,2502.95
2020-01-09,2519.81
2020-01-21,2535.55
2020-02-03,2547.83
2020-02-05,2553.43
2020-02-10,2560.91
2020-02-13,2571.98
2020-02-17,2574.62
2020-02-20,2578.66
2020-02-24,2578.48
2020-02-28,2552.52
2020-03-03,2550.47
2020-03-06,2581.1
2020-03-10,2553.5
2020-03-11,2556.58
2020-03-16,2531.67
2020-03-18,2515.88
2020-03-23,2464.8
2020-03-24,2453.86
2020-03-26,2452.72
2020-03-30,2462.11
2020-04-02,2458.89
2020-04-06,2457.68
2020-04-09,2459.04
2020-04-13,2459.55
2020-04-17,2469.13
2020-04-20,2474.33
2020-04-24,2475.87
2020-04-28,2472.18
2020-04-30,2476.92
2020-05-04,2477.53
2020-05-05,2476.14
2020-05-11,2476.6
2020-05-13,2480.94
2020-05-18,2491.59
2020-05-20,2495.84
2020-05-26,2496.57
2020-05-28,2501.31
2020-06-02,2501.74
2020-06-04,2505.52
2020-06-08,2505.15
2020-06-12,2507.99
2020-06-15,2509.23
2020-06-19,2514.94
2020-06-23,2516.83
2020-06-29,2523.19
2020-06-30,2523.33
2020-07-02,2522.3
2020-07-06,2527.97
2020-07-08,2529.93
2020-07-13,2536.84
2020-07-14,2535.62
2020-07-15,2537.71
2020-07-20,2542.31
2020-07-23,2558.28
2020-07-27,2561.84
2020-07-30,2567.23
2020-08-03,2567.51
2020-08-07,2571.05
2020-08-10,2574.2
2020-08-14,2580.49
2020-08-18,2584.11
2020-08-24,2586.05
2020-08-25,2587.03
2020-08-31,2573.96
2020-09-02,2570.58
2020-09-07,2572.58
2020-09-09,2572.1
2020-09-14,2572.42
2020-09-17,2573.05
2020-09-21,2574.8
2020-09-24,2571.84
2020-09-28,2573.5
2020-10-02,2570.23
2020-10-05,2572.32
2020-10-09,2572.57
2020-10-13,2577.99
2020-10-19,2591.69
2020-10-20,2593.86
2020-10-22,2597.14
2020-10-26,2599.27
2020-11-02,2601.76
