tanggal,data
2008-06-04,1031.18
2008-06-16,1066.18
2008-06-30,1076.41
2008-07-11,1047.81
2008-07-24,1055.16
2008-08-05,1014.32
2008-08-19,968.32
2008-09-01,1030.58
2008-09-12,852.2
2008-09-24,902.01
2008-10-07,768.83
2008-10-20,672.48
2008-11-03,651.18
2008-11-13,597.2
2008-11-26,574.7
2008-12-09,624.47
2008-12-22,664.3
2009-01-05,722.34
2009-01-14,689.6
2009-01-27,664.99
2009-02-09,686.92
2009-02-23,679.72
2009-03-05,658.13
2009-03-18,677.3
2009-03-30,724.45
2009-04-13,834.25
2009-04-24,884.9
2009-05-07,1122.53
2009-05-19,1238.59
2009-06-01,1337.91
2009-06-15,1372.37
2009-06-25,1352.96
2009-07-09,1356.08
2009-07-21,1411.41
2009-08-03,1589.92
2009-08-14,1643.77
2009-08-27,1626.59
2009-09-08,1636.85
2009-09-24,1680.05
2009-10-05,1702.59
2009-10-16,1739.06
2009-10-28,1609.64
2009-11-09,1650.2
2009-11-23,1698.28
2009-12-04,1708.02
2009-12-17,1682.64
2009-12-29,1696.43
2010-01-11,1797.38
2010-01-25,1799.28
2010-02-05,1756.92
2010-02-17,1793.48
2010-03-02,1810.5
2010-03-15,1872.83
2010-03-29,1931.05
2010-04-08,1963.91
2010-04-20,1968.77
2010-05-03,1990.37
2010-05-17,1835.17
2010-05-31,1751.27
2010-06-09,1728.77
2010-06-22,1865.4
2010-07-05,1823.78
2010-07-19,1875.74
2010-07-29,1956.93
2010-08-11,1930.63
2010-08-23,2007.75
2010-09-06,2036.3
2010-09-17,2142.44
2010-09-30,2171.29
2010-10-12,2203.42
2010-10-25,2257.9
2010-11-08,2334.48
2010-11-18,2255.55
2010-12-01,2247.89
2010-12-13,2365.1
2010-12-27,2317.26
2011-01-07,2366.12
2011-01-20,2194.46
2011-02-01,2169.75
2011-02-14,2162.44
2011-02-28,2186.52
2011-03-11,2236.05
2011-03-23,2286.03
2011-04-04,2414.17
2011-04-18,2439.09
2011-04-29,2517.5
2011-05-12,2558.98
2011-05-24,2523.36
2011-06-06,2566.36
2011-06-20,2476.86
2011-07-01,2610.6
2011-07-13,2676.48
2011-07-26,2841.62
2011-08-08,2632.57
2011-08-22,2630.19
2011-09-05,2658.29
2011-09-13,2642.39
2011-09-26,2211.15
2011-10-10,2302.63
2011-10-21,2471.61
2011-11-02,2565.36
2011-11-15,2579.98
2011-11-28,2441.32
2011-12-12,2535.66
2011-12-22,2556.31
2012-01-04,2639.65
2012-01-16,2655.45
2012-01-30,2636.86
2012-02-10,2679.79
2012-02-22,2755.86
2012-03-06,2719.7
2012-03-19,2796.31
2012-04-02,2886.37
2012-04-12,2909.63
2012-04-25,2971.76
2012-05-07,2931.12
2012-05-21,2758.74
2012-06-01,2632.96
2012-06-14,2645.43
2012-06-26,2690.52
2012-07-09,2761.15
2012-07-23,2790.61
2012-08-03,2828.62
2012-08-15,2808.69
2012-08-27,2805.46
2012-09-10,2743.53
2012-09-21,2792.94
2012-10-04,2818.47
2012-10-16,2871.01
2012-10-29,2870.64
2012-11-12,2916.35
2012-11-23,2977.33
2012-12-05,3014.43
2012-12-18,2992.17
2012-12-31,3044.97
2013-01-14,3052.17
2013-01-25,3091.02
2013-02-05,3098.85
2013-02-18,3177.62
2013-03-04,3311.33
2013-03-15,3360.96
2013-03-27,3470.44
2013-04-09,3347.51
2013-04-22,3398.31
2013-05-06,3337.8
2013-05-16,3440.58
2013-05-29,3535.2
2013-06-10,3266.02
2013-06-24,3021.25
