tanggal,data
2021-02-24,1001.28
2021-03-01,1023.83
2021-03-02,1023.54
2021-03-05,998.48
2021-03-08,995.13
2021-03-12,1001.59
2021-03-15,992.55
2021-03-17,990.55
2021-03-22,993.93
2021-03-23,992.67
2021-03-26,991.1
2021-03-29,985.12
2021-04-01,952.59
2021-04-05,945.14
2021-04-06,950.68
2021-04-09,964.41
2021-04-12,940.56
2021-04-15,968.56
2021-04-19,962.27
2021-04-21,948.52
2021-04-26,950.42
2021-04-27,951.46
2021-04-30,950.38
2021-05-03,942.17
2021-05-06,947.63
2021-05-10,943.45
2021-05-17,931.53
2021-05-18,926.78
2021-05-21,923.77
2021-05-24,926.38
2021-05-27,926.99
2021-05-31,953.5
2021-06-02,966.47
2021-06-04,976.55
2021-06-07,972.74
2021-06-10,981.57
2021-06-14,966.98
2021-06-16,952.51
2021-06-21,926.6
2021-06-22,936.52
2021-06-25,920.7
2021-06-28,901.47
2021-07-01,913.38
2021-07-05,909.29
2021-07-07,902.74
2021-07-12,909.45
2021-07-13,900.02
2021-07-15,907.62
2021-07-19,903.2
2021-07-21,907.48
2021-07-26,908.4
2021-07-27,906.17
2021-07-30,888.79
2021-08-02,894.67
2021-08-05,927.89
2021-08-09,904.83
2021-08-12,917.35
2021-08-16,928.9
2021-08-18,949.2
2021-08-20,937.25
2021-08-23,943.19
2021-08-26,929.98
2021-08-30,945.01
2021-09-01,938.16
2021-09-03,952.98
2021-09-06,952.1
2021-09-09,947.95
2021-09-13,941.37
2021-09-15,941.02
2021-09-20,934.5
2021-09-21,928.7
2021-09-24,944.83
2021-09-27,939.53
2021-09-30,982.34
2021-10-04,994.31
2021-10-06,1020.36
2021-10-11,1033.87
2021-10-12,1041.26
2021-10-15,1073.73
2021-10-18,1073.68
2021-10-21,1065.2
2021-10-25,1057.93
2021-10-26,1064.17
2021-10-29,1051.52
2021-11-01,1042.39
2021-11-04,1045.08
2021-11-08,1049.99
2021-11-10,1056.56
2021-11-15,1037.5
2021-11-16,1043.37
2021-11-19,1059.04
2021-11-22,1060.36
2021-11-25,1062.08
2021-11-29,1051.8
2021-12-01,1032.41
2021-12-06,1041.58
2021-12-07,1052.99
2021-12-10,1050.17
2021-12-13,1042.61
2021-12-15,1046.03
2021-12-20,1034.69
2021-12-21,1036.83
2021-12-24,1030.79
2021-12-27,1031.53
