tanggal,data
2016-12-27,1000.51
2017-01-03,1001.54
2017-01-09,1002.45
2017-01-13,1003.06
2017-01-19,1003.97
2017-01-25,1004.86
2017-02-01,1005.79
2017-02-07,1006.61
2017-02-13,1007.37
2017-02-20,1008.31
2017-02-27,1009.24
2017-03-03,1009.79
2017-03-09,1010.58
2017-03-15,1011.38
2017-03-21,1012.21
2017-03-27,1013.07
2017-04-03,1013.8
2017-04-10,1014.9
2017-04-17,1015.91
2017-04-20,1016.34
2017-04-26,1017.18
2017-05-02,1018.03
2017-05-08,1018.57
2017-05-15,1019.6
2017-05-22,1020.6
2017-05-29,1021.59
2017-06-02,1022.08
2017-06-08,1022.95
2017-06-14,1023.79
2017-06-20,1024.68
2017-07-03,1026.6
2017-07-10,1027.64
2017-07-14,1028.23
2017-07-20,1029.12
2017-07-26,1030.0
2017-08-01,1030.7
2017-08-07,1031.58
2017-08-14,1032.62
2017-08-21,1033.6
2017-08-25,1034.18
2017-09-04,1035.47
2017-09-07,1035.9
2017-09-13,1036.69
2017-09-19,1037.56
2017-09-25,1038.41
2017-10-02,1039.42
2017-10-09,1040.34
2017-10-13,1040.67
2017-10-19,1041.45
2017-10-25,1042.28
2017-10-31,1043.04
2017-11-06,1043.86
2017-11-13,1044.65
2017-11-20,1045.52
2017-11-24,1046.08
2017-11-30,1046.94
2017-12-06,1047.8
2017-12-12,1048.35
2017-12-19,1048.14
2017-12-27,1050.28
2018-01-02,1051.03
2018-01-08,1051.91
2018-01-12,1052.44
2018-01-18,1053.32
2018-01-24,1054.2
2018-01-30,1055.04
2018-02-05,1055.77
2018-02-12,1056.55
2018-02-19,1057.52
2018-02-23,1058.06
2018-03-01,1059.08
2018-03-07,1059.89
2018-03-13,1060.7
2018-03-19,1061.52
2018-03-26,1062.48
2018-04-02,1063.32
2018-04-09,1064.24
2018-04-13,1064.55
2018-04-19,1065.34
2018-04-25,1066.3
2018-05-02,1067.22
2018-05-07,1067.87
2018-05-14,1068.69
2018-05-21,1069.54
2018-05-25,1069.96
2018-05-31,1070.07
2018-06-06,1071.01
2018-06-20,1072.47
2018-06-25,1073.28
2018-07-02,1073.99
2018-07-06,1074.4
2018-07-13,1075.58
2018-07-19,1076.36
2018-07-25,1076.8
2018-07-31,1077.22
2018-08-06,1077.96
2018-08-13,1078.7
2018-08-20,1079.65
2018-08-24,1080.2
2018-08-30,1081.05
2018-09-05,1080.85
2018-09-12,1084.15
2018-09-17,1084.67
2018-09-24,1085.4
2018-10-01,1085.79
2018-10-05,1086.32
2018-10-11,1087.45
2018-10-17,1087.97
2018-10-23,1088.67
2018-10-30,1089.5
2018-11-05,1090.34
2018-11-12,1091.52
2018-11-19,1092.46
2018-11-23,1093.3
2018-11-29,1094.38
2018-12-05,1095.35
2018-12-11,1095.82
2018-12-17,1096.54
2018-12-26,1097.78
2019-01-02,1098.84
2019-01-04,1099.16
2019-01-10,1100.13
2019-01-16,1101.1
2019-01-22,1102.06
2019-01-28,1103.01
2019-02-04,1104.02
2019-02-11,1105.11
2019-02-18,1106.32
2019-02-22,1106.96
2019-02-28,1107.84
2019-03-06,1109.09
2019-03-12,1110.04
2019-03-18,1111.03
2019-03-25,1112.2
2019-04-01,1113.28
2019-04-05,1113.94
2019-04-11,1114.93
2019-04-18,1116.09
2019-04-23,1116.92
2019-04-29,1117.93
2019-05-06,1119.09
2019-05-13,1120.21
2019-05-17,1120.88
2019-05-24,1122.07
2019-05-31,1123.07
2019-06-10,1124.76
2019-06-11,1124.92
2019-06-17,1125.93
2019-06-24,1127.14
2019-07-01,1128.29
2019-07-05,1129.06
2019-07-11,1130.1
2019-07-17,1131.14
2019-07-23,1132.12
2019-07-29,1133.17
2019-08-05,1134.39
2019-08-12,1135.63
2019-08-16,1136.34
2019-08-22,1137.41
2019-08-28,1138.49
2019-09-03,1139.32
2019-09-10,1140.67
2019-09-16,1141.79
2019-09-23,1143.04
2019-09-30,1144.33
2019-10-04,1144.91
2019-10-10,1146.02
2019-10-16,1147.12
2019-10-22,1148.23
2019-10-28,1149.33
2019-11-04,1150.46
2019-11-11,1151.69
2019-11-15,1152.4
2019-11-21,1153.42
2019-11-27,1154.46
2019-12-03,1155.47
2019-12-09,1156.45
2019-12-16,1157.6
2019-12-23,1158.74
2019-12-30,1159.6
2020-01-03,1160.25
2020-01-09,1161.46
2020-01-15,1162.49
2020-01-21,1163.55
2020-01-27,1164.59
2020-02-03,1165.6
2020-02-05,1165.94
2020-02-10,1167.08
2020-02-13,1167.6
2020-02-14,1167.77
2020-02-17,1168.27
2020-02-20,1168.77
2020-02-24,1169.43
2020-02-26,1169.56
2020-02-28,1169.88
2020-03-03,1170.62
2020-03-06,1171.13
2020-03-09,1171.62
2020-03-10,1171.78
2020-03-16,1172.37
2020-03-18,1172.68
2020-03-23,1173.32
2020-03-26,1173.71
2020-03-27,1173.88
2020-03-30,1174.36
2020-04-02,1174.72
2020-04-03,1174.88
2020-04-06,1175.37
2020-04-09,1175.84
2020-04-13,1176.47
2020-04-15,1176.78
2020-04-17,1177.09
2020-04-20,1177.55
2020-04-21,1177.71
2020-04-24,1178.18
2020-04-27,1178.54
2020-04-28,1178.69
2020-05-04,1179.63
2020-05-05,1179.79
2020-05-11,1180.72
2020-05-13,1181.04
2020-05-15,1181.35
2020-05-18,1181.83
2020-05-20,1182.15
2020-05-26,1183.1
2020-05-27,1183.25
2020-05-28,1183.43
2020-06-02,1184.05
2020-06-04,1184.38
2020-06-08,1185.0
2020-06-12,1185.65
2020-06-15,1186.11
2020-06-19,1186.74
2020-06-22,1187.15
2020-06-23,1187.31
2020-06-26,1187.63
2020-06-29,1188.1
2020-06-30,1188.26
2020-07-02,1188.53
2020-07-06,1189.16
2020-07-08,1189.37
2020-07-13,1189.63
2020-07-14,1189.68
2020-07-15,1189.8
2020-07-20,1190.52
2020-07-21,1190.56
2020-07-23,1190.69
2020-07-27,1191.29
2020-07-30,1191.57
2020-08-03,1192.09
2020-08-07,1192.61
2020-08-10,1192.99
2020-08-14,1193.44
2020-08-18,1193.88
2020-08-24,1194.66
2020-08-25,1194.76
2020-08-26,1194.88
2020-08-31,1195.49
2020-09-01,1195.63
2020-09-02,1195.77
2020-09-07,1196.46
2020-09-09,1196.74
2020-09-14,1197.43
2020-09-17,1197.84
2020-09-21,1198.39
2020-09-24,1198.71
2020-09-25,1198.84
2020-09-28,1199.21
2020-10-01,1199.6
2020-10-02,1199.73
2020-10-05,1200.15
2020-10-07,1200.44
2020-10-09,1200.72
2020-10-13,1201.29
2020-10-19,1202.03
2020-10-20,1202.17
2020-10-26,1202.98
2020-11-02,1203.87
2020-11-04,1204.12
2020-11-09,1204.77
2020-11-12,1205.14
2020-11-13,1205.27
2020-11-16,1205.64
2020-11-19,1206.03
2020-11-23,1206.56
2020-11-25,1206.71
2020-11-27,1206.96
2020-12-01,1207.47
2020-12-04,1207.85
2020-12-07,1208.22
2020-12-08,1208.35
2020-12-14,1209.1
2020-12-15,1209.23
2020-12-21,1209.85
2020-12-23,1210.07
2020-12-28,1210.67
2020-12-30,1210.91
2021-01-04,1211.51
2021-01-06,1211.74
2021-01-07,1211.85
2021-01-11,1212.32
2021-01-12,1212.44
2021-01-14,1212.68
2021-01-18,1213.12
2021-01-22,1213.45
2021-01-25,1213.75
2021-01-26,1213.85
2021-01-29,1214.11
2021-02-01,1214.41
2021-02-02,1214.53
2021-02-05,1214.89
2021-02-08,1215.26
2021-02-10,1215.5
2021-02-11,1215.62
2021-02-15,1216.13
2021-02-17,1216.4
2021-02-18,1216.54
2021-02-22,1217.1
2021-02-24,1217.37
2021-03-01,1218.03
2021-03-02,1218.15
2021-03-04,1218.37
2021-03-08,1218.89
2021-03-12,1219.41
2021-03-15,1219.79
2021-03-19,1220.24
2021-03-22,1220.59
2021-03-23,1220.7
2021-03-26,1220.94
2021-03-30,1221.4
2021-04-01,1221.58
2021-04-05,1222.05
2021-04-07,1222.28
2021-04-12,1222.86
2021-04-13,1222.97
2021-04-14,1223.07
2021-04-19,1223.65
2021-04-22,1223.98
2021-04-26,1224.43
2021-04-29,1224.78
2021-05-03,1225.23
2021-05-06,1225.56
2021-05-07,1225.68
2021-05-10,1226.01
2021-05-17,1226.79
2021-05-18,1226.9
2021-05-19,1227.01
2021-05-21,1227.23
2021-05-25,1227.67
2021-05-31,1228.27
2021-06-02,1228.49
2021-06-07,1229.03
2021-06-09,1229.25
2021-06-14,1229.8
2021-06-17,1230.11
2021-06-21,1230.54
2021-06-24,1230.86
2021-06-25,1230.97
2021-06-28,1231.28
2021-07-01,1231.59
2021-07-02,1231.69
2021-07-05,1232.0
2021-07-07,1232.2
2021-07-09,1232.4
2021-07-13,1232.81
2021-07-19,1233.31
2021-07-21,1233.54
2021-07-26,1234.19
2021-07-28,1234.42
2021-08-02,1235.0
2021-08-04,1235.23
2021-08-06,1235.48
2021-08-09,1235.8
2021-08-12,1236.17
2021-08-16,1236.67
2021-08-18,1236.92
2021-08-19,1237.04
2021-08-23,1237.54
2021-08-24,1237.67
2021-08-27,1238.05
2021-08-30,1238.43
2021-09-03,1238.87
2021-09-06,1239.25
2021-09-07,1239.38
2021-09-13,1240.14
2021-09-14,1240.27
2021-09-20,1241.03
2021-09-22,1241.28
2021-09-24,1241.54
