Date,Open,High,Low,Close,Adj Close,Volume
2025-02-05,807.89,808.83,798.53,799.90,799.90,
2025-02-03,819.88,820.39,800.59,811.47,811.47,"4,422,400,000"
2025-01-31,824.45,833.84,821.77,823.55,823.55,"4,032,100,000"
2025-01-30,826.33,827.81,815.68,817.56,817.56,"5,954,700,000"
2025-01-24,848.13,849.40,831.49,831.49,831.49,"3,608,600,000"
2025-01-23,848.22,854.97,843.59,843.59,843.59,"3,954,900,000"
2025-01-22,841.57,848.28,840.29,846.18,846.18,"5,001,800,000"
2025-01-21,839.20,845.55,834.45,834.45,834.45,"6,525,800,000"
2025-01-20,836.61,839.13,833.63,833.63,833.63,"6,867,100,000"
2025-01-17,827.35,837.32,821.82,832.28,832.28,"6,977,100,000"
2025-01-16,841.63,845.49,827.86,827.86,827.86,"3,309,200,000"
2025-01-15,806.33,827.98,805.83,827.11,827.11,"4,141,700,000"
2025-01-14,808.04,814.53,801.24,801.24,801.24,"3,780,900,000"
2025-01-13,816.40,820.24,809.12,810.97,810.97,"4,193,900,000"
2025-01-10,822.51,827.86,820.43,820.43,820.43,"5,353,300,000"
2025-01-09,824.00,827.47,821.29,821.39,821.39,"4,422,200,000"
2025-01-08,822.96,829.59,817.25,821.81,821.81,"4,999,000,000"
2025-01-07,824.11,826.78,817.61,820.45,820.45,"5,262,800,000"
2025-01-06,839.16,840.16,824.89,826.18,826.18,"10,026,900,000"
2025-01-03,838.80,842.40,833.74,837.78,837.78,"8,066,600,000"
2025-01-02,828.08,837.21,826.13,837.21,837.21,"4,804,800,000"
2024-12-30,821.77,826.84,817.51,826.65,826.65,"7,673,000,000"
2024-12-27,830.16,833.95,823.23,825.14,825.14,"6,886,700,000"
2024-12-24,837.98,838.82,829.80,830.49,830.49,"2,390,700,000"
2024-12-23,825.85,835.75,825.44,835.75,835.75,"4,249,300,000"
2024-12-20,818.04,824.57,812.55,817.02,817.02,"4,714,900,000"
2024-12-19,822.81,824.50,813.81,818.42,818.42,"5,805,900,000"
2024-12-18,843.37,848.48,833.93,833.93,833.93,"3,178,000,000"
2024-12-17,857.90,861.79,839.95,842.33,842.33,"6,645,500,000"
2024-12-16,860.00,865.88,851.71,861.74,861.74,"8,877,300,000"
2024-12-13,870.56,875.15,862.60,865.71,865.71,"3,751,100,000"
2024-12-12,884.27,886.99,874.00,874.89,874.89,"3,931,400,000"
2024-12-11,886.72,899.33,886.72,890.55,890.55,"9,798,000,000"
2024-12-10,886.78,890.52,882.30,890.52,890.52,"5,611,200,000"
2024-12-09,874.80,887.45,874.80,887.45,887.45,"11,155,600,000"
2024-12-06,872.19,876.08,868.95,875.84,875.84,"4,078,100,000"
2024-12-05,883.29,884.00,871.42,874.45,874.45,"2,936,200,000"
