tanggal,NAV,AUM,currency
2014-05-28,1006.24,NA,IDR
2014-06-01,NA,27100000000.0,IDR
2014-06-04,1007.75,NA,IDR
2014-06-12,1009.48,NA,IDR
2014-06-20,1009.71,NA,IDR
2014-06-30,1003.23,NA,IDR
2014-07-01,NA,27460000000.0,IDR
2014-07-07,1009.19,NA,IDR
2014-07-14,1009.26,NA,IDR
2014-07-22,1014.8,NA,IDR
2014-08-01,NA,27490000000.0,IDR
2014-08-04,1013.31,NA,IDR
2014-08-07,1008.61,NA,IDR
2014-08-15,1008.39,NA,IDR
2014-08-25,1010.78,NA,IDR
2014-09-01,1016.42,27280000000.0,IDR
2014-09-08,1027.43,NA,IDR
2014-09-16,1015.09,NA,IDR
2014-09-24,1020.53,NA,IDR
2014-10-01,NA,27930000000.0,IDR
2014-10-02,1008.31,NA,IDR
2014-10-10,1011.32,NA,IDR
2014-10-20,1025.08,NA,IDR
2014-10-27,1034.74,NA,IDR
2014-11-01,NA,28580000000.0,IDR
2014-11-03,1037.15,NA,IDR
2014-11-11,1038.66,NA,IDR
2014-11-19,1047.13,NA,IDR
2014-11-27,1058.27,NA,IDR
2014-12-01,NA,28500000000.0,IDR
2014-12-05,1053.79,NA,IDR
2014-12-15,1029.64,NA,IDR
2014-12-22,1046.35,NA,IDR
2014-12-29,1054.11,NA,IDR
2015-01-01,NA,29250000000.0,IDR
2015-01-06,1053.06,NA,IDR
2015-01-14,1072.24,NA,IDR
2015-01-22,1102.37,NA,IDR
2015-01-30,1111.82,NA,IDR
2015-02-01,NA,29660000000.0,IDR
2015-02-04,1119.84,NA,IDR
2015-02-09,1113.56,NA,IDR
2015-02-11,1108.74,NA,IDR
2015-02-16,1098.08,NA,IDR
2015-02-20,1113.81,NA,IDR
2015-02-23,1115.71,NA,IDR
2015-02-26,1122.73,NA,IDR
2015-03-01,NA,39030000000.0,IDR
2015-03-03,1123.22,NA,IDR
2015-03-06,1105.06,NA,IDR
2015-03-11,1084.21,NA,IDR
2015-03-13,1095.23,NA,IDR
2015-03-19,1103.02,NA,IDR
2015-03-23,1103.49,NA,IDR
2015-03-27,1106.06,NA,IDR
2015-03-30,1103.37,NA,IDR
2015-04-01,NA,38440000000.0,IDR
2015-04-06,1107.29,NA,IDR
2015-04-13,1111.39,NA,IDR
2015-04-20,1097.37,NA,IDR
2015-04-27,1089.66,NA,IDR
2015-04-28,1083.45,NA,IDR
2015-05-01,NA,37840000000.0,IDR
2015-05-05,1075.46,NA,IDR
2015-05-06,1070.28,NA,IDR
2015-05-12,1055.32,NA,IDR
2015-05-15,1072.4,NA,IDR
2015-05-20,1069.02,NA,IDR
2015-05-22,1069.34,NA,IDR
2015-05-27,1066.76,NA,IDR
2015-06-01,1065.11,37770000000.0,IDR
2015-06-04,1054.1,NA,IDR
2015-06-08,1035.7,NA,IDR
2015-06-11,1035.89,NA,IDR
2015-06-15,1038.05,NA,IDR
2015-06-19,1048.15,NA,IDR
2015-06-23,1060.43,NA,IDR
2015-06-26,1065.66,NA,IDR
2015-07-01,1068.31,36030000000.0,IDR
2015-07-06,1072.81,NA,IDR
2015-07-09,1059.83,NA,IDR
2015-07-13,1067.94,NA,IDR
2015-07-22,1066.62,NA,IDR
2015-07-27,1067.47,NA,IDR
2015-08-01,NA,35580000000.0,IDR
2015-08-03,1047.83,NA,IDR
2015-08-10,1052.67,NA,IDR
2015-08-18,1040.65,NA,IDR
2015-08-25,1027.39,NA,IDR
2015-08-26,1026.84,NA,IDR
2015-09-01,1036.68,34090000000.000004,IDR
2015-09-03,1034.37,NA,IDR
2015-09-09,1021.76,NA,IDR
2015-09-11,1017.05,NA,IDR
2015-09-16,1006.72,NA,IDR
2015-09-21,1026.98,NA,IDR
2015-09-25,1005.81,NA,IDR
2015-09-28,1002.09,NA,IDR
2015-10-01,1010.53,127350000000.0,IDR
2015-10-05,1029.02,NA,IDR
2015-10-09,1056.71,NA,IDR
2015-10-13,1061.77,NA,IDR
2015-10-16,1053.59,NA,IDR
2015-10-21,1040.9,NA,IDR
2015-10-26,1047.37,NA,IDR
2015-10-29,1046.42,NA,IDR
2015-11-01,NA,129440000000.0,IDR
2015-11-02,1040.73,NA,IDR
2015-11-06,1048.73,NA,IDR
