tanggal,NAV,AUM
2013-07-04,1000.77,NA
2013-07-12,1001.97,NA
2013-07-22,1003.47,NA
2013-07-30,1004.51,NA
2013-08-12,1006.63,NA
2013-08-16,1007.27,NA
2013-08-26,1008.85,NA
2013-09-02,1009.96,NA
2013-09-11,1011.39,NA
2013-09-20,1012.81,NA
2013-09-30,1014.47,NA
2013-10-07,1015.73,NA
2013-10-16,1017.34,NA
2013-10-24,1018.78,NA
2013-11-04,1020.84,NA
2013-11-11,1022.19,NA
2013-11-19,1023.73,NA
2013-11-28,1025.43,NA
2013-12-09,1027.69,NA
2013-12-16,1029.13,NA
2013-12-24,1030.08,NA
2014-01-02,1030.19,NA
2014-01-10,1025.83,NA
2014-01-20,1027.86,NA
2014-01-28,1029.48,NA
2014-02-05,1031.06,NA
2014-02-14,1032.79,NA
2014-02-24,1034.78,NA
2014-03-03,1036.22,NA
2014-03-12,1037.96,NA
2014-03-21,1039.77,NA
2014-04-01,1042.09,NA
2014-04-07,1043.42,NA
2014-04-16,1045.4,NA
2014-04-25,1047.39,NA
2014-05-05,1049.5,NA
2014-05-12,1051.08,NA
2014-05-21,1053.09,NA
2014-05-30,1055.11,NA
2014-06-09,1057.33,NA
2014-06-16,1058.89,NA
2014-06-24,1060.63,NA
2014-07-03,1062.66,NA
2014-07-14,1065.18,NA
2014-07-21,1066.78,NA
2014-08-04,1069.97,NA
2014-08-07,1070.66,NA
2014-08-15,1072.6,NA
2014-08-25,1074.9,NA
2014-09-02,1076.31,NA
2014-09-10,1078.28,NA
2014-09-19,1080.3,NA
2014-09-29,1082.57,NA
2014-10-06,1084.2,NA
2014-10-15,1086.37,NA
2014-10-24,1088.51,NA
2014-11-03,1090.9,NA
2014-11-10,1092.52,NA
2014-11-19,1094.63,NA
2014-11-27,1096.54,NA
2014-12-08,1099.12,NA
2014-12-15,1100.69,NA
2014-12-23,1105.86,NA
2015-01-02,1107.88,NA
2015-01-12,1110.32,NA
2015-01-19,1111.91,NA
2015-01-27,1114.24,NA
2015-02-05,1116.53,NA
2015-02-09,1117.46,NA
2015-02-13,1118.35,NA
2015-02-16,1119.08,NA
2015-02-23,1120.56,NA
2015-03-02,1121.94,NA
2015-03-03,1122.12,NA
2015-03-10,1123.49,NA
2015-03-11,1123.67,NA
2015-03-17,1124.75,NA
2015-03-20,1125.46,NA
2015-03-25,1126.68,NA
2015-03-30,1127.73,NA
2015-04-01,1128.24,NA
2015-04-06,1129.35,NA
2015-04-09,1130.07,NA
2015-04-15,1131.4,NA
2015-04-16,1131.59,NA
2015-04-24,1133.29,NA
2015-05-04,1135.44,NA
2015-05-11,1136.74,NA
2015-05-18,1138.05,NA
2015-05-20,1138.36,NA
2015-05-25,1139.27,NA
2015-05-28,1139.87,NA
2015-06-01,1140.6,NA
2015-06-08,1142.19,NA
2015-06-15,1143.48,NA
2015-06-23,1145.19,NA
2015-06-30,1146.62,NA
2015-07-02,1147.09,NA
2015-07-07,1148.03,NA
2015-07-13,1149.51,NA
2015-07-15,1149.77,NA
2015-07-22,1151.1,NA
2015-07-28,1151.91,NA
2015-07-30,1151.86,NA
2015-08-06,1153.21,NA
2015-08-14,1154.67,NA
2015-08-21,1155.67,NA
2015-08-24,1156.35,NA
2015-08-31,1157.4,NA
2015-09-01,1157.55,NA
2015-09-07,1158.75,NA
2015-09-09,1159.17,NA
2015-09-14,1160.1,NA
2015-09-18,1160.94,NA
2015-09-21,1161.57,NA
2015-09-28,1163.04,NA
2015-10-05,1164.52,NA
2015-10-13,1166.22,NA
2015-10-15,1166.66,NA
2015-10-20,1167.73,NA
2015-10-23,1168.37,NA
2015-10-28,1169.45,NA
2015-11-02,1170.52,NA
2015-11-04,1170.95,NA
2015-11-09,1172.02,NA
2015-11-12,1172.65,NA
2015-11-18,1173.91,NA
2015-11-19,1174.13,NA
2015-11-26,1175.66,NA
2015-12-04,1177.37,NA
2015-12-07,1178.02,NA
2015-12-11,1178.88,NA
2015-12-14,1179.53,NA
2015-12-21,1181.09,NA
2015-12-22,1181.31,NA
2015-12-28,1182.66,NA
2016-01-04,1184.24,NA
2016-01-11,1185.85,NA
2016-01-18,1187.45,NA
2016-01-25,1189.04,NA
2016-01-26,1189.27,NA
2016-02-02,1190.85,NA
2016-02-04,1191.3,NA
2016-02-09,1192.43,NA
2016-02-12,1193.1,NA
2016-02-17,1194.21,NA
2016-02-22,1195.31,NA
2016-02-24,1195.75,NA
2016-03-01,1197.06,NA
2016-03-03,1197.5,NA
2016-03-10,1199.03,NA
2016-03-18,1200.8,NA
2016-03-28,1202.92,NA
2016-04-04,1204.4,NA
2016-04-11,1205.85,NA
2016-04-13,1206.27,NA
2016-04-18,1207.27,NA
2016-04-22,1208.08,NA
2016-04-25,1208.69,NA
2016-05-02,1210.11,NA
2016-05-09,1211.55,NA
2016-05-16,1213.02,NA
2016-05-18,1213.39,NA
2016-05-24,1214.5,NA
2016-05-26,1214.87,NA
2016-05-31,1215.87,NA
2016-06-06,1217.09,NA
2016-06-08,1217.5,NA
2016-06-13,1218.52,NA
2016-06-15,1218.89,NA
2016-06-21,1220.11,NA
2016-06-23,1220.5,NA
2016-06-30,1221.93,NA
2016-07-11,1224.17,NA
2016-07-15,1225.44,NA
2016-07-18,1226.06,NA
2016-07-25,1227.47,NA
2016-07-26,1227.68,NA
2016-08-01,1228.9,NA
2016-08-04,1229.36,NA
2016-08-08,1230.17,NA
2016-08-15,1231.23,NA
2016-08-22,1232.63,NA
2016-08-29,1234.07,NA
2016-08-30,1234.27,NA
2016-09-05,1235.42,NA
2016-09-08,1236.02,NA
2016-09-13,1237.02,NA
2016-09-16,1237.62,NA
2016-09-20,1238.43,NA
2016-09-26,1239.64,NA
2016-09-28,1240.06,NA
2016-10-04,1241.27,NA
2016-10-05,1241.47,NA
2016-10-12,1242.89,NA
2016-10-13,1243.07,NA
2016-10-20,1244.48,NA
2016-10-21,1244.69,NA
2016-10-28,1246.1,NA
2016-10-31,1246.71,NA
2016-11-04,1247.52,NA
2016-11-07,1248.13,NA
2016-11-14,1249.56,NA
2016-11-16,1249.94,NA
2016-11-21,1250.96,NA
2016-11-25,1251.77,NA
2016-11-28,1252.38,NA
2016-12-05,1253.82,NA
2016-12-13,1255.49,NA
2016-12-19,1256.75,NA
2016-12-21,1257.17,NA
2016-12-27,1258.45,NA
