tanggal,NAV,AUM
2017-12-01,NA,82800000000.0
2018-01-01,NA,285750000000.0
2018-01-30,1121.74,NA
2018-02-01,NA,290890000000.0
2018-02-05,1123.47,NA
2018-02-09,1123.07,NA
2018-02-14,1123.08,NA
2018-02-21,1122.67,NA
2018-02-26,1121.13,NA
2018-03-01,NA,286320000000.0
2018-03-02,1118.0,NA
2018-03-07,1116.3,NA
2018-03-13,1116.96,NA
2018-03-19,1121.34,NA
2018-03-23,1133.17,NA
2018-03-28,1122.16,NA
2018-04-01,NA,192380000000.0
2018-04-03,1126.47,NA
2018-04-09,1127.68,NA
2018-04-13,1128.63,NA
2018-04-18,1127.05,NA
2018-04-24,1120.48,NA
2018-04-30,1119.06,NA
2018-05-01,NA,186800000000.0
2018-05-04,1119.18,NA
2018-05-09,1111.4,NA
2018-05-15,1115.25,NA
2018-05-21,1109.67,NA
2018-05-25,1108.53,NA
2018-05-30,1115.73,NA
2018-06-01,NA,187830000000.0
2018-06-05,1121.43,NA
2018-06-20,1119.74,NA
2018-06-26,1112.33,NA
2018-07-01,NA,190600000000.0
2018-07-02,1105.87,NA
2018-07-06,1112.13,NA
2018-07-11,1119.38,NA
2018-07-17,1118.91,NA
2018-07-23,1116.54,NA
2018-07-27,1117.35,NA
2018-08-01,1118.21,91260000000.0
2018-08-07,1120.99,NA
2018-08-13,1124.03,NA
2018-08-20,1124.25,NA
2018-08-23,1123.97,NA
2018-08-28,1126.0,NA
2018-09-01,NA,87680000000.0
2018-09-03,1124.71,NA
2018-09-07,1111.56,NA
2018-09-12,1112.38,NA
2018-09-18,1115.97,NA
2018-09-24,1118.94,NA
2018-09-28,1122.81,NA
2018-10-01,NA,70820000000.0
2018-10-03,1123.46,NA
2018-10-09,1119.02,NA
2018-10-15,1115.65,NA
2018-10-19,1117.8,NA
2018-10-24,1122.17,NA
2018-10-30,1123.54,NA
2018-11-01,NA,72440000000.0
2018-11-05,1134.17,NA
2018-11-09,1139.3,NA
2018-11-14,1138.83,NA
2018-11-21,1142.3,NA
2018-11-26,1144.55,NA
2018-11-30,1147.77,NA
2018-12-01,NA,53060000000.0
2018-12-05,1147.32,NA
2018-12-11,1142.58,NA
2018-12-17,1147.07,NA
2018-12-21,1152.02,NA
2018-12-26,1152.97,NA
2019-01-01,NA,58540000000.0
2019-01-02,1153.56,NA
2019-01-07,1156.57,NA
2019-01-11,1155.38,NA
2019-01-16,1155.69,NA
2019-01-21,1157.77,NA
2019-01-28,1159.69,NA
2019-02-01,1165.61,59440000000.0
2019-02-06,1170.14,NA
2019-02-11,1169.42,NA
2019-02-18,1168.72,NA
2019-02-22,1170.82,NA
2019-02-27,1177.89,NA
2019-03-01,NA,49550000000.0
2019-03-04,1180.06,NA
2019-03-11,1181.35,NA
2019-03-15,1186.66,NA
2019-03-20,1189.31,NA
2019-03-25,1191.21,NA
2019-04-01,1193.77,54740000000.0
2019-04-05,1194.71,NA
2019-04-10,1192.83,NA
2019-04-15,1195.54,NA
2019-04-22,1198.66,NA
2019-04-26,1197.07,NA
2019-05-01,NA,54560000000.0
2019-05-02,1196.47,NA
2019-05-06,1194.23,NA
2019-05-13,1196.07,NA
2019-05-17,1195.78,NA
2019-05-22,1195.18,NA
2019-05-27,1199.51,NA
2019-06-01,NA,55940000000.0
2019-06-10,1204.86,NA
2019-06-12,1205.52,NA
2019-06-17,1210.0,NA
2019-06-24,1215.84,NA
2019-06-28,1219.38,NA
2019-07-01,NA,61890000000.0
2019-07-03,1222.26,NA
2019-07-08,1225.12,NA
2019-07-15,1234.52,NA
2019-07-19,1236.13,NA
2019-07-24,1233.67,NA
2019-07-29,1233.59,NA
2019-08-01,NA,62160000000.0
2019-08-05,1227.15,NA
2019-08-09,1234.37,NA
2019-08-14,1234.74,NA
2019-08-19,1237.75,NA
2019-08-26,1239.7,NA
2019-08-30,1238.71,NA
2019-09-01,NA,62250000000.0
2019-09-04,1240.36,NA
2019-09-09,1242.66,NA
2019-09-16,1244.4,NA
2019-09-20,1246.19,NA
2019-09-25,1246.15,NA
2019-09-30,1247.72,NA
2019-10-01,NA,62940000000.0
2019-10-07,1249.37,NA
2019-10-11,1251.0,NA
2019-10-16,1252.37,NA
2019-10-21,1254.28,NA
2019-10-28,1257.72,NA
2019-11-01,1259.88,63570000000.0
2019-11-06,1262.54,NA
2019-11-11,1264.86,NA
2019-11-18,1265.35,NA
2019-11-22,1265.87,NA
2019-11-27,1267.55,NA
2019-12-01,NA,67040000000.00001
2019-12-02,1268.29,NA
2019-12-09,1271.3,NA
2019-12-13,1270.74,NA
2019-12-18,1269.51,NA
2019-12-23,1272.94,NA
2019-12-30,1276.07,NA
2020-01-01,NA,78210000000.0
2020-01-03,1277.24,NA
2020-01-08,1279.55,NA
2020-01-13,1283.58,NA
2020-01-20,1287.88,NA
2020-01-24,1292.96,NA
2020-01-29,1291.35,NA
2020-02-01,NA,85610000000.0
2020-02-03,1291.59,NA
2020-02-06,1223.54,NA
2020-02-10,1296.34,NA
2020-02-13,1229.3,NA
2020-02-14,1301.71,NA
2020-02-17,1230.54,NA
2020-02-19,1303.18,NA
2020-02-21,1233.09,NA
2020-02-24,1305.13,NA
2020-02-28,1230.78,NA
2020-03-01,NA,61820000000.0
2020-03-02,1301.46,NA
2020-03-03,1230.34,NA
2020-03-06,1307.19,NA
2020-03-09,1231.42,NA
2020-03-10,1230.52,NA
2020-03-11,1303.75,NA
2020-03-16,1301.69,NA
2020-03-18,1222.85,NA
2020-03-23,1280.58,NA
2020-03-26,1208.41,NA
2020-03-27,1282.15,NA
2020-03-30,1212.74,NA
2020-04-01,1282.92,62350000000.0
2020-04-02,1210.11,NA
2020-04-06,1281.54,NA
2020-04-09,1211.3,NA
2020-04-13,1283.56,NA
2020-04-17,1288.49,NA
2020-04-21,1220.82,NA
2020-04-22,1292.62,NA
2020-04-24,1219.97,NA
2020-04-27,1292.14,NA
2020-04-28,1218.87,NA
2020-05-01,NA,67569999999.99999
2020-05-04,1292.85,NA
2020-05-05,1220.57,NA
2020-05-08,1291.63,NA
2020-05-11,1221.26,NA
2020-05-13,1297.1,NA
2020-05-18,1302.13,NA
2020-05-20,1232.28,NA
2020-05-26,1306.43,NA
2020-05-28,1236.16,NA
2020-05-29,1306.41,NA
2020-06-01,NA,68720000000.0
2020-06-02,1237.56,NA
2020-06-03,1315.55,NA
2020-06-04,1240.47,NA
2020-06-08,1312.18,NA
2020-06-12,1240.85,NA
2020-06-15,1314.26,NA
2020-06-16,1241.45,NA
2020-06-19,1315.88,NA
2020-06-23,1244.74,NA
2020-06-24,1319.28,NA
2020-06-29,1321.38,NA
2020-07-01,1248.21,73740000000.0
2020-07-06,1323.58,NA
2020-07-08,1250.73,NA
2020-07-10,1326.79,NA
2020-07-13,1254.17,NA
2020-07-15,1328.6,NA
2020-07-20,1331.32,NA
2020-07-23,1262.52,NA
2020-07-27,1338.6,NA
2020-07-30,1266.22,NA
2020-08-01,NA,74150000000.0
2020-08-03,1341.63,NA
2020-08-05,1341.26,NA
2020-08-07,1268.28,NA
2020-08-10,1344.63,NA
2020-08-11,1271.47,NA
2020-08-14,1274.42,NA
2020-08-18,1351.13,NA
2020-08-24,1352.02,NA
2020-08-26,1350.91,NA
2020-08-31,1344.43,NA
2020-09-01,NA,74070000000.0
2020-09-02,1268.06,NA
2020-09-07,1343.85,NA
2020-09-10,1267.63,NA
2020-09-11,1342.28,NA
2020-09-14,1267.87,NA
2020-09-16,1341.78,NA
2020-09-17,1267.33,NA
2020-09-21,1342.07,NA
2020-09-24,1268.5,NA
2020-09-28,1344.97,NA
