tanggal,NAV,AUM,currency
2014-04-14,1003.6,NA,IDR
2014-04-21,1008.73,NA,IDR
2014-04-30,1003.31,NA,IDR
2014-05-01,NA,22280000000.0,IDR
2014-05-08,1011.43,NA,IDR
2014-05-16,1053.97,NA,IDR
2014-05-26,1036.63,NA,IDR
2014-06-01,NA,23740000000.0,IDR
2014-06-02,1018.05,NA,IDR
2014-06-09,1012.62,NA,IDR
2014-06-17,1026.45,NA,IDR
2014-06-25,1009.1,NA,IDR
2014-07-01,NA,19200000000.0,IDR
2014-07-03,1017.06,NA,IDR
2014-07-11,1058.04,NA,IDR
2014-07-21,1081.67,NA,IDR
2014-08-01,NA,39120000000.0,IDR
2014-08-04,1071.27,NA,IDR
2014-08-05,1068.73,NA,IDR
2014-08-13,1076.86,NA,IDR
2014-08-21,1082.84,NA,IDR
2014-08-29,1059.72,NA,IDR
2014-09-01,NA,54900000000.0,IDR
2014-09-08,1082.91,NA,IDR
2014-09-15,1066.12,NA,IDR
2014-09-22,1079.49,NA,IDR
2014-09-30,1057.97,NA,IDR
2014-10-01,NA,59070000000.0,IDR
2014-10-08,1024.03,NA,IDR
2014-10-16,1022.61,NA,IDR
2014-10-27,1039.21,NA,IDR
2014-11-01,NA,60640000000.0,IDR
2014-11-03,1054.04,NA,IDR
2014-11-10,1022.08,NA,IDR
2014-11-18,1063.47,NA,IDR
2014-11-26,1082.35,NA,IDR
2014-12-01,NA,102470000000.0,IDR
2014-12-04,1101.92,NA,IDR
2014-12-12,1096.63,NA,IDR
2014-12-22,1084.67,NA,IDR
2014-12-29,1093.82,NA,IDR
2015-01-01,NA,131539999999.99998,IDR
2015-01-05,1104.18,NA,IDR
2015-01-13,1100.68,NA,IDR
2015-01-22,1114.03,NA,IDR
2015-01-30,1124.88,NA,IDR
2015-02-01,NA,115190000000.0,IDR
2015-02-09,1142.21,NA,IDR
2015-02-16,1133.28,NA,IDR
2015-02-23,1158.38,NA,IDR
2015-02-24,1161.01,NA,IDR
2015-03-01,NA,172720000000.0,IDR
2015-03-03,1163.65,NA,IDR
2015-03-11,1141.57,NA,IDR
2015-03-18,1141.04,NA,IDR
2015-03-19,1152.12,NA,IDR
2015-03-26,1124.58,NA,IDR
2015-03-27,1135.29,NA,IDR
2015-04-01,NA,194860000000.0,IDR
2015-04-02,1154.64,NA,IDR
2015-04-06,1167.98,NA,IDR
2015-04-10,1157.33,NA,IDR
2015-04-13,1150.72,NA,IDR
2015-04-17,1144.17,NA,IDR
2015-04-21,1157.74,NA,IDR
2015-04-27,1115.15,NA,IDR
2015-04-29,1072.95,NA,IDR
2015-05-01,NA,208130000000.0,IDR
2015-05-04,1083.29,NA,IDR
2015-05-07,1082.76,NA,IDR
2015-05-11,1085.98,NA,IDR
2015-05-15,1104.01,NA,IDR
2015-05-18,1106.51,NA,IDR
2015-05-25,1124.43,NA,IDR
2015-06-01,1113.07,270300000000.0,IDR
2015-06-08,1058.55,NA,IDR
2015-06-09,1030.31,NA,IDR
2015-06-16,1017.82,NA,IDR
2015-06-24,1042.31,NA,IDR
2015-07-01,1022.34,293660000000.0,IDR
2015-07-02,1041.6,NA,IDR
2015-07-08,1026.97,NA,IDR
2015-07-10,1026.98,NA,IDR
2015-07-22,1040.26,NA,IDR
2015-07-23,1038.52,NA,IDR
2015-07-27,1005.75,NA,IDR
2015-07-31,1004.34,NA,IDR
2015-08-01,NA,335930000000.0,IDR
2015-08-04,1000.49,NA,IDR
2015-08-07,1002.61,NA,IDR
2015-08-12,941.58,NA,IDR
2015-08-18,952.16,NA,IDR
2015-08-20,936.23,NA,IDR
2015-08-24,875.9,NA,IDR
2015-08-28,947.88,NA,IDR
2015-08-31,963.23,NA,IDR
2015-09-01,NA,423490000000.0,IDR
2015-09-07,906.61,NA,IDR
2015-09-14,923.66,NA,IDR
2015-09-21,917.35,NA,IDR
2015-09-29,877.24,NA,IDR
2015-10-01,NA,540000000000.00006,IDR
2015-10-06,941.49,NA,IDR
2015-10-07,950.17,NA,IDR
2015-10-15,960.42,NA,IDR
2015-10-16,972.67,NA,IDR
2015-10-21,994.49,NA,IDR
2015-10-26,1017.98,NA,IDR
2015-10-29,959.76,NA,IDR
2015-11-01,NA,570000000000.0,IDR
2015-11-02,957.54,NA,IDR
2015-11-05,987.64,NA,IDR
2015-11-09,960.68,NA,IDR
2015-11-13,958.01,NA,IDR
2015-11-17,967.78,NA,IDR
2015-11-20,981.71,NA,IDR
2015-11-25,981.89,NA,IDR
2015-11-27,974.03,NA,IDR
2015-12-01,NA,690000000000.0,IDR
2015-12-03,973.43,NA,IDR
2015-12-07,977.0,NA,IDR
2015-12-11,952.96,NA,IDR
2015-12-14,948.06,NA,IDR
2015-12-21,974.05,NA,IDR
2015-12-28,987.9,NA,IDR
2016-01-01,NA,1150000000000.0,IDR
2016-01-04,1000.01,NA,IDR
2016-01-11,1079.95,NA,IDR
2016-01-13,1071.13,NA,IDR
2016-01-19,1076.76,NA,IDR
2016-01-21,969.84,NA,IDR
2016-01-26,987.08,NA,IDR
2016-01-29,1009.19,NA,IDR
2016-02-01,NA,1320000000000.0,IDR
2016-02-03,1002.0,NA,IDR
2016-02-09,1045.74,NA,IDR
2016-02-10,1042.0,NA,IDR
2016-02-15,1047.18,NA,IDR
2016-02-18,1050.39,NA,IDR
2016-02-22,1011.21,NA,IDR
2016-02-25,1009.34,NA,IDR
2016-03-01,1036.39,1160000000000.0,IDR
2016-03-04,1050.88,NA,IDR
