tanggal,NAV,AUM,currency
2017-12-01,NA,335210000000.0,IDR
2018-01-01,NA,200700000000.0,IDR
2018-01-30,1027.29,NA,IDR
2018-02-01,NA,191810000000.0,IDR
2018-02-05,1031.14,NA,IDR
2018-02-09,1029.34,NA,IDR
2018-02-14,1026.83,NA,IDR
2018-02-21,1025.32,NA,IDR
2018-02-26,1022.88,NA,IDR
2018-03-01,NA,175890000000.0,IDR
2018-03-02,1015.99,NA,IDR
2018-03-07,1012.65,NA,IDR
2018-03-13,1012.24,NA,IDR
2018-03-19,1008.78,NA,IDR
2018-03-23,1018.0,NA,IDR
2018-03-28,1015.95,NA,IDR
2018-04-01,NA,175170000000.0,IDR
2018-04-03,1023.74,NA,IDR
2018-04-09,1024.32,NA,IDR
2018-04-13,1028.4,NA,IDR
2018-04-18,1024.08,NA,IDR
2018-04-24,1009.58,NA,IDR
2018-04-30,1012.84,NA,IDR
2018-05-01,NA,176480000000.0,IDR
2018-05-04,1008.94,NA,IDR
2018-05-09,992.15,NA,IDR
2018-05-15,1000.07,NA,IDR
2018-05-21,985.26,NA,IDR
2018-05-25,988.57,NA,IDR
2018-05-30,1000.55,NA,IDR
2018-06-01,NA,171090000000.0,IDR
2018-06-05,1006.19,NA,IDR
2018-06-20,1001.89,NA,IDR
2018-06-26,981.2,NA,IDR
2018-07-01,NA,171400000000.0,IDR
2018-07-02,975.62,NA,IDR
2018-07-06,982.67,NA,IDR
2018-07-11,990.93,NA,IDR
2018-07-17,989.12,NA,IDR
2018-07-23,980.58,NA,IDR
2018-07-27,983.57,NA,IDR
2018-08-01,984.83,170970000000.0,IDR
2018-08-07,985.36,NA,IDR
2018-08-13,986.33,NA,IDR
2018-08-20,986.7,NA,IDR
2018-08-23,987.35,NA,IDR
2018-08-28,988.08,NA,IDR
2018-09-01,NA,171260000000.0,IDR
2018-09-03,978.13,NA,IDR
2018-09-07,965.14,NA,IDR
2018-09-12,961.36,NA,IDR
2018-09-18,968.5,NA,IDR
2018-09-24,974.44,NA,IDR
2018-09-28,979.61,NA,IDR
2018-10-01,NA,171530000000.0,IDR
2018-10-03,977.27,NA,IDR
2018-10-09,969.35,NA,IDR
2018-10-15,962.47,NA,IDR
2018-10-19,966.1,NA,IDR
2018-10-24,969.54,NA,IDR
2018-10-30,971.87,NA,IDR
2018-11-01,NA,176850000000.0,IDR
2018-11-05,982.26,NA,IDR
2018-11-09,990.93,NA,IDR
2018-11-14,989.97,NA,IDR
2018-11-21,994.34,NA,IDR
2018-11-26,997.86,NA,IDR
2018-11-30,1002.76,NA,IDR
2018-12-01,NA,176230000000.0,IDR
2018-12-05,1000.11,NA,IDR
2018-12-11,987.22,NA,IDR
2018-12-17,993.31,NA,IDR
2018-12-21,1003.01,NA,IDR
2018-12-26,1004.52,NA,IDR
2019-01-01,NA,177390000000.0,IDR
2019-01-02,1003.31,NA,IDR
2019-01-07,1008.6,NA,IDR
2019-01-11,1003.7,NA,IDR
2019-01-16,1000.49,NA,IDR
2019-01-22,998.87,NA,IDR
2019-01-28,1001.51,NA,IDR
2019-02-01,1014.85,155480000000.0,IDR
2019-02-06,1028.77,NA,IDR
2019-02-12,1020.15,NA,IDR
2019-02-18,1013.02,NA,IDR
2019-02-22,1018.55,NA,IDR
2019-02-27,1024.96,NA,IDR
2019-03-01,NA,158070000000.0,IDR
2019-03-05,1023.75,NA,IDR
2019-03-11,1020.59,NA,IDR
2019-03-15,1031.11,NA,IDR
2019-03-20,1037.93,NA,IDR
2019-03-26,1044.11,NA,IDR
2019-04-01,1044.16,157110000000.0,IDR
2019-04-05,1046.4,NA,IDR
2019-04-10,1041.79,NA,IDR
2019-04-16,1046.48,NA,IDR
2019-04-22,1046.17,NA,IDR
2019-04-26,1038.78,NA,IDR
2019-05-01,NA,156860000000.0,IDR
2019-05-02,1033.71,NA,IDR
2019-05-07,1024.9,NA,IDR
2019-05-13,1021.73,NA,IDR
2019-05-17,1022.41,NA,IDR
2019-05-22,1019.93,NA,IDR
2019-05-28,1030.31,NA,IDR
2019-06-01,NA,59640000000.0,IDR
2019-06-10,1044.44,NA,IDR
2019-06-12,1048.37,NA,IDR
2019-06-18,1056.4,NA,IDR
2019-06-24,1066.24,NA,IDR
2019-06-28,1075.32,NA,IDR
2019-07-01,NA,60550000000.0,IDR
2019-07-03,1082.66,NA,IDR
2019-07-09,1086.19,NA,IDR
2019-07-15,1096.7,NA,IDR
2019-07-19,1096.05,NA,IDR
2019-07-24,1088.72,NA,IDR
2019-07-30,1086.19,NA,IDR
2019-08-01,NA,60140000000.0,IDR
2019-08-05,1065.95,NA,IDR
2019-08-09,1085.19,NA,IDR
2019-08-14,1081.9,NA,IDR
2019-08-20,1087.27,NA,IDR
2019-08-26,1090.3,NA,IDR
2019-08-30,1086.65,NA,IDR
2019-09-01,NA,62740000000.0,IDR
2019-09-04,1087.69,NA,IDR
2019-09-10,1093.42,NA,IDR
2019-09-16,1094.99,NA,IDR
2019-09-20,1096.31,NA,IDR
2019-09-25,1091.9,NA,IDR
2019-10-01,1095.66,62640000000.0,IDR
2019-10-07,1098.92,NA,IDR
2019-10-11,1098.74,NA,IDR
2019-10-16,1104.17,NA,IDR
2019-10-22,1109.6,NA,IDR
2019-10-28,1113.74,NA,IDR
2019-11-01,1118.43,62830000000.0,IDR
2019-11-06,1120.57,NA,IDR
2019-11-12,1120.63,NA,IDR
2019-11-18,1120.18,NA,IDR
2019-11-22,1118.56,NA,IDR
2019-11-27,1118.42,NA,IDR
2019-12-01,NA,61030000000.0,IDR
2019-12-03,1114.33,NA,IDR
2019-12-09,1117.87,NA,IDR
2019-12-13,1111.91,NA,IDR
2019-12-18,1106.53,NA,IDR
2019-12-26,1121.04,NA,IDR
2019-12-30,1123.72,NA,IDR
2020-01-01,NA,65620000000.00001,IDR
2020-01-03,1127.61,NA,IDR
2020-01-08,1129.23,NA,IDR
2020-01-14,1138.52,NA,IDR
2020-01-20,1141.95,NA,IDR
2020-01-24,1157.32,NA,IDR
2020-01-29,1152.75,NA,IDR
2020-02-01,NA,68010000000.00001,IDR
2020-02-04,1155.53,NA,IDR
2020-02-07,1159.53,NA,IDR
2020-02-10,1158.88,NA,IDR
2020-02-14,1163.45,NA,IDR
2020-02-18,1168.06,NA,IDR
2020-02-19,1168.43,NA,IDR
2020-02-24,1165.27,NA,IDR
2020-02-25,1164.75,NA,IDR
2020-03-01,NA,62980000000.0,IDR
2020-03-02,1136.51,NA,IDR
2020-03-04,1170.79,NA,IDR
2020-03-06,1161.33,NA,IDR
2020-03-09,1138.82,NA,IDR
2020-03-11,1143.04,NA,IDR
2020-03-16,1117.93,NA,IDR
2020-03-17,1107.24,NA,IDR
2020-03-19,1073.82,NA,IDR
2020-03-23,1063.77,NA,IDR
2020-03-26,1068.18,NA,IDR
2020-03-27,1082.08,NA,IDR
2020-03-30,1079.69,NA,IDR
2020-04-01,1076.52,63870000000.0,IDR
2020-04-03,1071.56,NA,IDR
2020-04-07,1067.45,NA,IDR
2020-04-13,1075.91,NA,IDR
2020-04-14,1078.54,NA,IDR
2020-04-17,1088.29,NA,IDR
2020-04-20,1095.89,NA,IDR
2020-04-22,1096.27,NA,IDR
2020-04-27,1090.54,NA,IDR
2020-04-28,1088.57,NA,IDR
2020-04-29,1088.47,NA,IDR
2020-05-01,NA,65810000000.0,IDR
2020-05-04,1090.62,NA,IDR
2020-05-06,1081.98,NA,IDR
2020-05-08,1081.73,NA,IDR
2020-05-11,1084.86,NA,IDR
2020-05-13,1092.16,NA,IDR
2020-05-14,1096.73,NA,IDR
2020-05-18,1106.81,NA,IDR
2020-05-19,1110.42,NA,IDR
2020-05-26,1125.49,NA,IDR
2020-05-29,1128.09,NA,IDR
2020-06-01,NA,66980000000.00001,IDR
2020-06-02,1135.38,NA,IDR
2020-06-03,1148.59,NA,IDR
2020-06-05,1140.51,NA,IDR
2020-06-09,1135.75,NA,IDR
2020-06-15,1136.61,NA,IDR
2020-06-17,1140.07,NA,IDR
2020-06-19,1140.21,NA,IDR
2020-06-22,1141.65,NA,IDR
2020-06-24,1147.66,NA,IDR
2020-06-29,1145.44,NA,IDR
2020-06-30,1146.73,NA,IDR
2020-07-01,NA,69140000000.0,IDR
2020-07-02,1145.71,NA,IDR
2020-07-06,1146.46,NA,IDR
2020-07-09,1152.58,NA,IDR
2020-07-10,1154.53,NA,IDR
2020-07-13,1156.41,NA,IDR
2020-07-15,1157.1,NA,IDR
2020-07-16,1160.15,NA,IDR
2020-07-20,1159.26,NA,IDR
2020-07-21,1161.73,NA,IDR
2020-07-24,1172.95,NA,IDR
2020-07-27,1173.34,NA,IDR
2020-07-28,1176.31,NA,IDR
2020-08-01,NA,69630000000.0,IDR
2020-08-03,1178.47,NA,IDR
2020-08-04,1178.92,NA,IDR
2020-08-05,1181.91,NA,IDR
2020-08-10,1183.96,NA,IDR
2020-08-11,1186.78,NA,IDR
2020-08-12,1188.88,NA,IDR
2020-08-18,1190.92,NA,IDR
2020-08-19,1193.62,NA,IDR
2020-08-24,1194.6,NA,IDR
2020-08-26,1194.01,NA,IDR
2020-08-27,1191.9,NA,IDR
2020-08-31,1189.85,NA,IDR
2020-09-01,1190.58,69090000000.0,IDR
2020-09-03,1187.14,NA,IDR
2020-09-07,1188.82,NA,IDR
2020-09-11,1186.03,NA,IDR
2020-09-14,1187.77,NA,IDR
2020-09-16,1188.82,NA,IDR
2020-09-18,1189.37,NA,IDR
2020-09-22,1188.83,NA,IDR
2020-09-25,1187.51,NA,IDR
2020-09-28,1189.13,NA,IDR
2020-09-29,1187.3,NA,IDR
2020-10-01,NA,70350000000.0,IDR
2020-10-02,1188.32,NA,IDR
2020-10-05,1189.78,NA,IDR
2020-10-07,1189.86,NA,IDR
2020-10-12,1191.64,NA,IDR
2020-10-13,1192.79,NA,IDR
2020-10-14,1193.74,NA,IDR
2020-10-19,1203.62,NA,IDR
2020-10-22,1207.88,NA,IDR
2020-10-23,1207.27,NA,IDR
2020-10-26,1207.92,NA,IDR
2020-11-01,NA,80980000000.0,IDR
2020-11-02,1208.93,NA,IDR
2020-11-03,1209.59,NA,IDR
2020-11-06,1224.55,NA,IDR
2020-11-09,1231.63,NA,IDR
2020-11-13,1228.44,NA,IDR
2020-11-17,1240.74,NA,IDR
2020-11-18,1242.09,NA,IDR
2020-11-23,1242.44,NA,IDR
2020-11-24,1244.44,NA,IDR
2020-11-30,1248.83,NA,IDR
2020-12-01,NA,85870000000.0,IDR
2020-12-02,1249.92,NA,IDR
2020-12-04,1250.82,NA,IDR
2020-12-07,1251.42,NA,IDR
2020-12-10,1253.32,NA,IDR
2020-12-14,1260.15,NA,IDR
2020-12-15,1261.83,NA,IDR
2020-12-17,1274.78,NA,IDR
2020-12-21,1269.8,NA,IDR
2020-12-28,1272.72,NA,IDR
2020-12-30,1272.09,NA,IDR
2021-01-01,NA,83990000000.0,IDR
2021-01-04,1274.99,NA,IDR
2021-01-05,1272.47,NA,IDR
2021-01-08,1262.83,NA,IDR
2021-01-11,1258.7,NA,IDR
2021-01-12,1256.51,NA,IDR
2021-01-15,1254.11,NA,IDR
2021-01-18,1253.22,NA,IDR
2021-01-19,1250.83,NA,IDR
2021-01-20,1248.27,NA,IDR
2021-01-25,1248.9,NA,IDR
2021-01-26,1249.94,NA,IDR
2021-01-27,1250.59,NA,IDR
2021-02-01,1259.09,81810000000.0,IDR
2021-02-03,1265.49,NA,IDR
2021-02-05,1263.17,NA,IDR
2021-02-08,1262.14,NA,IDR
2021-02-10,1260.07,NA,IDR
2021-02-11,1261.28,NA,IDR
2021-02-15,1261.07,NA,IDR
2021-02-16,1259.78,NA,IDR
2021-02-18,1249.29,NA,IDR
2021-02-22,1235.0,NA,IDR
2021-02-26,1226.77,NA,IDR
2021-03-01,1229.03,76090000000.0,IDR
2021-03-03,1232.07,NA,IDR
2021-03-05,1225.57,NA,IDR
2021-03-09,1213.13,NA,IDR
2021-03-15,1215.27,NA,IDR
2021-03-16,1215.72,NA,IDR
2021-03-19,1214.16,NA,IDR
2021-03-22,1215.4,NA,IDR
2021-03-24,1223.19,NA,IDR
2021-03-29,1222.32,NA,IDR
2021-03-30,1220.12,NA,IDR
2021-03-31,1220.47,NA,IDR
2021-04-01,NA,77520000000.0,IDR
2021-04-05,1228.89,NA,IDR
2021-04-08,1241.28,NA,IDR
2021-04-09,1243.07,NA,IDR
2021-04-12,1239.1,NA,IDR
2021-04-14,1235.05,NA,IDR
2021-04-15,1233.6,NA,IDR
2021-04-19,1241.13,NA,IDR
2021-04-20,1244.32,NA,IDR
2021-04-23,1244.91,NA,IDR
2021-04-26,1245.81,NA,IDR
2021-04-27,1245.55,NA,IDR
2021-04-30,1245.14,NA,IDR
2021-05-01,NA,78980000000.0,IDR
2021-05-04,1248.03,NA,IDR
2021-05-05,1249.02,NA,IDR
2021-05-10,1254.11,NA,IDR
2021-05-11,1253.79,NA,IDR
2021-05-17,1253.21,NA,IDR
2021-05-19,1252.86,NA,IDR
2021-05-21,1254.1,NA,IDR
2021-05-24,1255.87,NA,IDR
2021-05-27,1256.8,NA,IDR
2021-05-31,1259.53,NA,IDR
2021-06-01,NA,79840000000.0,IDR
2021-06-02,1261.71,NA,IDR
2021-06-03,1263.65,NA,IDR
2021-06-07,1264.55,NA,IDR
2021-06-10,1268.46,NA,IDR
2021-06-11,1271.37,NA,IDR
2021-06-14,1270.62,NA,IDR
2021-06-16,1269.44,NA,IDR
2021-06-18,1263.64,NA,IDR
2021-06-22,1259.74,NA,IDR
2021-06-25,1262.52,NA,IDR
2021-06-28,1262.79,NA,IDR
2021-06-29,1260.23,NA,IDR
2021-07-01,NA,81480000000.0,IDR
2021-07-02,1259.1,NA,IDR
2021-07-05,1260.93,NA,IDR
2021-07-07,1262.72,NA,IDR
2021-07-12,1262.61,NA,IDR
2021-07-13,1264.45,NA,IDR
2021-07-14,1267.32,NA,IDR
2021-07-19,1273.16,NA,IDR
2021-07-22,1274.12,NA,IDR
2021-07-23,1273.74,NA,IDR
2021-07-26,1274.31,NA,IDR
2021-07-28,1275.13,NA,IDR
2021-07-29,1276.72,NA,IDR
2021-08-01,NA,83390000000.0,IDR
2021-08-02,1279.54,NA,IDR
2021-08-03,1282.03,NA,IDR
2021-08-05,1283.22,NA,IDR
2021-08-09,1280.84,NA,IDR
2021-08-13,1278.61,NA,IDR
2021-08-18,1280.86,NA,IDR
2021-08-20,1280.34,NA,IDR
2021-08-24,1283.35,NA,IDR
2021-08-30,1291.26,NA,IDR
2021-09-01,1294.48,84290000000.0,IDR
2021-09-03,1293.61,NA,IDR
2021-09-06,1294.53,NA,IDR
2021-09-08,1293.76,NA,IDR
2021-09-13,1294.93,NA,IDR
2021-09-14,1295.96,NA,IDR
2021-09-16,1297.58,NA,IDR
2021-09-20,1297.46,NA,IDR
2021-09-23,1295.12,NA,IDR
2021-09-24,1292.58,NA,IDR
2021-09-27,1293.46,NA,IDR
2021-09-29,1290.66,NA,IDR
2021-10-01,NA,85100000000.0,IDR
2021-10-04,1288.55,NA,IDR
2021-10-05,1290.14,NA,IDR
2021-10-08,1287.18,NA,IDR
2021-10-11,1285.76,NA,IDR
2021-10-12,1286.11,NA,IDR
2021-10-15,1292.74,NA,IDR
2021-10-19,1293.38,NA,IDR
2021-10-21,1292.79,NA,IDR
2021-10-25,1294.32,NA,IDR
2021-10-26,1295.49,NA,IDR
2021-10-27,1295.83,NA,IDR
2021-11-01,NA,84860000000.0,IDR
2021-11-02,1292.97,NA,IDR
2021-11-03,1293.58,NA,IDR
2021-11-05,1295.4,NA,IDR
2021-11-08,1297.87,NA,IDR
2021-11-10,1299.05,NA,IDR
2021-11-11,1298.4,NA,IDR
2021-11-15,1299.01,NA,IDR
2021-11-16,1300.22,NA,IDR
2021-11-18,1299.93,NA,IDR
2021-11-22,1300.5,NA,IDR
2021-11-26,1299.9,NA,IDR
2021-11-30,1298.5,NA,IDR
2021-12-01,1294.72,83130000000.0,IDR
2021-12-07,1288.41,NA,IDR
2021-12-13,1293.45,NA,IDR
2021-12-14,1290.84,NA,IDR
2021-12-20,1289.87,NA,IDR
2021-12-22,1293.36,NA,IDR
2021-12-27,1295.21,NA,IDR
2021-12-28,1294.84,NA,IDR
2021-12-29,1294.66,NA,IDR
2022-01-01,NA,82410000000.0,IDR
2022-01-03,1294.34,NA,IDR
2022-01-06,1290.02,NA,IDR
2022-01-07,1286.9,NA,IDR
2022-01-10,1286.56,NA,IDR
2022-01-12,1288.62,NA,IDR
2022-01-13,1288.05,NA,IDR
2022-01-17,1289.43,NA,IDR
2022-01-18,1289.43,NA,IDR
2022-01-21,1287.21,NA,IDR
2022-01-24,1287.74,NA,IDR
2022-01-31,1289.31,NA,IDR
2022-02-01,NA,82170000000.0,IDR
2022-02-02,1290.45,NA,IDR
2022-02-08,1289.62,NA,IDR
2022-02-10,1290.56,NA,IDR
2022-02-14,1289.34,NA,IDR
2022-02-15,1289.78,NA,IDR
2022-02-16,1290.0,NA,IDR
2022-02-17,1290.94,NA,IDR
2022-02-18,1291.47,NA,IDR
2022-02-21,1291.83,NA,IDR
2022-02-22,1291.98,NA,IDR
2022-02-23,1292.09,NA,IDR
2022-02-24,1292.07,NA,IDR
2022-03-01,1292.43,81600000000.0,IDR
2022-03-04,1286.96,NA,IDR
2022-03-07,1282.54,NA,IDR
2022-03-09,1278.55,NA,IDR
2022-03-10,1280.67,NA,IDR
2022-03-11,1281.41,NA,IDR
2022-03-14,1282.67,NA,IDR
2022-03-16,1280.56,NA,IDR
2022-03-18,1282.02,NA,IDR
2022-03-21,1283.77,NA,IDR
2022-03-23,1283.39,NA,IDR
2022-03-28,1286.92,NA,IDR
2022-03-29,1284.8,NA,IDR
2022-04-01,1284.61,80270000000.0,IDR
2022-04-04,1284.89,NA,IDR
2022-04-05,1286.6,NA,IDR
2022-04-06,1285.35,NA,IDR
2022-04-07,1285.75,NA,IDR
2022-04-11,1283.0,NA,IDR
2022-04-12,1282.57,NA,IDR
2022-04-13,1282.11,NA,IDR
2022-04-18,1281.21,NA,IDR
2022-04-19,1279.24,NA,IDR
2022-04-20,1278.01,NA,IDR
2022-04-21,1277.21,NA,IDR
2022-04-22,1275.83,NA,IDR
2022-04-25,1273.81,NA,IDR
2022-04-28,1272.85,NA,IDR
2022-05-01,NA,80780000000.0,IDR
2022-05-09,1265.44,NA,IDR
2022-05-11,1247.68,NA,IDR
2022-05-13,1251.11,NA,IDR
2022-05-17,1253.53,NA,IDR
2022-05-18,1254.67,NA,IDR
2022-05-20,1263.54,NA,IDR
2022-05-25,1271.61,NA,IDR
2022-05-27,1278.23,NA,IDR
2022-05-30,1282.86,NA,IDR
2022-06-01,NA,80550000000.0,IDR
2022-06-02,1285.83,NA,IDR
2022-06-03,1290.46,NA,IDR
2022-06-07,1291.83,NA,IDR
2022-06-08,1290.55,NA,IDR
2022-06-09,1286.68,NA,IDR
2022-06-13,1283.85,NA,IDR
2022-06-14,1269.5,NA,IDR
2022-06-15,1268.77,NA,IDR
2022-06-16,1271.7,NA,IDR
2022-06-20,1270.05,NA,IDR
2022-06-23,1272.6,NA,IDR
2022-06-24,1275.8,NA,IDR
2022-06-27,1279.55,NA,IDR
2022-06-29,1282.23,NA,IDR
2022-06-30,1284.07,NA,IDR
2022-07-01,NA,80340000000.0,IDR
2022-07-04,1283.07,NA,IDR
2022-07-05,1281.3,NA,IDR
2022-07-07,1282.33,NA,IDR
2022-07-08,1281.32,NA,IDR
2022-07-11,1281.63,NA,IDR
2022-07-12,1282.17,NA,IDR
2022-07-13,1283.25,NA,IDR
2022-07-15,1276.48,NA,IDR
2022-07-18,1276.79,NA,IDR
2022-07-19,1274.55,NA,IDR
2022-07-20,1273.05,NA,IDR
2022-07-22,1271.84,NA,IDR
2022-07-25,1272.7,NA,IDR
2022-07-26,1274.06,NA,IDR
2022-07-27,1276.6,NA,IDR
2022-07-29,1285.18,NA,IDR
2022-08-01,1286.47,80800000000.0,IDR
2022-08-03,1284.59,NA,IDR
2022-08-04,1286.13,NA,IDR
2022-08-05,1288.96,NA,IDR
2022-08-08,1289.67,NA,IDR
2022-08-09,1293.0,NA,IDR
2022-08-10,1293.17,NA,IDR
2022-08-11,1296.74,NA,IDR
2022-08-15,1298.47,NA,IDR
2022-08-18,1298.15,NA,IDR
2022-08-22,1297.09,NA,IDR
2022-08-24,1297.65,NA,IDR
2022-08-25,1297.92,NA,IDR
2022-08-26,1296.9,NA,IDR
2022-08-29,1295.27,NA,IDR
2022-08-31,1296.02,NA,IDR
2022-09-01,NA,79170000000.0,IDR
2022-09-02,1294.94,NA,IDR
2022-09-05,1293.96,NA,IDR
2022-09-06,1293.72,NA,IDR
2022-09-07,1291.23,NA,IDR
2022-09-09,1293.45,NA,IDR
2022-09-12,1294.85,NA,IDR
2022-09-13,1295.67,NA,IDR
2022-09-14,1294.33,NA,IDR
2022-09-16,1291.41,NA,IDR
2022-09-19,1291.31,NA,IDR
2022-09-20,1292.21,NA,IDR
2022-09-21,1291.42,NA,IDR
2022-09-23,1288.06,NA,IDR
2022-09-26,1286.0,NA,IDR
2022-09-27,1285.06,NA,IDR
2022-09-28,1283.24,NA,IDR
2022-09-29,1284.29,NA,IDR
2022-10-01,NA,78550000000.0,IDR
2022-10-03,1282.58,NA,IDR
2022-10-04,1284.43,NA,IDR
2022-10-06,1287.12,NA,IDR
2022-10-07,1285.82,NA,IDR
2022-10-10,1285.26,NA,IDR
2022-10-12,1284.4,NA,IDR
2022-10-13,1284.69,NA,IDR
2022-10-17,1282.3,NA,IDR
2022-10-18,1282.32,NA,IDR
2022-10-19,1281.14,NA,IDR
2022-10-21,1276.24,NA,IDR
2022-10-24,1275.85,NA,IDR
2022-10-26,1273.78,NA,IDR
2022-10-28,1276.61,NA,IDR
2022-10-31,1276.9,NA,IDR
2022-11-01,1279.29,80370000000.0,IDR
2022-11-02,1282.74,NA,IDR
2022-11-04,1280.28,NA,IDR
2022-11-07,1280.97,NA,IDR
2022-11-08,1281.47,NA,IDR
2022-11-09,1283.32,NA,IDR
2022-11-11,1289.19,NA,IDR
2022-11-14,1292.41,NA,IDR
2022-11-15,1295.72,NA,IDR
2022-11-16,1296.96,NA,IDR
2022-11-18,1297.71,NA,IDR
2022-11-21,1297.35,NA,IDR
2022-11-22,1297.84,NA,IDR
2022-11-23,1300.98,NA,IDR
2022-11-24,1305.32,NA,IDR
2022-11-28,1307.86,NA,IDR
2022-11-29,1309.08,NA,IDR
2022-12-01,1316.32,80640000000.0,IDR
2022-12-05,1317.08,NA,IDR
2022-12-06,1315.09,NA,IDR
2022-12-08,1312.4,NA,IDR
2022-12-09,1312.88,NA,IDR
2022-12-12,1312.97,NA,IDR
2022-12-14,1313.16,NA,IDR
2022-12-15,1313.11,NA,IDR
2022-12-19,1315.03,NA,IDR
2022-12-20,1315.35,NA,IDR
2022-12-21,1315.38,NA,IDR
2022-12-23,1316.28,NA,IDR
2022-12-26,1316.57,NA,IDR
2022-12-27,1317.3,NA,IDR
2022-12-28,1317.52,NA,IDR
2022-12-30,1317.84,NA,IDR
2023-01-01,NA,79690000000.0,IDR
2023-01-02,1318.82,NA,IDR
2023-01-03,1317.28,NA,IDR
2023-01-04,1317.41,NA,IDR
2023-01-06,1319.26,NA,IDR
2023-01-09,1321.98,NA,IDR
2023-01-10,1324.49,NA,IDR
2023-01-11,1326.64,NA,IDR
2023-01-16,1329.99,NA,IDR
2023-01-17,1329.01,NA,IDR
2023-01-18,1329.93,NA,IDR
2023-01-19,1333.12,NA,IDR
2023-01-20,1331.69,NA,IDR
2023-01-24,1333.6,NA,IDR
2023-01-25,1332.35,NA,IDR
2023-01-26,1331.87,NA,IDR
2023-01-30,1332.87,NA,IDR
2023-01-31,1334.82,NA,IDR
2023-02-01,NA,80570000000.0,IDR
2023-02-02,1339.41,NA,IDR
2023-02-06,1338.54,NA,IDR
2023-02-09,1341.16,NA,IDR
2023-02-10,1340.3,NA,IDR
2023-02-13,1339.62,NA,IDR
2023-02-15,1339.67,NA,IDR
2023-02-17,1340.95,NA,IDR
2023-02-20,1341.44,NA,IDR
2023-02-21,1340.48,NA,IDR
2023-02-22,1339.39,NA,IDR
2023-02-24,1338.61,NA,IDR
2023-02-27,1337.2,NA,IDR
2023-02-28,1337.25,NA,IDR
2023-03-01,1337.75,81680000000.0,IDR
2023-03-03,1334.87,NA,IDR
2023-03-06,1335.88,NA,IDR
2023-03-07,1334.8,NA,IDR
2023-03-08,1332.87,NA,IDR
2023-03-10,1334.09,NA,IDR
2023-03-13,1337.38,NA,IDR
2023-03-14,1341.67,NA,IDR
2023-03-15,1339.71,NA,IDR
2023-03-16,1338.34,NA,IDR
2023-03-20,1338.02,NA,IDR
2023-03-21,1338.18,NA,IDR
2023-03-24,1342.82,NA,IDR
2023-03-27,1345.61,NA,IDR
2023-03-28,1344.76,NA,IDR
2023-03-29,1344.04,NA,IDR
2023-03-30,1344.37,NA,IDR
2023-04-01,NA,84260000000.0,IDR
